COL0,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92
1,31612895,15475970,864600,926860,1065860,1095285,211475,1047950,975940,987715,1083500,1285535,1290130,1158970,1026395,780135,593810,493465,386485,251420,161925,16136930,825940,882515,1014060,1045210,204345,1032435,1009635,1032510,1124775,1324925,1330470,1198330,1058225,809730,640770,560325,493095,395285,358685,12437465,8509785,3878500,49185,12437470,8421050,230285,3786135,31241030,21129945,4141850,5448850,520385,31241030,29480160,6604285,22875880,1760865,31241030,24788720,6186950,265360,25664220,17146135,16021180,1124955,8518090,14714260,10644330,1133150,1622725,939290,195510,20085,32235,126925,4207810,1679020,2528790,17382115,2683510,14698605,4074295,1735800,2338500,8680270,8.4,30628935,11.4,1972050,14.5
10,505465,245730,11655,13240,15135,17360,3265,15300,13040,14605,17345,20080,20815,21130,19535,14895,11000,8460,5965,3850,2320,259735,11215,12665,14320,16745,3295,15895,14385,16340,19190,21585,21955,21670,19840,15265,11150,9065,7540,5580,5330,197185,155195,41670,320,197180,148430,3605,45150,500610,475990,90,23680,855,500605,496705,98585,398115,3905,500610,490855,8380,1370,422385,248680,202525,46150,173705,190380,140370,23930,3665,14635,540,110,920,6205,65360,28820,36540,290830,74635,216200,66195,38115,28075,153415,8.2,497395,10.1,27525,14.8
11,135855,65595,3370,4065,4825,5000,945,4185,3500,3750,4210,5145,5210,5010,4905,3655,2875,2340,1665,1115,770,70255,3320,3855,4550,4940,990,4400,3865,4090,4515,5555,5660,5195,5135,3745,2955,2645,2100,1805,1925,53135,39360,13715,60,53130,37990,590,14555,134205,116990,60,17100,55,134205,132215,29665,102550,1990,134205,129155,4785,270,110205,75210,66855,8350,34995,61410,48910,6815,305,4045,445,55,265,560,18545,7460,11085,72815,13590,59225,18845,8185,10660,38960,4.8,132875,7,8010,9.6
12,913465,439830,21295,24645,28560,31190,6020,28055,23910,25870,29300,36670,37410,34760,33280,25475,19395,15570,11340,7545,5560,473630,20745,23500,27685,30245,5990,28720,26685,28765,31635,39055,39800,36945,34600,26450,20755,17575,15095,12325,13050,376845,271155,103870,1815,376840,257570,4885,114390,903090,805690,1000,95015,1385,903090,887990,182285,705710,15095,903090,854495,45195,3400,756595,476125,432595,43530,280470,402955,293220,43705,23965,33020,2625,500,1695,4220,117770,51165,66610,507750,94275,413470,131075,57330,73745,263995,7,891010,9.6,49905,13.5
13,729995,355495,17555,20065,23035,24460,4740,22310,20280,22015,24090,29355,30105,28640,27005,20085,15325,11860,8765,6280,4255,374495,16875,18810,21910,23240,4435,22315,21525,23675,25325,30680,31330,29995,27435,20240,15955,13700,11720,9920,9850,295960,223370,71235,1350,295960,209125,4270,82560,719650,405045,73750,240085,765,719650,708465,146270,562190,11185,719650,690695,26395,2560,601425,382965,344770,38195,218455,323070,251625,36090,6365,21385,2110,450,2015,3020,91990,38615,53375,408210,85650,322565,101220,52390,48825,213965,7.3,709060,9.3,40690,13.6
24,7546130,3687695,191565,203985,243600,242185,45385,238440,245335,232795,250340,308570,318140,289785,257795,208800,150170,121940,92485,58080,33695,3858435,183710,195000,234655,232820,44290,233730,247540,234525,251960,310555,325895,298300,266560,219265,165395,146205,128045,98695,85585,3189345,1917735,1267940,3665,3189345,2069035,25865,1094440,7435905,336785,4010880,3017865,70375,7435905,7155510,1499220,5656295,280390,7435905,6535430,851560,48910,6184490,4015200,3735505,279695,2169290,3474255,2525440,192315,445250,230575,48390,4670,6465,21145,944770,347855,596910,4238825,725120,3513705,1000895,474895,526005,2117400,8.5,7349675,12.5,444010,14.3
35,12160280,5930705,343475,369675,420705,427185,83170,400450,360525,382025,430215,507135,486390,423345,378535,283545,222635,187510,149580,97240,60550,6229580,327290,351915,397740,405930,79845,396815,383170,409925,453770,525280,505585,446055,395995,298440,243600,214440,189325,153035,131260,4555025,3235495,1312295,7235,4555025,3187935,113195,1253900,12028895,10335700,49205,1377325,266655,12028900,11131465,2572655,8558810,897430,12028895,8512020,3398725,118150,9819420,6587580,6164245,423330,3231840,5690960,4038035,470410,736060,320075,69035,4920,12645,39780,1624835,648305,976530,6638325,899525,5738800,1556255,635795,920460,3335250,8.6,11926140,11.1,797595,14.8
46,1148400,563275,34945,38055,42565,42615,8210,39115,34720,34975,36350,43515,44820,40525,35290,26530,20225,17210,14140,10180,7500,585125,33160,35785,40670,41210,7905,38635,35530,35750,37310,44560,44910,41315,36440,27220,21895,19605,18520,16195,16415,448780,309295,127895,11585,448780,297370,7445,143960,1133510,1017565,1925,103525,10500,1133515,1084590,265970,818620,48920,1133510,974735,151230,7550,908450,611285,577705,33570,297170,523445,378365,45390,46605,38605,8385,480,1065,4550,160705,76425,84275,595940,121485,474455,151805,69830,81975,298305,8.9,1061860,12.2,72220,20
47,968160,475240,29400,31165,35405,38455,7225,33805,28930,26815,27680,34745,37765,35215,29120,21690,17900,15990,13750,9775,7660,492920,28100,29905,33725,36450,7025,33440,29320,28125,28875,36580,38015,35010,29105,22020,19205,17795,16750,14325,16165,387145,277855,99125,10160,387140,256585,5210,125345,953850,902650,485,47450,3265,953850,936855,231130,705725,16995,953845,901080,48160,4610,766235,524305,494900,29400,241930,424210,336325,30755,9300,34305,6455,585,735,5745,141690,67550,74140,485555,94100,391460,138990,70080,68905,256520,7.1,897570,9.9,60890,16.3
48,3290350,1646800,103835,104605,115160,121825,24605,128375,121750,118500,119595,133515,138420,120425,95475,66795,50165,41685,32705,20225,13755,1643555,98765,99505,109650,116080,23555,123005,118775,115805,118255,134770,136320,117040,93795,66910,52245,45235,38765,30095,28535,1256195,917905,330280,8015,1256200,858810,22330,375055,3256355,2990800,2195,222885,40470,3256355,3086650,746605,2340040,169705,3256355,2702220,527030,27100,2625140,1942825,1859960,82860,682320,1686540,1253085,133390,155480,99730,19300,2320,3640,19600,487705,201685,286025,1805640,278970,1526670,331795,134215,197580,889645,6.4,3185130,9.1,234415,11.9
