COL0,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97
2401,13090,6390,255,285,430,390,320,260,320,425,630,605,600,580,415,305,245,145,110,85,6700,255,260,390,440,285,280,360,490,600,650,565,525,450,320,280,220,155,175,5190,4095,1100,0,5190,3860,70,1255,12975,650,9910,2415,0,12975,12960,2495,10470,15,12975,12885,95,0,11105,7035,5990,1050,4070,5590,4705,495,60,235,15,20,10,50,1440,625,810,7710,2320,5390,1955,1390,565,3975,4.7,2,12760,7.3,3.5,585,5.1,3.4,5185,275,4085,405
2402,18435,9115,325,450,525,510,445,385,435,525,725,850,910,835,710,490,395,275,205,130,9320,270,405,495,515,360,370,455,575,715,870,870,880,675,540,465,360,265,240,7895,5705,2190,0,7895,5350,115,2430,18265,710,14315,3240,0,18265,18230,3110,15120,35,18265,18170,90,0,15815,7610,6235,1375,8200,5680,4885,355,20,350,25,0,0,45,1835,860,975,10735,4010,6725,3240,2285,950,5605,9.4,4.8,18205,13.7,7.1,740,19.6,10.1,7880,710,5690,745
2403,17890,8725,325,395,520,560,510,390,390,475,745,895,895,735,540,425,350,290,175,100,9165,305,375,510,590,445,445,420,540,755,930,840,725,580,435,435,365,255,210,7295,5520,1770,0,7290,5230,110,1950,17630,865,11645,5125,0,17630,17560,3030,14530,70,17630,17430,185,20,15200,8555,7125,1435,6645,6750,5715,330,25,620,10,0,10,35,2110,830,1280,10235,2625,7615,2850,1885,965,5415,6.4,3.3,17365,9.5,5.4,750,8.7,2.7,7295,435,5520,435
2404,12330,6030,220,280,340,345,270,300,275,320,450,540,610,590,435,330,270,220,165,75,6295,235,255,325,330,295,290,260,340,480,565,635,520,420,360,315,255,220,190,5285,4050,1235,0,5285,3525,70,1695,12165,10,10955,1185,10,12160,12135,2080,10060,25,12165,12095,60,10,10515,4985,4030,955,5525,3795,3060,295,30,295,50,0,0,65,1240,625,620,6995,2500,4495,2275,1490,785,3640,14,8.5,11985,19.5,12.1,490,19.2,11.1,5290,400,4050,590
2405,17950,8750,335,415,535,600,410,370,425,440,695,785,795,745,680,520,380,270,210,135,9195,305,400,565,605,380,355,475,510,710,825,800,760,645,520,405,385,280,265,7520,5870,1655,0,7520,5265,80,2170,17725,1430,10925,5365,10,17725,17650,3280,14370,75,17725,17545,175,0,15180,8035,6460,1580,7145,5895,5180,225,40,345,25,0,0,80,1915,800,1115,10065,2340,7725,3200,1975,1225,5435,7.9,4,17645,10.4,5.7,810,9.2,6.8,7480,480,5830,625
2406,14640,7150,325,385,485,495,380,355,355,385,545,660,640,580,440,340,265,245,175,95,7495,285,350,500,465,380,355,380,420,635,645,640,605,430,355,315,300,230,200,6145,4460,1675,15,6150,4230,40,1875,14415,1475,8845,4075,25,14415,14290,2945,11345,125,14415,14180,235,0,12100,6530,5390,1135,5570,4980,4235,300,30,335,35,10,0,20,1725,810,910,8045,2085,5965,2325,1455,875,3965,7.9,4.4,12795,11.1,6.1,670,11.2,5.2,5525,440,3990,405
2407,19200,9550,415,455,615,705,505,460,475,500,720,965,880,775,620,415,375,295,245,130,9650,450,500,615,670,465,460,485,480,795,895,810,700,530,450,380,375,330,265,7970,5730,2240,0,7975,5520,30,2420,18810,15,16925,1870,0,18815,18790,3880,14910,20,18815,18745,65,0,15760,8675,7150,1525,7080,6275,5165,310,15,635,80,10,10,50,2340,925,1415,10500,2805,7700,2915,1850,1060,5605,9.9,5.8,18675,14.1,8.2,1030,10.6,7.2,7880,700,5635,680
2408,22245,10980,485,495,620,695,545,590,525,565,850,1015,1025,1000,845,575,445,365,210,125,11265,385,450,565,665,540,560,535,575,890,1085,1060,985,775,590,485,465,370,290,10050,7170,2875,0,10050,6475,50,3515,21880,20,18365,3475,20,21880,21790,3855,17930,90,21880,21655,155,65,18880,10540,9325,1215,8340,8720,7220,555,85,680,70,10,15,100,2445,1120,1320,12820,3305,9510,3620,2195,1425,6645,8.7,5.3,21755,13.6,8.3,1060,11.3,8.1,10000,975,7125,870
2409,19365,9600,430,480,600,645,495,500,420,565,715,880,890,825,635,465,375,315,230,135,9770,445,465,585,630,515,460,450,530,740,870,825,750,625,480,370,430,335,255,8205,6175,2025,0,8205,5445,25,2725,18815,15,16030,2770,0,18815,18770,3785,14985,45,18815,18685,100,30,15805,9040,7990,1045,6770,7205,5775,380,30,890,70,0,15,40,2260,1005,1255,10425,2615,7805,3120,1855,1265,5515,10,6.2,18610,14.6,8.6,970,19.6,12.4,8080,675,6065,655
2410,53195,25545,1165,1260,1530,1665,1730,1610,1400,1415,1890,2355,2460,2105,1580,1080,865,735,445,265,27650,1050,1150,1545,1680,1715,1595,1435,1485,2100,2595,2500,2220,1655,1235,1110,1050,810,725,23195,15165,8025,0,23195,14950,85,8155,52170,55,41655,10435,30,52170,51670,9605,42065,495,52170,51045,915,210,44470,28125,25880,2250,16350,24130,19545,1425,205,2415,355,15,55,110,6720,2150,4570,30295,4150,26145,7455,3355,4100,15320,8.5,5.5,51400,13.8,9.5,2685,9.3,5.8,23100,2685,15090,1590
