"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37"
"1001101",55.00,55.00,0.00,55.00,0.00,55.00,60.00,0.00,0.00,60.00,40.00,0.00,0.00,55.00,20.00,15.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,,,,,,,,
"1001105",160.00,160.00,15.00,140.00,0.00,160.00,155.00,0.00,0.00,145.00,70.00,40.00,40.00,150.00,85.00,40.00,45.00,60.00,40.00,35.00,0.00,0.00,0.00,0.00,0.00,75.00,70.00,0.00,0.00,,,,,,,,
"1001113",550.00,550.00,70.00,475.00,0.00,550.00,535.00,15.00,0.00,495.00,200.00,115.00,180.00,500.00,255.00,190.00,65.00,245.00,165.00,110.00,0.00,0.00,20.00,0.00,20.00,265.00,250.00,0.00,0.00,550.00,70.00,355.00,125.00,60.00,0.00,35.00,20.00
"1001120",55.00,55.00,0.00,45.00,0.00,50.00,50.00,0.00,0.00,45.00,20.00,0.00,20.00,50.00,25.00,25.00,0.00,20.00,20.00,15.00,0.00,0.00,0.00,0.00,0.00,20.00,25.00,0.00,0.00,,,,,,,,
"1001131",310.00,310.00,40.00,265.00,0.00,310.00,310.00,0.00,0.00,275.00,105.00,55.00,115.00,275.00,145.00,125.00,20.00,130.00,110.00,80.00,0.00,0.00,0.00,0.00,0.00,145.00,135.00,0.00,0.00,310.00,40.00,180.00,85.00,85.00,0.00,45.00,25.00
"1001144",90.00,90.00,25.00,65.00,0.00,90.00,95.00,0.00,0.00,70.00,30.00,0.00,35.00,70.00,30.00,25.00,0.00,45.00,25.00,15.00,0.00,0.00,0.00,0.00,0.00,35.00,25.00,0.00,0.00,,,,,,,,
"1001149",465.00,455.00,80.00,370.00,0.00,465.00,455.00,0.00,0.00,395.00,100.00,135.00,155.00,395.00,230.00,160.00,70.00,165.00,145.00,120.00,0.00,0.00,0.00,0.00,0.00,200.00,200.00,0.00,0.00,465.00,85.00,320.00,65.00,125.00,50.00,75.00,0.00
"1001169",315.00,315.00,40.00,270.00,0.00,320.00,320.00,0.00,0.00,280.00,60.00,110.00,115.00,280.00,145.00,105.00,40.00,140.00,100.00,45.00,0.00,0.00,0.00,0.00,0.00,130.00,125.00,0.00,0.00,320.00,45.00,225.00,45.00,70.00,35.00,30.00,0.00
"1001174",230.00,230.00,40.00,190.00,0.00,230.00,230.00,0.00,0.00,200.00,80.00,75.00,50.00,200.00,105.00,80.00,20.00,100.00,85.00,60.00,0.00,0.00,0.00,0.00,0.00,95.00,85.00,0.00,0.00,,,,,,,,
"1001186",85.00,85.00,0.00,70.00,0.00,85.00,85.00,0.00,0.00,75.00,25.00,25.00,25.00,75.00,50.00,40.00,0.00,30.00,35.00,20.00,0.00,0.00,0.00,0.00,0.00,35.00,35.00,0.00,0.00,,,,,,,,
