"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39","COL40","COL41","COL42","COL43","COL44","COL45","COL46","COL47","COL48","COL49","COL50","COL51","COL52","COL53","COL54","COL55","COL56","COL57","COL58","COL59","COL60","COL61","COL62","COL63","COL64","COL65","COL66","COL67"
"01",33476685.00,1877095.00,1809895.00,1920355.00,2178140.00,2187450.00,2169585.00,2162905.00,2173935.00,2324875.00,2675135.00,2658965.00,2340635.00,2052670.00,1521715.00,1153060.00,922700.00,702065.00,645515.00,16414230.00,961150.00,925960.00,983990.00,1115845.00,1108780.00,1077280.00,1058810.00,1064200.00,1141720.00,1318710.00,1309030.00,1147300.00,1002685.00,738010.00,543435.00,417945.00,291085.00,208300.00,17062455.00,915950.00,883930.00,936365.00,1062295.00,1078670.00,1092310.00,1104090.00,1109735.00,1183155.00,1356420.00,1349935.00,1193335.00,1049980.00,783700.00,609630.00,504755.00,410985.00,437215.00,13320615.00,9103965.00,8263885.00,840075.00,4216650.00,33121175.00,22564665.00,4165015.00,5795570.00,595920.00
"10",514540.00,24490.00,25105.00,27035.00,29590.00,30055.00,28305.00,29275.00,33375.00,38020.00,42220.00,43185.00,42645.00,39130.00,28740.00,20115.00,14625.00,10070.00,8555.00,250565.00,12615.00,12840.00,13800.00,15175.00,15075.00,13605.00,13840.00,15890.00,18385.00,20545.00,21070.00,20950.00,19235.00,14095.00,9775.00,6750.00,4110.00,2800.00,263970.00,11875.00,12260.00,13235.00,14410.00,14975.00,14705.00,15435.00,17480.00,19630.00,21680.00,22110.00,21695.00,19900.00,14645.00,10340.00,7870.00,5965.00,5755.00,208845.00,155520.00,143520.00,12000.00,53320.00,509950.00,485745.00,130.00,23450.00,625.00
"11",140205.00,7270.00,7385.00,8400.00,9650.00,8765.00,7300.00,7585.00,8440.00,9485.00,11230.00,11150.00,10545.00,10205.00,7165.00,5395.00,4295.00,2930.00,2995.00,67600.00,3680.00,3700.00,4320.00,4930.00,4325.00,3540.00,3560.00,4015.00,4530.00,5430.00,5320.00,5140.00,4970.00,3495.00,2610.00,1930.00,1215.00,890.00,72605.00,3590.00,3690.00,4080.00,4720.00,4440.00,3760.00,4025.00,4420.00,4955.00,5800.00,5830.00,5405.00,5235.00,3670.00,2790.00,2370.00,1720.00,2105.00,56460.00,40150.00,37720.00,2425.00,16310.00,138435.00,120590.00,130.00,17000.00,710.00
"12",921730.00,43980.00,44425.00,49810.00,57440.00,59620.00,51925.00,51540.00,56380.00,62110.00,76275.00,77465.00,70955.00,66425.00,48920.00,36395.00,27655.00,20020.00,20385.00,445590.00,22565.00,22660.00,25555.00,29235.00,30060.00,25405.00,24470.00,26835.00,29895.00,37005.00,37465.00,34200.00,32310.00,23840.00,17300.00,12460.00,8045.00,6280.00,476140.00,21415.00,21765.00,24260.00,28205.00,29560.00,26515.00,27070.00,29545.00,32220.00,39265.00,40000.00,36760.00,34115.00,25075.00,19095.00,15195.00,11975.00,14100.00,390280.00,264455.00,244655.00,19795.00,125830.00,910620.00,814675.00,880.00,93435.00,1635.00
"13",751170.00,36525.00,36660.00,40390.00,45845.00,44585.00,41725.00,43700.00,48120.00,51275.00,61900.00,62795.00,59340.00,54665.00,39105.00,29250.00,22480.00,16330.00,16465.00,366440.00,18570.00,18600.00,20775.00,23580.00,22735.00,20535.00,21160.00,23380.00,25010.00,30250.00,30675.00,28945.00,26940.00,19410.00,14060.00,10020.00,6535.00,5240.00,384735.00,17955.00,18055.00,19615.00,22260.00,21850.00,21190.00,22535.00,24735.00,26265.00,31650.00,32120.00,30400.00,27725.00,19690.00,15195.00,12455.00,9795.00,11225.00,314005.00,220100.00,204375.00,15725.00,93905.00,739895.00,426675.00,66375.00,245890.00,955.00
"24",7903000.00,440840.00,399575.00,418205.00,491980.00,489185.00,490665.00,531445.00,498230.00,520810.00,623575.00,648695.00,579280.00,512830.00,403210.00,291755.00,232355.00,176420.00,153945.00,3875865.00,225525.00,203675.00,213540.00,249960.00,246845.00,245700.00,264985.00,249615.00,261120.00,311320.00,320700.00,285290.00,250675.00,194305.00,135830.00,101675.00,69170.00,45945.00,4027140.00,215315.00,195900.00,204660.00,242020.00,242340.00,244970.00,266465.00,248620.00,259690.00,312255.00,328000.00,293985.00,262155.00,208905.00,155925.00,130680.00,107250.00,108000.00,3395345.00,2174255.00,2050840.00,123420.00,1221085.00,7815955.00,363860.00,4047175.00,3328725.00,76190.00
"35",12851820.00,704260.00,712755.00,763755.00,863630.00,852905.00,815120.00,800365.00,844335.00,924075.00,1055880.00,1006135.00,864620.00,765650.00,563485.00,440785.00,356145.00,271510.00,246400.00,6263135.00,360590.00,365285.00,391630.00,443680.00,432495.00,400045.00,383340.00,405845.00,447920.00,517505.00,492560.00,418760.00,370370.00,270875.00,206345.00,161340.00,113620.00,80920.00,6588685.00,343670.00,347470.00,372125.00,419950.00,420415.00,415070.00,417030.00,438490.00,476155.00,538370.00,513575.00,445865.00,395280.00,292615.00,234430.00,194805.00,157895.00,165480.00,4887505.00,3475030.00,3103520.00,371515.00,1412480.00,12722065.00,10984360.00,42980.00,1395805.00,298920.00
"46",1208265.00,77185.00,74625.00,79355.00,86215.00,82925.00,78190.00,75265.00,75575.00,77775.00,90090.00,89970.00,79765.00,68895.00,50240.00,38425.00,31575.00,25545.00,26665.00,594550.00,39280.00,38380.00,40960.00,44175.00,41935.00,38900.00,36995.00,37480.00,38455.00,44690.00,44945.00,39350.00,33725.00,24400.00,18035.00,14100.00,10395.00,8345.00,613715.00,37905.00,36240.00,38395.00,42035.00,40990.00,39285.00,38265.00,38100.00,39315.00,45395.00,45025.00,40420.00,35170.00,25840.00,20390.00,17475.00,15145.00,18320.00,466140.00,317475.00,289230.00,28245.00,148665.00,1193100.00,1074330.00,1485.00,103145.00,14130.00
"47",1033380.00,68760.00,63350.00,65750.00,71760.00,72610.00,70395.00,65340.00,61150.00,61470.00,74630.00,77475.00,70050.00,56945.00,41500.00,33825.00,28950.00,23960.00,25470.00,511555.00,35065.00,32480.00,33465.00,36870.00,37135.00,35510.00,32750.00,30270.00,30550.00,36815.00,38855.00,35185.00,28300.00,20445.00,16050.00,13200.00,10165.00,8435.00,521825.00,33695.00,30870.00,32285.00,34885.00,35475.00,34885.00,32590.00,30880.00,30925.00,37810.00,38625.00,34870.00,28645.00,21060.00,17770.00,15755.00,13790.00,17035.00,409645.00,277880.00,255670.00,22210.00,131765.00,1018310.00,965925.00,430.00,46570.00,5390.00
"48",3645260.00,244880.00,218995.00,220915.00,238205.00,258480.00,288740.00,274395.00,260130.00,258515.00,280635.00,279705.00,233780.00,182160.00,125700.00,94775.00,76045.00,57720.00,51485.00,1827815.00,125665.00,112005.00,113410.00,122065.00,131510.00,146325.00,138600.00,131805.00,130630.00,140575.00,141370.00,118750.00,90975.00,61790.00,45220.00,35210.00,24810.00,17095.00,1817440.00,119215.00,106990.00,107505.00,116140.00,126965.00,142405.00,135795.00,128325.00,127885.00,140055.00,138340.00,115035.00,91190.00,63905.00,49555.00,40830.00,32915.00,34395.00,1390275.00,969750.00,870685.00,99070.00,420525.00,3610185.00,3321810.00,3210.00,235565.00,49600.00
"59",4400060.00,219670.00,218920.00,238780.00,275165.00,279825.00,288780.00,275980.00,280870.00,313770.00,350600.00,354610.00,323335.00,291040.00,210905.00,160715.00,127480.00,96950.00,92675.00,2156605.00,112890.00,112205.00,122465.00,141670.00,142290.00,143475.00,135225.00,135455.00,151435.00,170575.00,172065.00,157455.00,142645.00,103790.00,77355.00,60720.00,42745.00,32155.00,2243455.00,106780.00,106715.00,116315.00,133500.00,137535.00,145300.00,140755.00,145415.00,162330.00,180025.00,182550.00,165880.00,148395.00,107115.00,83360.00,66760.00,54200.00,60520.00,1764635.00,1183070.00,1041475.00,141600.00,581560.00,4356210.00,3912950.00,2045.00,296645.00,144560.00
"60",33900.00,1975.00,1905.00,1980.00,2210.00,2225.00,2375.00,2295.00,2425.00,2440.00,2910.00,3175.00,2775.00,2120.00,1295.00,760.00,510.00,300.00,230.00,17055.00,1020.00,970.00,1020.00,1135.00,1160.00,1180.00,1075.00,1155.00,1180.00,1370.00,1600.00,1435.00,1120.00,735.00,420.00,240.00,150.00,90.00,16840.00,955.00,930.00,960.00,1070.00,1065.00,1195.00,1225.00,1270.00,1265.00,1545.00,1575.00,1340.00,1000.00,560.00,335.00,270.00,150.00,135.00,14120.00,9070.00,8090.00,985.00,5040.00,33655.00,29050.00,90.00,4415.00,100.00
"61",41465.00,3285.00,2860.00,2865.00,3390.00,3340.00,3445.00,3310.00,2990.00,3035.00,3380.00,3105.00,2390.00,1680.00,975.00,585.00,395.00,240.00,195.00,21060.00,1655.00,1430.00,1450.00,1765.00,1685.00,1765.00,1625.00,1445.00,1535.00,1695.00,1615.00,1255.00,915.00,555.00,275.00,200.00,110.00,80.00,20400.00,1630.00,1425.00,1415.00,1625.00,1650.00,1675.00,1680.00,1540.00,1500.00,1685.00,1490.00,1140.00,765.00,420.00,305.00,200.00,130.00,120.00,14700.00,10450.00,8975.00,1475.00,4255.00,41040.00,37040.00,50.00,3720.00,230.00
"62",31905.00,3970.00,3340.00,3115.00,3065.00,2935.00,2630.00,2415.00,1930.00,2095.00,1815.00,1495.00,1135.00,905.00,470.00,285.00,185.00,75.00,45.00,16395.00,2020.00,1720.00,1600.00,1595.00,1530.00,1290.00,1190.00,1000.00,1080.00,925.00,795.00,590.00,500.00,270.00,150.00,100.00,25.00,20.00,15510.00,1950.00,1620.00,1515.00,1465.00,1400.00,1340.00,1225.00,925.00,1015.00,885.00,705.00,555.00,410.00,205.00,135.00,85.00,50.00,20.00,8665.00,6760.00,5140.00,1615.00,1905.00,31765.00,27670.00,40.00,1205.00,2860.00
