"COL0","COL1","COL2","COL3","COL4"
"2401023",5355.00,4275.00,1075.00,0.00
"2402005",1565.00,1220.00,340.00,0.00
"2402010",440.00,335.00,105.00,0.00
"2402015",1550.00,1095.00,460.00,0.00
"2402028",3395.00,2460.00,935.00,0.00
"2402047",1045.00,835.00,200.00,0.00
"2403005",6405.00,4720.00,1685.00,0.00
"2403010",355.00,320.00,30.00,0.00
"2403015",65.00,65.00,0.00,0.00
"2403020",510.00,375.00,130.00,0.00
"2403025",400.00,310.00,100.00,0.00
"2404005",155.00,135.00,20.00,0.00
"2404010",500.00,445.00,55.00,0.00
"2404015",90.00,85.00,0.00,0.00
"2404020",95.00,90.00,0.00,0.00
"2404025",140.00,135.00,0.00,0.00
"2404030",120.00,110.00,0.00,0.00
"2404037",3110.00,2170.00,940.00,0.00
"2404047",1135.00,900.00,235.00,0.00
"2404902",65.00,65.00,0.00,0.00
"2405020",125.00,100.00,0.00,0.00
"2405025",285.00,260.00,25.00,0.00
"2405045",1205.00,815.00,390.00,0.00
"2405050",200.00,185.00,15.00,0.00
"2405060",930.00,750.00,180.00,0.00
"2405065",300.00,270.00,30.00,0.00
"2405070",1650.00,1145.00,505.00,0.00
"2405077",320.00,285.00,40.00,0.00
"2406005",985.00,655.00,335.00,0.00
"2406013",1910.00,1395.00,515.00,0.00
"2406020",765.00,590.00,180.00,0.00
"2406030",655.00,425.00,235.00,0.00
"2406035",80.00,80.00,0.00,0.00
"2406040",60.00,50.00,0.00,0.00
"2406045",305.00,215.00,85.00,0.00
"2406050",245.00,200.00,40.00,0.00
"2406055",315.00,240.00,80.00,0.00
"2406060",95.00,80.00,0.00,0.00
"2406802",240.00,175.00,30.00,35.00
"2406804",665.00,520.00,50.00,100.00
"2407005",90.00,75.00,20.00,0.00
"2407010",110.00,85.00,30.00,0.00
"2407018",1130.00,800.00,330.00,0.00
"2407040",115.00,105.00,0.00,0.00
"2407047",2805.00,1820.00,985.00,0.00
"2407057",580.00,460.00,125.00,0.00
"2407070",190.00,165.00,30.00,0.00
"2407075",205.00,175.00,35.00,0.00
"2407080",420.00,385.00,40.00,0.00
"2407095",270.00,235.00,30.00,0.00
"2407100",195.00,175.00,20.00,0.00
"2407105",160.00,115.00,45.00,0.00
"2408005",555.00,430.00,125.00,0.00
"2408010",70.00,75.00,0.00,0.00
