"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33"
"2401",12550.00,12530.00,2110.00,10415.00,25.00,12550.00,12495.00,45.00,0.00,10965.00,4070.00,1940.00,4950.00,10965.00,6830.00,5650.00,1180.00,4135.00,5475.00,4890.00,315.00,70.00,160.00,10.00,30.00,12555.00,2110.00,8255.00,2190.00,1805.00,180.00,755.00,870.00
"2402",17830.00,17820.00,2740.00,15085.00,15.00,17835.00,17725.00,110.00,0.00,15745.00,6415.00,3685.00,5645.00,15740.00,7455.00,6205.00,1245.00,8290.00,5900.00,5465.00,145.00,45.00,165.00,0.00,70.00,17835.00,2740.00,11215.00,3880.00,4205.00,585.00,2370.00,1250.00
"2403",17520.00,17470.00,2990.00,14480.00,55.00,17520.00,17360.00,160.00,0.00,15175.00,4420.00,3170.00,7580.00,15170.00,9185.00,8170.00,1015.00,5985.00,7855.00,6790.00,395.00,30.00,505.00,0.00,115.00,17520.00,2990.00,11400.00,3130.00,2665.00,405.00,1475.00,785.00
"2404",11710.00,11685.00,1790.00,9890.00,30.00,11715.00,11630.00,85.00,0.00,10275.00,4340.00,1575.00,4360.00,10275.00,4825.00,3895.00,930.00,5450.00,3735.00,3320.00,95.00,55.00,235.00,0.00,25.00,11710.00,1795.00,7570.00,2355.00,2855.00,485.00,1700.00,675.00
"2405",17545.00,17500.00,2870.00,14630.00,50.00,17550.00,17380.00,145.00,0.00,15395.00,5010.00,3060.00,7335.00,15400.00,7995.00,6805.00,1190.00,7400.00,6435.00,5585.00,260.00,120.00,340.00,25.00,95.00,17550.00,2870.00,10905.00,3775.00,3090.00,370.00,1645.00,1080.00
"2406",14785.00,14700.00,2995.00,11700.00,85.00,14785.00,14480.00,275.00,35.00,12420.00,3920.00,2455.00,6045.00,12420.00,6855.00,5520.00,1330.00,5570.00,5225.00,4700.00,150.00,45.00,255.00,20.00,60.00,12360.00,2190.00,7860.00,2310.00,2445.00,285.00,1430.00,730.00
"2407",18080.00,18055.00,3390.00,14670.00,20.00,18080.00,18005.00,70.00,0.00,15370.00,4935.00,2860.00,7570.00,15370.00,8675.00,7255.00,1415.00,6695.00,6660.00,5860.00,220.00,40.00,360.00,45.00,150.00,18075.00,3400.00,11575.00,3105.00,3955.00,560.00,2205.00,1190.00
"2408",21320.00,21185.00,3335.00,17850.00,135.00,21320.00,20935.00,345.00,35.00,18675.00,5620.00,3685.00,9370.00,18675.00,10150.00,9115.00,1035.00,8525.00,8635.00,7550.00,250.00,110.00,495.00,55.00,170.00,21320.00,3350.00,13510.00,4460.00,4360.00,445.00,2405.00,1505.00
"2409",18200.00,18140.00,3305.00,14840.00,55.00,18195.00,17930.00,240.00,0.00,15450.00,4820.00,3455.00,7175.00,15450.00,9040.00,8015.00,1025.00,6415.00,7305.00,6285.00,205.00,120.00,580.00,40.00,70.00,18195.00,3320.00,11600.00,3280.00,3495.00,565.00,1990.00,940.00
"2410",53010.00,52630.00,9450.00,43175.00,375.00,53010.00,52015.00,900.00,90.00,45450.00,8670.00,9695.00,27085.00,45450.00,28710.00,26745.00,1965.00,16745.00,25075.00,21005.00,945.00,285.00,2240.00,285.00,315.00,53010.00,9490.00,35225.00,8295.00,7985.00,1020.00,4920.00,2040.00
"2411",8730.00,8720.00,1325.00,7395.00,0.00,8735.00,8710.00,20.00,0.00,7670.00,2635.00,1345.00,3685.00,7670.00,4010.00,3545.00,460.00,3660.00,3115.00,2605.00,90.00,0.00,380.00,15.00,30.00,8730.00,1330.00,5290.00,2120.00,1745.00,235.00,895.00,610.00
"2412",32725.00,32555.00,6090.00,26465.00,170.00,32725.00,32340.00,335.00,50.00,27665.00,6825.00,5805.00,15030.00,27665.00,17880.00,16800.00,1080.00,9780.00,15730.00,13595.00,560.00,145.00,1135.00,70.00,225.00,32725.00,6100.00,21445.00,5180.00,4475.00,480.00,2845.00,1155.00
"2413",19920.00,19895.00,3740.00,16155.00,25.00,19920.00,19765.00,145.00,0.00,16895.00,6150.00,2730.00,8015.00,16895.00,9415.00,8355.00,1060.00,7480.00,7570.00,6240.00,330.00,145.00,720.00,50.00,90.00,19920.00,3745.00,12520.00,3655.00,3720.00,555.00,2105.00,1065.00
"2414",20475.00,20345.00,3715.00,16630.00,135.00,20480.00,20230.00,235.00,20.00,17400.00,4930.00,3260.00,9210.00,17400.00,10260.00,9640.00,620.00,7140.00,8815.00,7400.00,325.00,65.00,890.00,80.00,50.00,20480.00,3730.00,13000.00,3750.00,3480.00,445.00,1925.00,1105.00
"2415",15835.00,15795.00,2810.00,12980.00,40.00,15835.00,15725.00,100.00,0.00,13585.00,3870.00,3160.00,6560.00,13585.00,7875.00,7000.00,870.00,5715.00,6490.00,5790.00,235.00,45.00,345.00,15.00,60.00,15840.00,2815.00,9855.00,3165.00,2495.00,420.00,1275.00,805.00
"2416",12890.00,12840.00,2040.00,10800.00,50.00,12890.00,12730.00,155.00,0.00,11230.00,3145.00,2225.00,5865.00,11230.00,6515.00,5930.00,585.00,4710.00,5245.00,4530.00,155.00,65.00,385.00,30.00,85.00,12890.00,2050.00,8025.00,2815.00,1665.00,180.00,865.00,615.00
