"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37"
"5050000.00",1215735.00,1152870.00,247225.00,905645.00,62865.00,1215735.00,967845.00,235340.00,12555.00,1005005.00,151945.00,233695.00,619365.00,613940.00,391445.00,40950.00,123175.00,38735.00,13670.00,5970.00,1005005.00,700685.00,654515.00,46170.00,304315.00,1215730.00,258895.00,814310.00,142535.00,142445.00,34955.00,94350.00,13135.00,498785.00,338725.00,160060.00,0.00
"5050001.01",7740.00,6820.00,1755.00,5065.00,920.00,7735.00,4420.00,3105.00,205.00,6140.00,1435.00,1590.00,3110.00,3290.00,1650.00,260.00,1180.00,140.00,30.00,25.00,6135.00,3830.00,3475.00,350.00,2305.00,7740.00,1925.00,5005.00,810.00,2640.00,930.00,1525.00,185.00,3240.00,1100.00,2140.00,0.00
"5050001.04",2770.00,2705.00,345.00,2360.00,65.00,2775.00,2150.00,590.00,30.00,2505.00,285.00,695.00,1525.00,1340.00,715.00,80.00,420.00,70.00,30.00,0.00,2500.00,1540.00,1450.00,85.00,965.00,2770.00,350.00,1830.00,595.00,390.00,60.00,325.00,0.00,1215.00,965.00,255.00,0.00
"5050001.05",5865.00,5340.00,1340.00,4000.00,525.00,5870.00,3560.00,2140.00,160.00,4590.00,555.00,1075.00,2965.00,3045.00,1955.00,295.00,665.00,55.00,40.00,30.00,4590.00,3525.00,3195.00,330.00,1070.00,5865.00,1530.00,4015.00,325.00,795.00,310.00,455.00,25.00,1940.00,1630.00,310.00,0.00
"5050001.06",6240.00,5740.00,1300.00,4440.00,505.00,6240.00,4060.00,2135.00,50.00,5085.00,575.00,1250.00,3255.00,3275.00,2015.00,215.00,840.00,120.00,35.00,50.00,5090.00,3805.00,3510.00,295.00,1280.00,6240.00,1440.00,4410.00,390.00,1080.00,370.00,655.00,60.00,2350.00,1735.00,610.00,0.00
"5050001.07",4315.00,4030.00,1015.00,3010.00,290.00,4320.00,2635.00,1685.00,0.00,3490.00,680.00,680.00,2130.00,2170.00,1380.00,205.00,485.00,0.00,60.00,30.00,3495.00,2495.00,2295.00,200.00,1000.00,4320.00,1085.00,2945.00,295.00,595.00,260.00,320.00,0.00,1465.00,1145.00,325.00,0.00
"5050001.08",4595.00,4280.00,1120.00,3165.00,315.00,4600.00,2710.00,1820.00,65.00,3645.00,620.00,770.00,2250.00,2195.00,1495.00,160.00,470.00,15.00,30.00,25.00,3645.00,2580.00,2335.00,245.00,1060.00,4600.00,1230.00,2995.00,380.00,705.00,240.00,465.00,0.00,1455.00,1285.00,170.00,0.00
"5050002.01",2885.00,2825.00,440.00,2385.00,60.00,2885.00,2240.00,630.00,0.00,2500.00,235.00,505.00,1760.00,1210.00,720.00,115.00,235.00,50.00,80.00,0.00,2500.00,1510.00,1400.00,110.00,990.00,2890.00,450.00,1690.00,750.00,190.00,30.00,140.00,20.00,1150.00,1090.00,60.00,0.00
"5050002.02",3375.00,3260.00,615.00,2640.00,120.00,3375.00,2330.00,1010.00,45.00,2845.00,310.00,580.00,1955.00,1510.00,905.00,95.00,410.00,55.00,25.00,20.00,2845.00,1835.00,1640.00,195.00,1010.00,3380.00,630.00,2030.00,710.00,495.00,140.00,280.00,75.00,1275.00,1080.00,195.00,0.00
"5050002.04",1340.00,1310.00,185.00,1125.00,35.00,1340.00,915.00,410.00,0.00,1195.00,100.00,150.00,950.00,585.00,430.00,40.00,85.00,25.00,0.00,0.00,1195.00,685.00,645.00,45.00,510.00,1340.00,185.00,770.00,380.00,75.00,0.00,45.00,10.00,605.00,565.00,35.00,0.00
"5050002.05",5090.00,4525.00,1145.00,3380.00,565.00,5085.00,2940.00,2085.00,65.00,4080.00,775.00,1175.00,2135.00,2335.00,1115.00,185.00,925.00,45.00,40.00,25.00,4080.00,2730.00,2485.00,245.00,1350.00,5090.00,1255.00,3400.00,430.00,1155.00,415.00,695.00,45.00,1900.00,850.00,1050.00,0.00
"5050002.06",2710.00,2570.00,445.00,2130.00,135.00,2710.00,1805.00,900.00,0.00,2305.00,95.00,370.00,1840.00,1370.00,880.00,120.00,305.00,45.00,0.00,0.00,2305.00,1645.00,1495.00,145.00,660.00,2710.00,455.00,1910.00,350.00,130.00,35.00,80.00,0.00,1045.00,920.00,125.00,0.00
"5050003.00",4360.00,3915.00,515.00,3400.00,445.00,4360.00,2880.00,1445.00,30.00,3885.00,510.00,990.00,2390.00,2005.00,1110.00,145.00,570.00,95.00,65.00,25.00,3885.00,2335.00,2130.00,200.00,1555.00,4360.00,605.00,2875.00,885.00,760.00,140.00,585.00,35.00,2040.00,1185.00,850.00,0.00
"5050004.00",3700.00,3395.00,465.00,2930.00,305.00,3700.00,2525.00,1125.00,50.00,3295.00,570.00,725.00,2000.00,1835.00,900.00,85.00,530.00,260.00,60.00,0.00,3290.00,2075.00,1930.00,145.00,1215.00,3700.00,500.00,2500.00,700.00,615.00,40.00,440.00,135.00,1850.00,965.00,885.00,0.00
"5050005.00",6085.00,5510.00,990.00,4520.00,580.00,6090.00,4140.00,1800.00,150.00,5170.00,675.00,1225.00,3270.00,3025.00,1530.00,220.00,895.00,215.00,130.00,25.00,5170.00,3540.00,3245.00,295.00,1630.00,6090.00,1055.00,4195.00,835.00,1075.00,300.00,735.00,40.00,2705.00,1615.00,1090.00,0.00
"5050006.00",4075.00,3955.00,800.00,3155.00,115.00,4070.00,3015.00,1030.00,30.00,3415.00,360.00,600.00,2455.00,1755.00,1025.00,130.00,290.00,110.00,165.00,35.00,3415.00,2195.00,2065.00,130.00,1215.00,4075.00,820.00,2430.00,830.00,100.00,35.00,60.00,0.00,1540.00,1455.00,90.00,0.00
"5050007.01",2230.00,2115.00,290.00,1825.00,110.00,2225.00,1675.00,480.00,70.00,1955.00,205.00,480.00,1270.00,800.00,505.00,25.00,200.00,35.00,30.00,0.00,1955.00,1085.00,1025.00,55.00,865.00,2225.00,315.00,1155.00,750.00,115.00,30.00,70.00,20.00,1105.00,645.00,460.00,0.00
"5050007.02",4950.00,3290.00,1050.00,2235.00,1665.00,4950.00,1910.00,2645.00,405.00,3670.00,945.00,1150.00,1575.00,1730.00,800.00,160.00,620.00,90.00,25.00,0.00,3665.00,2145.00,1815.00,330.00,1525.00,4955.00,1520.00,3235.00,195.00,2290.00,955.00,1295.00,40.00,1680.00,30.00,1650.00,0.00
