"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37"
"4080000.00",154240.00,153475.00,27950.00,125525.00,765.00,154240.00,152325.00,1705.00,205.00,131760.00,26370.00,25025.00,80370.00,72320.00,63655.00,2615.00,1655.00,3130.00,320.00,940.00,131755.00,80545.00,74890.00,5655.00,51215.00,154240.00,28100.00,101240.00,24895.00,22980.00,3540.00,14135.00,5300.00,69485.00,44520.00,24965.00,0.00
"4080001.00",3955.00,3935.00,665.00,3270.00,20.00,3950.00,3915.00,30.00,0.00,3445.00,600.00,605.00,2240.00,1905.00,1750.00,60.00,55.00,0.00,0.00,35.00,3445.00,2110.00,1980.00,125.00,1330.00,3955.00,665.00,2640.00,655.00,565.00,85.00,305.00,170.00,1845.00,1220.00,625.00,0.00
"4080002.01",2875.00,2770.00,475.00,2300.00,105.00,2875.00,2750.00,120.00,0.00,2525.00,430.00,425.00,1670.00,1525.00,1220.00,50.00,55.00,165.00,20.00,0.00,2525.00,1645.00,1550.00,95.00,885.00,2875.00,510.00,1925.00,440.00,240.00,35.00,155.00,50.00,1330.00,690.00,645.00,0.00
"4080002.02",5330.00,5310.00,545.00,4765.00,0.00,5330.00,5210.00,125.00,0.00,4900.00,965.00,955.00,2980.00,2095.00,1765.00,45.00,70.00,165.00,0.00,60.00,4900.00,2325.00,2185.00,140.00,2580.00,5330.00,555.00,2985.00,1790.00,795.00,40.00,385.00,370.00,2920.00,1585.00,1330.00,0.00
"4080003.01",4060.00,4010.00,810.00,3200.00,45.00,4055.00,3970.00,75.00,0.00,3415.00,455.00,680.00,2280.00,2000.00,1765.00,70.00,65.00,70.00,0.00,15.00,3415.00,2180.00,2080.00,100.00,1235.00,4060.00,830.00,2730.00,495.00,455.00,90.00,295.00,70.00,1680.00,1175.00,505.00,0.00
"4080003.02",3140.00,3130.00,570.00,2555.00,0.00,3145.00,3075.00,60.00,0.00,2700.00,360.00,550.00,1790.00,1565.00,1380.00,80.00,0.00,60.00,0.00,30.00,2700.00,1660.00,1605.00,55.00,1040.00,3140.00,570.00,1980.00,590.00,215.00,20.00,140.00,60.00,1315.00,880.00,435.00,0.00
"4080004.00",3655.00,3525.00,415.00,3105.00,130.00,3655.00,3470.00,100.00,85.00,3300.00,625.00,505.00,2170.00,1430.00,1155.00,70.00,35.00,165.00,0.00,0.00,3300.00,1650.00,1530.00,120.00,1645.00,3655.00,430.00,2135.00,1090.00,860.00,80.00,530.00,245.00,2035.00,695.00,1345.00,0.00
"4080005.00",3195.00,3160.00,510.00,2655.00,35.00,3200.00,3140.00,50.00,0.00,2825.00,895.00,660.00,1270.00,1345.00,1150.00,45.00,50.00,100.00,0.00,0.00,2825.00,1575.00,1390.00,185.00,1250.00,3195.00,510.00,2090.00,595.00,785.00,115.00,540.00,125.00,1655.00,705.00,950.00,0.00
"4080006.00",3060.00,3035.00,260.00,2775.00,25.00,3060.00,2995.00,60.00,0.00,2815.00,655.00,685.00,1480.00,1335.00,955.00,40.00,100.00,215.00,0.00,0.00,2820.00,1520.00,1360.00,165.00,1300.00,3060.00,255.00,2095.00,710.00,1280.00,130.00,825.00,325.00,2020.00,370.00,1650.00,0.00
"4080007.00",2695.00,2690.00,460.00,2230.00,0.00,2700.00,2660.00,40.00,0.00,2365.00,510.00,405.00,1450.00,1425.00,1230.00,50.00,45.00,60.00,0.00,40.00,2370.00,1590.00,1485.00,100.00,780.00,2700.00,465.00,1920.00,315.00,525.00,65.00,390.00,70.00,1320.00,635.00,685.00,0.00
"4080008.00",4995.00,4970.00,915.00,4055.00,25.00,4995.00,4945.00,45.00,0.00,4245.00,775.00,820.00,2645.00,2505.00,2210.00,120.00,100.00,35.00,0.00,30.00,4240.00,2770.00,2565.00,210.00,1470.00,4995.00,920.00,3295.00,780.00,670.00,100.00,435.00,135.00,2235.00,1360.00,875.00,0.00
"4080100.00",3635.00,3635.00,755.00,2875.00,0.00,3635.00,3615.00,15.00,0.00,3030.00,390.00,525.00,2110.00,1720.00,1605.00,20.00,50.00,20.00,0.00,0.00,3030.00,1875.00,1790.00,85.00,1150.00,3635.00,755.00,2365.00,510.00,170.00,0.00,120.00,45.00,1470.00,1235.00,235.00,0.00
"4080101.00",4220.00,4175.00,810.00,3370.00,40.00,4220.00,4125.00,95.00,0.00,3570.00,670.00,710.00,2190.00,2035.00,1830.00,55.00,60.00,60.00,0.00,30.00,3570.00,2215.00,2070.00,145.00,1350.00,4220.00,810.00,2795.00,610.00,610.00,105.00,400.00,105.00,1935.00,1190.00,745.00,0.00
"4080102.00",2790.00,2770.00,540.00,2230.00,15.00,2785.00,2745.00,40.00,0.00,2360.00,350.00,470.00,1540.00,1385.00,1185.00,45.00,30.00,105.00,0.00,0.00,2365.00,1535.00,1440.00,95.00,830.00,2785.00,540.00,1785.00,460.00,255.00,55.00,150.00,50.00,1270.00,960.00,310.00,0.00
"4080103.00",7335.00,7335.00,1660.00,5675.00,0.00,7335.00,7290.00,45.00,0.00,6000.00,960.00,840.00,4195.00,3545.00,3315.00,60.00,35.00,100.00,20.00,0.00,6000.00,3830.00,3670.00,155.00,2170.00,7335.00,1655.00,4590.00,1085.00,390.00,30.00,180.00,180.00,2995.00,2375.00,620.00,0.00
"4080104.00",7175.00,7160.00,1540.00,5620.00,0.00,7170.00,7115.00,50.00,0.00,5915.00,1090.00,1175.00,3650.00,3350.00,3000.00,175.00,60.00,65.00,0.00,40.00,5920.00,3825.00,3590.00,235.00,2090.00,7170.00,1550.00,4700.00,925.00,1000.00,180.00,690.00,130.00,2935.00,2245.00,690.00,0.00
"4080105.00",3195.00,3190.00,510.00,2680.00,0.00,3190.00,3190.00,0.00,0.00,2795.00,730.00,645.00,1420.00,1310.00,1045.00,120.00,30.00,95.00,0.00,0.00,2800.00,1505.00,1345.00,160.00,1295.00,3190.00,510.00,2060.00,620.00,910.00,170.00,580.00,155.00,1640.00,620.00,1025.00,0.00
"4080106.00",3270.00,3260.00,485.00,2770.00,0.00,3265.00,3240.00,20.00,0.00,2875.00,710.00,455.00,1710.00,1470.00,1325.00,35.00,35.00,45.00,0.00,0.00,2875.00,1595.00,1490.00,95.00,1280.00,3270.00,485.00,2115.00,670.00,690.00,140.00,370.00,185.00,1660.00,810.00,850.00,0.00
"4080107.02",3105.00,3100.00,435.00,2670.00,0.00,3105.00,3095.00,0.00,0.00,2815.00,475.00,620.00,1725.00,1450.00,1265.00,35.00,20.00,105.00,15.00,0.00,2810.00,1595.00,1485.00,110.00,1215.00,3105.00,435.00,1965.00,705.00,495.00,80.00,235.00,185.00,1460.00,960.00,495.00,0.00
"4080107.03",7360.00,7315.00,1385.00,5930.00,45.00,7360.00,7255.00,75.00,35.00,6220.00,1015.00,1295.00,3910.00,3585.00,3150.00,145.00,85.00,145.00,25.00,35.00,6225.00,3875.00,3680.00,190.00,2350.00,7360.00,1405.00,4945.00,1005.00,1090.00,125.00,700.00,265.00,3275.00,1990.00,1285.00,0.00
"4080107.04",985.00,985.00,180.00,805.00,0.00,990.00,985.00,0.00,0.00,835.00,155.00,110.00,570.00,455.00,430.00,0.00,0.00,0.00,0.00,0.00,835.00,520.00,475.00,40.00,315.00,985.00,180.00,645.00,160.00,90.00,0.00,50.00,35.00,405.00,280.00,120.00,0.00
