"","census_id","CLSC_code","census_type"
"1","2401","11211","CD"
"155","2405","11112","CD"
"200","2406","11111","CD"
"253","2407","01181","CD"
"307","2408","01171","CD"
"366","2409","01161","CD"
"423","2410","01151","CD"
"524","2411","01141","CD"
"553","2412","01121","CD"
"634","2413","01131","CD"
"682","2414","01111","CD"
"747","2415","03142","CD"
"788","2416","03141","CD"
"831","2417","12152","CD"
"876","2418","12151","CD"
"933","2419","12114","CD"
"1014","2420","03134","CD"
"1034","2421","03134","CD"
"2633","2427","12131","CD"
"2689","2428","12141","CD"
"2743","2429","12132","CD"
"2837","2430","05191","CD"
"2916","2431","12121","CD"
"3018","2432","04182","CD"
"3076","2433","12111","CD"
"3141","2434","03111","CD"
"3266","2435","04121","CD"
"3316","2436","04141","CD"
"3712","2438","04162","CD"
"3775","2439","04181","CD"
"3942","2440","05171","CD"
"3989","2441","05181","CD"
"4051","2442","05161","CD"
"4126","2443","05151","CD"
"4397","2444","05141","CD"
"4444","2445","05131","CD"
"4671","2447","05121","CD"
"4850","2448","16223","CD"
"4886","2449","04171","CD"
"5094","2450","04161","CD"
"5278","2452","14114","CD"
"5357","2453","16231","CD"
"5463","2454","16222","CD"
"6965","2459","16213","CD"
"7122","2460","14122","CD"
"7334","2461","14113","CD"
"7445","2462","14111","CD"
"7587","2463","14112","CD"
"7688","2464","14121","CD"
"12789","2468","16343","CD"
"12836","2469","16331","CD"
"13034","2471","16311","CD"
"13222","2472","15151","CD"
"13428","2473","15171","CD"
"13747","2475","15161","CD"
"13910","2476","15141","CD"
"13979","2477","15131","CD"
"14051","2478","15121","CD"
"14167","2479","15111","CD"
"14856","2483","07121","CD"
"14918","2484","07111","CD"
"15022","2486","08131","CD"
"15095","2487","08111","CD"
"15159","2488","08121","CD"
"15242","2489","08141","CD"
"15336","2490","04111","CD"
"15367","2491","02111","CD"
"15447","2492","02121","CD"
"16058","2496","09123","CD"
"32","2402010","11141","CSD"
"34","2402015","11141","CSD"
"41","2402028","11141","CSD"
"56","2402047","11141","CSD"
"63","2402902","11141","CSD"
"64","2403005","11132","CSD"
"88","2403010","11131","CSD"
"91","2403015","11131","CSD"
"93","2403020","11131","CSD"
"98","2403025","11133","CSD"
"103","2403902","11132","CSD"
"107","2403904","11132","CSD"
"110","2404005","11131","CSD"
"112","2404010","11121","CSD"
"116","2404015","11121","CSD"
"117","2404020","11121","CSD"
"118","2404025","11121","CSD"
"119","2404030","11121","CSD"
"120","2404037","11121","CSD"
"136","2404047","11121","CSD"
"145","2404902","11121","CSD"
"150","2404904","11121","CSD"
"1084","2422005","03131","CSD"
"1092","2422010","03131","CSD"
"1095","2422015","03131","CSD"
"1097","2422020","03131","CSD"
"1105","2422025","03131","CSD"
"1112","2422030","03132","CSD"
"1115","2422035","03132","CSD"
"1127","2422040","03132","CSD"
"1141","2422045","03133","CSD"
"1151","2422902","03132","CSD"
"1154","2423015","03125","CSD"
"2215","2423057","03121","CSD"
"2254","2423072","03121","CSD"
"2287","2423802","03131","CSD"
"2547","2426005","12115","CSD"
"2550","2426010","12115","CSD"
"2553","2426015","12115","CSD"
"2562","2426022","12115","CSD"
"2566","2426030","12115","CSD"
"2584","2426035","12115","CSD"
"2587","2426040","12115","CSD"
"2589","2426048","12115","CSD"
"2595","2426055","12115","CSD"
"2602","2426063","12115","CSD"
"2609","2426070","12112","CSD"
"3660","2437205","04122","CSD"
"3664","2437210","04122","CSD"
"3666","2437215","04122","CSD"
"3668","2437220","04122","CSD"
"3673","2437225","04122","CSD"
"3674","2437230","04122","CSD"
"3684","2437235","04141","CSD"
"3697","2437240","04122","CSD"
"3703","2437245","04122","CSD"
"3706","2437250","04122","CSD"
"4543","2446005","05111","CSD"
"4544","2446010","05111","CSD"
"4546","2446017","05111","CSD"
"4549","2446025","05111","CSD"
"4551","2446030","05111","CSD"
"4552","2446035","05111","CSD"
"4557","2446040","05111","CSD"
"4559","2446045","05111","CSD"
"4561","2446050","05111","CSD"
"4567","2446058","05111","CSD"
"4576","2446065","05111","CSD"
"4579","2446070","05111","CSD"
"4580","2446075","05111","CSD"
"4599","2446078","05121","CSD"
"4609","2446080","05111","CSD"
"4636","2446085","05111","CSD"
"4637","2446090","05111","CSD"
"4645","2446095","05111","CSD"
"4646","2446100","05111","CSD"
"4648","2446105","05111","CSD"
"4651","2446112","05111","CSD"
"5169","2451008","04131","CSD"
"5175","2451015","04131","CSD"
"5187","2451020","04131","CSD"
"5193","2451025","04131","CSD"
"5198","2451030","04131","CSD"
"5200","2451035","04131","CSD"
"5202","2451040","04131","CSD"
"5205","2451045","04131","CSD"
"5208","2451050","04131","CSD"
"5210","2451055","04131","CSD"
"5211","2451060","04131","CSD"
"5216","2451065","04131","CSD"
"5226","2451070","04141","CSD"
"5230","2451075","04141","CSD"
"5235","2451080","04141","CSD"
"5238","2451085","04141","CSD"
"5251","2451090","04151","CSD"
"5633","2455008","05111","CSD"
"5643","2455015","05121","CSD"
"5655","2455023","16121","CSD"
"5666","2455030","16121","CSD"
"5669","2455037","16121","CSD"
"5676","2455048","16121","CSD"
"5691","2455057","16121","CSD"
"5700","2455065","16121","CSD"
"5710","2456005","16122","CSD"
"5712","2456010","16122","CSD"
"5714","2456015","16122","CSD"
"5716","2456023","16122","CSD"
"5724","2456030","16122","CSD"
"5726","2456035","16122","CSD"
"5730","2456042","16122","CSD"
"5734","2456050","16122","CSD"
"5737","2456055","16122","CSD"
"5742","2456060","16122","CSD"
"5746","2456065","16122","CSD"
"5760","2456083","16122","CSD"
"5945","2456097","16122","CSD"
"5951","2456105","05111","CSD"
"5958","2457005","16121","CSD"
"5996","2457010","16121","CSD"
"6015","2457020","16221","CSD"
"6039","2457025","16221","CSD"
"6048","2457030","16221","CSD"
"6065","2457033","16221","CSD"
"6073","2457035","16221","CSD"
"6099","2457040","16221","CSD"
"6137","2457045","16221","CSD"
"6143","2457050","16221","CSD"
"6146","2457057","16221","CSD"
"6150","2457068","16221","CSD"
"6159","2457075","16221","CSD"
"6163","2458007","16111","CSD"
"6298","2458012","16111","CSD"
"6346","2458033","16213","CSD"
"6428","2458037","16221","CSD"
"8625","2466007","06523","CSD"
"12000","2466032","06225","CSD"
"12042","2466047","06212","CSD"
"12055","2466058","06211","CSD"
"12122","2466062","06211","CSD"
