"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33"
"2401023",12490.00,12470.00,2105.00,10360.00,25.00,12490.00,12440.00,40.00,0.00,10900.00,4030.00,1935.00,4940.00,10900.00,6790.00,5630.00,1160.00,4115.00,5455.00,4875.00,315.00,65.00,165.00,10.00,20.00,12490.00,2110.00,8205.00,2175.00,1800.00,180.00,755.00,865.00
"2402005",3310.00,3305.00,425.00,2885.00,0.00,3310.00,3270.00,45.00,0.00,3000.00,1410.00,720.00,870.00,3000.00,1405.00,1155.00,245.00,1595.00,1095.00,1040.00,0.00,0.00,20.00,0.00,0.00,3310.00,420.00,2045.00,840.00,885.00,115.00,425.00,345.00
"2402010",1060.00,1065.00,195.00,870.00,0.00,1065.00,1050.00,0.00,0.00,915.00,450.00,175.00,295.00,915.00,425.00,390.00,40.00,495.00,370.00,350.00,0.00,0.00,0.00,0.00,0.00,1065.00,195.00,700.00,170.00,310.00,60.00,215.00,40.00
"2402015",3430.00,3425.00,575.00,2850.00,0.00,3430.00,3415.00,15.00,0.00,3010.00,1360.00,765.00,880.00,3010.00,1365.00,1180.00,185.00,1645.00,1145.00,1095.00,0.00,0.00,30.00,0.00,0.00,3425.00,575.00,2135.00,710.00,810.00,70.00,445.00,295.00
"2402028",7570.00,7560.00,1130.00,6430.00,0.00,7565.00,7535.00,35.00,0.00,6685.00,2475.00,1400.00,2805.00,6680.00,3325.00,2730.00,595.00,3355.00,2575.00,2340.00,75.00,25.00,105.00,0.00,35.00,7570.00,1125.00,4840.00,1600.00,1450.00,190.00,860.00,400.00
"2402047",2465.00,2470.00,420.00,2045.00,0.00,2465.00,2460.00,0.00,0.00,2135.00,720.00,620.00,790.00,2135.00,935.00,750.00,185.00,1195.00,710.00,635.00,40.00,15.00,0.00,0.00,0.00,2465.00,420.00,1495.00,555.00,750.00,140.00,435.00,180.00
"2403005",14740.00,14685.00,2565.00,12120.00,55.00,14740.00,14600.00,140.00,0.00,12705.00,3610.00,2560.00,6540.00,12705.00,7940.00,7160.00,780.00,4765.00,6915.00,6055.00,355.00,20.00,380.00,0.00,95.00,14740.00,2570.00,9620.00,2555.00,2165.00,390.00,1155.00,615.00
"2403010",740.00,735.00,50.00,685.00,0.00,735.00,735.00,0.00,0.00,720.00,315.00,185.00,225.00,720.00,340.00,290.00,50.00,380.00,270.00,215.00,40.00,0.00,0.00,0.00,0.00,735.00,50.00,485.00,200.00,140.00,0.00,65.00,65.00
"2403015",175.00,175.00,45.00,130.00,0.00,175.00,180.00,0.00,0.00,140.00,15.00,35.00,95.00,145.00,60.00,30.00,30.00,85.00,30.00,25.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
"2403020",1110.00,1115.00,210.00,900.00,0.00,1110.00,1115.00,0.00,0.00,955.00,300.00,200.00,455.00,955.00,535.00,445.00,95.00,415.00,405.00,310.00,0.00,0.00,80.00,0.00,0.00,1110.00,210.00,740.00,160.00,135.00,0.00,80.00,55.00
