"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11"
"01",33968300.00,6836375.00,21695090.00,4809940.00,1163825.00,2855290.00,790820.00,3128995.00,696025.00,2157745.00,275225.00
"10",509340.00,89425.00,324715.00,78590.00,15920.00,40420.00,22250.00,29200.00,6065.00,21880.00,1260.00
"11",139090.00,27505.00,85800.00,23455.00,5975.00,12380.00,5100.00,8730.00,2040.00,6210.00,475.00
"12",898345.00,159820.00,565400.00,154955.00,35525.00,88355.00,31075.00,70750.00,15285.00,52220.00,3240.00
"13",722555.00,131930.00,452800.00,123820.00,29250.00,66740.00,27830.00,49825.00,11520.00,35675.00,2630.00
"24",7921505.00,1564410.00,5021875.00,1160195.00,222955.00,688130.00,249110.00,731340.00,129325.00,514540.00,87475.00
"35",13184055.00,2656535.00,8418965.00,1898975.00,489905.00,1155315.00,253755.00,1298585.00,304390.00,887645.00,106555.00
"46",1175715.00,260905.00,737035.00,180880.00,57185.00,98915.00,24785.00,115965.00,33260.00,73655.00,9045.00
"47",1014605.00,230200.00,631280.00,130220.00,41015.00,67080.00,22130.00,59435.00,17865.00,38775.00,2790.00
"48",3925220.00,893255.00,2580735.00,363885.00,114220.00,210870.00,38800.00,273515.00,76930.00,181805.00,14780.00
"59",4477875.00,822390.00,2876495.00,694960.00,151880.00,427090.00,115990.00,491645.00,99330.00,345345.00,46965.00
"60",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"61",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"62",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
