"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39","COL40","COL41","COL42","COL43","COL44","COL45","COL46","COL47","COL48","COL49","COL50","COL51","COL52","COL53","COL54","COL55","COL56","COL57","COL58","COL59","COL60","COL61","COL62","COL63","COL64","COL65","COL66","COL67","COL68","COL69","COL70","COL71","COL72","COL73","COL74","COL75","COL76","COL77","COL78","COL79","COL80","COL81","COL82","COL83","COL84","COL85","COL86","COL87","COL88","COL89","COL90","COL91","COL92","COL93","COL94","COL95","COL96","COL97","COL98","COL99","COL100","COL101","COL102","COL103","COL104","COL105","COL106","COL107"
"01",35151730.00,5839570.00,23376530.00,5935635.00,17264200.00,2992925.00,973030.00,1034685.00,985200.00,11576130.00,1039215.00,1144495.00,1144475.00,1148295.00,1118635.00,1104440.00,1157755.00,1318755.00,1285190.00,1114880.00,2695145.00,953075.00,677975.00,469545.00,325765.00,268790.00,185530.00,68675.00,13245.00,1340.00,40.10,17887530.00,2846645.00,925755.00,983445.00,937445.00,11800400.00,986945.00,1098205.00,1141515.00,1181105.00,1169730.00,1150695.00,1202210.00,1359320.00,1335055.00,1175630.00,3240485.00,1019405.00,742905.00,552305.00,423880.00,501990.00,296990.00,154830.00,43280.00,6890.00,41.90,14072080.00,9218225.00,3782090.00,5436135.00,301720.00,4552135.00,3969790.00,582345.00,34767250.00,23757525.00,4144690.00,6216070.00,648975.00,3128995.00,696025.00,9.20,10.20,34460060.00,32034585.00,6652795.00,25381790.00,2425480.00,34460065.00,26412615.00,7540830.00,506625.00,14072075.00,9541320.00,4474530.00,56230.00,28643015.00,5239575.00,7576395.00,15827040.00,28643015.00,18672470.00,17230040.00,1442435.00,9970545.00,15878940.00,11748095.00,868920.00,1968220.00,877985.00,222135.00,193590.00,13798305.00,10472360.00,3325950.00
"10",519715.00,74440.00,344245.00,101030.00,253925.00,38200.00,11435.00,13435.00,13335.00,168550.00,13980.00,13915.00,14095.00,14185.00,14555.00,16745.00,18745.00,20730.00,21035.00,20570.00,47170.00,18310.00,12725.00,8015.00,4885.00,3245.00,2300.00,790.00,135.00,15.00,42.90,265790.00,36240.00,10930.00,12610.00,12700.00,175695.00,13275.00,13785.00,14150.00,15220.00,16190.00,17765.00,19920.00,21890.00,22045.00,21460.00,53855.00,19180.00,13445.00,8930.00,6175.00,6120.00,3870.00,1700.00,475.00,75.00,44.40,218675.00,154090.00,73210.00,80880.00,3425.00,61155.00,53750.00,7400.00,515680.00,488800.00,120.00,25940.00,820.00,29200.00,6065.00,5.70,6.80,512250.00,503160.00,88800.00,414360.00,9090.00,512250.00,496405.00,12075.00,3765.00,218670.00,167700.00,50530.00,445.00,437935.00,102665.00,109480.00,225785.00,437935.00,256850.00,216705.00,40150.00,181080.00,206090.00,167405.00,16255.00,5180.00,10005.00,310.00,6925.00,217560.00,180060.00,37500.00
"11",142905.00,22685.00,92510.00,27710.00,69305.00,11570.00,3645.00,3985.00,3945.00,45090.00,4435.00,4390.00,3700.00,3735.00,3885.00,4235.00,4650.00,5425.00,5415.00,5215.00,12640.00,4830.00,3170.00,2180.00,1440.00,1020.00,715.00,260.00,45.00,5.00,41.70,73600.00,11115.00,3360.00,3925.00,3835.00,47415.00,4215.00,4230.00,3950.00,4020.00,4290.00,4585.00,4915.00,5825.00,5915.00,5475.00,15070.00,5110.00,3455.00,2520.00,1930.00,2060.00,1180.00,645.00,205.00,25.00,43.60,59475.00,40225.00,18400.00,21825.00,735.00,18515.00,16295.00,2220.00,141015.00,121815.00,115.00,17835.00,1250.00,8730.00,2040.00,6.30,7.40,139685.00,133655.00,26415.00,107235.00,6030.00,139685.00,129405.00,8940.00,1345.00,59470.00,41785.00,17575.00,115.00,117050.00,22425.00,31810.00,62815.00,117050.00,77680.00,68115.00,9560.00,39375.00,63065.00,53200.00,4730.00,815.00,3380.00,305.00,635.00,58240.00,47390.00,10850.00
"12",923595.00,133825.00,605950.00,183820.00,446885.00,68370.00,21365.00,23655.00,23355.00,295105.00,26240.00,28145.00,26790.00,25130.00,24560.00,27245.00,29715.00,36610.00,36925.00,33735.00,83410.00,30810.00,21525.00,14520.00,9425.00,7140.00,4845.00,1835.00,415.00,40.00,42.50,476715.00,65460.00,20645.00,22325.00,22490.00,310845.00,25015.00,28010.00,26935.00,26600.00,27450.00,29800.00,32170.00,39065.00,39575.00,36225.00,100405.00,32900.00,23480.00,17025.00,12490.00,14505.00,8360.00,4485.00,1430.00,230.00,44.40,401990.00,260280.00,124000.00,136280.00,5290.00,136420.00,118670.00,17750.00,912300.00,813480.00,705.00,95380.00,2735.00,70750.00,15285.00,7.90,9.60,908340.00,878410.00,159440.00,718970.00,29925.00,908340.00,842760.00,55680.00,9900.00,401990.00,276100.00,123595.00,2300.00,774750.00,153705.00,195905.00,425140.00,774750.00,474595.00,427315.00,47285.00,300155.00,397570.00,310240.00,29150.00,25315.00,24865.00,2480.00,5520.00,395855.00,310545.00,85320.00
"13",747100.00,110500.00,487820.00,148785.00,365360.00,56320.00,17510.00,19515.00,19295.00,240535.00,20900.00,21275.00,19740.00,20140.00,21590.00,23520.00,25195.00,29795.00,30205.00,28165.00,68505.00,25590.00,17695.00,11840.00,7515.00,5860.00,3910.00,1595.00,330.00,30.00,42.70,381745.00,54175.00,16860.00,18735.00,18585.00,247285.00,19705.00,20165.00,19500.00,21370.00,22850.00,24905.00,26105.00,31260.00,31530.00,29895.00,80285.00,26565.00,18360.00,13465.00,10135.00,11765.00,6760.00,3710.00,1105.00,180.00,44.50,319775.00,214235.00,102165.00,112070.00,4280.00,101255.00,89480.00,11775.00,736285.00,420820.00,63140.00,249950.00,2370.00,49825.00,11520.00,6.90,8.70,730710.00,710780.00,130785.00,579995.00,19930.00,730705.00,692535.00,33810.00,4360.00,319775.00,238045.00,79865.00,1865.00,620395.00,136745.00,176750.00,306900.00,620395.00,381795.00,339045.00,42740.00,238600.00,318285.00,266040.00,24455.00,7290.00,14655.00,1205.00,4645.00,314325.00,261385.00,52935.00
"24",8164365.00,1333255.00,5335910.00,1495190.00,4016760.00,682540.00,227965.00,240230.00,214340.00,2664630.00,219070.00,252600.00,248030.00,256435.00,274595.00,254100.00,260405.00,309065.00,314190.00,276140.00,669585.00,236400.00,176905.00,116015.00,78390.00,61885.00,43795.00,15150.00,2685.00,255.00,40.90,4147605.00,650720.00,216970.00,228940.00,204815.00,2671280.00,210755.00,247500.00,247385.00,259070.00,275945.00,252425.00,259020.00,310370.00,322285.00,286535.00,825605.00,251780.00,196690.00,140890.00,109445.00,126800.00,76840.00,38015.00,10350.00,1600.00,42.90,3531665.00,2197340.00,947305.00,1250040.00,29595.00,1304725.00,1175230.00,129495.00,8066560.00,372450.00,4032640.00,3586405.00,75065.00,731340.00,129325.00,9.20,8.30,7965450.00,7585540.00,1521230.00,6064315.00,379910.00,7965450.00,6788085.00,1091305.00,86060.00,3531665.00,2163735.00,1362010.00,5920.00,6634280.00,1323065.00,1426985.00,3884235.00,6634280.00,4255495.00,3949330.00,306170.00,2378780.00,3672440.00,2739405.00,133760.00,503290.00,205355.00,54625.00,36010.00,3496460.00,2763110.00,733355.00
"35",13448495.00,2207970.00,8988870.00,2251655.00,6559390.00,1131620.00,357300.00,387320.00,387000.00,4412115.00,416730.00,457820.00,436345.00,420800.00,402895.00,418470.00,453110.00,517170.00,482280.00,406505.00,1015655.00,352470.00,250460.00,179810.00,126825.00,106090.00,73045.00,27400.00,5150.00,490.00,40.00,6889100.00,1076355.00,340060.00,368765.00,367530.00,4576750.00,394940.00,436570.00,438005.00,443970.00,439580.00,453410.00,484275.00,539175.00,507180.00,439640.00,1236000.00,385275.00,278185.00,213200.00,164360.00,194985.00,115420.00,60990.00,16055.00,2520.00,41.90,5169175.00,3481890.00,1311575.00,2170315.00,145615.00,1541665.00,1341305.00,200365.00,13312865.00,11455495.00,40045.00,1490395.00,326935.00,1298585.00,304390.00,9.80,11.50,13242160.00,12223065.00,2546075.00,9676990.00,1019095.00,13242160.00,9188815.00,3852145.00,201200.00,5169175.00,3601825.00,1559715.00,7630.00,11038440.00,1935360.00,3026095.00,6076985.00,11038440.00,7141675.00,6612150.00,529525.00,3896765.00,6092715.00,4375215.00,372475.00,888920.00,320015.00,75460.00,60625.00,5106285.00,3694385.00,1411900.00
"46",1278365.00,243825.00,835575.00,198965.00,631395.00,125115.00,41710.00,42565.00,40835.00,417260.00,42550.00,44465.00,43570.00,42215.00,39885.00,39535.00,39225.00,44485.00,43550.00,37780.00,89020.00,31280.00,21940.00,15250.00,10740.00,9815.00,6460.00,2710.00,580.00,65.00,38.20,646970.00,118710.00,39355.00,40810.00,38545.00,418315.00,39890.00,42295.00,43120.00,42975.00,41215.00,39790.00,40130.00,45355.00,44215.00,39325.00,109945.00,33625.00,24040.00,18305.00,14575.00,19395.00,10870.00,6235.00,1940.00,355.00,40.20,489050.00,323125.00,130475.00,192645.00,11115.00,154810.00,135500.00,19315.00,1261615.00,1135395.00,1485.00,108455.00,16285.00,115965.00,33260.00,9.90,12.70,1240695.00,1133080.00,266225.00,866860.00,107620.00,1240700.00,996860.00,227465.00,16375.00,489050.00,336170.00,140260.00,12615.00,1001310.00,220390.00,296360.00,484560.00,1001305.00,662150.00,617465.00,44690.00,339155.00,573000.00,431755.00,40590.00,53740.00,32330.00,8170.00,6410.00,461870.00,373860.00,88010.00
"47",1098355.00,215685.00,712245.00,170425.00,545785.00,110405.00,37335.00,38150.00,34915.00,358110.00,34675.00,36075.00,39290.00,38605.00,35940.00,32515.00,31780.00,37225.00,38065.00,33935.00,77270.00,26285.00,18225.00,13415.00,9950.00,9390.00,6305.00,2515.00,525.00,50.00,38.20,552565.00,105280.00,35795.00,36305.00,33175.00,354135.00,32980.00,33990.00,38235.00,38915.00,35650.00,32440.00,31795.00,38015.00,38125.00,33985.00,93160.00,26945.00,19510.00,15985.00,13170.00,17550.00,9975.00,5485.00,1760.00,320.00,40.00,432620.00,285675.00,124625.00,161060.00,7975.00,138970.00,121175.00,17790.00,1083240.00,1023400.00,530.00,51360.00,7945.00,59435.00,17865.00,5.90,7.80,1070560.00,998035.00,237720.00,760310.00,72525.00,1070560.00,945815.00,112495.00,12255.00,432620.00,311470.00,109680.00,11470.00,857295.00,177210.00,261210.00,418880.00,857295.00,585535.00,544095.00,41445.00,271760.00,483865.00,402405.00,27960.00,13825.00,27120.00,5475.00,7075.00,396795.00,316500.00,80290.00
"48",4067175.00,779155.00,2787800.00,500220.00,2039410.00,399570.00,136525.00,138990.00,124060.00,1408145.00,123620.00,133990.00,156710.00,167550.00,153655.00,142550.00,135855.00,142205.00,138570.00,113440.00,231690.00,85505.00,56425.00,39110.00,27585.00,23060.00,16050.00,5755.00,1145.00,115.00,37.20,2027765.00,379585.00,130000.00,131725.00,117860.00,1379655.00,116415.00,127840.00,154230.00,165620.00,151850.00,138660.00,133180.00,142105.00,136970.00,112790.00,268530.00,88180.00,60610.00,44845.00,34575.00,40320.00,23915.00,12270.00,3595.00,540.00,38.40,1527675.00,1039990.00,414575.00,625415.00,36120.00,451575.00,366080.00,85490.00,4026650.00,3698765.00,3895.00,264715.00,59280.00,273515.00,76930.00,7.00,8.60,3978145.00,3622740.00,854815.00,2767920.00,355405.00,3978145.00,3062780.00,845215.00,70155.00,1527680.00,1105795.00,412150.00,9730.00,3206045.00,540665.00,895880.00,1769500.00,3206050.00,2302940.00,2096110.00,206830.00,903105.00,1927375.00,1497435.00,99640.00,194560.00,85800.00,21920.00,28015.00,1479270.00,1170780.00,308490.00
