"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39","COL40","COL41","COL42","COL43","COL44","COL45","COL46","COL47","COL48","COL49","COL50","COL51","COL52","COL53","COL54","COL55","COL56","COL57","COL58","COL59","COL60","COL61","COL62","COL63","COL64","COL65","COL66","COL67","COL68","COL69","COL70","COL71","COL72","COL73","COL74","COL75","COL76","COL77","COL78","COL79","COL80","COL81"
"2401023","01","Les Îles-de-la-Madeleine","023","Les Îles-de-la-Madeleine ",5815.00,670.00,210.00,225.00,245.00,3785.00,250.00,285.00,225.00,260.00,265.00,300.00,410.00,600.00,590.00,595.00,1355.00,530.00,355.00,225.00,155.00,90.00,60.00,25.00,10.00,0.00,47.40,6190.00,685.00,205.00,230.00,255.00,3940.00,235.00,265.00,240.00,270.00,305.00,355.00,455.00,595.00,655.00,565.00,1570.00,505.00,390.00,280.00,195.00,195.00,125.00,45.00,20.00,5.00,48.60,11890.00,115.00,9095.00,2670.00,0.00,245.00,20.00,10370.00,3115.00,1895.00,5360.00,10375.00,6425.00,5630.00,795.00,3945.00,5320.00,4785.00,215.00,45.00,165.00,20.00,90.00
"2401042","01","Les Îles-de-la-Madeleine","042","Grosse-Île ",245.00,25.00,5.00,5.00,15.00,170.00,20.00,10.00,10.00,5.00,15.00,20.00,10.00,30.00,30.00,20.00,50.00,20.00,15.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,45.30,220.00,25.00,5.00,10.00,5.00,155.00,10.00,15.00,10.00,10.00,5.00,15.00,25.00,25.00,20.00,15.00,35.00,15.00,5.00,10.00,0.00,5.00,0.00,0.00,0.00,0.00,45.20,465.00,315.00,15.00,135.00,0.00,20.00,0.00,415.00,180.00,90.00,145.00,415.00,280.00,270.00,10.00,135.00,255.00,215.00,40.00,10.00,0.00,0.00,0.00
"2402005","02","Le Rocher-Percé","005","Percé ",1565.00,160.00,55.00,65.00,45.00,995.00,55.00,70.00,50.00,50.00,85.00,95.00,115.00,125.00,185.00,165.00,415.00,150.00,125.00,65.00,50.00,25.00,15.00,5.00,5.00,0.00,49.40,1535.00,160.00,65.00,45.00,50.00,910.00,50.00,60.00,55.00,60.00,80.00,80.00,90.00,95.00,180.00,165.00,465.00,160.00,110.00,75.00,75.00,50.00,30.00,10.00,5.00,0.00,50.90,3075.00,380.00,1860.00,835.00,0.00,80.00,5.00,2740.00,1150.00,595.00,995.00,2745.00,1370.00,1040.00,330.00,1370.00,955.00,855.00,40.00,0.00,30.00,0.00,15.00
"2402010","02","Le Rocher-Percé","010","Sainte-Thérèse-de-Gaspé ",515.00,55.00,15.00,20.00,25.00,340.00,15.00,15.00,20.00,30.00,25.00,30.00,25.00,50.00,70.00,50.00,125.00,45.00,40.00,10.00,15.00,5.00,5.00,5.00,0.00,0.00,48.50,500.00,40.00,20.00,15.00,15.00,335.00,20.00,20.00,25.00,20.00,35.00,20.00,15.00,60.00,60.00,60.00,120.00,30.00,35.00,20.00,15.00,10.00,10.00,5.00,0.00,0.00,49.10,1010.00,5.00,910.00,95.00,0.00,20.00,0.00,915.00,385.00,205.00,330.00,915.00,545.00,480.00,65.00,365.00,450.00,420.00,10.00,0.00,15.00,0.00,10.00
"2402015","02","Le Rocher-Percé","015","Grande-Rivière ",1660.00,185.00,55.00,75.00,50.00,1095.00,90.00,75.00,60.00,85.00,65.00,95.00,115.00,165.00,175.00,185.00,380.00,140.00,105.00,65.00,30.00,35.00,15.00,10.00,0.00,0.00,47.40,1750.00,180.00,60.00,60.00,55.00,1140.00,85.00,75.00,80.00,50.00,85.00,110.00,130.00,160.00,175.00,185.00,430.00,140.00,100.00,80.00,50.00,55.00,40.00,10.00,5.00,0.00,48.40,3405.00,5.00,2970.00,435.00,0.00,195.00,20.00,3035.00,1250.00,635.00,1160.00,3035.00,1535.00,1330.00,200.00,1505.00,1285.00,1180.00,20.00,10.00,55.00,10.00,20.00
"2402028","02","Le Rocher-Percé","028","Chandler ",3675.00,450.00,115.00,165.00,175.00,2275.00,190.00,160.00,115.00,150.00,185.00,190.00,210.00,315.00,365.00,395.00,955.00,360.00,265.00,165.00,90.00,85.00,60.00,15.00,10.00,0.00,48.00,3870.00,395.00,125.00,140.00,130.00,2285.00,165.00,145.00,140.00,145.00,180.00,215.00,260.00,290.00,375.00,370.00,1190.00,385.00,260.00,210.00,155.00,180.00,110.00,55.00,15.00,5.00,50.60,7395.00,25.00,6010.00,1355.00,0.00,330.00,45.00,6555.00,2145.00,1430.00,2980.00,6555.00,3215.00,2850.00,360.00,3340.00,2695.00,2385.00,110.00,25.00,120.00,0.00,55.00
"2402047","02","Le Rocher-Percé","047","Port-Daniel--Gascons ",1135.00,115.00,30.00,50.00,35.00,690.00,50.00,45.00,45.00,35.00,50.00,65.00,80.00,105.00,115.00,115.00,330.00,100.00,90.00,65.00,40.00,30.00,25.00,5.00,5.00,0.00,50.00,1075.00,120.00,25.00,45.00,50.00,620.00,40.00,55.00,30.00,25.00,45.00,60.00,70.00,85.00,85.00,120.00,335.00,95.00,75.00,75.00,45.00,45.00,25.00,10.00,10.00,0.00,50.70,2210.00,155.00,1670.00,385.00,0.00,75.00,5.00,1940.00,755.00,435.00,745.00,1940.00,945.00,770.00,170.00,995.00,735.00,625.00,45.00,0.00,40.00,0.00,10.00
"2402902","02","Le Rocher-Percé","902","Mont-Alexandre ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2403005","03","La Côte-de-Gaspé","005","Gaspé ",7100.00,1010.00,305.00,360.00,345.00,4690.00,350.00,330.00,340.00,390.00,395.00,360.00,440.00,620.00,740.00,725.00,1390.00,545.00,335.00,230.00,150.00,140.00,110.00,30.00,5.00,0.00,44.80,7475.00,985.00,325.00,360.00,300.00,4760.00,335.00,340.00,365.00,385.00,425.00,385.00,445.00,645.00,780.00,655.00,1720.00,515.00,410.00,290.00,250.00,260.00,170.00,70.00,15.00,0.00,46.40,14305.00,585.00,9025.00,4690.00,0.00,495.00,65.00,12200.00,3315.00,2140.00,6745.00,12200.00,7235.00,6400.00,830.00,4970.00,6055.00,5435.00,285.00,30.00,205.00,10.00,90.00
"2403010","03","La Côte-de-Gaspé","010","Cloridorme ",335.00,30.00,10.00,5.00,10.00,200.00,10.00,10.00,5.00,10.00,10.00,15.00,15.00,25.00,50.00,45.00,100.00,30.00,30.00,20.00,15.00,10.00,10.00,0.00,0.00,0.00,52.60,335.00,25.00,0.00,10.00,5.00,200.00,5.00,5.00,10.00,10.00,10.00,15.00,20.00,40.00,45.00,45.00,110.00,35.00,30.00,20.00,15.00,15.00,10.00,5.00,0.00,0.00,55.20,670.00,5.00,620.00,50.00,0.00,25.00,5.00,615.00,270.00,150.00,195.00,615.00,310.00,245.00,65.00,300.00,230.00,185.00,10.00,0.00,35.00,0.00,0.00
"2403015","03","La Côte-de-Gaspé","015","Petite-Vallée ",85.00,10.00,0.00,5.00,5.00,50.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,10.00,10.00,10.00,30.00,15.00,0.00,5.00,5.00,5.00,5.00,0.00,0.00,0.00,53.00,85.00,10.00,0.00,5.00,0.00,50.00,5.00,0.00,5.00,5.00,5.00,5.00,5.00,5.00,15.00,5.00,30.00,10.00,5.00,10.00,5.00,5.00,0.00,0.00,0.00,0.00,54.70,170.00,0.00,135.00,35.00,0.00,,,160.00,60.00,30.00,70.00,160.00,55.00,55.00,0.00,100.00,55.00,55.00,0.00,0.00,0.00,0.00,0.00
"2403020","03","La Côte-de-Gaspé","020","Grande-Vallée ",535.00,60.00,15.00,20.00,25.00,340.00,25.00,20.00,15.00,20.00,20.00,25.00,20.00,55.00,65.00,75.00,140.00,55.00,30.00,30.00,15.00,5.00,5.00,0.00,0.00,0.00,49.80,525.00,50.00,20.00,15.00,15.00,320.00,25.00,20.00,15.00,15.00,20.00,25.00,40.00,45.00,65.00,55.00,155.00,60.00,30.00,15.00,25.00,25.00,10.00,10.00,0.00,0.00,51.40,1060.00,0.00,940.00,120.00,0.00,35.00,5.00,910.00,280.00,185.00,440.00,910.00,450.00,365.00,85.00,460.00,325.00,270.00,10.00,0.00,40.00,0.00,0.00
"2403025","03","La Côte-de-Gaspé","025","Murdochville ",335.00,50.00,10.00,15.00,20.00,205.00,15.00,10.00,10.00,15.00,15.00,20.00,20.00,25.00,25.00,35.00,80.00,35.00,30.00,15.00,5.00,5.00,0.00,0.00,0.00,0.00,46.00,315.00,40.00,10.00,20.00,5.00,195.00,25.00,10.00,10.00,5.00,20.00,20.00,10.00,20.00,30.00,35.00,80.00,25.00,25.00,15.00,10.00,10.00,5.00,0.00,5.00,0.00,47.60,650.00,5.00,480.00,160.00,0.00,20.00,0.00,570.00,185.00,90.00,295.00,570.00,320.00,260.00,60.00,255.00,235.00,200.00,10.00,0.00,25.00,0.00,0.00
"2403902","03","La Côte-de-Gaspé","902","Rivière-Saint-Jean ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2403904","03","La Côte-de-Gaspé","904","Collines-du-Basque ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2404005","04","La Haute-Gaspésie","005","Sainte-Madeleine-de-la-Rivière-Madeleine ",145.00,10.00,0.00,5.00,5.00,70.00,5.00,0.00,5.00,5.00,5.00,5.00,10.00,15.00,15.00,20.00,60.00,30.00,5.00,15.00,5.00,5.00,5.00,0.00,0.00,0.00,57.00,140.00,5.00,0.00,0.00,0.00,80.00,5.00,5.00,0.00,5.00,0.00,5.00,10.00,10.00,15.00,20.00,55.00,20.00,10.00,10.00,10.00,5.00,5.00,0.00,0.00,0.00,59.00,285.00,0.00,250.00,40.00,0.00,10.00,0.00,270.00,85.00,65.00,125.00,270.00,65.00,40.00,25.00,210.00,40.00,30.00,0.00,10.00,0.00,0.00,0.00
"2404010","04","La Haute-Gaspésie","010","Saint-Maxime-du-Mont-Louis ",570.00,60.00,20.00,15.00,25.00,365.00,30.00,25.00,30.00,15.00,45.00,35.00,40.00,50.00,50.00,65.00,145.00,60.00,40.00,25.00,15.00,10.00,10.00,0.00,0.00,0.00,47.70,565.00,75.00,25.00,30.00,20.00,330.00,25.00,15.00,20.00,20.00,35.00,25.00,40.00,30.00,60.00,65.00,155.00,50.00,40.00,25.00,20.00,15.00,15.00,5.00,0.00,0.00,48.70,1110.00,0.00,975.00,135.00,0.00,50.00,5.00,940.00,405.00,185.00,350.00,935.00,470.00,380.00,95.00,465.00,350.00,285.00,10.00,10.00,40.00,0.00,10.00
"2404015","04","La Haute-Gaspésie","015","Mont-Saint-Pierre ",75.00,5.00,0.00,0.00,5.00,40.00,0.00,0.00,0.00,5.00,5.00,5.00,5.00,5.00,10.00,5.00,30.00,10.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,56.20,80.00,5.00,0.00,0.00,0.00,40.00,5.00,0.00,5.00,5.00,0.00,5.00,5.00,10.00,10.00,10.00,35.00,10.00,5.00,10.00,10.00,5.00,0.00,0.00,0.00,0.00,58.70,155.00,0.00,135.00,25.00,0.00,,,130.00,55.00,35.00,45.00,135.00,65.00,40.00,25.00,65.00,35.00,30.00,0.00,0.00,0.00,10.00,0.00
"2404020","04","La Haute-Gaspésie","020","Rivière-à-Claude ",65.00,5.00,0.00,0.00,0.00,35.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,15.00,5.00,30.00,15.00,5.00,5.00,5.00,5.00,0.00,5.00,0.00,0.00,60.60,65.00,5.00,0.00,0.00,0.00,25.00,0.00,5.00,0.00,0.00,5.00,0.00,10.00,5.00,5.00,5.00,30.00,15.00,5.00,5.00,5.00,5.00,5.00,0.00,0.00,0.00,58.50,125.00,5.00,100.00,25.00,0.00,,,125.00,50.00,0.00,75.00,120.00,45.00,35.00,10.00,75.00,35.00,30.00,0.00,0.00,0.00,0.00,0.00
"2404025","04","La Haute-Gaspésie","025","Marsoui ",155.00,15.00,5.00,5.00,10.00,95.00,5.00,5.00,10.00,5.00,5.00,10.00,10.00,10.00,10.00,25.00,40.00,20.00,5.00,5.00,0.00,5.00,5.00,0.00,0.00,0.00,50.10,120.00,10.00,5.00,0.00,5.00,75.00,0.00,0.00,5.00,5.00,10.00,5.00,10.00,5.00,10.00,15.00,35.00,20.00,5.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,50.40,275.00,0.00,250.00,20.00,0.00,10.00,0.00,225.00,75.00,45.00,100.00,220.00,140.00,120.00,20.00,80.00,115.00,100.00,0.00,10.00,10.00,0.00,0.00
"2404030","04","La Haute-Gaspésie","030","La Martre ",125.00,15.00,5.00,5.00,5.00,80.00,5.00,0.00,5.00,10.00,5.00,5.00,5.00,20.00,15.00,10.00,30.00,10.00,10.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,47.10,115.00,15.00,5.00,0.00,5.00,80.00,0.00,0.00,5.00,5.00,10.00,10.00,5.00,15.00,15.00,15.00,25.00,10.00,10.00,5.00,0.00,5.00,5.00,0.00,5.00,0.00,47.10,245.00,0.00,175.00,70.00,0.00,,,230.00,70.00,25.00,140.00,235.00,165.00,90.00,75.00,70.00,60.00,55.00,0.00,0.00,0.00,0.00,0.00
"2404037","04","La Haute-Gaspésie","037","Sainte-Anne-des-Monts ",3100.00,410.00,135.00,150.00,125.00,1970.00,140.00,145.00,125.00,155.00,175.00,165.00,195.00,245.00,300.00,330.00,720.00,285.00,175.00,145.00,65.00,60.00,40.00,20.00,5.00,0.00,46.30,3335.00,405.00,130.00,150.00,125.00,2090.00,150.00,130.00,160.00,190.00,165.00,160.00,190.00,285.00,330.00,335.00,835.00,260.00,195.00,160.00,105.00,120.00,75.00,30.00,15.00,0.00,47.80,6395.00,0.00,5560.00,830.00,0.00,450.00,55.00,5440.00,2020.00,835.00,2590.00,5435.00,2690.00,2185.00,505.00,2750.00,1970.00,1780.00,55.00,20.00,90.00,0.00,25.00
"2404047","04","La Haute-Gaspésie","047","Cap-Chat ",1195.00,140.00,40.00,50.00,45.00,700.00,45.00,40.00,40.00,60.00,55.00,55.00,65.00,85.00,130.00,135.00,360.00,145.00,85.00,55.00,35.00,40.00,30.00,10.00,0.00,0.00,50.10,1285.00,135.00,25.00,55.00,55.00,730.00,45.00,25.00,40.00,50.00,60.00,65.00,55.00,100.00,135.00,145.00,420.00,145.00,80.00,75.00,55.00,65.00,45.00,15.00,10.00,0.00,52.10,2395.00,0.00,2060.00,325.00,5.00,140.00,20.00,2090.00,740.00,425.00,925.00,2090.00,930.00,750.00,175.00,1165.00,710.00,635.00,30.00,10.00,35.00,0.00,0.00
"2404902","04","La Haute-Gaspésie","902","Mont-Albert ",95.00,5.00,5.00,5.00,0.00,65.00,0.00,0.00,5.00,5.00,5.00,5.00,5.00,15.00,5.00,20.00,20.00,10.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,48.70,80.00,10.00,5.00,0.00,5.00,55.00,5.00,5.00,5.00,0.00,5.00,5.00,10.00,5.00,10.00,10.00,15.00,10.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,44.30,180.00,0.00,170.00,10.00,0.00,,,170.00,105.00,15.00,55.00,175.00,75.00,60.00,20.00,100.00,60.00,50.00,10.00,0.00,0.00,0.00,0.00
"2404904","04","La Haute-Gaspésie","904","Coulée-des-Adolphe ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2405010","05","Bonaventure","010","Shigawake ",145.00,20.00,10.00,5.00,5.00,80.00,5.00,0.00,5.00,5.00,10.00,5.00,5.00,5.00,15.00,15.00,45.00,20.00,10.00,5.00,10.00,0.00,0.00,0.00,0.00,0.00,49.20,150.00,15.00,5.00,5.00,10.00,85.00,10.00,0.00,5.00,15.00,5.00,5.00,5.00,10.00,10.00,15.00,45.00,20.00,15.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,49.30,290.00,105.00,75.00,115.00,0.00,10.00,0.00,245.00,75.00,80.00,85.00,245.00,90.00,75.00,15.00,155.00,55.00,40.00,10.00,0.00,10.00,0.00,0.00
"2405015","05","Bonaventure","015","Saint-Godefroi ",185.00,20.00,10.00,5.00,0.00,115.00,5.00,5.00,10.00,10.00,15.00,5.00,10.00,20.00,15.00,25.00,55.00,20.00,15.00,10.00,5.00,5.00,5.00,0.00,0.00,0.00,49.90,195.00,15.00,10.00,5.00,5.00,110.00,5.00,5.00,5.00,5.00,10.00,5.00,15.00,10.00,20.00,20.00,65.00,20.00,5.00,15.00,10.00,10.00,5.00,0.00,0.00,0.00,53.10,380.00,25.00,235.00,120.00,0.00,15.00,0.00,315.00,120.00,65.00,135.00,315.00,110.00,105.00,10.00,205.00,90.00,75.00,0.00,10.00,10.00,0.00,0.00
"2405020","05","Bonaventure","020","Hope Town ",160.00,20.00,5.00,5.00,10.00,105.00,10.00,5.00,10.00,5.00,10.00,10.00,15.00,10.00,20.00,20.00,40.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00,180.00,30.00,15.00,10.00,10.00,110.00,15.00,10.00,10.00,0.00,5.00,10.00,10.00,20.00,15.00,15.00,45.00,15.00,15.00,10.00,5.00,5.00,0.00,0.00,0.00,0.00,45.20,340.00,125.00,105.00,115.00,0.00,15.00,10.00,325.00,60.00,110.00,155.00,325.00,195.00,140.00,50.00,135.00,135.00,130.00,10.00,0.00,0.00,0.00,0.00
"2405025","05","Bonaventure","025","Hope ",265.00,15.00,5.00,5.00,5.00,170.00,15.00,15.00,10.00,10.00,10.00,15.00,10.00,30.00,30.00,30.00,80.00,30.00,25.00,20.00,5.00,5.00,5.00,0.00,0.00,0.00,52.20,300.00,25.00,0.00,5.00,20.00,165.00,5.00,10.00,5.00,5.00,10.00,15.00,15.00,20.00,25.00,45.00,115.00,30.00,25.00,20.00,15.00,20.00,15.00,5.00,0.00,0.00,55.40,570.00,45.00,410.00,115.00,0.00,20.00,0.00,595.00,210.00,155.00,235.00,595.00,220.00,180.00,35.00,380.00,165.00,145.00,0.00,10.00,0.00,0.00,0.00
