"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24"
"2401",5535.00,3785.00,1860.00,1925.00,50.00,1700.00,1575.00,130.00,12190.00,12155.00,35.00,12190.00,12085.00,105.00,0.00,1695.00,10460.00,5535.00,4220.00,1315.00,0.00,5515.00,4820.00,700.00
"2402",8020.00,4920.00,2230.00,2690.00,130.00,2970.00,2685.00,285.00,17045.00,16975.00,70.00,17045.00,16855.00,175.00,15.00,2290.00,14685.00,8020.00,5855.00,2170.00,0.00,8010.00,7060.00,950.00
"2403",7635.00,5010.00,2490.00,2515.00,50.00,2580.00,2335.00,245.00,16705.00,16575.00,125.00,16700.00,16480.00,185.00,40.00,2790.00,13795.00,7640.00,5685.00,1950.00,0.00,7620.00,6685.00,935.00
"2404",5270.00,3185.00,1710.00,1475.00,50.00,2030.00,1860.00,165.00,10955.00,10910.00,45.00,10955.00,10845.00,105.00,10.00,1585.00,9325.00,5270.00,3910.00,1360.00,0.00,5260.00,4395.00,865.00
"2405",7900.00,5190.00,2650.00,2540.00,85.00,2625.00,2430.00,200.00,17200.00,17130.00,65.00,17195.00,17020.00,170.00,10.00,2700.00,14435.00,7895.00,5865.00,2035.00,0.00,7850.00,6865.00,990.00
"2406",6570.00,4085.00,2045.00,2040.00,50.00,2435.00,2250.00,185.00,14040.00,13930.00,110.00,14040.00,13810.00,210.00,15.00,2610.00,11315.00,6570.00,4935.00,1500.00,135.00,5705.00,4910.00,800.00
"2407",8140.00,5090.00,2635.00,2460.00,25.00,3015.00,2820.00,195.00,17390.00,17330.00,65.00,17390.00,17275.00,80.00,30.00,3175.00,14155.00,8140.00,6080.00,2060.00,0.00,7995.00,6795.00,1200.00
"2408",10180.00,6130.00,3365.00,2765.00,40.00,4010.00,3765.00,240.00,20585.00,20395.00,195.00,20590.00,20175.00,330.00,80.00,3250.00,17140.00,10180.00,7205.00,2970.00,0.00,10090.00,8490.00,1600.00
"2409",8205.00,5030.00,2505.00,2525.00,40.00,3140.00,2960.00,180.00,17530.00,17465.00,65.00,17530.00,17360.00,140.00,30.00,3360.00,14100.00,8205.00,6060.00,2150.00,0.00,8020.00,6770.00,1250.00
"2410",26110.00,15750.00,8070.00,7680.00,65.00,10290.00,9420.00,875.00,54650.00,54005.00,640.00,54645.00,53390.00,965.00,300.00,9505.00,44495.00,26115.00,17095.00,9020.00,0.00,25985.00,21470.00,4515.00
"2411",4065.00,2500.00,1470.00,1030.00,10.00,1555.00,1475.00,85.00,8270.00,8260.00,10.00,8270.00,8240.00,30.00,0.00,1280.00,6980.00,4065.00,3115.00,950.00,0.00,3970.00,3405.00,565.00
"2412",15155.00,9595.00,4940.00,4655.00,45.00,5515.00,5120.00,390.00,32600.00,32335.00,265.00,32600.00,32090.00,440.00,70.00,6145.00,26190.00,15155.00,10105.00,5050.00,0.00,14995.00,12705.00,2290.00
"2413",8825.00,5725.00,3140.00,2585.00,20.00,3085.00,2910.00,180.00,18850.00,18775.00,75.00,18850.00,18605.00,235.00,15.00,3275.00,15500.00,8825.00,6670.00,2155.00,0.00,8705.00,7700.00,1000.00
