"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24"
"4080000.00",72480.00,46390.00,23345.00,23040.00,310.00,25775.00,23675.00,2100.00,157165.00,155890.00,28330.00,127560.00,1275.00,157165.00,154480.00,2035.00,650.00,72475.00,46625.00,25850.00,0.00,72250.00,60040.00,12210.00
"4080001.00",1855.00,1115.00,600.00,520.00,5.00,735.00,685.00,40.00,3840.00,3810.00,695.00,3120.00,30.00,3835.00,3795.00,20.00,25.00,1875.00,1175.00,700.00,0.00,1865.00,1575.00,290.00
"4080002.01",1305.00,775.00,335.00,440.00,5.00,525.00,480.00,45.00,2770.00,2750.00,455.00,2290.00,30.00,2775.00,2660.00,100.00,15.00,1290.00,700.00,590.00,0.00,1285.00,1065.00,225.00
"4080002.02",2965.00,1580.00,1045.00,540.00,10.00,1370.00,1300.00,70.00,5405.00,5360.00,575.00,4785.00,50.00,5405.00,5260.00,140.00,0.00,2965.00,1655.00,1310.00,0.00,2965.00,2345.00,620.00
"4080003.01",1650.00,1185.00,600.00,595.00,5.00,460.00,415.00,40.00,3715.00,3695.00,675.00,3015.00,25.00,3715.00,3660.00,35.00,15.00,1650.00,1135.00,515.00,0.00,1650.00,1435.00,215.00
"4080003.02",1300.00,905.00,445.00,460.00,5.00,385.00,360.00,25.00,3055.00,3025.00,560.00,2470.00,25.00,3055.00,2945.00,105.00,0.00,1315.00,905.00,410.00,0.00,1310.00,1125.00,185.00
"4080004.00",1965.00,815.00,485.00,330.00,5.00,1145.00,1005.00,145.00,3460.00,3175.00,365.00,2805.00,285.00,3460.00,3080.00,170.00,210.00,1985.00,650.00,1340.00,0.00,1985.00,1230.00,750.00
"4080005.00",1650.00,820.00,420.00,400.00,10.00,820.00,720.00,100.00,3055.00,2960.00,370.00,2590.00,95.00,3055.00,2940.00,80.00,35.00,1630.00,585.00,1045.00,0.00,1630.00,1215.00,420.00
"4080006.00",2235.00,595.00,355.00,240.00,0.00,1640.00,1500.00,140.00,3215.00,3070.00,245.00,2825.00,145.00,3215.00,3045.00,40.00,130.00,2215.00,285.00,1930.00,0.00,2205.00,1280.00,930.00
"4080007.00",1310.00,720.00,335.00,385.00,5.00,585.00,530.00,55.00,2680.00,2655.00,435.00,2220.00,25.00,2685.00,2630.00,45.00,0.00,1350.00,610.00,740.00,0.00,1350.00,1040.00,310.00
"4080008.00",2375.00,1565.00,790.00,775.00,5.00,805.00,730.00,80.00,5105.00,5085.00,980.00,4105.00,15.00,5105.00,5045.00,60.00,0.00,2335.00,1395.00,945.00,0.00,2335.00,2030.00,300.00
"4080100.00",1535.00,1165.00,570.00,595.00,10.00,360.00,340.00,25.00,3545.00,3540.00,710.00,2825.00,10.00,3545.00,3515.00,30.00,0.00,1510.00,1275.00,230.00,0.00,1510.00,1365.00,140.00
"4080101.00",1920.00,1160.00,555.00,610.00,5.00,750.00,705.00,50.00,4135.00,4090.00,805.00,3285.00,45.00,4130.00,4045.00,85.00,10.00,1950.00,1220.00,720.00,0.00,1950.00,1695.00,250.00
"4080102.00",1220.00,800.00,365.00,435.00,0.00,420.00,385.00,35.00,2795.00,2785.00,615.00,2175.00,10.00,2790.00,2735.00,60.00,0.00,1235.00,910.00,320.00,0.00,1235.00,1080.00,155.00
"4080103.00",3020.00,2230.00,1030.00,1200.00,10.00,780.00,735.00,40.00,7160.00,7140.00,1510.00,5625.00,15.00,7155.00,7095.00,55.00,10.00,3000.00,2485.00,515.00,0.00,3005.00,2685.00,315.00
"4080104.00",3160.00,2215.00,1045.00,1170.00,15.00,930.00,860.00,75.00,7320.00,7275.00,1455.00,5815.00,40.00,7320.00,7220.00,90.00,10.00,3160.00,2405.00,760.00,0.00,3145.00,2735.00,410.00
"4080105.00",1650.00,830.00,405.00,420.00,5.00,815.00,750.00,65.00,3060.00,3055.00,430.00,2620.00,0.00,3055.00,3035.00,20.00,0.00,1645.00,660.00,980.00,0.00,1640.00,1180.00,460.00
"4080106.00",1625.00,870.00,435.00,440.00,10.00,745.00,685.00,55.00,3285.00,3275.00,505.00,2770.00,10.00,3285.00,3255.00,35.00,0.00,1660.00,775.00,885.00,0.00,1660.00,1300.00,360.00
"4080107.02",1485.00,915.00,525.00,395.00,10.00,560.00,505.00,60.00,3000.00,2995.00,395.00,2595.00,0.00,3000.00,2980.00,15.00,10.00,1475.00,1010.00,465.00,0.00,1475.00,1220.00,255.00
"4080107.03",3515.00,2250.00,1130.00,1125.00,10.00,1255.00,1135.00,115.00,7620.00,7550.00,1345.00,6205.00,65.00,7620.00,7465.00,110.00,45.00,3510.00,2110.00,1400.00,0.00,3505.00,2850.00,650.00
"4080107.04",405.00,310.00,175.00,140.00,5.00,95.00,85.00,10.00,940.00,935.00,140.00,795.00,0.00,940.00,935.00,0.00,0.00,400.00,275.00,125.00,0.00,380.00,335.00,45.00
"4080108.00",1210.00,415.00,235.00,180.00,0.00,795.00,715.00,80.00,1990.00,1955.00,220.00,1735.00,35.00,1995.00,1930.00,30.00,30.00,1220.00,390.00,835.00,0.00,1225.00,790.00,430.00
"4080109.00",1175.00,525.00,260.00,265.00,0.00,650.00,595.00,50.00,1925.00,1920.00,285.00,1635.00,10.00,1925.00,1900.00,15.00,10.00,1140.00,295.00,855.00,0.00,1145.00,795.00,345.00
"4080110.00",2580.00,1635.00,790.00,845.00,15.00,935.00,860.00,75.00,5560.00,5495.00,925.00,4575.00,70.00,5565.00,5455.00,60.00,45.00,2585.00,1670.00,910.00,0.00,2585.00,2105.00,480.00
"4080111.03",640.00,450.00,235.00,220.00,5.00,180.00,160.00,20.00,1485.00,1480.00,305.00,1180.00,0.00,1485.00,1485.00,0.00,0.00,635.00,550.00,85.00,0.00,630.00,575.00,55.00
"4080111.04",1135.00,850.00,525.00,325.00,5.00,280.00,260.00,20.00,2575.00,2575.00,405.00,2165.00,0.00,2575.00,2560.00,10.00,0.00,1115.00,1030.00,85.00,0.00,1110.00,960.00,155.00
"4080120.01",1370.00,1065.00,500.00,565.00,5.00,300.00,275.00,20.00,3435.00,3410.00,815.00,2590.00,25.00,3435.00,3400.00,40.00,0.00,1370.00,1170.00,200.00,0.00,1365.00,1210.00,150.00
"4080120.03",2200.00,1720.00,750.00,970.00,25.00,460.00,410.00,50.00,5705.00,5695.00,1400.00,4295.00,10.00,5710.00,5675.00,30.00,0.00,2200.00,1840.00,365.00,0.00,2185.00,1940.00,255.00
"4080120.04",465.00,355.00,165.00,190.00,5.00,110.00,100.00,10.00,1145.00,1145.00,230.00,920.00,0.00,1145.00,1150.00,0.00,0.00,465.00,370.00,100.00,0.00,460.00,410.00,60.00
"4080120.05",640.00,495.00,210.00,285.00,10.00,140.00,120.00,15.00,1650.00,1650.00,390.00,1260.00,10.00,1650.00,1645.00,0.00,0.00,640.00,505.00,135.00,0.00,635.00,570.00,70.00
"4080130.00",1810.00,1200.00,590.00,615.00,15.00,595.00,535.00,60.00,4225.00,4205.00,790.00,3420.00,15.00,4225.00,4150.00,75.00,0.00,1830.00,1200.00,630.00,0.00,1825.00,1550.00,275.00
"4080131.00",1840.00,1370.00,635.00,740.00,5.00,465.00,415.00,45.00,4310.00,4295.00,865.00,3430.00,15.00,4310.00,4280.00,30.00,0.00,1830.00,1335.00,495.00,0.00,1830.00,1610.00,220.00
"4080132.00",1395.00,1010.00,460.00,550.00,5.00,375.00,355.00,20.00,3460.00,3445.00,775.00,2665.00,15.00,3460.00,3425.00,30.00,10.00,1415.00,1110.00,305.00,0.00,1415.00,1245.00,175.00
"4080133.00",1715.00,1145.00,515.00,630.00,0.00,560.00,510.00,50.00,3735.00,3705.00,710.00,2995.00,25.00,3735.00,3670.00,55.00,10.00,1685.00,1075.00,605.00,0.00,1685.00,1395.00,290.00
