"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24"
"2401023",5325.00,3650.00,1810.00,1835.00,50.00,1625.00,1505.00,120.00,11720.00,11695.00,1625.00,10070.00,25.00,11715.00,11635.00,80.00,0.00,5305.00,4020.00,1280.00,0.00,5285.00,4610.00,680.00
"2401042",215.00,135.00,50.00,90.00,0.00,75.00,70.00,5.00,470.00,460.00,70.00,390.00,10.00,470.00,450.00,20.00,0.00,230.00,195.00,35.00,0.00,230.00,205.00,20.00
"2402005",1520.00,860.00,420.00,435.00,25.00,640.00,590.00,50.00,3065.00,3040.00,395.00,2645.00,20.00,3065.00,2985.00,75.00,0.00,1525.00,1220.00,305.00,0.00,1520.00,1370.00,150.00
"2402010",465.00,310.00,135.00,175.00,5.00,145.00,135.00,15.00,1005.00,1000.00,110.00,890.00,0.00,1005.00,995.00,10.00,0.00,460.00,380.00,85.00,0.00,465.00,440.00,20.00
"2402015",1610.00,970.00,430.00,540.00,25.00,610.00,555.00,55.00,3405.00,3395.00,470.00,2930.00,10.00,3410.00,3375.00,35.00,0.00,1610.00,1065.00,550.00,0.00,1610.00,1395.00,215.00
"2402028",3445.00,2160.00,965.00,1195.00,50.00,1235.00,1120.00,115.00,7375.00,7340.00,985.00,6355.00,30.00,7370.00,7310.00,60.00,10.00,3475.00,2435.00,1035.00,0.00,3470.00,3015.00,460.00
"2402047",985.00,630.00,285.00,345.00,20.00,330.00,290.00,45.00,2200.00,2195.00,330.00,1865.00,10.00,2200.00,2195.00,0.00,0.00,955.00,760.00,195.00,0.00,950.00,840.00,105.00
"2402902",,,,,,,,,,,,,,,,,,,,,,,,
"2403005",6410.00,4235.00,2040.00,2195.00,45.00,2135.00,1915.00,220.00,14185.00,14065.00,2440.00,11625.00,125.00,14185.00,13975.00,165.00,40.00,6415.00,4660.00,1750.00,0.00,6395.00,5620.00,775.00
"2403010",335.00,225.00,140.00,90.00,0.00,110.00,105.00,5.00,665.00,665.00,75.00,590.00,0.00,665.00,665.00,0.00,0.00,335.00,310.00,30.00,0.00,340.00,285.00,45.00
"2403015",85.00,55.00,35.00,20.00,0.00,30.00,30.00,0.00,160.00,160.00,0.00,160.00,0.00,160.00,160.00,0.00,0.00,85.00,70.00,15.00,0.00,,,
"2403020",490.00,315.00,180.00,135.00,10.00,170.00,165.00,10.00,1035.00,1030.00,150.00,880.00,0.00,1035.00,1030.00,10.00,0.00,495.00,380.00,110.00,0.00,490.00,420.00,75.00
"2403025",315.00,185.00,100.00,85.00,0.00,125.00,115.00,10.00,660.00,655.00,125.00,535.00,0.00,660.00,650.00,10.00,0.00,315.00,260.00,50.00,0.00,315.00,280.00,30.00
"2403902",,,,,,,,,,,,,,,,,,,,,,,,
"2403904",,,,,,,,,,,,,,,,,,,,,,,,
"2404005",150.00,95.00,65.00,30.00,0.00,55.00,50.00,0.00,290.00,290.00,25.00,270.00,0.00,290.00,290.00,0.00,0.00,160.00,145.00,20.00,0.00,165.00,140.00,25.00
"2404010",495.00,310.00,150.00,160.00,10.00,175.00,160.00,15.00,1100.00,1090.00,200.00,895.00,10.00,1100.00,1095.00,10.00,0.00,495.00,395.00,100.00,0.00,495.00,425.00,70.00
"2404015",90.00,50.00,35.00,15.00,0.00,40.00,35.00,5.00,150.00,145.00,15.00,130.00,0.00,150.00,150.00,0.00,0.00,85.00,70.00,15.00,0.00,,,
"2404020",70.00,35.00,25.00,10.00,0.00,35.00,30.00,5.00,130.00,130.00,0.00,120.00,0.00,130.00,125.00,0.00,0.00,80.00,80.00,10.00,0.00,,,
"2404025",135.00,80.00,35.00,40.00,0.00,55.00,45.00,5.00,235.00,235.00,15.00,225.00,0.00,235.00,235.00,0.00,0.00,120.00,115.00,10.00,0.00,,,
"2404030",100.00,60.00,35.00,25.00,5.00,30.00,25.00,5.00,260.00,255.00,30.00,225.00,0.00,260.00,255.00,10.00,0.00,95.00,85.00,10.00,0.00,,,
"2404037",3020.00,1805.00,925.00,885.00,25.00,1200.00,1100.00,90.00,6255.00,6235.00,960.00,5275.00,20.00,6250.00,6180.00,70.00,0.00,3020.00,2100.00,925.00,0.00,3020.00,2455.00,560.00
"2404047",1125.00,700.00,410.00,290.00,10.00,410.00,380.00,35.00,2340.00,2330.00,320.00,2005.00,15.00,2340.00,2315.00,15.00,0.00,1125.00,845.00,280.00,0.00,1120.00,960.00,160.00
"2404902",90.00,55.00,30.00,25.00,0.00,30.00,30.00,5.00,195.00,195.00,25.00,170.00,0.00,195.00,195.00,0.00,0.00,90.00,85.00,10.00,0.00,,,
"2404904",,,,,,,,,,,,,,,,,,,,,,,,
"2405010",130.00,85.00,40.00,45.00,5.00,45.00,30.00,10.00,270.00,270.00,35.00,230.00,0.00,265.00,265.00,0.00,0.00,115.00,95.00,20.00,0.00,110.00,105.00,0.00
"2405015",180.00,110.00,65.00,50.00,5.00,60.00,60.00,10.00,355.00,355.00,50.00,300.00,0.00,355.00,355.00,0.00,0.00,165.00,145.00,20.00,0.00,165.00,160.00,10.00
"2405020",140.00,95.00,50.00,50.00,0.00,40.00,35.00,5.00,365.00,360.00,45.00,315.00,0.00,365.00,355.00,10.00,0.00,145.00,115.00,30.00,0.00,145.00,135.00,10.00
"2405025",265.00,170.00,95.00,75.00,5.00,85.00,80.00,5.00,640.00,640.00,50.00,585.00,0.00,635.00,625.00,10.00,0.00,290.00,240.00,55.00,0.00,285.00,245.00,40.00
"2405032",1430.00,940.00,460.00,485.00,30.00,455.00,415.00,40.00,3135.00,3135.00,410.00,2720.00,10.00,3135.00,3115.00,20.00,0.00,1430.00,1150.00,280.00,0.00,1430.00,1225.00,205.00
"2405040",575.00,375.00,180.00,195.00,10.00,190.00,175.00,15.00,1260.00,1255.00,230.00,1025.00,0.00,1260.00,1245.00,15.00,0.00,575.00,445.00,130.00,0.00,575.00,455.00,115.00
