"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7"
"2401023",11725.00,1615.00,7380.00,1285.00,85.00,490.00,710.00
"2401042",465.00,60.00,315.00,55.00,0.00,25.00,25.00
"2402005",3060.00,380.00,1805.00,590.00,60.00,245.00,285.00
"2402010",1005.00,120.00,645.00,150.00,10.00,85.00,55.00
"2402015",3410.00,465.00,2130.00,735.00,95.00,390.00,245.00
"2402028",7370.00,1045.00,4315.00,1310.00,175.00,670.00,465.00
"2402047",2200.00,290.00,1255.00,470.00,55.00,180.00,225.00
"2402902",,,,,,,
"2403005",14185.00,2410.00,8925.00,1845.00,260.00,860.00,720.00
"2403010",670.00,60.00,390.00,150.00,15.00,50.00,90.00
"2403015",,,,,,,
"2403020",1035.00,135.00,630.00,145.00,10.00,50.00,90.00
"2403025",650.00,115.00,370.00,115.00,20.00,50.00,40.00
"2403902",,,,,,,
"2403904",,,,,,,
"2404005",285.00,20.00,145.00,85.00,0.00,40.00,45.00
"2404010",1100.00,175.00,655.00,260.00,50.00,140.00,75.00
"2404015",,,,,,,
"2404020",,,,,,,
"2404025",275.00,30.00,165.00,50.00,0.00,25.00,25.00
"2404030",,,,,,,
"2404037",6255.00,980.00,3840.00,1370.00,180.00,720.00,460.00
"2404047",2340.00,325.00,1340.00,560.00,85.00,270.00,205.00
"2404902",,,,,,,
"2404904",,,,,,,
"2405010",295.00,50.00,150.00,75.00,15.00,40.00,25.00
"2405015",380.00,50.00,215.00,75.00,5.00,35.00,35.00
"2405020",335.00,60.00,195.00,75.00,20.00,35.00,20.00
"2405025",560.00,55.00,320.00,100.00,5.00,40.00,55.00
"2405032",3135.00,400.00,1830.00,495.00,55.00,200.00,245.00
"2405040",1265.00,195.00,730.00,300.00,55.00,165.00,85.00
"2405045",2615.00,445.00,1540.00,335.00,30.00,150.00,150.00
"2405050",450.00,65.00,285.00,90.00,15.00,35.00,40.00
"2405055",1170.00,190.00,695.00,185.00,30.00,90.00,70.00
"2405060",1940.00,310.00,1180.00,330.00,45.00,150.00,130.00
"2405065",695.00,115.00,445.00,90.00,5.00,30.00,60.00
"2405070",3595.00,625.00,2140.00,555.00,105.00,260.00,190.00
"2405077",730.00,145.00,430.00,80.00,10.00,45.00,30.00
"2405902",,,,,,,
"2406005",2385.00,450.00,1460.00,260.00,60.00,130.00,70.00
"2406013",4030.00,680.00,2380.00,540.00,65.00,255.00,225.00
"2406020",1615.00,255.00,975.00,255.00,20.00,130.00,105.00
"2406025",545.00,85.00,370.00,105.00,5.00,70.00,30.00
"2406030",1365.00,235.00,860.00,415.00,65.00,235.00,115.00
"2406035",,,,,,,
"2406040",,,,,,,
"2406045",625.00,100.00,355.00,140.00,25.00,70.00,50.00
"2406050",470.00,60.00,265.00,100.00,10.00,50.00,45.00
"2406055",630.00,90.00,370.00,145.00,20.00,55.00,65.00
"2406060",,,,,,,
"2406802",0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2406804",0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2406902",,,,,,,
"2406904",,,,,,,
"2407005",,,,,,,
"2407010",385.00,60.00,225.00,95.00,5.00,45.00,50.00
"2407018",2195.00,345.00,1355.00,480.00,60.00,225.00,195.00
"2407025",,,,,,,
"2407030",925.00,155.00,590.00,185.00,15.00,85.00,85.00
"2407035",360.00,60.00,225.00,80.00,10.00,45.00,30.00
"2407040",325.00,60.00,220.00,40.00,5.00,20.00,15.00
"2407047",6045.00,1125.00,3650.00,1115.00,140.00,580.00,395.00
"2407057",1280.00,255.00,780.00,170.00,20.00,70.00,75.00
"2407065",325.00,50.00,195.00,100.00,15.00,45.00,40.00
"2407070",315.00,65.00,180.00,80.00,20.00,35.00,25.00
"2407075",445.00,85.00,245.00,115.00,10.00,50.00,55.00
"2407080",895.00,180.00,530.00,165.00,30.00,65.00,70.00
"2407085",1545.00,280.00,950.00,365.00,50.00,190.00,130.00
"2407090",330.00,65.00,210.00,80.00,10.00,45.00,20.00
"2407095",555.00,105.00,320.00,140.00,20.00,60.00,55.00
"2407100",400.00,80.00,230.00,95.00,10.00,45.00,35.00
"2407105",425.00,80.00,260.00,65.00,5.00,30.00,35.00
"2407902",,,,,,,
"2407904",,,,,,,
"2407906",,,,,,,
"2407908",,,,,,,
"2407910",,,,,,,
"2407912",,,,,,,
"2407914",,,,,,,
"2408005",985.00,120.00,570.00,260.00,30.00,120.00,100.00
"2408010",,,,,,,
"2408015",305.00,35.00,165.00,105.00,10.00,45.00,50.00
"2408023",1030.00,135.00,635.00,215.00,20.00,85.00,110.00
"2408030",690.00,130.00,395.00,115.00,20.00,45.00,50.00
"2408035",965.00,150.00,585.00,210.00,30.00,80.00,100.00
"2408040",,,,,,,
"2408053",13675.00,2195.00,8250.00,2470.00,290.00,1300.00,880.00
"2408065",400.00,80.00,225.00,75.00,10.00,30.00,35.00
"2408073",1580.00,250.00,965.00,220.00,25.00,100.00,95.00
"2408080",595.00,125.00,320.00,115.00,15.00,45.00,55.00
"2408902",,,,,,,
"2409005",435.00,80.00,255.00,125.00,25.00,65.00,40.00
"2409010",,,,,,,
"2409015",495.00,110.00,285.00,140.00,30.00,65.00,45.00
"2409020",280.00,50.00,190.00,80.00,10.00,50.00,20.00
"2409025",1150.00,265.00,665.00,195.00,35.00,85.00,75.00
"2409030",880.00,165.00,575.00,95.00,10.00,45.00,40.00
"2409035",950.00,205.00,575.00,225.00,50.00,105.00,75.00
"2409040",,,,,,,
"2409048",565.00,80.00,335.00,95.00,10.00,50.00,40.00
"2409055",495.00,105.00,305.00,60.00,15.00,30.00,20.00
"2409060",,,,,,,
"2409065",1715.00,380.00,995.00,365.00,75.00,155.00,145.00
"2409070",490.00,90.00,305.00,45.00,0.00,25.00,25.00
"2409077",5850.00,1100.00,3425.00,1285.00,215.00,670.00,400.00
"2409085",860.00,165.00,490.00,80.00,10.00,40.00,35.00
"2409092",2710.00,505.00,1655.00,315.00,35.00,150.00,130.00
"2409902",,,,,,,
"2409904",,,,,,,
"2410005",340.00,40.00,210.00,70.00,5.00,25.00,35.00
"2410010",,,,,,,
"2410015",960.00,185.00,615.00,150.00,20.00,75.00,55.00
"2410025",350.00,50.00,230.00,75.00,10.00,35.00,30.00
"2410030",3040.00,675.00,1935.00,205.00,30.00,90.00,85.00
"2410043",46735.00,8095.00,29345.00,6210.00,715.00,3810.00,1685.00
"2410060",815.00,170.00,525.00,130.00,30.00,55.00,40.00
"2410070",1800.00,335.00,1070.00,285.00,35.00,145.00,105.00
"2410075",360.00,65.00,220.00,75.00,15.00,35.00,25.00
"2410902",,,,,,,
"2411005",450.00,95.00,270.00,70.00,10.00,40.00,25.00
"2411010",1495.00,290.00,890.00,300.00,35.00,135.00,135.00
"2411015",305.00,50.00,180.00,80.00,15.00,35.00,25.00
"2411020",,,,,,,
"2411025",,,,,,,
"2411030",390.00,70.00,215.00,95.00,15.00,35.00,45.00
"2411035",270.00,40.00,170.00,45.00,0.00,25.00,25.00
"2411040",2955.00,420.00,1610.00,680.00,75.00,305.00,300.00
"2411045",1075.00,135.00,625.00,160.00,15.00,70.00,70.00
"2411050",640.00,75.00,385.00,110.00,15.00,45.00,55.00
"2411055",425.00,60.00,230.00,75.00,10.00,30.00,35.00
"2411902",,,,,,,
"2412005",955.00,195.00,590.00,115.00,10.00,60.00,40.00
"2412010",1255.00,220.00,760.00,160.00,5.00,85.00,70.00
"2412015",4000.00,965.00,2470.00,305.00,60.00,145.00,100.00
"2412020",1155.00,310.00,705.00,80.00,20.00,30.00,30.00
"2412025",,,,,,,
"2412030",810.00,190.00,475.00,125.00,15.00,70.00,45.00
"2412035",310.00,50.00,180.00,85.00,15.00,40.00,30.00
"2412043",1270.00,230.00,735.00,230.00,30.00,95.00,105.00
"2412045",,,,,,,
"2412057",1765.00,340.00,1070.00,185.00,20.00,85.00,85.00
