"COL0","COL1","COL2"
"2401",2.20,1.50
"2402",4.20,3.70
"2403",3.50,2.70
"2404",6.40,5.30
"2405",3.30,2.20
"2406",4.80,4.00
"2407",4.80,3.50
"2408",5.70,4.10
"2409",5.20,3.70
"2410",6.00,3.50
"2411",4.50,3.90
"2412",3.90,2.30
"2413",4.60,3.10
"2414",3.50,1.80
"2415",3.30,2.00
"2416",2.80,1.20
"2417",3.10,2.70
"2418",4.40,2.00
"2419",2.50,1.70
"2420",1.70,1.70
"2421",2.70,1.70
"2422",1.80,1.20
"2423",9.90,7.20
"2425",5.10,3.60
"2426",2.10,1.30
"2427",3.30,2.30
"2428",3.80,2.10
"2429",4.40,2.70
"2430",4.20,3.00
"2431",4.50,3.30
"2432",3.70,2.30
"2433",2.50,1.80
"2434",3.30,2.30
"2435",4.80,4.90
"2436",9.80,9.10
"2437",8.70,8.10
"2438",4.20,2.80
"2439",5.90,5.00
"2440",6.40,5.20
"2441",4.70,3.90
"2442",3.80,2.80
"2443",10.20,8.20
"2444",3.40,2.50
"2445",4.90,4.20
"2446",5.20,5.30
"2447",6.20,5.80
"2448",4.70,2.80
"2449",7.10,5.90
"2450",4.70,3.30
"2451",5.20,4.00
"2452",5.50,5.20
"2453",7.30,7.50
"2454",6.40,5.70
"2455",4.00,3.60
"2456",5.60,4.80
"2457",3.40,3.20
"2458",9.60,10.00
"2459",2.60,2.20
"2460",5.10,4.60
"2461",8.00,8.30
"2462",6.30,5.10
"2463",5.30,4.40
"2464",5.30,5.10
"2465",8.30,8.60
"2466",17.90,17.10
"2467",4.70,4.60
"2468",3.40,2.90
"2469",5.90,4.70
"2470",7.40,7.50
"2471",4.10,3.70
"2472",6.80,6.00
"2473",6.00,5.40
"2474",3.70,3.30
"2475",6.50,5.80
"2476",7.60,8.10
"2477",5.40,4.80
"2478",6.10,4.90
"2479",6.30,4.90
"2480",5.90,5.60
"2481",10.20,10.20
"2482",2.80,1.80
"2483",7.70,8.20
"2484",6.20,5.20
"2485",4.50,3.20
"2486",5.00,3.30
"2487",4.60,3.50
"2488",4.00,3.20
"2489",5.00,4.10
"2490",6.40,6.10
"2491",4.50,3.00
"2492",4.30,3.70
"2493",4.40,3.30
"2494",5.90,4.20
"2495",4.40,4.00
"2496",3.70,3.10
"2497",3.70,3.30
"2498",1.50,1.00
"2499",3.40,3.30
