"COL0","COL1","COL2"
"4080000.00",6.00,4.30
"4080001.00",5.70,4.80
"4080002.01",7.60,3.70
"4080002.02",4.60,3.40
"4080003.01",3.60,3.00
"4080003.02",3.20,2.70
"4080004.00",15.50,5.50
"4080005.00",14.80,11.50
"4080006.00",27.20,20.00
"4080007.00",10.50,7.30
"4080008.00",6.10,6.40
"4080100.00",1.80,0.00
"4080101.00",6.40,5.50
"4080102.00",5.20,7.00
"4080103.00",2.80,1.90
"4080104.00",5.40,6.50
"4080105.00",15.60,16.20
"4080106.00",11.10,9.50
"4080107.02",6.20,3.60
"4080107.03",6.80,5.20
"4080107.04",2.10,3.20
"4080108.00",20.60,15.00
"4080109.00",20.80,20.40
"4080110.00",6.80,4.10
"4080111.03",4.70,5.10
"4080111.04",2.00,1.30
"4080120.01",1.30,0.00
"4080120.03",2.70,2.20
"4080120.04",0.90,0.00
"4080120.05",1.20,1.40
"4080130.00",5.00,3.30
"4080131.00",3.90,3.80
"4080132.00",3.00,2.10
"4080133.00",6.00,3.90
"4080140.00",1.70,1.20
"4080150.00",1.40,1.70
"4080160.00",5.70,6.20
"4080161.00",2.40,0.90
"4080162.00",5.30,3.50
"4080163.00",2.90,3.20
"4080164.00",2.70,2.40
"4080165.00",1.60,0.00
"4080166.00",4.70,13.30
"4080167.00",2.90,2.00
"4080168.00",2.80,4.00
"4080169.00",4.30,3.00
"4210000.00",8.20,5.60
"4210001.01",17.60,12.30
"4210001.02",11.90,7.60
"4210002.00",15.90,9.70
"4210003.00",11.00,13.30
"4210004.00",13.90,0.00
"4210005.00",10.80,8.70
"4210006.00",15.50,11.20
"4210007.00",25.40,20.00
"4210008.00",18.70,14.30
"4210009.00",26.00,13.90
"4210010.00",24.00,22.90
"4210011.00",25.20,17.20
"4210012.00",27.90,18.60
"4210013.00",24.10,20.00
"4210014.00",24.80,8.10
"4210015.00",14.00,7.70
"4210016.00",24.00,10.30
"4210017.00",,
"4210018.00",28.20,5.90
"4210019.00",26.70,14.30
"4210020.00",32.90,35.10
"4210021.00",22.90,15.40
"4210022.00",33.30,20.50
"4210023.00",21.60,33.30
"4210024.00",15.60,16.70
"4210025.00",14.80,14.30
"4210026.00",23.90,16.70
"4210027.00",20.30,23.10
"4210028.00",26.90,21.20
"4210029.00",24.20,9.70
"4210030.00",18.60,11.60
"4210031.00",33.20,33.80
"4210032.00",13.90,18.20
"4210033.01",23.70,18.90
"4210033.02",18.50,23.30
"4210034.00",17.00,15.20
"4210035.00",27.60,21.70
"4210036.00",18.50,11.80
"4210037.00",27.90,22.40
"4210038.01",30.10,36.30
"4210038.02",22.80,24.70
"4210039.01",5.00,3.30
"4210039.02",11.90,13.00
"4210040.01",3.90,3.20
"4210040.03",9.30,8.00
"4210040.04",9.20,6.30
"4210041.02",4.50,4.00
"4210041.03",3.00,2.40
"4210041.04",4.10,4.30
"4210041.05",3.60,1.90
"4210041.06",1.70,1.40
"4210041.07",8.80,12.20
"4210041.08",8.70,10.30
"4210041.09",9.60,9.60
"4210100.00",4.90,7.90
"4210101.00",4.20,1.70
"4210102.00",10.10,5.30
"4210103.00",11.50,3.20
"4210110.00",4.30,2.00
"4210111.00",10.90,7.40
"4210112.01",7.10,8.80
"4210112.02",15.50,13.20
"4210113.01",10.20,11.50
"4210113.02",5.40,3.20
"4210114.00",12.50,9.80
"4210115.00",14.50,9.30
"4210116.00",35.80,14.70
"4210117.01",15.80,14.30
"4210117.02",18.30,17.70
"4210118.00",14.80,14.10
"4210119.02",3.60,2.70
"4210119.03",3.20,2.80
"4210119.04",3.20,2.60
"4210120.01",5.00,5.50
"4210120.02",2.40,3.00
"4210120.03",2.00,1.50
"4210140.01",2.10,2.10
"4210140.02",9.30,8.30
"4210140.03",3.40,2.10
"4210160.01",11.40,13.30
"4210160.03",5.80,5.20
"4210160.04",,
"4210160.05",8.20,3.90
"4210170.03",3.50,2.40
"4210170.04",2.70,2.50
"4210170.05",5.10,5.00
"4210170.06",4.70,4.70
"4210170.07",4.60,4.20
"4210190.00",1.70,1.70
"4210200.00",2.30,1.30
"4210210.01",3.60,2.50
"4210210.02",3.60,2.50
"4210220.01",4.00,2.40
"4210220.02",4.00,3.20
"4210230.01",3.50,4.00
"4210230.02",3.60,3.50
"4210240.01",5.00,6.60
"4210240.02",4.80,3.00
"4210260.01",27.80,26.20
"4210260.02",19.40,23.40
"4210260.03",15.40,25.00
"4210270.01",15.70,12.70
"4210270.03",14.10,16.30
"4210270.04",13.20,12.80
"4210271.01",6.30,6.00
"4210271.02",7.70,5.00
"4210272.00",7.40,6.40
"4210273.01",9.90,9.00
"4210273.02",5.10,3.60
"4210273.03",4.70,1.70
"4210273.04",5.40,5.10
"4210280.01",7.70,9.70
"4210280.02",7.50,8.40
"4210280.03",7.30,7.00
"4210290.01",5.10,5.60
"4210290.03",3.60,2.00
"4210290.04",5.00,4.90
"4210300.00",7.90,11.50
"4210310.00",18.50,20.40
"4210311.01",13.90,12.80
"4210311.02",14.70,18.60
"4210320.01",10.40,12.30
"4210320.02",9.60,7.30
"4210320.03",2.80,3.90
"4210320.04",8.00,6.80
"4210320.05",1.80,2.40
"4210320.07",2.20,2.20
"4210320.08",2.10,1.90
"4210330.00",16.80,11.10
"4210340.01",7.70,9.20
"4210340.02",8.00,4.70
"4210340.03",3.00,2.60
"4210360.01",4.60,4.50
"4210360.02",1.80,1.40
"4210370.00",2.40,1.70
"4210500.00",1.50,0.50
"4210510.00",3.00,2.00
"4210520.00",1.80,1.20
"4210530.00",2.80,1.80
"4210540.00",1.70,2.20
"4210600.03",1.80,1.10
"4210600.04",1.90,1.70
"4210600.05",2.80,2.30
"4210600.06",1.90,1.50
"4210605.00",1.50,1.40
"4210610.00",0.50,0.30
"4210700.00",1.10,1.60
"4210800.01",7.50,4.80
"4210800.02",5.20,3.70
"4210801.00",15.60,10.50
"4210802.00",7.80,6.90
"4210810.00",14.10,13.20
"4210811.00",9.20,7.60
"4210812.00",13.70,10.50
"4210820.01",7.10,3.50
"4210820.03",3.40,2.50
"4210820.04",3.80,3.10
"4210825.00",2.50,1.70
"4210830.01",7.20,5.90
"4210830.02",6.20,3.80
"4210835.03",1.60,1.10
"4210835.04",2.50,1.90
"4210835.05",1.60,0.60
"4210835.06",2.60,2.60
"4210835.07",3.10,2.60
"4210840.01",9.80,8.30
"4210840.02",4.10,4.20
"4210845.03",2.80,2.80
"4210845.04",3.60,2.60
"4210845.05",1.60,0.90
"4210845.06",5.00,8.00
"4210846.02",3.10,3.10
"4210846.03",2.00,1.80
"4210846.04",2.60,1.90
"4210850.02",3.20,2.20
"4210850.03",3.00,3.30
"4210850.04",2.60,2.40
"4210850.05",1.70,1.20
"4210900.00",1.40,0.70
"4210901.00",1.80,1.10
"4210902.00",3.20,1.50
"4330000.00",8.70,7.00
"4330001.00",14.50,19.10
"4330002.00",23.00,16.10
"4330003.00",28.90,32.00
"4330004.00",20.90,19.10
"4330005.00",23.30,20.70
"4330006.00",22.10,11.50
"4330007.00",22.30,8.10
"4330008.00",9.30,7.50
"4330009.01",2.80,3.10
"4330009.02",8.40,7.40
"4330010.00",8.30,7.50
"4330011.00",14.60,4.20
"4330012.00",31.00,16.00
"4330013.00",43.50,36.40
"4330014.00",20.30,17.60
"4330015.01",11.50,13.70
"4330015.02",23.40,29.00
"4330016.00",17.30,18.60
"4330017.00",26.70,21.20
"4330018.00",10.80,10.20
"4330019.01",7.40,10.00
"4330019.02",7.60,11.60
"4330100.00",11.50,7.40
"4330110.01",2.30,2.00
"4330110.03",2.70,1.80
"4330110.04",2.90,2.30
"4330110.06",2.80,2.20
"4330110.07",3.30,3.60
"4330111.01",17.30,16.90
"4330111.02",1.30,0.00
"4330111.05",2.60,3.30
"4330111.06",2.60,2.80
"4330111.07",6.60,5.90
"4330111.08",4.10,4.10
"4330112.01",2.50,0.00
"4330112.02",3.20,3.10
"4330113.01",1.20,0.40
"4330113.02",2.50,2.40
"4330200.00",3.80,1.90
"4330201.00",2.20,0.00
"4330202.00",2.50,1.80
"4330300.01",2.60,2.40
"4330300.02",1.70,1.50
"4330400.01",2.90,2.40
"4330400.02",7.90,6.80
"4330400.03",9.30,7.10
"4330400.04",3.80,3.80
"4330401.00",2.80,2.90
"4330402.00",2.60,3.20
"4420000.00",8.60,7.80
"4420001.00",32.80,38.50
"4420002.00",26.70,22.60
"4420003.00",28.80,27.30
"4420004.00",15.10,17.00
"4420005.00",30.70,37.00
"4420006.00",19.20,21.90
"4420007.00",12.50,10.90
"4420008.00",23.60,13.30
"4420009.00",22.60,28.00
"4420010.00",16.80,12.50
"4420011.00",7.80,9.30
"4420012.01",18.00,29.40
"4420012.02",10.50,18.00
"4420013.01",3.10,2.50
"4420013.02",3.90,3.50
"4420013.03",4.40,6.60
"4420100.01",11.20,14.40
"4420100.02",3.80,6.20
"4420101.02",3.90,4.20
"4420101.03",3.90,3.30
"4420101.04",2.30,3.00
"4420102.00",2.90,3.10
"4420200.00",16.00,18.50
"4420201.00",14.90,17.10
"4420202.00",15.10,14.50
"4420203.00",13.00,11.80
"4420204.00",8.20,7.80
"4420205.01",3.90,4.40
"4420205.02",5.70,5.20
"4420205.03",8.50,11.30
"4420210.00",4.10,3.20
"4420211.00",2.90,3.50
"4420212.00",3.40,1.90
"4420213.00",3.20,1.90
"4420300.01",,
"4420300.02",3.60,2.20
"4420301.00",,
"4420302.00",3.40,1.60
"4420303.00",4.70,5.90
"4420304.00",3.80,1.70
"4470000.00",7.40,6.30
"4470001.01",5.00,5.30
"4470001.02",5.80,10.90
"4470002.00",8.60,11.20
"4470003.00",21.60,23.60
"4470004.00",11.80,13.60
"4470005.00",6.70,7.10
"4470006.00",15.30,15.30
"4470007.00",22.70,23.50
"4470008.00",9.00,9.60
"4470009.00",3.80,3.40
"4470010.00",3.50,2.90
"4470011.00",3.10,2.00
"4470012.00",2.80,1.70
"4470013.00",1.80,0.00
"4470014.00",5.00,5.40
"4470015.00",3.40,2.60
"4470100.00",1.30,0.00
"4470101.00",2.50,1.60
"4470102.00",4.70,3.30
"4470103.00",4.20,1.60
"4470104.00",2.10,0.00
"4470105.00",2.60,2.40
"4470106.00",4.60,2.10
"4470107.00",2.80,0.00
"4500000.00",6.20,5.90
"4500001.00",2.90,3.40
"4500002.00",3.80,4.40
"4500003.00",,
"4500004.00",11.60,12.90
"4500005.00",28.70,30.90
"4500006.00",11.90,17.80
"4500007.00",13.30,12.60
"4500008.00",7.70,10.30
"4500009.00",2.60,2.00
"4500010.00",12.90,19.00
"4500011.00",6.60,8.00
"4500012.00",5.90,4.50
"4500013.00",1.60,0.80
"4500014.00",1.50,1.80
"4500015.00",1.70,0.90
"4500016.00",2.60,2.10
"4500100.00",3.40,3.40
"4500200.00",1.10,1.30
"4500201.00",2.90,3.30
"4500202.00",3.20,2.40
"4620000.00",12.00,11.00
"4620001.00",16.80,20.30
"4620002.00",16.60,18.30
"4620003.00",15.20,17.50
"4620004.00",14.70,11.00
"4620005.00",16.30,13.00
"4620006.00",22.20,29.40
"4620007.00",14.80,15.20
"4620008.00",10.40,8.70
"4620009.00",16.10,15.90
"4620010.00",16.80,21.20
"4620011.00",14.40,15.70
"4620012.01",20.80,26.80
"4620012.02",22.30,22.20
"4620013.00",14.70,12.40
"4620014.01",24.40,25.80
"4620014.02",,
"4620015.00",24.60,23.10
"4620016.00",30.50,32.90
"4620017.00",24.00,20.00
"4620018.00",26.30,20.40
"4620019.00",28.90,25.00
"4620021.00",36.90,37.50
"4620022.00",24.70,22.90
"4620023.00",30.40,31.30
"4620024.00",28.80,21.00
"4620025.00",26.10,24.10
"4620026.00",24.10,22.60
"4620027.00",25.80,10.30
"4620028.00",26.30,20.80
"4620029.00",27.30,24.40
"4620030.00",29.20,21.10
"4620031.00",25.10,8.00
"4620032.00",29.30,21.90
"4620033.00",29.40,27.30
"4620034.00",28.40,30.20
"4620035.00",26.10,27.10
"4620036.00",26.10,20.00
"4620037.00",29.20,27.60
"4620038.00",38.80,52.50
"4620039.00",31.30,28.90
"4620040.00",,
"4620041.00",29.70,21.70
"4620042.00",30.50,16.70
"4620043.00",29.10,16.70
"4620044.00",31.50,30.00
"4620045.00",31.70,33.30
"4620046.00",27.60,31.90
"4620047.00",27.70,17.60
"4620048.00",27.30,24.00
"4620049.00",33.30,30.00
"4620050.00",37.80,36.80
"4620051.00",33.70,28.60
"4620052.00",39.50,36.10
"4620053.00",26.10,0.00
"4620054.00",24.30,27.30
"4620055.01",15.60,14.90
"4620055.02",7.90,10.00
"4620056.00",27.20,26.30
"4620057.00",36.50,33.30
"4620058.00",34.50,15.40
"4620059.00",24.20,7.70
"4620060.00",50.20,47.90
"4620061.00",30.60,33.30
"4620062.00",33.20,34.60
"4620063.00",52.60,43.80
"4620064.00",51.00,50.00
"4620065.01",58.30,51.10
"4620065.02",51.50,47.10
"4620066.01",50.90,50.00
"4620066.02",51.70,43.80
"4620067.00",31.80,36.30
"4620068.00",47.20,55.70
"4620069.01",21.80,28.60
"4620069.02",13.70,21.40
"4620070.01",11.00,13.30
"4620070.02",13.10,14.30
"4620071.00",,
"4620072.00",27.80,27.30
"4620073.00",25.30,20.90
"4620074.00",23.60,28.80
"4620075.00",27.30,31.20
"4620076.00",22.30,26.80
"4620077.00",29.10,36.90
"4620078.00",26.60,40.50
"4620079.00",23.00,30.70
"4620080.00",22.40,16.70
"4620081.00",20.90,23.80
"4620082.00",29.10,29.60
"4620083.00",21.40,22.00
"4620084.00",26.50,26.80
"4620085.00",24.80,30.80
"4620086.00",18.80,17.00
"4620087.00",23.60,27.70
"4620088.00",20.20,17.40
"4620089.00",19.30,17.80
"4620090.00",22.70,25.10
"4620091.00",,
"4620092.00",18.30,17.60
"4620093.00",21.60,24.50
"4620094.01",28.50,26.70
"4620094.02",,
"4620095.00",29.40,21.40
"4620096.00",19.20,12.70
"4620097.01",28.60,24.70
"4620097.02",38.00,42.70
"4620098.00",12.20,11.50
"4620099.00",18.80,14.60
"4620100.01",18.60,17.40
"4620100.02",19.40,19.20
"4620101.01",24.50,28.00
"4620101.02",23.70,22.80
"4620102.00",13.20,9.30
"4620103.00",11.40,4.40
"4620104.00",10.70,6.30
"4620105.00",11.70,12.30
"4620106.00",17.10,16.40
"4620107.00",25.20,15.90
"4620108.00",11.60,7.10
"4620109.00",21.70,18.00
"4620110.00",23.60,18.50
"4620111.00",18.10,13.20
"4620112.01",20.60,20.50
"4620112.02",26.10,18.20
"4620113.00",22.60,18.90
"4620114.00",21.10,15.30
"4620115.01",18.00,14.10
"4620115.02",29.10,36.20
"4620116.00",29.90,24.90
"4620117.00",23.30,24.00
"4620118.00",23.20,21.60
"4620119.00",27.00,25.80
"4620120.01",20.50,18.40
"4620120.02",7.30,10.80
"4620121.00",11.60,14.60
"4620122.00",35.50,30.70
"4620123.00",33.50,27.50
"4620124.00",30.50,23.80
"4620125.00",15.90,13.50
"4620126.00",39.50,13.60
"4620127.01",43.20,30.60
"4620127.02",,
"4620128.00",16.50,16.90
"4620129.01",27.30,34.50
"4620129.02",41.80,25.70
"4620130.00",56.40,18.80
"4620131.00",51.90,38.20
"4620132.00",40.70,20.00
"4620133.00",37.40,18.60
"4620134.00",22.30,11.10
"4620135.00",24.90,14.00
"4620136.00",28.40,12.50
"4620137.00",42.30,16.70
"4620138.00",31.20,11.40
"4620139.00",23.90,14.10
"4620140.00",15.10,4.50
"4620141.00",18.50,7.50
"4620142.00",27.60,20.80
"4620143.00",26.60,15.40
"4620144.00",23.20,12.50
"4620145.00",,
"4620146.00",24.60,11.90
"4620147.00",17.90,6.50
"4620148.00",18.80,6.30
"4620149.00",23.60,8.60
"4620150.00",30.20,20.00
"4620151.00",20.80,6.80
"4620152.00",21.80,10.00
"4620153.00",31.10,19.00
"4620154.00",16.60,9.80
"4620155.00",21.90,15.20
"4620156.00",22.10,14.30
"4620157.00",16.10,7.00
"4620158.00",21.80,3.70
"4620159.00",17.00,4.70
"4620160.00",26.20,7.50
"4620161.00",24.80,27.90
"4620162.00",25.20,10.30
"4620163.00",23.70,11.10
"4620164.00",17.90,6.90
"4620165.00",24.00,9.60
"4620166.00",18.40,15.40
"4620167.00",17.80,7.30
"4620168.00",17.20,6.10
"4620169.00",16.90,6.90
"4620170.00",22.30,10.00
"4620171.00",24.90,12.20
"4620172.00",29.70,8.90
"4620173.00",20.80,5.90
"4620174.00",12.20,3.70
"4620175.00",12.50,5.90
"4620176.00",18.70,9.10
"4620177.00",15.20,5.70
"4620178.00",21.10,8.10
"4620179.00",23.50,11.30
"4620180.00",21.80,13.50
"4620181.00",19.80,12.60
"4620182.00",16.20,9.10
"4620183.00",17.60,11.60
"4620184.00",15.10,7.60
"4620185.00",17.20,10.30
"4620186.00",23.00,22.60
"4620187.01",23.10,22.90
"4620187.03",15.70,11.50
"4620187.04",9.30,7.10
"4620188.01",20.40,19.20
"4620188.02",20.30,15.60
"4620189.00",,
"4620190.01",10.70,10.10
"4620190.02",5.50,6.80
"4620191.00",13.30,13.10
"4620192.00",10.70,15.10
"4620193.00",10.70,9.00
"4620194.00",13.20,16.80
"4620195.01",11.30,10.40
"4620195.02",17.00,20.10
