"COL0","COL1","COL2"
"2401023",2.10,1.20
"2401042",4.30,0.00
"2402005",2.60,1.30
"2402010",2.00,0.00
"2402015",5.70,4.30
"2402028",4.50,4.30
"2402047",3.40,1.70
"2402902",,
"2403005",3.50,2.70
"2403010",3.70,8.30
"2403015",,
"2403020",3.40,3.70
"2403025",3.10,0.00
"2403902",,
"2403904",,
"2404005",3.50,0.00
"2404010",4.50,2.90
"2404015",,
"2404020",,
"2404025",3.60,0.00
"2404030",,
"2404037",7.20,5.60
"2404047",6.00,6.20
"2404902",,
"2404904",,
"2405010",3.40,0.00
"2405015",3.90,0.00
"2405020",4.50,16.70
"2405025",3.60,0.00
"2405032",2.40,0.00
"2405040",4.70,2.60
"2405045",2.70,1.10
"2405050",3.30,0.00
"2405055",3.00,0.00
"2405060",3.60,3.20
"2405065",2.20,0.00
"2405070",4.20,4.00
"2405077",2.70,0.00
"2405902",,
"2406005",3.60,3.30
"2406013",3.50,2.20
"2406020",4.00,2.00
"2406025",6.40,0.00
"2406030",11.00,8.50
"2406035",,
"2406040",,
"2406045",5.60,5.00
"2406050",4.30,0.00
"2406055",5.60,5.60
"2406060",,
"2406802",,
"2406804",,
"2406902",,
"2406904",,
"2407005",,
"2407010",5.20,0.00
"2407018",6.60,8.70
"2407025",,
"2407030",3.20,0.00
"2407035",2.80,0.00
"2407040",1.50,0.00
"2407047",5.50,3.60
"2407057",2.30,0.00
"2407065",1.50,0.00
"2407070",6.30,7.70
"2407075",3.40,0.00
"2407080",3.90,2.80
"2407085",5.20,0.00
"2407090",3.00,0.00
"2407095",4.50,0.00
"2407100",5.00,0.00
"2407105",3.50,0.00
"2407902",,
"2407904",,
"2407906",,
"2407908",,
"2407910",,
"2407912",,
"2407914",,
"2408005",6.60,4.20
"2408010",,
"2408015",4.90,14.30
"2408023",3.40,0.00
"2408030",5.80,15.40
"2408035",3.10,3.30
"2408040",,
"2408053",6.40,4.10
"2408065",3.80,0.00
"2408073",3.50,4.00
"2408080",1.70,0.00
"2408902",,
"2409005",6.90,6.30
"2409010",,
"2409015",6.10,4.50
"2409020",8.90,10.00
"2409025",3.90,3.80
"2409030",2.80,3.00
"2409035",4.70,4.90
"2409040",,
"2409048",5.30,6.30
"2409055",2.00,0.00
"2409060",,
"2409065",4.70,5.30
"2409070",2.00,0.00
"2409077",7.60,5.90
"2409085",2.30,0.00
"2409092",3.00,1.00
"2409902",,
"2409904",,
"2410005",2.90,0.00
"2410010",,
"2410015",3.10,0.00
"2410025",4.30,0.00
"2410030",1.60,1.50
"2410043",6.50,3.60
"2410060",4.30,5.90
"2410070",5.00,3.00
"2410075",4.20,0.00
"2410902",,
"2411005",4.40,5.30
"2411010",3.00,1.70
"2411015",3.30,10.00
"2411020",,
"2411025",,
"2411030",5.10,14.30
"2411035",1.90,0.00
"2411040",6.60,6.00
"2411045",3.70,0.00
"2411050",3.10,0.00
"2411055",1.20,0.00
"2411902",,
"2412005",4.20,0.00
"2412010",3.20,2.30
"2412015",1.10,0.50
"2412020",0.40,0.00
"2412025",,
"2412030",3.10,2.60
"2412035",8.10,10.00
"2412043",3.50,0.00
"2412045",,
"2412057",2.00,1.50
"2412065",2.10,1.50
"2412072",5.20,3.30
"2412080",0.90,0.00
"2413005",5.60,3.20
"2413010",,
"2413015",1.70,0.00
"2413020",6.80,9.10
"2413025",6.60,5.30
"2413030",2.60,0.00
"2413040",6.30,6.30
"2413045",3.30,0.00
"2413050",5.80,0.00
"2413055",3.30,0.00
"2413060",3.90,0.00
"2413065",2.90,0.00
"2413073",5.30,5.30
"2413075",,
"2413080",2.90,0.00
"2413085",4.70,7.10
"2413090",3.50,0.00
"2413095",3.40,3.50
"2413100",4.80,0.00
"2414005",3.30,3.10
"2414010",2.90,0.00
"2414018",4.10,2.60
"2414025",2.20,0.00
"2414030",2.60,0.00
"2414035",2.00,0.00
"2414040",3.60,0.00
"2414045",3.50,0.00
"2414050",3.30,5.00
"2414055",1.00,5.90
"2414060",2.40,3.30
"2414065",1.10,0.00
"2414070",3.00,4.00
"2414075",2.80,0.00
"2414080",3.60,5.00
"2414085",7.10,3.70
"2414090",1.20,0.00
"2414902",,
"2414904",,
"2415005",1.60,0.00
"2415013",3.70,2.30
"2415025",2.60,3.00
"2415030",1.80,0.00
"2415035",3.30,1.80
"2415058",3.10,3.00
"2415065",,
"2415902",,
"2415904",,
"2416005",1.90,0.00
"2416013",3.30,1.40
"2416023",1.80,4.20
"2416048",2.30,0.00
"2416050",2.30,0.00
"2416055",2.20,2.00
"2416902",,
"2417005",5.50,0.00
"2417010",3.00,1.40
"2417015",3.00,0.00
"2417020",2.40,0.00
"2417025",5.30,7.10
"2417030",2.90,1.90
"2417035",5.20,5.00
"2417040",3.60,6.70
"2417045",2.10,0.00
"2417055",3.10,3.80
"2417060",3.00,0.00
"2417065",2.70,3.10
"2417070",3.20,2.70
"2417078",2.80,2.20
"2418005",6.90,5.60
"2418010",,
"2418015",7.30,4.00
"2418020",3.60,0.00
"2418025",2.80,0.00
"2418030",3.30,0.00
"2418035",1.60,0.00
"2418040",3.80,0.00
"2418045",2.20,0.90
"2418050",5.60,3.20
"2418055",2.20,0.00
"2418060",3.40,1.50
"2418065",2.00,1.90
"2418070",,
"2419005",2.90,6.30
"2419010",2.70,0.00
"2419015",2.90,0.00
"2419020",4.40,2.80
"2419025",1.00,0.00
"2419030",5.30,4.80
"2419037",4.20,2.00
"2419045",3.40,4.20
"2419050",2.00,0.00
"2419055",2.60,0.80
"2419062",2.90,3.00
"2419068",1.40,0.70
"2419070",1.90,0.00
"2419075",1.90,3.00
"2419082",3.90,2.10
"2419090",2.60,3.40
"2419097",1.50,0.00
"2419105",0.90,0.80
"2419110",2.00,1.40
"2419117",3.80,4.80
"2420005",1.90,0.00
"2420010",2.80,6.50
"2420015",1.90,3.60
"2420020",1.00,0.00
"2420025",1.80,2.80
"2420030",1.50,0.00
"2421005",3.70,2.10
"2421010",2.60,2.60
"2421015",,
"2421020",2.10,3.80
"2421025",2.80,0.80
"2421030",4.60,4.30
"2421035",2.80,1.20
"2421040",3.20,2.00
"2421045",1.60,0.50
"2421902",,
"2421904",,
"2422005",1.20,1.00
