"COL0","COL1","COL2"
"2401",2.20,1.50
"24010018",4.30,0.00
"24010019",3.00,0.00
"24010020",2.10,0.00
"24010021",2.90,0.00
"24010022",1.90,0.00
"24010023",2.80,7.70
"24010024",2.30,12.50
"24010025",1.10,0.00
"24010026",6.70,0.00
"24010027",1.60,0.00
"24010028",2.20,0.00
"24010029",0.90,0.00
"24010030",1.80,0.00
"24010031",1.70,0.00
"24010032",1.00,0.00
"24010033",0.90,0.00
"24010034",1.60,5.00
"24010035",2.30,4.30
"24010036",2.50,5.90
"24010037",2.20,3.70
"24010038",2.30,10.00
"2402",4.20,3.70
"24020035",3.30,0.00
"24020036",1.10,0.00
"24020037",4.10,9.10
"24020038",2.60,0.00
"24020039",3.60,0.00
"24020040",1.10,0.00
"24020041",3.80,0.00
"24020042",0.80,0.00
"24020043",4.00,0.00
"24020044",7.70,6.70
"24020045",10.80,13.30
"24020046",4.70,0.00
"24020047",5.90,0.00
"24020048",3.80,7.10
"24020049",5.10,6.30
"24020050",3.50,7.10
"24020051",2.80,0.00
"24020052",2.20,0.00
"24020053",8.00,6.30
"24020054",8.20,0.00
"24020055",3.50,0.00
"24020056",3.70,0.00
"24020057",12.10,17.60
"24020058",5.60,4.20
"24020059",3.20,8.30
"24020060",4.80,0.00
"24020061",2.40,0.00
"24020062",2.10,0.00
"24020063",3.40,0.00
"24020064",2.40,0.00
"24020065",5.00,0.00
"24020066",4.70,7.70
"24020067",1.20,0.00
"24020068",,
"24020069",3.60,14.30
"2403",3.50,2.70
"24030034",0.00,0.00
"24030035",4.90,12.50
"24030036",,
"24030037",2.90,0.00
"24030038",2.90,6.30
"24030039",,
"24030040",2.90,0.00
"24030041",3.30,0.00
"24030042",,
"24030043",1.50,0.00
"24030044",2.10,0.00
"24030045",1.10,0.00
"24030046",1.40,0.00
"24030047",3.20,0.00
"24030048",6.50,0.00
"24030049",6.40,0.00
"24030050",10.30,10.50
"24030051",5.70,5.40
"24030052",1.60,0.00
"24030053",2.70,0.00
"24030054",5.30,0.00
"24030055",1.40,0.00
"24030056",2.00,0.00
"24030057",3.60,0.00
"24030058",3.00,11.10
"24030059",4.30,0.00
"24030060",2.20,8.30
"24030061",1.70,0.00
"24030062",1.70,3.10
"24030063",5.20,4.20
"24030064",3.20,7.10
"24030065",4.20,0.00
"2404",6.40,5.30
"24040028",3.50,0.00
"24040029",3.90,0.00
"24040030",7.60,11.10
"24040031",2.60,0.00
"24040032",,
"24040033",,
"24040034",3.60,0.00
"24040035",,
"24040036",,
"24040037",3.20,0.00
"24040038",4.40,6.70
"24040039",7.10,14.30
"24040040",7.50,0.00
"24040041",7.20,5.30
"24040042",6.90,4.50
"24040043",13.80,14.30
"24040044",16.30,16.70
"24040045",9.70,7.10
"24040046",10.80,0.00
"24040047",2.20,0.00
"24040048",1.30,0.00
"24040049",4.70,0.00
"24040050",3.80,0.00
"24040051",3.70,0.00
"24040052",1.50,0.00
"24040053",8.30,9.10
"24040054",6.10,0.00
"24040055",9.10,12.50
"24040056",6.70,14.30
"24040057",,
"2405",3.30,2.20
"24050035",,
"24050036",2.10,0.00
"24050037",3.30,0.00
"24050038",2.50,0.00
"24050039",2.10,0.00
"24050040",4.40,0.00
"24050041",1.00,0.00
"24050042",3.30,0.00
"24050043",1.40,0.00
"24050044",6.20,11.10
"24050045",5.10,0.00
"24050046",3.40,7.70
"24050047",5.80,0.00
"24050048",1.10,0.00
"24050049",2.60,11.10
"24050050",2.20,0.00
"24050051",2.10,0.00
"24050052",2.40,0.00
"24050053",1.10,0.00
"24050054",3.60,0.00
"24050055",2.90,15.40
"24050056",3.90,10.00
"24050057",1.70,0.00
"24050058",3.50,5.90
"24050059",4.80,5.00
"24050060",4.50,0.00
"24050061",3.20,0.00
"24050062",2.00,0.00
"24050063",3.40,0.00
"24050064",1.90,0.00
"24050065",13.30,23.10
"24050066",6.30,4.20
"24050067",1.80,0.00
"24050068",1.80,0.00
"24050069",2.40,6.30
"24050070",2.10,0.00
"2406",4.80,4.00
"24060034",,
"24060035",3.10,6.70
"24060036",2.30,5.00
"24060037",8.10,0.00
"24060038",4.80,5.00
"24060039",1.80,4.20
"24060040",2.00,0.00
"24060041",3.10,9.50
"24060042",7.60,9.10
"24060043",2.00,0.00
"24060044",3.00,0.00
"24060045",3.50,0.00
"24060046",3.40,0.00
"24060047",3.80,6.30
"24060048",4.40,0.00
"24060049",4.60,11.10
"24060050",4.20,0.00
"24060051",3.20,0.00
"24060052",6.40,5.90
"24060053",13.60,15.40
"24060054",,
"24060055",,
"24060056",11.10,11.80
"24060057",7.30,0.00
"24060058",,
"24060061",,
"24060062",4.80,5.00
"24060063",,
"24060064",4.30,0.00
"24060065",5.20,0.00
"24060066",5.80,0.00
"24060067",,
"24060068",,
"24060069",,
"24060071",,
"2407",4.80,3.50
"24070049",,
"24070050",,
"24070051",,
"24070052",3.20,6.30
"24070053",14.80,21.40
"24070054",6.30,9.10
"24070055",7.60,8.30
"24070056",2.80,6.30
"24070057",2.40,0.00
"24070058",1.90,5.90
"24070059",2.90,0.00
"24070060",6.30,0.00
"24070061",4.60,2.90
"24070062",6.70,0.00
"24070063",11.10,17.90
"24070064",13.30,0.00
"24070065",4.70,0.00
"24070066",7.80,0.00
"24070067",5.60,0.00
"24070068",1.10,0.00
"24070069",2.60,3.40
"24070070",2.20,0.00
"24070071",1.60,0.00
"24070072",2.00,4.50
"24070073",6.30,0.00
"24070074",,
"24070075",3.20,0.00
"24070076",7.80,0.00
"24070077",,
"24070078",4.80,6.70
"24070079",3.00,0.00
"24070080",5.40,0.00
"24070081",5.10,0.00
"24070082",4.70,0.00
"24070083",,
"24070084",3.00,0.00
"24070085",6.20,0.00
"24070086",1.90,0.00
"24070087",2.80,0.00
"24070088",,
"24070089",,
"24070090",,
"24070091",5.30,7.70
"24070092",,
"24070093",2.30,0.00
"24070094",6.30,14.30
"24070095",3.00,0.00
"2408",5.70,4.10
"24080043",7.40,9.10
"24080044",6.80,0.00
"24080045",6.60,16.70
"24080046",,
"24080047",3.00,0.00
"24080048",3.80,0.00
"24080049",5.10,15.40
"24080050",2.30,0.00
"24080051",1.10,0.00
"24080052",4.10,4.50
"24080053",6.70,0.00
"24080054",8.00,6.70
"24080055",5.20,5.90
"24080056",2.00,0.00
"24080057",7.20,0.00
"24080058",10.00,9.10
"24080059",6.00,10.00
"24080060",16.10,11.80
"24080061",4.10,5.00
"24080062",8.50,11.10
"24080063",1.50,0.00
"24080064",9.90,8.30
"24080065",9.50,8.30
"24080066",6.90,0.00
"24080067",5.00,0.00
"24080068",2.10,0.00
"24080069",2.40,0.00
"24080070",7.00,0.00
"24080071",11.00,7.10
"24080072",21.00,10.00
"24080073",13.30,0.00
"24080074",4.80,0.00
"24080075",1.00,0.00
"24080076",10.70,16.70
"24080077",2.40,0.00
"24080078",4.00,0.00
"24080079",1.90,0.00
"24080080",,
"24080081",4.70,6.70
"24080082",,
"24080083",3.80,0.00
"24080084",3.80,0.00
"24080085",4.80,5.30
"24080086",1.70,0.00
"24080087",1.90,0.00
"24080088",2.20,6.70
"2409",5.20,3.70
"24090035",5.30,0.00
"24090036",,
"24090037",1.00,0.00
"24090038",5.40,5.00
"24090039",6.50,5.90
"24090040",2.80,6.30
"24090041",4.90,4.30
"24090042",,
"24090043",2.90,0.00
"24090044",,
"24090045",16.20,20.00
"24090046",4.50,4.30
"24090047",3.30,0.00
"24090048",8.40,4.80
"24090049",11.10,0.00
"24090050",19.10,0.00
"24090051",10.50,15.40
"24090052",5.20,9.10
"24090053",4.40,0.00
"24090054",6.10,6.30
"24090055",1.30,0.00
"24090056",5.20,5.00
"24090057",3.10,0.00
"24090058",,
"24090059",2.00,0.00
"24090060",3.40,0.00
"24090061",2.40,0.00
"24090062",3.30,0.00
"24090063",2.80,0.00
"24090064",5.80,7.70
"24090065",6.10,4.50
"24090066",,
"24090067",5.80,6.30
"24090068",7.10,11.10
"24090069",6.30,9.50
"24090070",3.20,0.00
"24090071",,
"24090072",,
"24090073",4.40,6.30
"24090074",1.20,0.00
"24090075",2.30,0.00
"24090076",3.00,0.00
"24090077",2.10,0.00
"2410",6.00,3.50
"24100074",2.30,4.00
"24100075",1.70,5.00
"24100076",3.10,5.10
"24100077",0.00,0.00
"24100078",2.60,4.80
"24100079",0.00,0.00
"24100080",6.70,8.30
"24100081",2.60,4.80
"24100082",2.30,0.00
"24100083",3.60,1.70
"24100084",9.20,0.00
"24100085",6.80,7.70
"24100086",12.10,14.30
"24100087",17.70,9.70
"24100088",18.60,17.60
"24100089",26.20,0.00
"24100090",28.80,14.30
"24100091",21.40,0.00
"24100092",12.20,50.00
"24100093",33.00,33.30
"24100094",16.70,16.70
"24100095",21.50,25.00
"24100096",9.60,5.30
"24100097",0.70,0.00
"24100098",3.20,0.00
"24100099",9.00,18.80
"24100100",18.70,9.10
"24100101",9.40,20.00
"24100102",11.60,6.70
"24100106",3.80,4.80
"24100107",0.50,0.00
"24100108",6.30,16.00
"24100109",4.60,0.00
"24100110",7.00,0.00
"24100111",13.00,20.00
"24100112",17.30,8.30
"24100113",28.40,11.10
"24100114",25.40,11.10
"24100115",3.40,2.50
"24100116",1.90,0.00
"24100117",1.10,0.00
"24100118",3.10,0.00
"24100119",4.50,0.00
"24100120",6.50,0.00
"24100121",13.50,14.30
"24100122",3.40,3.80
"24100123",1.30,0.00
"24100124",1.00,0.00
"24100125",1.10,5.60
"24100126",0.00,0.00
"24100127",0.00,0.00
"24100128",2.10,4.00
"24100129",3.20,5.90
"24100130",2.60,0.00
"24100131",5.30,5.00
"24100132",2.60,4.50
"24100133",0.00,0.00
"24100134",1.40,0.00
"24100135",3.40,4.80
"24100136",5.30,7.10
"24100137",2.40,0.00
"24100138",4.30,4.20
"24100139",2.40,0.00
"24100140",0.50,0.00
"24100141",0.00,0.00
"24100142",0.90,0.00
"24100143",1.70,2.60
"24100144",1.70,0.00
"24100145",1.20,0.00
"24100146",2.40,0.00
"24100147",2.30,2.60
"24100148",1.20,0.00
"24100149",2.90,0.00
"24100150",3.70,0.00
"24100151",,
"24100152",2.90,0.00
"24100153",,
"24100154",4.10,0.00
"24100155",4.80,4.80
"24100156",3.80,0.00
"24100157",3.60,0.00
"24100158",7.70,6.30
"24100159",6.90,9.10
"24100160",11.80,14.30
"24100161",18.10,22.20
"24100162",1.70,0.00
"24100163",,
"24100164",0.00,0.00
"24100167",1.20,0.00
"24100168",2.10,0.00
"2411",4.50,3.90
"24110021",1.20,0.00
"24110022",3.10,6.30
"24110023",,
"24110024",,
"24110025",,
"24110026",1.20,0.00
"24110027",3.30,0.00
"24110028",4.50,6.70
"24110029",1.50,0.00
"24110030",3.80,0.00
"24110031",3.80,15.40
"24110032",1.50,0.00
"24110033",5.80,9.10
"24110034",7.90,7.10
"24110035",9.80,9.10
"24110036",8.60,12.50
"24110037",4.30,0.00
"24110038",5.80,5.90
"24110039",5.50,0.00
"24110040",2.80,0.00
"24110041",5.30,0.00
"24110042",1.90,14.30
"24110043",5.60,5.30
"2412",3.90,2.30
"24120050",4.00,0.00
"24120051",2.90,0.00
"24120052",3.90,0.00
"24120053",3.10,0.00
"24120054",8.10,10.00
"24120055",,
"24120056",1.50,0.00
"24120057",0.70,0.00
"24120058",1.10,0.00
"24120059",1.30,0.00
"24120060",1.30,0.00
"24120061",0.00,0.00
"24120062",4.10,0.00
"24120063",0.60,0.00
"24120064",1.10,0.00
"24120065",4.20,6.30
"24120066",11.30,23.50
"24120067",8.80,13.30
"24120068",10.40,0.00
"24120069",4.10,7.10
"24120070",3.60,0.00
"24120071",3.80,0.00
"24120072",10.50,7.10
"24120073",18.00,8.30
"24120074",19.50,0.00
"24120075",9.70,0.00
"24120076",16.30,9.10
"24120077",1.20,0.00
"24120078",6.90,13.30
"24120079",6.70,12.50
"24120080",13.50,0.00
"24120081",6.60,7.70
"24120082",2.50,0.00
"24120083",1.40,0.00
"24120084",2.20,0.00
"24120085",1.20,0.00
"24120086",4.30,16.70
"24120087",2.40,5.30
"24120088",6.80,9.50
"24120089",1.00,0.00
"24120090",1.50,0.00
"24120091",3.60,0.00
"24120092",1.50,0.00
"24120093",3.80,2.40
"24120094",1.50,0.00
"24120095",1.20,0.00
"24120096",2.20,0.00
"24120097",1.10,0.00
"24120098",0.00,0.00
"24120099",0.00,0.00
"24120100",0.00,0.00
"24120101",2.00,0.00
"24120102",1.80,0.00
"24120106",2.50,6.30
"24120107",3.60,0.00
"24120108",5.10,0.00
"24120109",1.40,0.00
"24120110",,
"24120111",2.10,2.60
"24120112",2.00,0.00
"24120113",4.00,6.30
"24120117",2.50,0.00
"24120118",3.30,0.00
"24120119",0.90,0.00
"2413",4.60,3.10
"24130039",4.90,0.00
"24130040",4.20,11.10
"24130041",3.10,0.00
"24130042",2.90,0.00
"24130043",3.30,0.00
"24130044",5.80,0.00
"24130045",4.40,0.00
"24130046",3.90,4.20
"24130047",6.30,6.30
"24130048",2.60,0.00
"24130049",5.70,0.00
"24130050",9.70,5.60
"24130051",7.60,8.00
"24130052",,
"24130053",1.70,0.00
"24130054",6.80,0.00
"24130055",6.80,6.70
"24130056",4.50,0.00
"24130057",8.80,0.00
"24130058",5.90,16.70
"24130059",2.60,0.00
"24130060",1.60,0.00
"24130061",1.30,0.00
"24130062",5.30,6.70
"24130063",2.40,0.00
"24130064",4.80,0.00
"24130065",4.40,0.00
"24130066",4.70,6.70
"24130067",2.90,0.00
"24130068",3.90,0.00
"24130069",2.10,0.00
"24130070",1.60,0.00
"24130071",5.40,4.80
"24130072",10.50,19.00
"24130073",7.90,12.50
"24130074",9.80,5.60
"24130075",2.00,0.00
"24130076",1.20,0.00
"24130077",2.60,0.00
"24130078",9.00,6.30
"24130079",5.60,9.10
"24130080",6.00,0.00
"24130081",,
"24130082",2.60,0.00
"2414",3.50,1.80
"24140048",2.70,0.00
"24140049",1.40,0.00
"24140050",1.90,2.50
"24140051",2.10,0.00
