"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7"
"2401",12190.00,1680.00,7695.00,1340.00,85.00,515.00,735.00
"2402",17045.00,2300.00,10160.00,3250.00,400.00,1575.00,1275.00
"2403",16705.00,2740.00,10405.00,2295.00,310.00,1025.00,960.00
"2404",10955.00,1605.00,6565.00,2495.00,345.00,1275.00,875.00
"2405",17200.00,2705.00,10175.00,2810.00,400.00,1270.00,1140.00
"2406",12160.00,2025.00,7315.00,2085.00,280.00,1040.00,765.00
"2407",17385.00,3145.00,10560.00,3515.00,435.00,1700.00,1385.00
"2408",20585.00,3275.00,12310.00,3840.00,455.00,1890.00,1500.00
"2409",17530.00,3375.00,10445.00,3295.00,525.00,1615.00,1155.00
"2410",54645.00,9635.00,34300.00,7260.00,870.00,4305.00,2090.00
"2411",8265.00,1275.00,4710.00,1710.00,195.00,750.00,765.00
"2412",32600.00,6255.00,19940.00,4210.00,575.00,2270.00,1365.00
"2413",18850.00,3250.00,11250.00,3285.00,480.00,1675.00,1135.00
"2414",20110.00,3675.00,11950.00,2710.00,310.00,1300.00,1095.00
"2415",15180.00,2535.00,8915.00,2030.00,235.00,885.00,905.00
"2416",12530.00,2040.00,7200.00,1485.00,125.00,665.00,690.00
"2417",17235.00,2960.00,10235.00,2545.00,345.00,1140.00,1060.00
"2418",22040.00,3700.00,13035.00,3510.00,430.00,1660.00,1425.00
"2419",36045.00,7470.00,21820.00,3800.00,610.00,1720.00,1470.00
"2420",6965.00,1160.00,4020.00,495.00,70.00,230.00,200.00
"2421",27410.00,5590.00,16990.00,2095.00,320.00,1085.00,695.00
"2422",42970.00,11715.00,27265.00,1915.00,415.00,1100.00,405.00
"2423",550785.00,95125.00,353090.00,65065.00,9620.00,40170.00,15275.00
"2425",140250.00,29270.00,88620.00,9920.00,1670.00,5455.00,2800.00
"2426",35850.00,8320.00,22270.00,2915.00,510.00,1495.00,910.00
"2427",18525.00,4080.00,10965.00,2375.00,440.00,1105.00,840.00
"2428",15990.00,2865.00,9505.00,2225.00,300.00,1170.00,760.00
"2429",50890.00,10705.00,31665.00,6480.00,1110.00,3550.00,1820.00
"2430",21020.00,4030.00,12445.00,3185.00,510.00,1645.00,1030.00
"2431",40760.00,6940.00,23625.00,6560.00,930.00,3350.00,2275.00
"2432",22740.00,4605.00,13505.00,3235.00,485.00,1615.00,1140.00
"2433",31030.00,6570.00,19290.00,3260.00,560.00,1555.00,1150.00
"2434",51365.00,9875.00,31570.00,6005.00,880.00,2905.00,2220.00
"2435",12060.00,1745.00,6900.00,2385.00,320.00,1055.00,1000.00
"2436",47425.00,7115.00,28480.00,10300.00,1490.00,5740.00,3060.00
"2437",147280.00,25675.00,92010.00,25830.00,4315.00,15245.00,6270.00
"2438",19635.00,3755.00,11955.00,2900.00,530.00,1425.00,945.00
"2439",69525.00,14160.00,42355.00,10370.00,1830.00,5605.00,2935.00
"2440",13770.00,2700.00,7725.00,2750.00,575.00,1410.00,765.00
"2441",21895.00,4520.00,13160.00,3700.00,700.00,1940.00,1065.00
"2442",29955.00,6315.00,18385.00,3740.00,705.00,2020.00,1010.00
