"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7"
"2401",12190.00,1680.00,7695.00,1340.00,85.00,515.00,735.00
"24010018",465.00,65.00,315.00,50.00,5.00,25.00,25.00
"24010019",495.00,55.00,335.00,60.00,5.00,25.00,25.00
"24010020",485.00,60.00,300.00,45.00,0.00,10.00,25.00
"24010021",520.00,90.00,355.00,50.00,10.00,30.00,15.00
"24010022",530.00,60.00,345.00,65.00,5.00,20.00,40.00
"24010023",535.00,65.00,325.00,60.00,5.00,15.00,35.00
"24010024",440.00,40.00,285.00,40.00,5.00,20.00,25.00
"24010025",440.00,75.00,275.00,30.00,0.00,15.00,20.00
"24010026",450.00,55.00,255.00,65.00,5.00,30.00,35.00
"24010027",620.00,80.00,385.00,40.00,0.00,15.00,20.00
"24010028",680.00,115.00,445.00,40.00,0.00,20.00,20.00
"24010029",560.00,80.00,350.00,70.00,5.00,20.00,50.00
"24010030",570.00,120.00,335.00,60.00,5.00,30.00,35.00
"24010031",605.00,100.00,375.00,50.00,0.00,15.00,30.00
"24010032",515.00,65.00,340.00,70.00,5.00,25.00,35.00
"24010033",545.00,70.00,320.00,70.00,5.00,20.00,50.00
"24010034",645.00,100.00,375.00,80.00,10.00,30.00,45.00
"24010035",665.00,115.00,440.00,45.00,0.00,30.00,20.00
"24010036",610.00,85.00,415.00,60.00,5.00,25.00,25.00
"24010037",1150.00,135.00,705.00,170.00,10.00,45.00,115.00
"24010038",660.00,50.00,420.00,115.00,10.00,60.00,50.00
"2402",17045.00,2300.00,10160.00,3250.00,400.00,1575.00,1275.00
"24020035",450.00,45.00,255.00,75.00,5.00,25.00,45.00
"24020036",440.00,30.00,255.00,90.00,5.00,30.00,55.00
"24020037",485.00,55.00,290.00,90.00,5.00,40.00,45.00
"24020038",390.00,75.00,230.00,100.00,15.00,40.00,40.00
"24020039",415.00,65.00,255.00,75.00,10.00,35.00,25.00
"24020040",465.00,70.00,275.00,65.00,15.00,30.00,25.00
"24020041",400.00,30.00,265.00,60.00,0.00,40.00,20.00
"24020042",605.00,90.00,385.00,95.00,10.00,45.00,35.00
"24020043",495.00,60.00,335.00,85.00,5.00,55.00,25.00
"24020044",520.00,75.00,340.00,150.00,20.00,90.00,35.00
"24020045",510.00,75.00,290.00,180.00,35.00,95.00,50.00
"24020046",425.00,45.00,255.00,95.00,10.00,45.00,45.00
"24020047",425.00,65.00,275.00,65.00,10.00,35.00,20.00
"24020048",530.00,70.00,330.00,75.00,10.00,35.00,25.00
"24020049",495.00,80.00,305.00,85.00,5.00,35.00,40.00
"24020050",575.00,70.00,350.00,100.00,5.00,45.00,45.00
"24020051",360.00,60.00,220.00,45.00,5.00,20.00,25.00
"24020052",695.00,150.00,395.00,75.00,15.00,30.00,30.00
"24020053",440.00,80.00,240.00,150.00,35.00,85.00,35.00
"24020054",425.00,60.00,235.00,125.00,10.00,60.00,60.00
"24020055",565.00,75.00,330.00,70.00,5.00,40.00,25.00
"24020056",405.00,50.00,230.00,45.00,5.00,25.00,20.00
"24020057",495.00,85.00,295.00,140.00,30.00,85.00,25.00
"24020058",805.00,120.00,465.00,135.00,25.00,75.00,40.00
"24020059",465.00,60.00,295.00,65.00,10.00,30.00,30.00
"24020060",630.00,65.00,380.00,115.00,10.00,65.00,45.00
"24020061",1030.00,110.00,605.00,175.00,20.00,100.00,60.00
"24020062",470.00,55.00,260.00,75.00,5.00,30.00,35.00
"24020063",435.00,55.00,240.00,60.00,10.00,15.00,30.00
"24020064",420.00,50.00,240.00,75.00,10.00,30.00,35.00
"24020065",505.00,50.00,295.00,150.00,20.00,60.00,70.00
"24020066",430.00,65.00,240.00,110.00,15.00,40.00,55.00
"24020067",410.00,75.00,245.00,75.00,15.00,30.00,35.00
"24020068",,,,,,,
"24020069",420.00,35.00,250.00,100.00,5.00,40.00,55.00
"2403",16705.00,2740.00,10405.00,2295.00,310.00,1025.00,960.00
"24030034",255.00,25.00,150.00,60.00,5.00,20.00,35.00
"24030035",410.00,40.00,245.00,90.00,10.00,30.00,55.00
"24030036",,,,,,,
"24030037",515.00,60.00,325.00,80.00,0.00,30.00,50.00
"24030038",520.00,80.00,305.00,65.00,5.00,20.00,40.00
"24030039",,,,,,,
"24030040",345.00,70.00,200.00,70.00,20.00,30.00,20.00
"24030041",300.00,40.00,170.00,50.00,5.00,20.00,20.00
"24030042",,,,,,,
"24030043",330.00,65.00,210.00,35.00,0.00,20.00,15.00
"24030044",975.00,175.00,650.00,70.00,10.00,30.00,30.00
"24030045",910.00,195.00,565.00,40.00,10.00,10.00,20.00
"24030046",345.00,60.00,195.00,35.00,0.00,10.00,20.00
"24030047",470.00,70.00,295.00,50.00,5.00,20.00,25.00
"24030048",460.00,70.00,260.00,45.00,0.00,30.00,15.00
"24030049",1335.00,220.00,850.00,170.00,20.00,110.00,35.00
"24030050",435.00,95.00,240.00,165.00,40.00,80.00,40.00
"24030051",870.00,185.00,575.00,140.00,30.00,80.00,25.00
"24030052",625.00,105.00,455.00,30.00,0.00,20.00,10.00
"24030053",565.00,125.00,365.00,70.00,10.00,30.00,25.00
"24030054",475.00,90.00,305.00,65.00,10.00,45.00,15.00
"24030055",700.00,110.00,425.00,70.00,15.00,30.00,25.00
"24030056",495.00,65.00,275.00,75.00,10.00,35.00,35.00
"24030057",560.00,110.00,335.00,120.00,25.00,55.00,45.00
"24030058",335.00,45.00,195.00,55.00,5.00,10.00,40.00
"24030059",470.00,65.00,295.00,100.00,15.00,45.00,45.00
"24030060",445.00,60.00,270.00,65.00,10.00,25.00,30.00
"24030061",580.00,90.00,350.00,80.00,10.00,30.00,45.00
"24030062",900.00,160.00,585.00,95.00,10.00,35.00,45.00
"24030063",670.00,120.00,450.00,70.00,5.00,35.00,30.00
"24030064",770.00,70.00,465.00,120.00,15.00,40.00,65.00
"24030065",475.00,75.00,300.00,75.00,10.00,30.00,35.00
