"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7"
"4080000.00",157165.00,28625.00,98415.00,20730.00,3105.00,12010.00,5620.00
"4080001.00",3795.00,630.00,2375.00,480.00,70.00,270.00,140.00
"4080002.01",2815.00,545.00,1735.00,365.00,55.00,230.00,80.00
"4080002.02",5405.00,590.00,2890.00,630.00,40.00,270.00,325.00
"4080003.01",3790.00,665.00,2410.00,360.00,85.00,165.00,110.00
"4080003.02",2955.00,555.00,1800.00,205.00,40.00,115.00,55.00
"4080004.00",3415.00,365.00,2085.00,905.00,50.00,620.00,235.00
"4080005.00",3075.00,390.00,2060.00,805.00,105.00,565.00,140.00
"4080006.00",3255.00,250.00,2030.00,1490.00,95.00,930.00,470.00
"4080007.00",2625.00,480.00,1740.00,535.00,90.00,330.00,120.00
"4080008.00",5160.00,935.00,3265.00,630.00,130.00,360.00,135.00
"4080100.00",3685.00,775.00,2205.00,185.00,20.00,100.00,65.00
"4080101.00",3995.00,725.00,2550.00,535.00,80.00,315.00,145.00
"4080102.00",2685.00,570.00,1620.00,280.00,75.00,140.00,65.00
"4080103.00",7265.00,1580.00,4445.00,340.00,50.00,200.00,90.00
"4080104.00",7315.00,1465.00,4590.00,885.00,185.00,505.00,195.00
"4080105.00",3080.00,495.00,1960.00,850.00,140.00,550.00,160.00
"4080106.00",3165.00,475.00,2020.00,650.00,105.00,385.00,155.00
"4080107.02",3055.00,420.00,1880.00,365.00,40.00,230.00,90.00
"4080107.03",7625.00,1355.00,5005.00,1010.00,155.00,610.00,250.00
"4080107.04",950.00,155.00,635.00,100.00,15.00,50.00,35.00
"4080108.00",1940.00,200.00,1255.00,730.00,65.00,450.00,220.00
"4080109.00",2020.00,270.00,1355.00,750.00,115.00,485.00,155.00
"4080110.00",5560.00,980.00,3475.00,750.00,105.00,455.00,190.00
"4080111.03",1490.00,295.00,925.00,125.00,20.00,80.00,25.00
"4080111.04",2555.00,395.00,1675.00,180.00,15.00,105.00,65.00
"4080120.01",3435.00,830.00,2120.00,225.00,30.00,110.00,80.00
"4080120.03",5705.00,1390.00,3595.00,580.00,130.00,315.00,135.00
"4080120.04",1145.00,230.00,705.00,95.00,15.00,45.00,35.00
"4080120.05",1655.00,370.00,1050.00,135.00,35.00,60.00,45.00
"4080130.00",4090.00,760.00,2520.00,480.00,70.00,265.00,140.00
"4080131.00",4390.00,915.00,2770.00,395.00,100.00,200.00,100.00
"4080132.00",3380.00,730.00,2120.00,260.00,50.00,135.00,80.00
"4080133.00",3865.00,770.00,2390.00,480.00,60.00,285.00,135.00
"4080140.00",4500.00,835.00,2870.00,305.00,40.00,165.00,95.00
"4080150.00",6340.00,1440.00,3995.00,415.00,95.00,210.00,105.00
"4080160.00",6460.00,1215.00,3990.00,920.00,170.00,485.00,260.00
"4080161.00",2475.00,550.00,1655.00,215.00,30.00,110.00,70.00
"4080162.00",6360.00,1135.00,4080.00,890.00,130.00,505.00,245.00
"4080163.00",2930.00,465.00,1825.00,270.00,40.00,135.00,95.00
"4080164.00",2070.00,425.00,1200.00,230.00,45.00,110.00,75.00
"4080165.00",955.00,130.00,620.00,85.00,10.00,35.00,40.00
"4080166.00",425.00,75.00,250.00,90.00,25.00,40.00,25.00
"4080167.00",2760.00,495.00,1720.00,310.00,60.00,165.00,85.00
"4080168.00",725.00,125.00,470.00,60.00,10.00,30.00,20.00
"4080169.00",815.00,165.00,505.00,145.00,25.00,75.00,50.00
"4210000.00",776965.00,145710.00,495155.00,79480.00,12105.00,48010.00,19365.00
"4210001.01",4325.00,365.00,2235.00,820.00,55.00,470.00,290.00
"4210001.02",3265.00,460.00,2175.00,385.00,45.00,295.00,45.00
"4210002.00",1415.00,155.00,910.00,270.00,15.00,125.00,130.00
"4210003.00",6655.00,565.00,4120.00,730.00,80.00,525.00,120.00
"4210004.00",575.00,35.00,365.00,90.00,0.00,45.00,40.00
"4210005.00",3480.00,345.00,2135.00,395.00,35.00,275.00,80.00
"4210006.00",4740.00,580.00,3210.00,820.00,100.00,585.00,135.00
"4210007.00",2065.00,200.00,1565.00,610.00,60.00,445.00,110.00
"4210008.00",1445.00,140.00,1070.00,330.00,30.00,215.00,80.00
"4210009.00",2060.00,180.00,1495.00,600.00,40.00,400.00,160.00
"4210010.00",2525.00,415.00,1740.00,770.00,145.00,485.00,140.00
"4210011.00",1630.00,145.00,1265.00,425.00,40.00,300.00,85.00
"4210012.00",2290.00,295.00,1675.00,710.00,75.00,465.00,170.00
"4210013.00",1450.00,225.00,1075.00,420.00,75.00,300.00,45.00
"4210014.00",2035.00,185.00,1540.00,535.00,20.00,415.00,100.00
"4210015.00",3960.00,325.00,2160.00,655.00,45.00,360.00,250.00
"4210016.00",2145.00,145.00,1620.00,570.00,25.00,445.00,95.00
"4210017.00",,,,,,,
"4210018.00",1135.00,85.00,935.00,315.00,10.00,270.00,40.00
"4210019.00",2625.00,245.00,2140.00,710.00,55.00,575.00,85.00
"4210020.00",3265.00,385.00,2570.00,1160.00,170.00,825.00,165.00
"4210021.00",1680.00,130.00,1245.00,430.00,25.00,310.00,95.00
"4210022.00",2255.00,195.00,1565.00,830.00,55.00,515.00,265.00
"4210023.00",510.00,75.00,340.00,130.00,35.00,70.00,30.00
"4210024.00",895.00,30.00,720.00,150.00,5.00,130.00,20.00
"4210025.00",710.00,35.00,455.00,125.00,5.00,100.00,20.00
"4210026.00",4710.00,630.00,3125.00,1240.00,150.00,790.00,300.00
"4210027.00",2040.00,260.00,1505.00,480.00,75.00,290.00,115.00
"4210028.00",1655.00,165.00,1230.00,530.00,45.00,370.00,110.00
"4210029.00",2235.00,310.00,1560.00,625.00,65.00,400.00,165.00
"4210030.00",3010.00,430.00,2135.00,615.00,70.00,430.00,115.00
"4210031.00",2485.00,370.00,1725.00,995.00,180.00,660.00,155.00
"4210032.00",1225.00,55.00,755.00,200.00,10.00,150.00,35.00
"4210033.01",3485.00,450.00,2230.00,990.00,120.00,600.00,270.00
"4210033.02",3405.00,430.00,2230.00,690.00,110.00,425.00,155.00
