"COL0","COL1","COL2","COL3","COL4"
"2401",12475.00,1405.00,8060.00,3010.00
"24010018",465.00,50.00,330.00,85.00
"24010019",495.00,40.00,350.00,110.00
"24010020",525.00,50.00,315.00,160.00
"24010021",525.00,75.00,375.00,75.00
"24010022",530.00,55.00,355.00,120.00
"24010023",540.00,55.00,340.00,145.00
"24010024",485.00,35.00,320.00,130.00
"24010025",480.00,65.00,305.00,115.00
"24010026",525.00,50.00,280.00,200.00
"24010027",620.00,65.00,400.00,155.00
"24010028",695.00,90.00,465.00,135.00
"24010029",565.00,65.00,365.00,135.00
"24010030",570.00,100.00,350.00,120.00
"24010031",610.00,85.00,390.00,135.00
"24010032",540.00,50.00,355.00,130.00
"24010033",545.00,60.00,330.00,155.00
"24010034",650.00,90.00,390.00,175.00
"24010035",665.00,95.00,460.00,110.00
"24010036",605.00,70.00,435.00,105.00
"24010037",1165.00,110.00,735.00,320.00
"24010038",665.00,45.00,425.00,200.00
"2402",17280.00,1860.00,10680.00,4745.00
"24020035",450.00,40.00,260.00,155.00
"24020036",450.00,25.00,265.00,160.00
"24020037",515.00,40.00,330.00,145.00
"24020038",390.00,60.00,240.00,90.00
"24020039",415.00,55.00,265.00,95.00
"24020040",465.00,60.00,290.00,115.00
"24020041",400.00,20.00,275.00,105.00
"24020042",610.00,75.00,400.00,135.00
"24020043",495.00,50.00,345.00,105.00
"24020044",520.00,60.00,355.00,110.00
"24020045",510.00,60.00,305.00,150.00
"24020046",425.00,30.00,270.00,130.00
"24020047",425.00,50.00,295.00,80.00
"24020048",535.00,45.00,350.00,135.00
"24020049",500.00,70.00,320.00,110.00
"24020050",585.00,60.00,365.00,165.00
"24020051",360.00,45.00,235.00,85.00
"24020052",695.00,125.00,420.00,150.00
"24020053",485.00,65.00,275.00,150.00
"24020054",485.00,55.00,245.00,180.00
"24020055",570.00,65.00,345.00,160.00
"24020056",405.00,40.00,245.00,125.00
"24020057",515.00,65.00,325.00,120.00
"24020058",805.00,95.00,490.00,215.00
"24020059",480.00,50.00,310.00,120.00
"24020060",655.00,50.00,395.00,210.00
"24020061",1030.00,90.00,630.00,315.00
"24020062",470.00,40.00,275.00,155.00
"24020063",440.00,50.00,245.00,150.00
"24020064",425.00,35.00,250.00,135.00
"24020065",505.00,40.00,305.00,160.00
"24020066",430.00,55.00,250.00,130.00
"24020067",410.00,60.00,260.00,95.00
"24020068",,,,
"24020069",420.00,30.00,260.00,130.00
"2403",17115.00,2255.00,11015.00,3845.00
"24030034",265.00,20.00,150.00,90.00
"24030035",405.00,30.00,250.00,125.00
"24030036",170.00,15.00,100.00,55.00
"24030037",515.00,45.00,340.00,135.00
"24030038",540.00,65.00,320.00,155.00
"24030039",,,,
"24030040",350.00,60.00,215.00,80.00
"24030041",300.00,30.00,185.00,90.00
"24030042",,,,
"24030043",325.00,50.00,220.00,55.00
"24030044",980.00,130.00,695.00,155.00
"24030045",915.00,155.00,615.00,150.00
"24030046",415.00,50.00,260.00,105.00
"24030047",490.00,60.00,325.00,115.00
"24030048",480.00,60.00,285.00,140.00
"24030049",1470.00,185.00,910.00,375.00
"24030050",430.00,75.00,255.00,100.00
"24030051",875.00,150.00,615.00,115.00
"24030052",625.00,90.00,475.00,65.00
"24030053",565.00,105.00,390.00,75.00
"24030054",475.00,80.00,315.00,80.00
"24030055",815.00,105.00,445.00,265.00
"24030056",500.00,50.00,290.00,160.00
"24030057",560.00,95.00,350.00,120.00
"24030058",340.00,35.00,205.00,90.00
"24030059",465.00,50.00,305.00,110.00
"24030060",445.00,45.00,285.00,115.00
"24030061",580.00,75.00,360.00,145.00
"24030062",900.00,140.00,610.00,150.00
"24030063",670.00,90.00,470.00,105.00
"24030064",770.00,55.00,480.00,235.00
"24030065",475.00,65.00,315.00,95.00
"2404",11315.00,1330.00,6945.00,3045.00
"24040028",290.00,15.00,150.00,125.00
"24040029",390.00,50.00,255.00,80.00
"24040030",350.00,35.00,225.00,90.00
"24040031",395.00,50.00,215.00,130.00
"24040032",155.00,10.00,85.00,65.00
"24040033",130.00,0.00,65.00,60.00
"24040034",275.00,30.00,170.00,75.00
"24040035",245.00,30.00,165.00,55.00
"24040036",180.00,15.00,125.00,40.00
"24040037",695.00,95.00,425.00,170.00
"24040038",455.00,60.00,310.00,80.00
"24040039",350.00,30.00,220.00,100.00
"24040040",465.00,70.00,305.00,85.00
"24040041",550.00,80.00,335.00,135.00
"24040042",630.00,95.00,400.00,140.00
"24040043",405.00,95.00,240.00,65.00
"24040044",465.00,50.00,310.00,110.00
"24040045",465.00,55.00,280.00,135.00
"24040046",385.00,30.00,220.00,135.00
"24040047",475.00,55.00,310.00,110.00
"24040048",380.00,50.00,270.00,70.00
"24040049",435.00,40.00,270.00,125.00
"24040050",275.00,15.00,170.00,95.00
"24040051",425.00,45.00,255.00,120.00
"24040052",360.00,40.00,235.00,85.00
"24040053",445.00,40.00,255.00,150.00
"24040054",480.00,35.00,250.00,190.00
"24040055",395.00,70.00,215.00,105.00
"24040056",380.00,35.00,210.00,130.00
"24040057",,,,
"2405",17660.00,2215.00,10765.00,4680.00
"24050035",,,,
"24050036",695.00,100.00,455.00,140.00
"24050037",455.00,55.00,295.00,105.00
"24050038",600.00,80.00,380.00,135.00
"24050039",485.00,65.00,320.00,95.00
"24050040",720.00,90.00,345.00,285.00
"24050041",485.00,55.00,325.00,100.00
"24050042",645.00,95.00,390.00,170.00
"24050043",370.00,70.00,245.00,50.00
"24050044",430.00,35.00,230.00,165.00
"24050045",515.00,65.00,305.00,145.00
"24050046",445.00,50.00,275.00,115.00
"24050047",525.00,40.00,300.00,175.00
"24050048",435.00,55.00,280.00,95.00
"24050049",390.00,35.00,250.00,110.00
"24050050",455.00,45.00,270.00,140.00
"24050051",480.00,50.00,295.00,130.00
"24050052",440.00,40.00,255.00,145.00
"24050053",440.00,45.00,285.00,110.00
"24050054",570.00,40.00,335.00,195.00
"24050055",340.00,45.00,210.00,80.00
"24050056",380.00,40.00,220.00,120.00
"24050057",290.00,40.00,165.00,90.00
"24050058",570.00,65.00,350.00,150.00
"24050059",605.00,80.00,320.00,205.00
"24050060",440.00,50.00,285.00,110.00
"24050061",470.00,55.00,315.00,105.00
"24050062",505.00,80.00,320.00,110.00
"24050063",450.00,55.00,290.00,105.00
"24050064",605.00,65.00,310.00,230.00
"24050065",475.00,55.00,255.00,165.00
