"COL0","COL1","COL2","COL3","COL4"
"2401",12475.00,1405.00,8060.00,3010.00
"2402",17280.00,1860.00,10680.00,4745.00
"2403",17115.00,2255.00,11015.00,3845.00
"2404",11315.00,1330.00,6945.00,3045.00
"2405",17660.00,2215.00,10765.00,4680.00
"2406",14460.00,2185.00,8920.00,3360.00
"2407",17925.00,2610.00,11150.00,4160.00
"2408",21300.00,2730.00,12935.00,5635.00
"2409",18210.00,2855.00,11195.00,4160.00
"2410",56650.00,8145.00,36020.00,12490.00
"2411",8695.00,1070.00,4960.00,2660.00
"2412",33955.00,5285.00,21195.00,7475.00
"2413",19575.00,2655.00,11970.00,4945.00
"2414",21070.00,3100.00,12765.00,5210.00
"2415",15510.00,2130.00,9420.00,3965.00
"2416",12995.00,1720.00,7700.00,3575.00
"2417",17795.00,2485.00,10815.00,4500.00
"2418",22700.00,3055.00,13765.00,5880.00
"2419",37230.00,6390.00,23040.00,7800.00
"2420",7080.00,970.00,4240.00,1870.00
"2421",28200.00,4825.00,17850.00,5530.00
"2422",43485.00,10435.00,28950.00,4100.00
"2423",569715.00,81000.00,372105.00,116615.00
"2425",143415.00,24705.00,93565.00,25140.00
"2426",36785.00,7155.00,23610.00,6020.00
"2427",19125.00,3475.00,11625.00,4020.00
"2428",16535.00,2390.00,10115.00,4030.00
"2429",52410.00,9060.00,33475.00,9870.00
"2430",21465.00,3390.00,13155.00,4920.00
"2431",42350.00,5865.00,25020.00,11465.00
"2432",23425.00,3870.00,14350.00,5205.00
"2433",31740.00,5675.00,20305.00,5755.00
"2434",53005.00,8545.00,33370.00,11090.00
"2435",12360.00,1475.00,7190.00,3690.00
"2436",49350.00,5860.00,30005.00,13480.00
"2437",153030.00,21495.00,97105.00,34430.00
"2438",20405.00,3240.00,12685.00,4480.00
"2439",72015.00,11895.00,44910.00,15210.00
"2440",14285.00,2265.00,8240.00,3780.00
"2441",22335.00,3830.00,13970.00,4535.00
"2442",30690.00,5375.00,19400.00,5915.00
"2443",161325.00,25950.00,105220.00,30155.00
"2444",18495.00,3315.00,11390.00,3795.00
"2445",50415.00,7015.00,30390.00,13010.00
"2446",58315.00,9065.00,35960.00,13285.00
"2447",88305.00,14655.00,56045.00,17605.00
"2448",15595.00,2630.00,9815.00,3145.00
"2449",103395.00,17610.00,66040.00,19745.00
"2450",23160.00,3635.00,14355.00,5175.00
"2451",36315.00,5305.00,22715.00,8295.00
"2452",42190.00,6430.00,27115.00,8645.00
"2453",51025.00,6620.00,31525.00,12885.00
"2454",87100.00,14330.00,55510.00,17255.00
"2455",36535.00,6765.00,23680.00,6090.00
"2456",117445.00,19605.00,76380.00,21455.00
"2457",124420.00,24260.00,81060.00,19095.00
"2458",415345.00,66310.00,269110.00,79925.00
"2459",77550.00,14880.00,52045.00,10625.00
"2460",124760.00,21595.00,82045.00,21120.00
"2461",66550.00,10115.00,41295.00,15145.00
"2462",50435.00,6445.00,31640.00,12350.00
"2463",52595.00,9810.00,35155.00,7630.00
"2464",158270.00,31945.00,106690.00,19625.00
"2465",422990.00,73485.00,276920.00,72590.00
"2466",1942045.00,304475.00,1313910.00,323660.00
"2467",171445.00,32540.00,114200.00,24700.00
"2468",27870.00,4980.00,18230.00,4655.00
"2469",22455.00,3495.00,14060.00,4900.00
"2470",64320.00,9415.00,40885.00,14020.00
"2471",149350.00,29280.00,98940.00,21130.00
"2472",98200.00,17955.00,65125.00,15120.00
"2473",157105.00,28265.00,106590.00,22245.00
"2474",50515.00,11125.00,34475.00,4920.00
"2475",128170.00,21795.00,84375.00,22000.00
"2476",32390.00,4595.00,20545.00,7250.00
"2477",41880.00,4795.00,25805.00,11275.00
"2478",45900.00,6090.00,28765.00,11055.00
"2479",35240.00,4365.00,21955.00,8925.00
"2480",22835.00,2990.00,14210.00,5635.00
"2481",276245.00,50540.00,187075.00,38625.00
"2482",49095.00,9670.00,33485.00,5940.00
"2483",20185.00,2655.00,12800.00,4725.00
"2484",14250.00,2045.00,8815.00,3390.00
"2485",15980.00,2710.00,10095.00,3175.00
"2486",42335.00,7045.00,28045.00,7245.00
"2487",20540.00,3490.00,12895.00,4155.00
"2488",24640.00,4285.00,16070.00,4285.00
"2489",43225.00,7575.00,28585.00,7065.00
"2490",15060.00,2700.00,9395.00,2960.00
"2491",31285.00,4875.00,19655.00,6760.00
"2492",24795.00,3920.00,15320.00,5555.00
"2493",52740.00,8540.00,33370.00,10835.00
"2494",167550.00,25265.00,107855.00,34430.00
"2495",10845.00,1410.00,6860.00,2575.00
"2496",31025.00,4725.00,20480.00,5820.00
"2497",39325.00,7295.00,26160.00,5860.00
"2498",11325.00,2010.00,7350.00,1960.00
"2499",44560.00,12270.00,28840.00,3445.00
