"COL0","COL1","COL2","COL3","COL4"
"2401023",12010.00,1360.00,7725.00,2925.00
"2401042",465.00,45.00,330.00,85.00
"2402005",3105.00,315.00,1905.00,880.00
"2402010",1015.00,100.00,675.00,240.00
"2402015",3410.00,360.00,2240.00,805.00
"2402028",7545.00,845.00,4555.00,2145.00
"2402047",2210.00,235.00,1310.00,665.00
"2402902",,,,
"2403005",14565.00,1995.00,9460.00,3115.00
"2403010",670.00,50.00,405.00,210.00
"2403015",170.00,15.00,100.00,55.00
"2403020",1060.00,110.00,660.00,290.00
"2403025",655.00,85.00,400.00,170.00
"2403902",,,,
"2403904",,,,
"2404005",290.00,15.00,150.00,120.00
"2404010",1135.00,140.00,695.00,300.00
"2404015",155.00,10.00,80.00,60.00
"2404020",125.00,5.00,60.00,60.00
"2404025",275.00,25.00,175.00,80.00
"2404030",245.00,30.00,165.00,50.00
"2404037",6440.00,820.00,4065.00,1555.00
"2404047",2480.00,275.00,1430.00,780.00
"2404902",180.00,15.00,125.00,35.00
"2404904",,,,
"2405010",290.00,40.00,165.00,90.00
"2405015",380.00,40.00,225.00,120.00
"2405020",340.00,45.00,215.00,80.00
"2405025",570.00,45.00,330.00,190.00
"2405032",3165.00,310.00,1935.00,915.00
"2405040",1385.00,150.00,810.00,425.00
"2405045",2705.00,375.00,1630.00,695.00
"2405050",460.00,55.00,295.00,110.00
"2405055",1175.00,150.00,735.00,285.00
"2405060",2025.00,265.00,1230.00,530.00
"2405065",700.00,100.00,460.00,145.00
"2405070",3705.00,525.00,2255.00,930.00
"2405077",730.00,120.00,450.00,160.00
"2405902",,,,
"2406005",2615.00,390.00,1555.00,675.00
"2406013",4075.00,575.00,2495.00,1005.00
"2406020",1660.00,205.00,1035.00,420.00
"2406025",545.00,80.00,375.00,90.00
"2406030",1390.00,205.00,900.00,285.00
"2406035",175.00,20.00,100.00,50.00
"2406040",160.00,15.00,110.00,35.00
"2406045",645.00,75.00,385.00,185.00
"2406050",500.00,50.00,275.00,175.00
"2406055",645.00,70.00,390.00,185.00
"2406060",160.00,15.00,90.00,60.00
"2406802",655.00,180.00,425.00,50.00
"2406804",1240.00,315.00,780.00,150.00
"2406902",,,,
"2406904",,,,
"2407005",170.00,15.00,105.00,40.00
"2407010",385.00,45.00,240.00,95.00
"2407018",2300.00,280.00,1430.00,600.00
"2407025",225.00,15.00,170.00,40.00
"2407030",955.00,135.00,620.00,205.00
"2407035",355.00,45.00,240.00,75.00
"2407040",330.00,50.00,225.00,50.00
"2407047",6180.00,955.00,3830.00,1385.00
"2407057",1450.00,220.00,830.00,395.00
"2407065",325.00,45.00,205.00,80.00
"2407070",315.00,55.00,190.00,70.00
"2407075",445.00,75.00,260.00,110.00
"2407080",930.00,160.00,560.00,215.00
"2407085",1595.00,230.00,1005.00,360.00
"2407090",330.00,45.00,230.00,60.00
"2407095",580.00,90.00,350.00,145.00
"2407100",395.00,60.00,250.00,85.00
"2407105",425.00,70.00,275.00,90.00
"2407902",,,,
"2407904",,,,
"2407906",,,,
"2407908",50.00,10.00,30.00,10.00
"2407910",,,,
"2407912",,,,
"2407914",170.00,20.00,110.00,45.00
"2408005",990.00,105.00,585.00,295.00
"2408010",85.00,10.00,45.00,25.00
"2408015",305.00,25.00,175.00,105.00
"2408023",1065.00,115.00,665.00,290.00
"2408030",695.00,110.00,415.00,165.00
"2408035",965.00,135.00,595.00,235.00
"2408040",235.00,25.00,135.00,75.00
"2408053",14310.00,1820.00,8705.00,3790.00
"2408065",400.00,70.00,240.00,95.00
"2408073",1585.00,215.00,1010.00,365.00
"2408080",630.00,105.00,345.00,180.00
"2408902",45.00,5.00,30.00,10.00
"2409005",435.00,65.00,270.00,95.00
"2409010",240.00,25.00,150.00,70.00
"2409015",505.00,100.00,300.00,110.00
"2409020",280.00,35.00,205.00,45.00
"2409025",1165.00,230.00,710.00,230.00
"2409030",875.00,140.00,595.00,140.00
"2409035",950.00,175.00,610.00,170.00
"2409040",245.00,25.00,165.00,55.00
"2409048",590.00,70.00,365.00,155.00
"2409055",510.00,90.00,320.00,105.00
"2409060",165.00,15.00,100.00,55.00
"2409065",1755.00,325.00,1060.00,375.00
"2409070",525.00,80.00,315.00,130.00
"2409077",6280.00,915.00,3745.00,1625.00
"2409085",885.00,140.00,515.00,225.00
"2409092",2800.00,435.00,1775.00,590.00
"2409902",,,,
"2409904",,,,
"2410005",345.00,25.00,215.00,100.00
"2410010",225.00,20.00,135.00,70.00
"2410015",960.00,160.00,635.00,165.00
"2410025",350.00,40.00,240.00,75.00
"2410030",3070.00,580.00,2030.00,460.00
"2410043",48660.00,6850.00,30825.00,10995.00
"2410060",815.00,135.00,560.00,120.00
"2410070",1835.00,280.00,1125.00,435.00
"2410075",365.00,45.00,240.00,80.00
"2410902",,,,
"2411005",460.00,75.00,280.00,95.00
"2411010",1600.00,255.00,935.00,405.00
"2411015",310.00,45.00,185.00,75.00
"2411020",55.00,5.00,25.00,25.00
"2411025",210.00,25.00,115.00,65.00
"2411030",385.00,60.00,225.00,100.00
"2411035",285.00,30.00,175.00,80.00
"2411040",3245.00,340.00,1720.00,1185.00
"2411045",1085.00,115.00,655.00,315.00
"2411050",640.00,65.00,400.00,175.00
"2411055",425.00,55.00,240.00,135.00
"2411902",,,,
"2412005",1065.00,165.00,685.00,220.00
"2412010",1280.00,185.00,790.00,300.00
"2412015",4050.00,820.00,2625.00,600.00
"2412020",1160.00,275.00,745.00,145.00
"2412025",245.00,40.00,165.00,40.00
"2412030",825.00,160.00,510.00,160.00
"2412035",310.00,40.00,185.00,85.00
"2412043",1295.00,195.00,775.00,325.00
"2412045",,,,
"2412057",1805.00,300.00,1140.00,370.00
"2412065",1230.00,285.00,735.00,205.00
"2412072",19510.00,2680.00,12120.00,4705.00
"2412080",1150.00,145.00,705.00,300.00
"2413005",2865.00,380.00,1735.00,745.00
"2413010",250.00,25.00,160.00,60.00
"2413015",605.00,100.00,355.00,145.00
"2413020",395.00,40.00,265.00,90.00
"2413025",1230.00,160.00,705.00,365.00
"2413030",590.00,90.00,385.00,115.00
"2413040",560.00,60.00,380.00,120.00
"2413045",450.00,65.00,290.00,95.00
"2413050",260.00,25.00,175.00,65.00
"2413055",465.00,50.00,270.00,145.00
"2413060",510.00,70.00,330.00,110.00
"2413065",1110.00,105.00,635.00,375.00
"2413073",4910.00,675.00,3035.00,1200.00
"2413075",115.00,10.00,75.00,25.00
"2413080",1290.00,180.00,775.00,335.00
"2413085",325.00,60.00,210.00,55.00
"2413090",740.00,130.00,445.00,165.00
"2413095",2580.00,360.00,1545.00,675.00
"2413100",315.00,60.00,200.00,55.00
"2414005",1125.00,135.00,670.00,325.00
"2414010",545.00,75.00,340.00,130.00
"2414018",3470.00,500.00,2015.00,950.00
"2414025",920.00,165.00,565.00,190.00
"2414030",390.00,100.00,240.00,50.00
"2414035",2110.00,390.00,1285.00,435.00
"2414040",655.00,95.00,385.00,175.00
"2414045",285.00,35.00,195.00,60.00
"2414050",620.00,80.00,385.00,155.00
"2414055",515.00,75.00,290.00,150.00
"2414060",830.00,125.00,510.00,205.00
"2414065",970.00,145.00,575.00,250.00
"2414070",1600.00,215.00,955.00,430.00
"2414075",715.00,90.00,450.00,175.00
"2414080",560.00,80.00,360.00,115.00
"2414085",4120.00,545.00,2445.00,1135.00
"2414090",1635.00,250.00,1100.00,285.00
"2414902",,,,
"2414904",,,,
"2415005",640.00,70.00,360.00,210.00
"2415013",8270.00,1095.00,5095.00,2085.00
"2415025",795.00,150.00,490.00,150.00
"2415030",1095.00,180.00,665.00,250.00
"2415035",3085.00,460.00,1880.00,745.00
"2415058",1230.00,145.00,700.00,380.00
"2415065",205.00,10.00,120.00,70.00
"2415902",60.00,5.00,30.00,30.00
"2415904",130.00,10.00,80.00,35.00
"2416005",815.00,100.00,505.00,205.00
"2416013",7145.00,945.00,4215.00,1985.00
"2416023",1140.00,90.00,605.00,450.00
"2416048",1330.00,190.00,760.00,380.00
"2416050",1125.00,180.00,740.00,210.00
"2416055",1370.00,215.00,825.00,330.00
"2416902",,,,
"2417005",275.00,30.00,170.00,80.00
"2417010",2400.00,305.00,1480.00,615.00
"2417015",510.00,65.00,320.00,120.00
"2417020",430.00,50.00,270.00,105.00
"2417025",385.00,50.00,220.00,110.00
"2417030",1635.00,235.00,970.00,435.00
"2417035",585.00,80.00,360.00,150.00
"2417040",550.00,60.00,350.00,140.00
"2417045",720.00,95.00,430.00,195.00
"2417055",1475.00,220.00,900.00,350.00
"2417060",670.00,115.00,415.00,140.00
"2417065",920.00,130.00,550.00,235.00
"2417070",3410.00,475.00,2015.00,920.00
"2417078",3830.00,575.00,2355.00,895.00
"2418005",670.00,75.00,420.00,170.00
"2418010",185.00,20.00,110.00,55.00
"2418015",955.00,105.00,570.00,280.00
"2418020",280.00,30.00,170.00,75.00
"2418025",540.00,60.00,330.00,150.00
"2418030",785.00,95.00,465.00,225.00
"2418035",320.00,30.00,220.00,75.00
"2418040",395.00,55.00,240.00,100.00
"2418045",3090.00,490.00,1860.00,740.00
"2418050",11255.00,1400.00,6815.00,3040.00
"2418055",910.00,170.00,570.00,170.00
"2418060",1625.00,290.00,1015.00,325.00
"2418065",1555.00,235.00,915.00,410.00
"2418070",145.00,15.00,70.00,60.00
"2419005",715.00,55.00,450.00,205.00
"2419010",770.00,80.00,480.00,210.00
"2419015",365.00,50.00,245.00,70.00
"2419020",1130.00,150.00,665.00,310.00
"2419025",1515.00,225.00,950.00,345.00
"2419030",1955.00,265.00,1110.00,580.00
"2419037",1490.00,215.00,890.00,385.00
"2419045",745.00,105.00,460.00,175.00
"2419050",1290.00,245.00,780.00,260.00
"2419055",3360.00,540.00,2135.00,685.00
"2419062",3935.00,715.00,2525.00,700.00
"2419068",5610.00,1195.00,3545.00,870.00
"2419070",845.00,155.00,535.00,160.00
"2419075",2150.00,420.00,1365.00,370.00
"2419082",2390.00,395.00,1470.00,520.00
"2419090",755.00,120.00,475.00,155.00
"2419097",2395.00,450.00,1550.00,400.00
"2419105",2940.00,545.00,1675.00,720.00
"2419110",1815.00,280.00,1095.00,445.00
"2419117",1060.00,170.00,645.00,240.00
"2420005",525.00,60.00,320.00,145.00
"2420010",940.00,130.00,535.00,270.00
"2420015",1060.00,125.00,655.00,280.00
"2420020",1535.00,220.00,935.00,375.00
"2420025",1990.00,290.00,1200.00,500.00
"2420030",1035.00,140.00,600.00,290.00
"2421005",1470.00,210.00,935.00,325.00
"2421010",3240.00,485.00,2130.00,625.00
"2421015",,,,
"2421020",1445.00,230.00,880.00,335.00
"2421025",3755.00,490.00,2250.00,1015.00
"2421030",2880.00,395.00,1710.00,775.00
"2421035",4125.00,730.00,2575.00,820.00
"2421040",3700.00,650.00,2470.00,575.00
"2421045",7590.00,1645.00,4885.00,1055.00
"2421902",,,,
"2421904",,,,
"2422005",7705.00,1805.00,5100.00,800.00
"2422010",1960.00,395.00,1265.00,305.00
"2422015",260.00,20.00,155.00,85.00
"2422020",6030.00,1690.00,4045.00,300.00
"2422025",3385.00,795.00,2320.00,265.00
"2422030",635.00,160.00,420.00,60.00
"2422035",8360.00,1885.00,5620.00,855.00
"2422040",7805.00,1760.00,5220.00,820.00
"2422045",7350.00,1925.00,4815.00,610.00
"2422902",,,,
"2423015",315.00,0.00,5.00,310.00
"2423027",531900.00,75090.00,347235.00,109575.00
"2423057",16545.00,2475.00,10695.00,3370.00
"2423072",18820.00,3095.00,12705.00,3015.00
"2423802",2130.00,345.00,1455.00,340.00
"2425213",143410.00,24710.00,93565.00,25140.00
"2426005",1240.00,185.00,790.00,265.00
"2426010",1160.00,230.00,740.00,185.00
"2426015",1875.00,305.00,1195.00,375.00
"2426022",2400.00,545.00,1565.00,290.00
"2426030",13565.00,2335.00,8720.00,2510.00
"2426035",1080.00,225.00,675.00,180.00
"2426040",1270.00,260.00,735.00,270.00
"2426048",2355.00,505.00,1545.00,300.00
"2426055",2320.00,470.00,1540.00,310.00
"2426063",2880.00,570.00,1810.00,500.00
"2426070",6645.00,1515.00,4300.00,835.00
"2427008",2450.00,425.00,1465.00,555.00
"2427015",495.00,110.00,300.00,85.00
"2427028",6280.00,1065.00,3815.00,1400.00
"2427035",1375.00,250.00,860.00,265.00
"2427043",4860.00,910.00,2975.00,975.00
"2427050",410.00,85.00,265.00,65.00
"2427055",540.00,115.00,305.00,120.00
"2427060",1405.00,255.00,865.00,285.00
"2427065",1045.00,220.00,630.00,195.00
"2427070",280.00,45.00,155.00,80.00
"2428005",1655.00,245.00,1095.00,320.00
"2428015",845.00,125.00,555.00,165.00
"2428020",3590.00,580.00,2245.00,765.00
"2428025",990.00,210.00,620.00,165.00
"2428030",730.00,95.00,475.00,150.00
"2428035",375.00,40.00,250.00,80.00
"2428040",490.00,55.00,305.00,125.00
"2428045",1820.00,290.00,1120.00,410.00
"2428053",3820.00,525.00,2155.00,1150.00
"2428060",435.00,40.00,265.00,135.00
"2428065",360.00,25.00,190.00,140.00
"2428070",750.00,75.00,480.00,195.00
"2428075",675.00,85.00,370.00,225.00
"2429005",715.00,125.00,475.00,120.00
"2429013",2205.00,375.00,1405.00,425.00
"2429020",95.00,10.00,60.00,25.00
"2429025",540.00,85.00,355.00,100.00
"2429030",1710.00,285.00,1060.00,365.00
"2429038",1485.00,305.00,890.00,290.00
"2429045",2475.00,430.00,1615.00,435.00
"2429050",745.00,165.00,500.00,75.00
"2429057",3240.00,630.00,2100.00,510.00
"2429065",365.00,70.00,230.00,65.00
"2429073",32515.00,5490.00,20660.00,6365.00
"2429095",145.00,20.00,100.00,30.00
"2429100",1630.00,290.00,1100.00,245.00
"2429112",2400.00,410.00,1585.00,405.00
"2429120",1595.00,270.00,975.00,350.00
"2429125",550.00,105.00,370.00,75.00
"2430005",695.00,130.00,440.00,125.00
"2430010",935.00,180.00,545.00,210.00
"2430015",180.00,35.00,115.00,30.00
"2430020",360.00,30.00,190.00,140.00
"2430025",1730.00,335.00,1075.00,330.00
"2430030",5655.00,855.00,3320.00,1475.00
"2430035",705.00,120.00,460.00,120.00
"2430040",300.00,40.00,205.00,55.00
"2430045",1375.00,210.00,945.00,220.00
"2430050",865.00,175.00,510.00,175.00
"2430055",735.00,150.00,450.00,130.00
"2430070",575.00,90.00,410.00,70.00
"2430072",1070.00,170.00,660.00,240.00
"2430080",1020.00,135.00,655.00,230.00
"2430085",655.00,100.00,435.00,120.00
"2430090",820.00,115.00,495.00,215.00
"2430095",1620.00,255.00,910.00,455.00
"2430100",690.00,105.00,450.00,135.00
"2430105",530.00,75.00,335.00,125.00
"2430110",945.00,85.00,555.00,305.00
"2431008",905.00,70.00,510.00,330.00
"2431015",2335.00,280.00,1350.00,695.00
"2431020",1120.00,140.00,710.00,270.00
"2431025",190.00,30.00,115.00,45.00
"2431030",260.00,25.00,190.00,50.00
"2431035",375.00,45.00,245.00,85.00
"2431040",885.00,130.00,580.00,170.00
"2431045",1760.00,255.00,1040.00,470.00
"2431050",325.00,40.00,190.00,95.00
"2431056",2805.00,455.00,1750.00,600.00
"2431060",550.00,85.00,340.00,125.00
"2431084",25405.00,3370.00,14750.00,7280.00
"2431095",400.00,65.00,260.00,75.00
"2431100",375.00,75.00,210.00,85.00
"2431105",350.00,55.00,220.00,80.00
"2431122",2200.00,320.00,1320.00,555.00
"2431130",520.00,105.00,320.00,90.00
"2431135",900.00,170.00,520.00,210.00
"2431140",685.00,140.00,400.00,145.00
"2432013",2080.00,245.00,1245.00,580.00
"2432023",610.00,125.00,385.00,105.00
"2432033",6000.00,1105.00,3835.00,1060.00
"2432040",6550.00,955.00,3780.00,1815.00
"2432045",2665.00,510.00,1685.00,465.00
"2432050",525.00,105.00,345.00,80.00
"2432058",900.00,155.00,545.00,195.00
"2432065",1605.00,280.00,935.00,390.00
"2432072",1350.00,220.00,860.00,265.00
"2432080",685.00,105.00,460.00,125.00
"2432085",460.00,65.00,270.00,125.00
"2433007",1015.00,180.00,630.00,210.00
"2433017",1165.00,165.00,745.00,255.00
"2433025",1040.00,190.00,675.00,170.00
"2433030",1105.00,260.00,690.00,155.00
"2433035",2525.00,525.00,1570.00,430.00
"2433040",945.00,140.00,640.00,160.00
"2433045",4280.00,890.00,2730.00,665.00
"2433052",1615.00,285.00,1035.00,300.00
"2433060",2570.00,430.00,1655.00,485.00
"2433065",985.00,150.00,650.00,185.00
"2433070",925.00,150.00,610.00,160.00
"2433080",1195.00,230.00,730.00,235.00
"2433085",860.00,190.00,565.00,105.00
"2433090",6110.00,1115.00,4170.00,825.00
"2433095",1600.00,280.00,945.00,370.00
"2433102",2515.00,345.00,1525.00,645.00
"2433115",810.00,75.00,465.00,265.00
"2433123",475.00,65.00,275.00,130.00
"2434007",4390.00,825.00,2875.00,690.00
"2434017",9240.00,1830.00,6015.00,1395.00
"2434025",7200.00,1105.00,4455.00,1635.00
"2434030",3400.00,605.00,2155.00,645.00
"2434038",2630.00,415.00,1655.00,560.00
"2434048",3190.00,420.00,2015.00,750.00
"2434058",2220.00,350.00,1440.00,430.00
"2434060",295.00,45.00,190.00,65.00
"2434065",2910.00,390.00,1735.00,780.00
"2434078",1430.00,165.00,840.00,425.00
"2434085",285.00,55.00,180.00,60.00
"2434090",1410.00,190.00,840.00,385.00
"2434097",1200.00,160.00,735.00,300.00
"2434105",705.00,90.00,445.00,170.00
"2434115",1145.00,200.00,725.00,215.00
"2434120",495.00,70.00,330.00,95.00
"2434128",10225.00,1560.00,6365.00,2295.00
"2434135",585.00,65.00,345.00,180.00
"2434902",,,,
"2434904",,,,
"2434906",,,,
"2435005",745.00,45.00,465.00,235.00
"2435010",1290.00,120.00,740.00,435.00
"2435015",925.00,105.00,525.00,290.00
"2435020",845.00,140.00,520.00,185.00
"2435027",3675.00,450.00,2045.00,1175.00
"2435035",1275.00,185.00,850.00,240.00
"2435040",410.00,45.00,260.00,105.00
"2435045",300.00,20.00,190.00,90.00
"2435050",2480.00,340.00,1360.00,785.00
"2435055",400.00,20.00,235.00,140.00
"2435902",,,,
"2435904",,,,
"2435906",,,,
"2435908",,,,
"2436033",49350.00,5860.00,30010.00,13480.00
"2437067",134410.00,18535.00,85205.00,30675.00
"2437205",2020.00,305.00,1165.00,550.00
"2437210",905.00,115.00,545.00,250.00
"2437215",1005.00,95.00,650.00,260.00
"2437220",1735.00,220.00,1110.00,405.00
"2437225",545.00,75.00,350.00,130.00
"2437230",3285.00,705.00,2140.00,445.00
"2437235",5750.00,995.00,3885.00,870.00
"2437240",1830.00,290.00,1080.00,460.00
"2437245",1010.00,105.00,640.00,265.00
"2437250",530.00,70.00,335.00,125.00
"2438005",795.00,110.00,525.00,155.00
"2438010",13035.00,2225.00,8200.00,2605.00
"2438015",470.00,55.00,305.00,105.00
"2438020",300.00,45.00,195.00,60.00
"2438028",815.00,120.00,485.00,205.00
"2438035",450.00,45.00,295.00,115.00
"2438040",730.00,90.00,420.00,215.00
"2438047",670.00,110.00,365.00,190.00
"2438055",530.00,95.00,305.00,135.00
"2438060",370.00,60.00,245.00,65.00
"2438065",1135.00,140.00,645.00,355.00
"2438070",905.00,95.00,555.00,255.00
"2438802",205.00,45.00,135.00,20.00
"2439005",255.00,15.00,160.00,75.00
"2439010",870.00,135.00,500.00,235.00
"2439015",410.00,70.00,260.00,85.00
"2439020",460.00,65.00,280.00,110.00
"2439025",1410.00,235.00,920.00,255.00
"2439030",920.00,185.00,600.00,135.00
"2439035",375.00,70.00,245.00,60.00
"2439043",1155.00,215.00,755.00,190.00
"2439060",3020.00,660.00,1990.00,365.00
"2439062",46130.00,7220.00,28100.00,10810.00
"2439077",4635.00,775.00,2935.00,930.00
"2439085",1600.00,315.00,1080.00,210.00
"2439090",370.00,75.00,245.00,55.00
"2439097",1945.00,395.00,1335.00,215.00
"2439105",355.00,60.00,245.00,50.00
"2439117",1565.00,285.00,1000.00,285.00
"2439130",745.00,135.00,490.00,115.00
"2439135",1265.00,220.00,875.00,165.00
"2439145",845.00,175.00,525.00,145.00
"2439150",1290.00,230.00,800.00,260.00
"2439155",965.00,140.00,605.00,220.00
"2439165",415.00,40.00,280.00,90.00
"2439170",1015.00,170.00,690.00,155.00
"2440005",235.00,30.00,150.00,55.00
"2440010",525.00,105.00,290.00,125.00
"2440017",1430.00,250.00,895.00,290.00
"2440025",530.00,120.00,315.00,95.00
"2440032",960.00,190.00,605.00,160.00
"2440043",6785.00,985.00,3685.00,2120.00
"2440047",3825.00,590.00,2300.00,935.00
"2441012",695.00,95.00,445.00,150.00
"2441020",280.00,20.00,165.00,95.00
"2441027",770.00,115.00,505.00,150.00
"2441037",735.00,120.00,455.00,160.00
"2441038",5390.00,1015.00,3360.00,1010.00
"2441055",3155.00,710.00,2090.00,355.00
"2441060",3660.00,635.00,2235.00,785.00
"2441065",1005.00,175.00,655.00,180.00
"2441070",1175.00,215.00,705.00,255.00
"2441075",175.00,25.00,125.00,30.00
"2441080",470.00,60.00,295.00,115.00
"2441085",425.00,65.00,250.00,110.00
"2441098",2670.00,325.00,1600.00,745.00
"2441117",1725.00,260.00,1080.00,385.00
"2442005",2955.00,520.00,1980.00,455.00
"2442020",2275.00,425.00,1485.00,370.00
"2442025",4055.00,880.00,2585.00,585.00
"2442032",1320.00,220.00,825.00,280.00
"2442040",610.00,100.00,365.00,140.00
"2442045",635.00,125.00,400.00,100.00
"2442050",600.00,105.00,390.00,105.00
"2442055",2165.00,345.00,1315.00,505.00
"2442060",1045.00,180.00,645.00,220.00
"2442065",420.00,65.00,255.00,100.00
"2442070",140.00,20.00,100.00,20.00
"2442075",1060.00,160.00,690.00,210.00
"2442078",420.00,65.00,265.00,85.00
"2442088",5415.00,970.00,3330.00,1115.00
"2442095",1620.00,290.00,1090.00,240.00
"2442098",3230.00,445.00,2000.00,780.00
"2442100",1185.00,230.00,810.00,150.00
"2442110",1540.00,225.00,865.00,450.00
"2443027",161325.00,25945.00,105225.00,30155.00
"2444003",475.00,100.00,300.00,75.00
"2444005",100.00,10.00,65.00,25.00
"2444010",270.00,45.00,175.00,45.00
"2444015",670.00,95.00,410.00,165.00
"2444023",695.00,170.00,430.00,95.00
"2444037",8700.00,1375.00,5290.00,2035.00
"2444045",815.00,145.00,500.00,170.00
"2444050",585.00,80.00,355.00,145.00
"2444055",505.00,120.00,325.00,60.00
"2444060",435.00,80.00,285.00,80.00
"2444071",3130.00,635.00,1960.00,540.00
"2444080",2120.00,460.00,1300.00,360.00
"2445008",2790.00,505.00,1620.00,660.00
"2445020",740.00,100.00,420.00,220.00
"2445025",1040.00,95.00,595.00,345.00
"2445030",1855.00,205.00,1015.00,630.00
"2445035",1045.00,150.00,650.00,250.00
"2445043",695.00,110.00,430.00,160.00
"2445050",630.00,75.00,345.00,215.00
"2445055",2105.00,345.00,1375.00,390.00
"2445060",2480.00,355.00,1565.00,560.00
"2445072",26670.00,3715.00,15850.00,7105.00
"2445080",,,,
"2445085",1485.00,150.00,915.00,415.00
"2445093",1845.00,215.00,1080.00,545.00
"2445095",940.00,110.00,575.00,255.00
"2445100",675.00,60.00,410.00,205.00
"2445105",1060.00,150.00,675.00,225.00
"2445115",4335.00,675.00,2850.00,815.00
"2446005",335.00,30.00,180.00,125.00
"2446010",1115.00,135.00,675.00,305.00
"2446017",1205.00,150.00,745.00,310.00
"2446025",515.00,80.00,330.00,100.00
"2446030",275.00,40.00,185.00,50.00
"2446035",2560.00,395.00,1460.00,710.00
"2446040",690.00,95.00,420.00,170.00
"2446045",865.00,125.00,560.00,175.00
"2446050",3435.00,560.00,2160.00,715.00
"2446058",4010.00,390.00,2290.00,1340.00
"2446065",630.00,55.00,365.00,210.00
"2446070",295.00,40.00,195.00,60.00
"2446075",5495.00,650.00,3135.00,1715.00
"2446078",9040.00,1650.00,5725.00,1670.00
"2446080",13655.00,2060.00,8535.00,3060.00
"2446085",555.00,95.00,370.00,90.00
"2446090",2305.00,385.00,1525.00,395.00
"2446095",675.00,115.00,450.00,115.00
"2446100",670.00,115.00,410.00,140.00
"2446105",1085.00,225.00,730.00,135.00
"2446112",8910.00,1685.00,5515.00,1705.00
"2447010",3095.00,690.00,2135.00,270.00
"2447017",66225.00,10425.00,41470.00,14325.00
"2447025",4410.00,805.00,2675.00,930.00
"2447030",360.00,60.00,240.00,60.00
"2447035",6945.00,1245.00,4680.00,1020.00
"2447040",1305.00,255.00,860.00,185.00
"2447047",3810.00,700.00,2535.00,575.00
"2447055",2160.00,475.00,1445.00,240.00
"2448005",325.00,55.00,220.00,50.00
"2448010",1305.00,250.00,820.00,235.00
"2448015",1085.00,185.00,655.00,245.00
"2448020",730.00,135.00,465.00,135.00
"2448028",7655.00,1170.00,4750.00,1740.00
"2448038",2095.00,370.00,1345.00,375.00
"2448045",1520.00,310.00,975.00,230.00
"2448050",885.00,160.00,600.00,130.00
"2449005",1430.00,230.00,910.00,295.00
"2449015",1040.00,210.00,645.00,190.00
"2449020",900.00,180.00,620.00,100.00
"2449025",1310.00,220.00,830.00,265.00
"2449030",1645.00,245.00,1120.00,275.00
"2449040",2540.00,490.00,1715.00,335.00
"2449048",4915.00,1065.00,3240.00,615.00
"2449058",75420.00,12035.00,47940.00,15450.00
"2449070",4725.00,1070.00,3050.00,595.00
"2449075",1560.00,275.00,915.00,365.00
"2449080",950.00,145.00,635.00,170.00
"2449085",725.00,125.00,490.00,105.00
"2449095",1390.00,360.00,860.00,170.00
"2449100",760.00,180.00,470.00,110.00
"2449105",1130.00,195.00,725.00,205.00
"2449113",1475.00,285.00,920.00,265.00
"2449125",1030.00,205.00,680.00,150.00
"2449130",450.00,90.00,275.00,85.00
"2450005",890.00,175.00,550.00,165.00
