"COL0","COL1","COL2","COL3","COL4"
"4080000.00",160980.00,24210.00,103645.00,33120.00
"4080001.00",3805.00,545.00,2460.00,795.00
"4080002.01",3240.00,440.00,1870.00,930.00
"4080002.02",5675.00,480.00,3015.00,2185.00
"4080003.01",3850.00,550.00,2535.00,765.00
"4080003.02",2965.00,450.00,1905.00,605.00
"4080004.00",3655.00,330.00,2195.00,1125.00
"4080005.00",3075.00,325.00,2130.00,625.00
"4080006.00",3565.00,205.00,2220.00,1145.00
"4080007.00",2685.00,405.00,1845.00,445.00
"4080008.00",5180.00,780.00,3440.00,960.00
"4080100.00",3680.00,670.00,2310.00,705.00
"4080101.00",4090.00,610.00,2675.00,805.00
"4080102.00",2725.00,500.00,1710.00,520.00
"4080103.00",7680.00,1295.00,4870.00,1510.00
"4080104.00",7350.00,1220.00,4865.00,1260.00
"4080105.00",3155.00,410.00,2055.00,685.00
"4080106.00",3245.00,405.00,2090.00,750.00
"4080107.02",3270.00,350.00,1970.00,950.00
"4080107.03",7640.00,1115.00,5265.00,1265.00
"4080107.04",955.00,130.00,665.00,160.00
"4080108.00",2080.00,175.00,1305.00,605.00
"4080109.00",2185.00,220.00,1410.00,555.00
"4080110.00",5830.00,815.00,3645.00,1370.00
"4080111.03",1485.00,260.00,955.00,270.00
"4080111.04",2560.00,325.00,1745.00,490.00
"4080120.01",3465.00,725.00,2225.00,515.00
"4080120.03",5760.00,1215.00,3780.00,755.00
"4080120.04",1145.00,185.00,750.00,210.00
"4080120.05",1650.00,310.00,1110.00,235.00
"4080130.00",4105.00,625.00,2660.00,815.00
"4080131.00",4510.00,755.00,2965.00,785.00
"4080132.00",3385.00,600.00,2250.00,530.00
"4080133.00",3955.00,655.00,2520.00,780.00
"4080140.00",4520.00,735.00,2980.00,805.00
"4080150.00",6375.00,1265.00,4170.00,935.00
"4080160.00",6620.00,1055.00,4170.00,1395.00
"4080161.00",2495.00,490.00,1735.00,265.00
"4080162.00",6405.00,975.00,4275.00,1145.00
"4080163.00",3190.00,395.00,1915.00,875.00
"4080164.00",2070.00,365.00,1260.00,450.00
"4080165.00",955.00,105.00,645.00,205.00
"4080166.00",435.00,65.00,275.00,100.00
"4080167.00",2770.00,410.00,1810.00,545.00
"4080168.00",740.00,110.00,485.00,135.00
"4080169.00",815.00,140.00,535.00,150.00
"4210000.00",800300.00,124495.00,522130.00,153670.00
"4210001.01",4930.00,325.00,2350.00,2260.00
"4210001.02",3670.00,385.00,2270.00,1015.00
"4210002.00",1455.00,140.00,960.00,355.00
"4210003.00",7020.00,465.00,4230.00,2330.00
"4210004.00",580.00,25.00,375.00,180.00
"4210005.00",3500.00,290.00,2190.00,1015.00
"4210006.00",4905.00,500.00,3300.00,1105.00
"4210007.00",2225.00,170.00,1675.00,385.00
"4210008.00",1450.00,125.00,1080.00,235.00
"4210009.00",2155.00,155.00,1540.00,465.00
"4210010.00",2595.00,350.00,1830.00,415.00
"4210011.00",1635.00,120.00,1290.00,225.00
"4210012.00",2600.00,260.00,1795.00,540.00
"4210013.00",1460.00,195.00,1115.00,145.00
"4210014.00",2085.00,160.00,1580.00,350.00
"4210015.00",4390.00,295.00,2210.00,1890.00
"4210016.00",2445.00,110.00,1840.00,495.00
"4210017.00",65.00,5.00,50.00,15.00
"4210018.00",1150.00,75.00,965.00,115.00
"4210019.00",2630.00,215.00,2180.00,235.00
"4210020.00",3275.00,320.00,2640.00,315.00
