"","ca.age.pry.census_id","ca.age.pry.Age","ca.age.pry.Count","ca.age.pry.Sex","ca.age.pry.Year"
"1","1","Total","15475970","Male",2006
"2","10","Total","245730","Male",2006
"3","11","Total","65595","Male",2006
"4","12","Total","439830","Male",2006
"5","13","Total","355495","Male",2006
"6","24","Total","3687695","Male",2006
"7","35","Total","5930705","Male",2006
"8","46","Total","563275","Male",2006
"9","47","Total","475240","Male",2006
"10","48","Total","1646800","Male",2006
"11","59","Total","2013990","Male",2006
"12","60","Total","15280","Male",2006
"13","61","Total","21225","Male",2006
"14","62","Total","15105","Male",2006
"15","1","0 - 4","864600","Male",2006
"16","10","0 - 4","11655","Male",2006
"17","11","0 - 4","3370","Male",2006
"18","12","0 - 4","21295","Male",2006
"19","13","0 - 4","17555","Male",2006
"20","24","0 - 4","191565","Male",2006
"21","35","0 - 4","343475","Male",2006
"22","46","0 - 4","34945","Male",2006
"23","47","0 - 4","29400","Male",2006
"24","48","0 - 4","103835","Male",2006
"25","59","0 - 4","103290","Male",2006
"26","60","0 - 4","890","Male",2006
"27","61","0 - 4","1595","Male",2006
"28","62","0 - 4","1745","Male",2006
"29","1","5 - 9","926860","Male",2006
"30","10","5 - 9","13240","Male",2006
"31","11","5 - 9","4065","Male",2006
"32","12","5 - 9","24645","Male",2006
"33","13","5 - 9","20065","Male",2006
"34","24","5 - 9","203985","Male",2006
"35","35","5 - 9","369675","Male",2006
"36","46","5 - 9","38055","Male",2006
"37","47","5 - 9","31165","Male",2006
"38","48","5 - 9","104605","Male",2006
"39","59","5 - 9","113180","Male",2006
"40","60","5 - 9","940","Male",2006
"41","61","5 - 9","1560","Male",2006
"42","62","5 - 9","1690","Male",2006
"43","1","10 - 14","1065860","Male",2006
"44","10","10 - 14","15135","Male",2006
"45","11","10 - 14","4825","Male",2006
"46","12","10 - 14","28560","Male",2006
"47","13","10 - 14","23035","Male",2006
"48","24","10 - 14","243600","Male",2006
"49","35","10 - 14","420705","Male",2006
"50","46","10 - 14","42565","Male",2006
"51","47","10 - 14","35405","Male",2006
"52","48","10 - 14","115160","Male",2006
"53","59","10 - 14","132275","Male",2006
"54","60","10 - 14","1095","Male",2006
"55","61","10 - 14","1865","Male",2006
"56","62","10 - 14","1650","Male",2006
"57","1","15 - 19","1095285","Male",2006
"58","10","15 - 19","17360","Male",2006
"59","11","15 - 19","5000","Male",2006
"60","12","15 - 19","31190","Male",2006
"61","13","15 - 19","24460","Male",2006
"62","24","15 - 19","242185","Male",2006
"63","35","15 - 19","427185","Male",2006
"64","46","15 - 19","42615","Male",2006
"65","47","15 - 19","38455","Male",2006
"66","48","15 - 19","121825","Male",2006
"67","59","15 - 19","140335","Male",2006
"68","60","15 - 19","1230","Male",2006
"69","61","15 - 19","1805","Male",2006
"70","62","15 - 19","1650","Male",2006
"71","1","20 - 24","1047950","Male",2006
"72","10","20 - 24","15300","Male",2006
"73","11","20 - 24","4185","Male",2006
"74","12","20 - 24","28055","Male",2006
"75","13","20 - 24","22310","Male",2006
"76","24","20 - 24","238440","Male",2006
"77","35","20 - 24","400450","Male",2006
"78","46","20 - 24","39115","Male",2006
"79","47","20 - 24","33805","Male",2006
"80","48","20 - 24","128375","Male",2006
"81","59","20 - 24","134085","Male",2006
"82","60","20 - 24","955","Male",2006
"83","61","20 - 24","1635","Male",2006
"84","62","20 - 24","1240","Male",2006
"85","1","25 - 29","975940","Male",2006
"86","10","25 - 29","13040","Male",2006
"87","11","25 - 29","3500","Male",2006
"88","12","25 - 29","23910","Male",2006
"89","13","25 - 29","20280","Male",2006
"90","24","25 - 29","245335","Male",2006
"91","35","25 - 29","360525","Male",2006
"92","46","25 - 29","34720","Male",2006
"93","47","25 - 29","28930","Male",2006
"94","48","25 - 29","121750","Male",2006
"95","59","25 - 29","120260","Male",2006
"96","60","25 - 29","825","Male",2006
"97","61","25 - 29","1675","Male",2006
"98","62","25 - 29","1195","Male",2006
"99","1","30 - 34","987715","Male",2006
"100","10","30 - 34","14605","Male",2006
"101","11","30 - 34","3750","Male",2006
"102","12","30 - 34","25870","Male",2006
"103","13","30 - 34","22015","Male",2006
"104","24","30 - 34","232795","Male",2006
"105","35","30 - 34","382025","Male",2006
"106","46","30 - 34","34975","Male",2006
"107","47","30 - 34","26815","Male",2006
"108","48","30 - 34","118500","Male",2006
"109","59","30 - 34","122835","Male",2006
"110","60","30 - 34","920","Male",2006
"111","61","30 - 34","1520","Male",2006
"112","62","30 - 34","1090","Male",2006
"113","1","35 - 39","1083500","Male",2006
"114","10","35 - 39","17345","Male",2006
"115","11","35 - 39","4210","Male",2006
"116","12","35 - 39","29300","Male",2006
"117","13","35 - 39","24090","Male",2006
"118","24","35 - 39","250340","Male",2006
"119","35","35 - 39","430215","Male",2006
"120","46","35 - 39","36350","Male",2006
"121","47","35 - 39","27680","Male",2006
"122","48","35 - 39","119595","Male",2006
"123","59","35 - 39","140555","Male",2006
"124","60","35 - 39","1050","Male",2006
"125","61","35 - 39","1625","Male",2006
"126","62","35 - 39","1140","Male",2006
"127","1","40 - 44","1285535","Male",2006
"128","10","40 - 44","20080","Male",2006
"129","11","40 - 44","5145","Male",2006
"130","12","40 - 44","36670","Male",2006
"131","13","40 - 44","29355","Male",2006
"132","24","40 - 44","308570","Male",2006
"133","35","40 - 44","507135","Male",2006
"134","46","40 - 44","43515","Male",2006
"135","47","40 - 44","34745","Male",2006
"136","48","40 - 44","133515","Male",2006
"137","59","40 - 44","162680","Male",2006
"138","60","40 - 44","1310","Male",2006
"139","61","40 - 44","1865","Male",2006
"140","62","40 - 44","955","Male",2006
"141","1","45 - 49","1290130","Male",2006
"142","10","45 - 49","20815","Male",2006
"143","11","45 - 49","5210","Male",2006
"144","12","45 - 49","37410","Male",2006
"145","13","45 - 49","30105","Male",2006
"146","24","45 - 49","318140","Male",2006
"147","35","45 - 49","486390","Male",2006
"148","46","45 - 49","44820","Male",2006
"149","47","45 - 49","37765","Male",2006
"150","48","45 - 49","138420","Male",2006
"151","59","45 - 49","167040","Male",2006
"152","60","45 - 49","1495","Male",2006
"153","61","45 - 49","1755","Male",2006
"154","62","45 - 49","765","Male",2006
"155","1","50 - 54","1158970","Male",2006
"156","10","50 - 54","21130","Male",2006
"157","11","50 - 54","5010","Male",2006
"158","12","50 - 54","34760","Male",2006
"159","13","50 - 54","28640","Male",2006
"160","24","50 - 54","289785","Male",2006
"161","35","50 - 54","423345","Male",2006
"162","46","50 - 54","40525","Male",2006
"163","47","50 - 54","35215","Male",2006
"164","48","50 - 54","120425","Male",2006
"165","59","50 - 54","156595","Male",2006
"166","60","50 - 54","1420","Male",2006
"167","61","50 - 54","1455","Male",2006
"168","62","50 - 54","665","Male",2006
"169","1","55 - 59","1026395","Male",2006
"170","10","55 - 59","19535","Male",2006
"171","11","55 - 59","4905","Male",2006
"172","12","55 - 59","33280","Male",2006
"173","13","55 - 59","27005","Male",2006
"174","24","55 - 59","257795","Male",2006
"175","35","55 - 59","378535","Male",2006
"176","46","55 - 59","35290","Male",2006
"177","47","55 - 59","29120","Male",2006
"178","48","55 - 59","95475","Male",2006
"179","59","55 - 59","142575","Male",2006
"180","60","55 - 59","1165","Male",2006
"181","61","55 - 59","1165","Male",2006
"182","62","55 - 59","565","Male",2006
"183","1","60 - 64","780135","Male",2006
"184","10","60 - 64","14895","Male",2006
"185","11","60 - 64","3655","Male",2006
"186","12","60 - 64","25475","Male",2006
"187","13","60 - 64","20085","Male",2006
"188","24","60 - 64","208800","Male",2006
"189","35","60 - 64","283545","Male",2006
"190","46","60 - 64","26530","Male",2006
"191","47","60 - 64","21690","Male",2006
"192","48","60 - 64","66795","Male",2006
"193","59","60 - 64","106810","Male",2006
"194","60","60 - 64","800","Male",2006
"195","61","60 - 64","730","Male",2006
"196","62","60 - 64","335","Male",2006
"197","1","65 - 69","593810","Male",2006
"198","10","65 - 69","11000","Male",2006
"199","11","65 - 69","2875","Male",2006
"200","12","65 - 69","19395","Male",2006
"201","13","65 - 69","15325","Male",2006
"202","24","65 - 69","150170","Male",2006
"203","35","65 - 69","222635","Male",2006
"204","46","65 - 69","20225","Male",2006
"205","47","65 - 69","17900","Male",2006
"206","48","65 - 69","50165","Male",2006
"207","59","65 - 69","83055","Male",2006
"208","60","65 - 69","515","Male",2006
"209","61","65 - 69","360","Male",2006
"210","62","65 - 69","185","Male",2006
"211","1","70 - 74","493465","Male",2006
"212","10","70 - 74","8460","Male",2006
"213","11","70 - 74","2340","Male",2006
"214","12","70 - 74","15570","Male",2006
"215","13","70 - 74","11860","Male",2006
"216","24","70 - 74","121940","Male",2006
"217","35","70 - 74","187510","Male",2006
"218","46","70 - 74","17210","Male",2006
"219","47","70 - 74","15990","Male",2006
"220","48","70 - 74","41685","Male",2006
"221","59","70 - 74","70200","Male",2006
"222","60","70 - 74","305","Male",2006
"223","61","70 - 74","270","Male",2006
"224","62","70 - 74","135","Male",2006
"225","1","75 - 79","386485","Male",2006
"226","10","75 - 79","5965","Male",2006
"227","11","75 - 79","1665","Male",2006
"228","12","75 - 79","11340","Male",2006
"229","13","75 - 79","8765","Male",2006
"230","24","75 - 79","92485","Male",2006
"231","35","75 - 79","149580","Male",2006
"232","46","75 - 79","14140","Male",2006
"233","47","75 - 79","13750","Male",2006
"234","48","75 - 79","32705","Male",2006
"235","59","75 - 79","55635","Male",2006
"236","60","75 - 79","205","Male",2006
"237","61","75 - 79","180","Male",2006
"238","62","75 - 79","65","Male",2006
"239","1","80 - 84","251420","Male",2006
"240","10","80 - 84","3850","Male",2006
"241","11","80 - 84","1115","Male",2006
"242","12","80 - 84","7545","Male",2006
"243","13","80 - 84","6280","Male",2006
"244","24","80 - 84","58080","Male",2006
"245","35","80 - 84","97240","Male",2006
"246","46","80 - 84","10180","Male",2006
"247","47","80 - 84","9775","Male",2006
"248","48","80 - 84","20225","Male",2006
"249","59","80 - 84","36890","Male",2006
"250","60","80 - 84","120","Male",2006
"251","61","80 - 84","90","Male",2006
"252","62","80 - 84","35","Male",2006
"253","1","85-","161925","Male",2006
"254","10","85-","2320","Male",2006
"255","11","85-","770","Male",2006
"256","12","85-","5560","Male",2006
"257","13","85-","4255","Male",2006
"258","24","85-","33695","Male",2006
"259","35","85-","60550","Male",2006
