"","Journey_towork.CLSC_code","Journey_towork.Nom","Journey_towork.Den","Journey_towork.Year"
"1",1111,1090,8855,2006
"2",1121,1590,15285,2006
"3",1131,850,7845,2006
"4",1141,495,3250,2006
"5",1151,2770,24130,2006
"6",1161,960,7205,2006
"7",1171,750,8720,2006
"8",1181,715,6275,2006
"9",2111,1325,13385,2006
"10",2121,1180,10035,2006
"11",2131,1865,21160,2006
"12",2141,1360,27265,2006
"13",2151,2070,33740,2006
"14",2161,915,9530,2006
"15",3111,1550,20365,2006
"16",3121,1215,32240,2006
"17",3122,1035,22325,2006
"18",3123,4810,35875,2006
"19",3124,6530,17610,2006
"20",3125,3940,11990,2006
"21",3126,4055,27010,2006
"22",3131,1690,42395,2006
"23",3132,1830,47325,2006
"24",3133,1560,39465,2006
"25",3134,585,13875,2006
"26",3141,520,5105,2006
"27",3142,645,6800,2006
"28",4111,875,5780,2006
"29",4121,445,4545,2006
"30",4122,415,4520,2006
"31",4131,855,9255,2006
"32",4141,1960,25665,2006
"33",4151,3090,36930,2006
"34",4152,1165,20380,2006
"35",4161,1105,9670,2006
"36",4162,700,7640,2006
"37",4171,3295,41785,2006
"38",4181,2865,29830,2006
"39",4182,1530,10000,2006
"40",5111,2075,21830,2006
"41",5121,2715,42775,2006
"42",5131,1700,19190,2006
"43",5141,875,7715,2006
"44",5151,5570,67915,2006
"45",5161,1170,12920,2006
"46",5171,495,5690,2006
"47",5181,760,9020,2006
"48",5191,1055,9515,2006
"49",6111,1885,35550,2006
"50",6112,1395,38885,2006
"51",6113,690,23240,2006
"52",6121,2175,28030,2006
"53",6122,1770,34550,2006
"54",6211,1055,19475,2006
"55",6212,2935,31515,2006
"56",6221,995,10325,2006
"57",6222,2070,18600,2006
"58",6223,1120,12875,2006
"59",6224,3110,21910,2006
"60",6225,7775,23155,2006
"61",6311,2505,13000,2006
"62",6312,995,13420,2006
"63",6313,2195,30065,2006
"64",6314,865,5655,2006
"65",6321,6690,20110,2006
"66",6322,7585,29265,2006
"67",6323,4360,17335,2006
"68",6324,1855,4675,2006
"69",6411,920,20605,2006
"70",6412,1900,32795,2006
"71",6421,2850,35455,2006
"72",6422,2145,31580,2006
"73",6431,3250,28995,2006
"74",6432,4090,24505,2006
"75",6511,1365,22015,2006
"76",6512,1310,29575,2006
"77",6521,675,25750,2006
"78",6522,1045,18635,2006
"79",6523,1440,25870,2006
"80",6524,1150,19700,2006
"81",6531,4015,39575,2006
"82",6532,1475,18745,2006
"83",6533,2975,23240,2006
"84",7111,400,7655,2006
"85",7121,510,7485,2006
"86",7131,310,13465,2006
"87",7151,270,4930,2006
"88",7152,610,5880,2006
"89",8111,910,8205,2006
"90",8121,1130,10610,2006
"91",8131,2120,18055,2006
"92",8141,2085,18695,2006
"93",8151,845,4925,2006
"94",8152,275,1595,2006
"95",9111,380,1885,2006
"96",9121,275,2085,2006
"97",9122,150,2220,2006
"98",9123,1150,15470,2006
"99",9131,200,3315,2006
"100",9141,1415,12335,2006
"101",9151,695,2500,2006
"102",9161,540,1490,2006
"103",9171,80,130,2006
"104",10011,75,625,2006
"105",10012,180,685,2006
"106",10013,190,1395,2006
"107",10014,760,4525,2006
"108",11111,370,4980,2006
"109",11112,370,5895,2006
"110",11121,350,3765,2006
"111",11131,145,630,2006
"112",11132,400,6095,2006
"113",11133,100,225,2006
"114",11141,360,5505,2006
"115",11211,250,5590,2006
"116",12111,1270,12385,2006
"117",12112,1820,46100,2006
"118",12113,2010,25505,2006
"119",12114,1425,14430,2006
"120",12115,1080,12825,2006
"121",12121,1560,18525,2006
"122",12131,725,8575,2006
"123",12132,1695,24750,2006
"124",12141,570,6805,2006
"125",12151,1010,9740,2006
"126",12152,810,7615,2006
"127",13111,1610,61515,2006
"128",13112,780,25800,2006
"129",13113,2050,40915,2006
"130",13114,1890,50225,2006
"131",14111,1525,18695,2006
"132",14112,935,17685,2006
"133",14113,2470,26025,2006
"134",14114,1390,16840,2006
"135",14121,2245,67050,2006
"136",14122,2530,55725,2006
"137",15111,1315,13340,2006
"138",15121,1225,18480,2006
"139",15131,800,15960,2006
"140",15141,715,12585,2006
"141",15151,2175,50380,2006
"142",15161,3175,59405,2006
"143",15171,3225,71745,2006
"144",16111,2975,53340,2006
"145",16112,1760,39355,2006
"146",16121,1505,27990,2006
"147",16122,3535,51600,2006
"148",16211,2090,29715,2006
"149",16212,2010,32845,2006
"150",16213,2680,56785,2006
"151",16221,2685,50560,2006
"152",16222,3935,38595,2006
"153",16223,910,6580,2006
"154",16231,1730,20775,2006
"155",16311,2555,60565,2006
"156",16321,1790,24670,2006
"157",16331,705,8485,2006
"158",16341,1445,29430,2006
"159",16342,1735,48730,2006
"160",16343,770,10645,2006
"161",17011,1005,1810,2006
"162",17012,800,1800,2006
"163",18011,1840,5205,2006
