"","Housing_type.CLSC_code","Housing_type.Nom","Housing_type.Den","Housing_type.Year"
"1",1111,2025,8965,2011
"2",1121,4985,14890,2011
"3",1131,2220,8955,2011
"4",1141,1035,4160,2011
"5",1151,8670,24830,2011
"6",1161,2195,8320,2011
"7",1171,2945,10225,2011
"8",1181,1970,8060,2011
"9",2111,3805,13650,2011
"10",2121,3175,11205,4022
"11",2131,6045,21825,34187
"12",2141,9665,27850,38209
"13",2151,12400,33060,42231
"14",2161,3075,8580,20110
"15",3111,4320,21330,2011
"16",3121,4230,24120,32176
"17",3122,9200,22155,64352
"18",3123,19640,38495,42231
"19",3124,14230,21205,22121
"20",3125,10850,14720,34187
"21",3126,25885,32535,40220
"22",3131,8000,35445,48264
"23",3132,14300,45580,60330
"24",3133,11925,35635,36198
"25",3134,2420,13605,4022
"26",3141,1400,5700,2011
"27",3142,1835,7095,2011
"28",4111,1955,6320,2011
"29",4121,1285,6095,2011
"30",4122,955,5580,18099
"31",4131,3090,10665,24132
"32",4141,10920,30115,12066
"33",4151,18995,41550,46253
"34",4152,8575,21560,20110
"35",4161,2560,9765,2011
"36",4162,1940,8685,2011
"37",4171,16370,42975,2011
"38",4181,9395,29910,2011
"39",4182,2625,9990,2011
"40",5111,6450,21825,44242
"41",5121,15110,41135,6033
"42",5131,6290,21845,2011
"43",5141,2135,7740,2011
"44",5151,34960,70570,2011
"45",5161,3240,12475,2011
"46",5171,1840,6490,2011
"47",5181,1820,9210,2011
"48",5191,1980,9550,2011
"49",6111,5445,29280,12066
"50",6112,8960,31590,36198
"51",6113,3705,16955,2011
"52",6121,14275,26520,26143
"53",6122,19630,32555,38209
"54",6211,10940,20820,8044
"55",6212,20515,32895,38209
"56",6221,9580,12095,12066
"57",6222,6965,17165,20110
"58",6223,10015,13360,42231
"59",6224,20920,24375,60330
"60",6225,24375,32340,26143
"61",6311,9210,13390,26143
"62",6312,9865,14835,18099
"63",6313,19750,31460,40220
"64",6314,5070,6945,12066
"65",6321,13565,19755,36198
"66",6322,21095,29600,56308
"67",6323,16465,20910,44242
"68",6324,4885,7730,16088
"69",6411,11275,21065,40220
"70",6412,18575,34580,36198
"71",6421,23620,37285,42231
"72",6422,25000,34985,36198
"73",6431,22125,29980,54297
"74",6432,18820,25400,52286
"75",6511,15930,22380,28154
"76",6512,19470,30670,40220
"77",6521,6710,20970,24132
"78",6522,10750,19110,18099
"79",6523,10140,22860,24132
"80",6524,11155,19870,22121
"81",6531,30585,43455,48264
"82",6532,13325,20665,20110
"83",6533,20340,26205,42231
"84",7111,1550,8220,4022
"85",7121,2040,9245,2011
"86",7131,950,11160,20110
"87",7151,645,4900,20110
"88",7152,1595,6310,34187
"89",8111,2170,9015,2011
"90",8121,2815,10150,2011
"91",8131,6810,17985,2011
"92",8141,6470,18370,2011
"93",8151,1010,4560,46253
"94",8152,10,215,6033
"95",9111,575,1480,16088
"96",9121,465,2285,10055
"97",9122,765,2725,10055
"98",9123,3365,13695,2011
"99",9131,640,3195,10055
"100",9141,3450,10570,78429
"101",9151,0,360,24132
"102",9161,0,310,14077
"103",9171,0,150,4022
"104",10011,275,580,2011
"105",10012,0,0,2011
"106",10013,65,925,4022
"107",10014,1130,3825,4022
"108",11111,1670,6585,2011
"109",11112,1810,7840,2011
"110",11121,1230,5255,18099
"111",11131,180,1085,8044
"112",11132,1725,6830,10055
"113",11133,100,400,2011
"114",11141,1990,7565,20110
"115",11211,1075,5380,2011
"116",12111,2510,12115,2011
"117",12112,8285,35685,42231
"118",12113,9185,24005,28154
"119",12114,2750,14540,2011
"120",12115,2735,11730,20110
"121",12121,5000,19485,2011
"122",12131,2020,7880,2011
"123",12132,6035,21795,2011
"124",12141,1245,7365,2011
"125",12151,2915,10250,2011
"126",12152,1705,8105,2011
"127",13111,7175,48145,68374
"128",13112,4405,21500,36198
"129",13113,18580,37585,36198
"130",13114,15180,43505,86473
"131",14111,4195,22170,2011
"132",14112,4310,19565,2011
"133",14113,11405,28235,2011
"134",14114,3970,17490,2011
"135",14121,10400,55175,2011
"136",14122,11655,47835,2011
"137",15111,4355,16000,2011
"138",15121,5420,20860,2011
"139",15131,4295,19530,2011
"140",15141,3980,14160,2011
"141",15151,9935,41875,8044
"142",15161,19435,56650,8044
"143",15171,14985,58055,2011
"144",16111,15045,50870,14077
"145",16112,8225,31520,34187
"146",16121,6090,24975,16088
"147",16122,15925,45145,26143
"148",16211,20310,30645,34187
"149",16212,14295,30010,28154
"150",16213,7325,44145,4022
"151",16221,7315,42450,24132
"152",16222,14370,36590,2011
"153",16223,1750,6420,2011
"154",16231,7255,23265,2011
"155",16311,9285,53290,2011
"156",16321,9735,24470,10055
"157",16331,1900,9010,2011
"158",16341,5585,25745,14077
"159",16342,6785,36980,14077
"160",16343,2230,10240,2011
"161",17011,1600,1615,26143
"162",17012,1455,1525,30165
"163",18011,695,3780,36198
