"","Lowincome_LIM_0_17.CLSC_code","Lowincome_LIM_0_17.Nom","Lowincome_LIM_0_17.Den","Lowincome_LIM_0_17.Year"
"1",1111,445,3730,2011
"2",1121,480,6100,2011
"3",1131,555,3745,2011
"4",1141,235,1330,2011
"5",1151,1020,9490,2011
"6",1161,565,3320,2011
"7",1171,445,3350,2011
"8",1181,560,3400,2011
"9",2111,850,5435,2011
"10",2121,615,4945,4022
"11",2131,1010,10075,34187
"12",2141,1370,12185,44242
"13",2151,1815,13540,50275
"14",2161,425,3490,20110
"15",3111,860,8845,2011
"16",3121,475,12560,32176
"17",3122,605,7650,64352
"18",3123,1115,9995,42231
"19",3124,310,2995,22121
"20",3125,800,2170,34187
"21",3126,2315,7320,40220
"22",3131,1760,22635,64352
"23",3132,1875,19530,60330
"24",3133,1455,15460,36198
"25",3134,365,6270,4022
"26",3141,180,2050,2011
"27",3142,420,2815,2011
"28",4111,470,1920,2011
"29",4121,575,1960,2011
"30",4122,340,2105,18099
"31",4131,875,3700,24132
"32",4141,2165,10040,12066
"33",4151,2680,14525,46253
"34",4152,1595,8305,20110
"35",4161,770,4170,2011
"36",4162,695,3745,2011
"37",4171,3250,20025,2011
"38",4181,2040,14020,2011
"39",4182,800,4680,2011
"40",5111,1610,9580,44242
"41",5121,2765,19570,6033
"42",5131,1310,8575,2011
"43",5141,620,4245,2011
"44",5151,5285,29845,2011
"45",5161,790,6205,2011
"46",5171,790,2725,2011
"47",5181,890,4680,2011
"48",5191,600,4295,2011
"49",6111,1420,17800,12066
"50",6112,3065,19865,36198
"51",6113,1690,10865,2011
"52",6121,2590,11240,26143
"53",6122,4595,13835,38209
"54",6211,2155,10075,8044
"55",6212,3620,13715,38209
"56",6221,3265,6475,12066
"57",6222,1745,11110,20110
"58",6223,2205,7255,42231
"59",6224,3875,9500,60330
"60",6225,1575,6325,26143
"61",6311,2460,5015,30165
"62",6312,1595,5010,18099
"63",6313,2895,9840,40220
"64",6314,1200,2420,12066
"65",6321,895,5240,36198
"66",6322,1140,6165,56308
"67",6323,1625,3420,44242
"68",6324,395,1070,16088
"69",6411,3400,10715,40220
"70",6412,6240,20640,36198
"71",6421,3105,13605,42231
"72",6422,7520,18225,36198
"73",6431,2495,9515,54297
"74",6432,1405,5930,52286
"75",6511,5410,13105,28154
"76",6512,5850,16225,40220
"77",6521,2330,11995,24132
"78",6522,1975,7960,18099
"79",6523,2020,9240,24132
"80",6524,1705,7270,22121
"81",6531,3290,13130,48264
"82",6532,1700,6290,20110
"83",6533,2325,6220,42231
"84",7111,835,4120,4022
"85",7121,655,3105,2011
"86",7131,405,6910,20110
"87",7151,185,2230,20110
"88",7152,310,2405,34187
"89",8111,735,4305,2011
"90",8121,490,4890,2011
"91",8131,975,8295,2011
"92",8141,1030,8355,2011
"93",8151,235,2115,46253
"94",8152,0,105,6033
"95",9111,30,770,16088
"96",9121,50,975,10055
"97",9122,165,940,10055
"98",9123,630,5280,2011
"99",9131,80,1340,10055
"100",9141,390,5250,88484
"101",9151,0,0,24132
"102",9161,0,0,14077
"103",9171,0,0,4022
"104",10011,10,245,2011
"105",10012,0,0,2011
"106",10013,20,320,4022
"107",10014,250,1950,4022
"108",11111,285,2190,2011
"109",11112,370,2870,2011
"110",11121,455,1675,18099
"111",11131,0,325,8044
"112",11132,410,2655,10055
"113",11133,0,115,2011
"114",11141,520,2655,20110
"115",11211,180,2110,2011
"116",12111,695,6180,2011
"117",12112,1125,21275,46253
"118",12113,900,9270,28154
"119",12114,795,6980,2011
"120",12115,615,6110,20110
"121",12121,1170,7025,2011
"122",12131,520,4060,2011
"123",12132,1215,10415,2011
"124",12141,390,3070,2011
"125",12151,535,3840,2011
"126",12152,405,3240,2011
"127",13111,2290,31455,68374
"128",13112,1330,13120,36198
"129",13113,3320,15350,36198
"130",13114,4680,25615,88484
"131",14111,1555,7165,2011
"132",14112,1975,10595,2011
"133",14113,2000,11585,2011
"134",14114,1320,8080,2011
"135",14121,3720,36485,2011
"136",14122,2255,25540,2011
"137",15111,1400,5710,2011
"138",15121,1775,7735,2011
"139",15131,915,5780,2011
"140",15141,1240,5710,2011
"141",15151,2865,25570,26143
"142",15161,4070,30125,18099
"143",15171,4105,37490,2011
"144",16111,3410,23245,14077
"145",16112,1960,16270,34187
"146",16121,1435,14940,16088
"147",16122,3055,21725,26143
"148",16211,2875,9785,34187
"149",16212,2700,12970,28154
"150",16213,1285,26575,4022
"151",16221,1760,24505,24132
"152",16222,2255,16740,2011
"153",16223,585,3215,2011
"154",16231,1310,7725,2011
"155",16311,2880,33670,2011
"156",16321,1380,8980,10055
"157",16331,730,3900,2011
"158",16341,1545,13970,14077
"159",16342,1790,24005,14077
"160",16343,795,5540,2011
"161",17011,505,2830,26143
"162",17012,295,2000,30165
"163",18011,0,0,36198
