"","Employment.CLSC_code","Employment.Nom","Employment.Den","Employment.Year"
"1",1111,9285,9965,2016
"2",1121,16220,17275,2016
"3",1131,8065,9020,2016
"4",1141,3340,3800,2016
"5",1151,25960,28165,2016
"6",1161,7395,8215,2016
"7",1171,8745,9915,2016
"8",1181,7090,8215,2016
"9",2111,12910,14500,2016
"10",2121,10110,11715,2016
"11",2131,22660,25045,2016
"12",2141,29765,32620,2016
"13",2151,35400,38585,2016
"14",2161,10030,11000,2016
"15",3111,25560,27060,2016
"16",3121,32940,34240,2016
"17",3122,27240,28480,2016
"18",3123,37165,39710,2016
"19",3124,17960,19125,2016
"20",3125,13595,14565,2016
"21",3126,28165,30305,2016
"22",3131,58395,60620,2016
"23",3132,55660,58000,2016
"24",3133,45895,47905,2016
"25",3134,17820,18640,2016
"26",3141,5535,6130,2016
"27",3142,6485,7360,2016
"28",4111,5470,6155,2016
"29",4121,4785,5385,2016
"30",4122,5600,6105,2016
"31",4131,10060,10785,2016
"32",4141,26300,28770,2016
"33",4151,40790,44205,2016
"34",4152,21680,23335,2016
"35",4161,10875,11510,2016
"36",4162,9290,9865,2016
"37",4171,49320,52925,2016
"38",4181,34700,36765,2016
"39",4182,11415,12150,2016
"40",5111,24855,26345,2016
"41",5121,48220,51210,2016
"42",5131,22960,24560,2016
"43",5141,9390,9830,2016
"44",5151,76080,81740,2016
"45",5161,14615,15405,2016
"46",5171,5700,6075,2016
"47",5181,10190,10935,2016
"48",5191,9955,10475,2016
"49",6111,39250,41815,2016
"50",6112,43555,47120,2016
"51",6113,24005,25850,2016
"52",6121,30950,33730,2016
"53",6122,34185,38085,2016
"54",6211,21880,23915,2016
"55",6212,35100,38580,2016
"56",6221,10975,12825,2016
"57",6222,21250,22685,2016
"58",6223,16820,18605,2016
"59",6224,22140,25670,2016
"60",6225,26695,30275,2016
"61",6311,22055,24005,2016
"62",6312,14545,15920,2016
"63",6313,35470,38630,2016
"64",6314,7575,8325,2016
"65",6321,22790,24775,2016
"66",6322,33320,35780,2016
"67",6323,21595,23585,2016
"68",6324,7785,8375,2016
"69",6411,23060,25895,2016
"70",6412,40920,45630,2016
"71",6421,38095,41965,2016
"72",6422,32425,37020,2016
"73",6431,33850,36680,2016
"74",6432,29365,31485,2016
"75",6511,23345,27025,2016
"76",6512,32150,36150,2016
"77",6521,27400,29575,2016
"78",6522,18055,20000,2016
"79",6523,25570,27385,2016
"80",6524,21420,23475,2016
"81",6531,43095,46930,2016
"82",6532,19720,21585,2016
"83",6533,27330,29935,2016
"84",7111,8630,9450,2016
"85",7121,7880,9005,2016
"86",7131,19730,20785,2016
"87",7141,33940,35790,2016
"88",7142,34350,37655,2016
"89",7143,59570,63820,2016
"90",7151,18870,20125,2016
"91",7152,6640,7230,2016
"92",8111,8745,9425,2016
"93",8121,11825,12920,2016
"94",8131,20370,22055,2016
"95",8141,20755,22375,2016
"96",8151,5395,5975,2016
"97",8152,1555,1660,2016
"98",9111,1755,1955,2016
"99",9121,2215,2685,2016
"100",9122,1900,2305,2016
"101",9123,13515,15020,2016
"102",9131,3215,3630,2016
"103",9141,12785,14220,2016
"104",9151,2865,3375,2016
"105",9161,1640,2290,2016
"106",9171,180,255,2016
"107",10011,575,645,2016
"108",10012,790,815,2016
"109",10013,935,1120,2016
"110",10014,4785,5140,2016
"111",11111,5215,6360,2016
"112",11112,6760,8085,2016
"113",11121,3660,4580,2016
"114",11131,705,880,2016
"115",11132,6625,7550,2016
"116",11133,260,320,2016
"117",11141,6245,7295,2016
"118",11211,5900,6705,2016
"119",12111,16875,17695,2016
"120",12112,52380,54390,2016
"121",12113,28400,29800,2016
"122",12114,19060,19850,2016
"123",12115,16275,16865,2016
"124",12121,18745,19685,2016
"125",12131,9465,9880,2016
"126",12132,26520,27860,2016
"127",12141,7165,7645,2016
"128",12151,10435,11055,2016
"129",12152,8310,8890,2016
"130",13111,74205,78910,2016
"131",13112,30780,32850,2016
"132",13113,43525,47130,2016
"133",13114,59795,65040,2016
"134",14111,20065,22220,2016
"135",14112,25490,27510,2016
"136",14113,29305,31565,2016
"137",14114,19365,20970,2016
"138",14121,84230,89365,2016
"139",14122,63280,67125,2016
"140",15111,13470,15170,2016
"141",15121,20480,22725,2016
"142",15131,19390,20820,2016
"143",15141,14185,15380,2016
"144",15151,61060,65130,2016
"145",15161,80520,85980,2016
"146",15171,82805,87750,2016
"147",16111,60645,65515,2016
"148",16112,43895,46850,2016
"149",16121,37640,39315,2016
"150",16122,58125,61680,2016
"151",16211,29705,32600,2016
"152",16212,34285,36840,2016
"153",16213,63530,66315,2016
"154",16221,58745,61500,2016
"155",16222,42955,45510,2016
"156",16223,7370,7835,2016
"157",16231,22025,23865,2016
"158",16311,79450,83980,2016
"159",16321,26220,28435,2016
"160",16331,9915,10695,2016
"161",16341,35290,38100,2016
"162",16342,57605,60550,2016
"163",16343,14485,15240,2016
"164",17011,2440,2930,2016
"165",17012,2790,3245,2016
"166",18011,6455,7675,2016
