"","Immigrant_type.CLSC_code","Immigrant_type.Nom","Immigrant_type.Den","Immigrant_type.Year"
"1",1111,230,20110,2016
"2",1121,440,32600,2016
"3",1131,235,18850,2016
"4",1141,30,8270,2016
"5",1151,965,54645,2016
"6",1161,140,17530,2016
"7",1171,330,20590,2016
"8",1181,80,17390,2016
"9",2111,255,30245,2016
"10",2121,165,24390,2016
"11",2131,445,50555,2016
"12",2141,680,65115,2016
"13",2151,1200,76500,2016
"14",2161,220,22055,2016
"15",3111,795,51365,2016
"16",3121,2845,60695,2016
"17",3122,2970,49005,2016
"18",3123,10015,74430,2016
"19",3124,3495,34445,2016
"20",3125,2455,24740,2016
"21",3126,5920,56230,2016
"22",3131,3375,103275,2016
"23",3132,5245,105690,2016
"24",3133,3630,85220,2016
"25",3134,765,34370,2016
"26",3141,210,12535,2016
"27",3142,175,15180,2016
"28",4111,120,14615,2016
"29",4121,120,12065,2016
"30",4122,155,12650,2016
"31",4131,235,22180,2016
"32",4141,1025,61845,2016
"33",4151,3520,87205,2016
"34",4152,1080,46285,2016
"35",4161,475,22305,2016
"36",4162,330,19840,2016
"37",4171,2910,100090,2016
"38",4181,1745,69525,2016
"39",4182,270,22740,2016
"40",5111,2350,51630,2016
"41",5121,4070,97675,2016
"42",5131,2640,49030,2016
"43",5141,600,18090,2016
"44",5151,12740,156260,2016
"45",5161,590,29955,2016
"46",5171,255,13770,2016
"47",5181,405,21895,2016
"48",5191,360,21015,2016
"49",6111,19990,78120,2016
"50",6112,32220,86620,2016
"51",6113,19135,48275,2016
"52",6121,14370,61070,2016
"53",6122,26950,75160,2016
"54",6211,21065,48790,2016
"55",6212,27055,71230,2016
"56",6221,15795,27975,2016
"57",6222,13480,44890,2016
"58",6223,19075,34565,2016
"59",6224,25480,50145,2016
"60",6225,19655,59130,2016
"61",6311,10715,38200,2016
"62",6312,7650,30095,2016
"63",6313,16315,67325,2016
"64",6314,3010,14545,2016
"65",6321,10095,38880,2016
"66",6322,11255,52790,2016
"67",6323,8615,36890,2016
"68",6324,5345,14125,2016
"69",6411,28715,54375,2016
"70",6412,50145,93405,2016
"71",6421,25260,78300,2016
"72",6422,34000,81620,2016
"73",6431,17190,60435,2016
"74",6432,9470,47555,2016
"75",6511,27680,55995,2016
"76",6512,37350,76995,2016
"77",6521,19230,56460,2016
"78",6522,13960,41715,2016
"79",6523,6210,51055,2016
"80",6524,8370,43585,2016
"81",6531,20150,84325,2016
"82",6532,11660,41790,2016
"83",6533,8020,48530,2016
"84",7111,560,19845,2016
"85",7121,305,19795,2016
"86",7131,1715,36310,2016
"87",7141,10405,64215,2016
"88",7142,12550,66800,2016
"89",7143,10415,115875,2016
"90",7151,725,38220,2016
"91",7152,315,15850,2016
"92",8111,95,20030,2016
"93",8121,220,24000,2016
"94",8131,760,41170,2016
"95",8141,860,42290,2016
"96",8151,155,11830,2016
"97",8152,45,2925,2016
"98",9111,25,2650,2016
"99",9121,75,5090,2016
"100",9122,20,5275,2016
"101",9123,325,30325,2016
"102",9131,85,7320,2016
"103",9141,515,24255,2016
"104",9151,45,5100,2016
"105",9161,10,3430,2016
"106",9171,0,0,2016
"107",10011,20,1185,2016
"108",10012,30,1450,2016
"109",10013,65,2165,2016
"110",10014,140,8865,2016
"111",11111,210,14040,2016
"112",11112,170,17195,2016
"113",11121,105,10660,2016
"114",11131,10,2150,2016
"115",11132,190,15140,2016
"116",11133,10,660,2016
"117",11141,155,16085,2016
"118",11211,105,12190,2016
"119",12111,405,31025,2016
"120",12112,2280,93595,2016
"121",12113,1515,53255,2016
"122",12114,530,36045,2016
"123",12115,520,29260,2016
"124",12121,555,40760,2016
"125",12131,190,18525,2016
"126",12132,735,50895,2016
"127",12141,235,15990,2016
"128",12151,230,22040,2016
"129",12152,120,17240,2016
"130",13111,30375,137595,2016
"131",13112,13455,60145,2016
"132",13113,24825,87055,2016
"133",13114,48275,126050,2016
"134",14111,1365,49260,2016
"135",14112,1040,52035,2016
"136",14113,1700,63930,2016
"137",14114,850,41420,2016
"138",14121,12385,156690,2016
"139",14122,8615,122955,2016
"140",15111,440,33930,2016
"141",15121,1975,44795,2016
"142",15131,2815,41210,2016
"143",15141,1070,31725,2016
"144",15151,6990,115940,2016
"145",15161,5625,156310,2016
"146",15171,11785,153955,2016
"147",16111,39990,125945,2016
"148",16112,13640,82980,2016
"149",16121,3075,68070,2016
"150",16122,4015,113335,2016
"151",16211,11615,62565,2016
"152",16212,11840,68190,2016
"153",16213,5790,116915,2016
"154",16221,5995,110155,2016
"155",16222,3850,83820,2016
"156",16223,275,15200,2016
"157",16231,1160,49485,2016
"158",16311,17585,147355,2016
"159",16321,1275,55515,2016
"160",16331,900,22040,2016
"161",16341,9000,71895,2016
"162",16342,9860,104555,2016
"163",16343,815,27220,2016
"164",17011,25,7155,2016
"165",17012,140,5955,2016
"166",18011,0,0,2016
