"","Lowincome_LICO_0_17.CLSC_code","Lowincome_LICO_0_17.Nom","Lowincome_LICO_0_17.Den","Lowincome_LICO_0_17.Year"
"1",1111,65,3675,2016
"2",1121,145,6255,2016
"3",1131,100,3250,2016
"4",1141,50,1275,2016
"5",1151,335,9635,2016
"6",1161,125,3375,2016
"7",1171,135,3275,2016
"8",1181,110,3145,2016
"9",2111,160,5365,2016
"10",2121,175,4705,2016
"11",2131,330,9945,2016
"12",2141,595,12065,2016
"13",2151,515,13835,2016
"14",2161,145,3910,2016
"15",3111,225,9875,2016
"16",3121,315,11695,2016
"17",3122,510,8215,2016
"18",3123,895,10985,2016
"19",3124,345,3300,2016
"20",3125,550,2640,2016
"21",3126,1705,7815,2016
"22",3131,880,24820,2016
"23",3132,955,21235,2016
"24",3133,870,16155,2016
"25",3134,115,6750,2016
"26",3141,25,2040,2016
"27",3142,50,2535,2016
"28",4111,115,1875,2016
"29",4121,85,1745,2016
"30",4122,70,2270,2016
"31",4131,170,3420,2016
"32",4141,720,10050,2016
"33",4151,1385,15145,2016
"34",4152,610,8100,2016
"35",4161,140,4250,2016
"36",4162,105,3755,2016
"37",4171,1245,20970,2016
"38",4181,710,14160,2016
"39",4182,105,4605,2016
"40",5111,530,9915,2016
"41",5121,1100,19930,2016
"42",5131,360,8480,2016
"43",5141,100,4000,2016
"44",5151,2540,30960,2016
"45",5161,175,6315,2016
"46",5171,140,2700,2016
"47",5181,175,4520,2016
"48",5191,120,4030,2016
"49",6111,985,15990,2016
"50",6112,1975,18965,2016
"51",6113,870,9965,2016
"52",6121,1840,11625,2016
"53",6122,2630,14705,2016
"54",6211,1400,10240,2016
"55",6212,2400,14050,2016
"56",6221,1700,5680,2016
"57",6222,1085,11735,2016
"58",6223,1420,7210,2016
"59",6224,2255,9070,2016
"60",6225,1520,6470,2016
"61",6311,1730,5335,2016
"62",6312,1105,5195,2016
"63",6313,2010,11040,2016
"64",6314,695,2500,2016
"65",6321,635,5690,2016
"66",6322,650,6930,2016
"67",6323,1050,3545,2016
"68",6324,295,1085,2016
"69",6411,2445,12265,2016
"70",6412,4425,22345,2016
"71",6421,2255,14750,2016
"72",6422,4560,18335,2016
"73",6431,1470,9645,2016
"74",6432,695,6570,2016
"75",6511,3510,13195,2016
"76",6512,3605,17785,2016
"77",6521,1185,11820,2016
"78",6522,1355,8530,2016
"79",6523,1315,9230,2016
"80",6524,1395,8240,2016
"81",6531,2055,14790,2016
"82",6532,1120,6940,2016
"83",6533,1545,6525,2016
"84",7111,165,3845,2016
"85",7121,235,2875,2016
"86",7131,160,8500,2016
"87",7141,1245,17330,2016
"88",7142,2155,12240,2016
"89",7143,2415,24280,2016
"90",7151,370,8510,2016
"91",7152,130,2415,2016
"92",8111,145,4105,2016
"93",8121,155,4890,2016
"94",8131,280,8370,2016
"95",8141,340,8215,2016
"96",8151,75,2310,2016
"97",8152,20,610,2016
"98",9111,5,625,2016
"99",9121,15,895,2016
"100",9122,55,720,2016
"101",9123,155,5050,2016
"102",9131,45,1400,2016
"103",9141,185,5010,2016
"104",9151,10,815,2016
"105",9161,0,570,2016
"106",9171,0,0,2016
"107",10011,5,220,2016
"108",10012,5,335,2016
"109",10013,5,450,2016
"110",10014,60,1925,2016
"111",11111,80,2025,2016
"112",11112,60,2705,2016
"113",11121,80,1510,2016
"114",11131,10,215,2016
"115",11132,70,2490,2016
"116",11133,0,115,2016
"117",11141,75,2215,2016
"118",11211,25,1680,2016
"119",12111,115,6570,2016
"120",12112,575,21490,2016
"121",12113,495,9515,2016
"122",12114,130,7470,2016
"123",12115,90,6590,2016
"124",12121,230,6940,2016
"125",12131,95,4080,2016
"126",12132,285,10705,2016
"127",12141,60,2865,2016
"128",12151,75,3700,2016
"129",12152,80,2960,2016
"130",13111,1560,32250,2016
"131",13112,700,13020,2016
"132",13113,2000,16025,2016
"133",13114,3330,26840,2016
"134",14111,350,6910,2016
"135",14112,500,11355,2016
"136",14113,1000,12025,2016
"137",14114,405,7730,2016
"138",14121,1915,37870,2016
"139",14122,1195,26000,2016
"140",15111,260,5265,2016
"141",15121,360,7275,2016
"142",15131,280,5820,2016
"143",15141,445,5490,2016
"144",15151,1350,25970,2016
"145",15161,1855,33860,2016
"146",15171,1870,34725,2016
"147",16111,2630,24550,2016
"148",16112,1205,16630,2016
"149",16121,655,16140,2016
"150",16122,1115,22985,2016
"151",16211,1940,10845,2016
"152",16212,1745,13110,2016
"153",16213,615,25855,2016
"154",16221,630,24610,2016
"155",16222,960,16930,2016
"156",16223,90,3180,2016
"157",16231,595,7885,2016
"158",16311,1280,34765,2016
"159",16321,795,9650,2016
"160",16331,175,3745,2016
"161",16341,890,15805,2016
"162",16342,930,24425,2016
"163",16343,170,5905,2016
"164",17011,130,3085,2016
"165",17012,40,2040,2016
"166",18011,0,0,2016
