"","Lowincome_LICO_total.CLSC_code","Lowincome_LICO_total.Nom","Lowincome_LICO_total.Den","Lowincome_LICO_total.Year"
"1",1111,710,20110,2016
"2",1121,1285,32600,2016
"3",1131,875,18850,2016
"4",1141,375,8265,2016
"5",1151,3295,54645,2016
"6",1161,905,17530,2016
"7",1171,1165,20585,2016
"8",1181,835,17385,2016
"9",2111,1280,28305,2016
"10",2121,1045,24425,2016
"11",2131,2215,50465,2016
"12",2141,4150,65110,2016
"13",2151,4585,76615,2016
"14",2161,940,21940,2016
"15",3111,1695,51365,2016
"16",3121,1955,60685,2016
"17",3122,3200,48915,2016
"18",3123,9615,74440,2016
"19",3124,5590,34365,2016
"20",3125,6205,24770,2016
"21",3126,12645,56260,2016
"22",3131,4300,103380,2016
"23",3132,6310,105695,2016
"24",3133,5600,85220,2016
"25",3134,850,34375,2016
"26",3141,350,12530,2016
"27",3142,505,15180,2016
"28",4111,735,11430,2016
"29",4121,575,12060,2016
"30",4122,515,12660,2016
"31",4131,1395,22125,2016
"32",4141,5190,61875,2016
"33",4151,8730,87235,2016
"34",4152,3535,46280,2016
"35",4161,1025,21860,2016
"36",4162,815,19635,2016
"37",4171,7110,100090,2016
"38",4181,4095,69525,2016
"39",4182,850,22740,2016
"40",5111,2710,51620,2016
"41",5121,5745,97675,2016
"42",5131,2395,49030,2016
"43",5141,610,18090,2016
"44",5151,15905,156260,2016
"45",5161,1145,29955,2016
"46",5171,880,13770,2016
"47",5181,1025,21895,2016
"48",5191,885,21020,2016
"49",6111,4640,78120,2016
"50",6112,7925,86625,2016
"51",6113,3520,48275,2016
"52",6121,8860,61060,2016
"53",6122,11530,75155,2016
"54",6211,6915,48710,2016
"55",6212,13885,71220,2016
"56",6221,8450,28110,2016
"57",6222,4515,44850,2016
"58",6223,7745,34195,2016
"59",6224,15265,50095,2016
"60",6225,20495,59125,2016
"61",6311,8935,38110,2016
"62",6312,6190,30160,2016
"63",6313,11765,67330,2016
"64",6314,3700,14640,2016
"65",6321,9580,39040,2016
"66",6322,11255,52645,2016
"67",6323,11180,36830,2016
"68",6324,3900,14120,2016
"69",6411,10020,54485,2016
"70",6412,15760,93350,2016
"71",6421,12540,78280,2016
"72",6422,17610,81610,2016
"73",6431,12095,60440,2016
"74",6432,9490,47335,2016
"75",6511,13090,55910,2016
"76",6512,12030,76990,2016
"77",6521,4655,56515,2016
"78",6522,5430,41710,2016
"79",6523,5925,51020,2016
"80",6524,6520,43590,2016
"81",6531,14915,84425,2016
"82",6532,6325,41665,2016
"83",6533,12955,48645,2016
"84",7111,1100,19845,2016
"85",7121,1430,18580,2016
"86",7131,940,36355,2016
"87",7141,4375,64210,2016
"88",7142,11400,66790,2016
"89",7143,10565,115880,2016
"90",7151,1865,38195,2016
"91",7152,965,15835,2016
"92",8111,925,20025,2016
"93",8121,935,23470,2016
"94",8131,2065,41170,2016
"95",8141,2015,40650,2016
"96",8151,505,11325,2016
"97",8152,120,2915,2016
"98",9111,20,2475,2016
"99",9121,110,5045,2016
"100",9122,340,5310,2016
"101",9123,1040,28070,2016
"102",9131,230,6960,2016
"103",9141,1015,24270,2016
"104",9151,65,4320,2016
"105",9161,25,3455,2016
"106",9171,0,0,2016
"107",10011,40,1190,2016
"108",10012,30,1445,2016
"109",10013,45,2165,2016
"110",10014,325,8860,2016
"111",11111,585,12160,2016
"112",11112,570,17200,2016
"113",11121,650,9970,2016
"114",11131,70,1990,2016
"115",11132,525,15055,2016
"116",11133,20,650,2016
"117",11141,675,16180,2016
"118",11211,265,12190,2016
"119",12111,770,31030,2016
"120",12112,3300,93530,2016
"121",12113,3985,53295,2016
"122",12114,885,36045,2016
"123",12115,650,29250,2016
"124",12121,1845,40760,2016
"125",12131,610,18525,2016
"126",12132,2235,50890,2016
"127",12141,600,15990,2016
"128",12151,980,22040,2016
"129",12152,535,17235,2016
"130",13111,6625,137550,2016
"131",13112,3255,60035,2016
"132",13113,10210,86980,2016
"133",13114,13935,126290,2016
"134",14111,2950,47195,2016
"135",14112,2740,52035,2016
"136",14113,5110,63930,2016
"137",14114,2280,41415,2016
"138",14121,8365,156690,2016
"139",14122,6215,122955,2016
"140",15111,2125,33935,2016
"141",15121,2730,44795,2016
"142",15131,2225,41205,2016
"143",15141,2395,31720,2016
"144",15151,7060,115910,2016
"145",15161,9500,156325,2016
"146",15171,9280,153955,2016
"147",16111,11960,126120,2016
"148",16112,6100,82900,2016
"149",16121,3010,68060,2016
"150",16122,6370,113325,2016
"151",16211,10930,62390,2016
"152",16212,7945,68285,2016
"153",16213,3310,116910,2016
"154",16221,3325,110145,2016
"155",16222,5370,83820,2016
"156",16223,710,15200,2016
"157",16231,3620,49490,2016
"158",16311,6045,147355,2016
"159",16321,4430,55515,2016
"160",16331,1235,20860,2016
"161",16341,3585,71895,2016
"162",16342,4605,104560,2016
"163",16343,920,27220,2016
"164",17011,300,7145,2016
"165",17012,135,5745,2016
"166",18011,0,0,2016
