"","Lowincome_LIM_total.CLSC_code","Lowincome_LIM_total.Nom","Lowincome_LIM_total.Den","Lowincome_LIM_total.Year"
"1",1111,2710,20110,2016
"2",1121,4210,32600,2016
"3",1131,3285,18850,2016
"4",1141,1710,8265,2016
"5",1151,7260,54645,2016
"6",1161,3295,17530,2016
"7",1171,3840,20585,2016
"8",1181,3515,17385,2016
"9",2111,4145,28305,2016
"10",2121,3645,23775,4032
"11",2131,0,0,34272
"12",2141,7835,58330,40320
"13",2151,8970,65655,46368
"14",2161,2295,18225,20160
"15",3111,6005,51365,2016
"16",3121,1265,26160,32256
"17",3122,4035,48915,64512
"18",3123,10170,74440,42336
"19",3124,5935,34365,22176
"20",3125,7050,24770,34272
"21",3126,14770,56260,40320
"22",3131,5535,84460,50400
"23",3132,7595,88955,60480
"24",3133,7170,77910,36288
"25",3134,2590,34375,4032
"26",3141,1485,12530,2016
"27",3142,2030,15180,2016
"28",4111,2030,11430,2016
"29",4121,2385,12060,2016
"30",4122,0,0,18144
"31",4131,0,0,24192
"32",4141,10300,47425,12096
"33",4151,15610,82720,46368
"34",4152,7645,46280,20160
"35",4161,3515,21860,2016
"36",4162,2900,19635,2016
"37",4171,16040,100090,2016
"38",4181,10370,69525,2016
"39",4182,3235,22740,2016
"40",5111,0,0,44352
"41",5121,12565,85810,6048
"42",5131,6925,49030,2016
"43",5141,2535,18090,2016
"44",5151,27830,156260,2016
"45",5161,3740,29955,2016
"46",5171,2750,13770,2016
"47",5181,3700,21895,2016
"48",5191,3185,21020,2016
"49",6111,0,0,12096
"50",6112,10695,86625,36288
"51",6113,0,0,2016
"52",6121,8770,42495,26208
"53",6122,14610,75155,38304
"54",6211,2460,10315,8064
"55",6212,15690,66180,38304
"56",6221,10790,28110,12096
"57",6222,3240,24990,20160
"58",6223,9275,34195,42336
"59",6224,17280,50095,60480
"60",6225,18490,39345,26208
"61",6311,10080,38110,34272
"62",6312,7400,30160,18144
"63",6313,13485,67330,40320
"64",6314,4205,14640,12096
"65",6321,9555,39040,36288
"66",6322,11115,52645,56448
"67",6323,11185,36830,44352
"68",6324,4395,14120,16128
"69",6411,13185,54485,40320
"70",6412,20805,93350,36288
"71",6421,15385,78280,42336
"72",6422,22635,81610,36288
"73",6431,13410,60440,54432
"74",6432,9875,47335,52416
"75",6511,16845,55910,28224
"76",6512,16280,76990,40320
"77",6521,6375,56515,24192
"78",6522,7060,41710,18144
"79",6523,6460,47305,24192
"80",6524,7995,43590,22176
"81",6531,17570,84425,48384
"82",6532,7685,41665,20160
"83",6533,13645,48645,42336
"84",7111,2980,14025,4032
"85",7121,4405,18580,2016
"86",7131,810,11035,22176
"87",7141,5500,64210,22176
"88",7142,13205,66790,34272
"89",7143,13325,115880,50400
"90",7151,3310,25505,28224
"91",7152,0,0,34272
"92",8111,3050,20025,2016
"93",8121,2780,23470,2016
"94",8131,5240,41170,2016
"95",8141,5285,40650,2016
"96",8151,0,0,46368
"97",8152,0,0,6048
"98",9111,0,0,16128
"99",9121,0,0,10080
"100",9122,0,0,10080
"101",9123,2735,28070,2016
"102",9131,25,435,10080
"103",9141,2490,24270,88704
"104",9151,0,0,24192
"105",9161,0,0,14112
"106",9171,0,0,4032
"107",10011,0,0,2016
"108",10012,0,0,2016
"109",10013,0,0,4032
"110",10014,0,0,4032
"111",11111,2085,12160,2016
"112",11112,2810,17200,2016
"113",11121,0,0,18144
"114",11131,0,0,8064
"115",11132,175,870,10080
"116",11133,0,0,2016
"117",11141,420,2195,20160
"118",11211,1340,12190,2016
"119",12111,3260,31030,2016
"120",12112,4695,86940,44352
"121",12113,5230,53295,28224
"122",12114,3800,36045,2016
"123",12115,0,0,20160
"124",12121,6560,40760,2016
"125",12131,2375,18525,2016
"126",12132,6480,50890,2016
"127",12141,2225,15990,2016
"128",12151,3510,22040,2016
"129",12152,2545,17235,2016
"130",13111,9140,137550,68544
"131",13112,4675,60035,36288
"132",13113,13095,86980,36288
"133",13114,19585,126290,90720
"134",14111,9210,47195,2016
"135",14112,7955,52035,2016
"136",14113,10620,63930,2016
"137",14114,6770,41415,2016
"138",14121,12000,156690,2016
"139",14122,10155,122955,2016
"140",15111,7180,33935,2016
"141",15121,7850,44795,2016
"142",15131,6445,41205,2016
"143",15141,6325,31720,2016
"144",15151,10765,115910,12096
"145",15161,20215,156325,12096
"146",15171,13095,153955,2016
"147",16111,3850,21390,14112
"148",16112,8045,82900,34272
"149",16121,0,0,16128
"150",16122,0,0,26208
"151",16211,13150,62390,34272
"152",16212,9700,68285,28224
"153",16213,4560,76220,4032
"154",16221,0,0,24192
"155",16222,11860,83820,2016
"156",16223,2525,15200,2016
"157",16231,8175,49490,2016
"158",16311,11400,147355,2016
"159",16321,0,0,10080
"160",16331,3815,20860,2016
"161",16341,0,0,14112
"162",16342,0,0,14112
"163",16343,3050,27220,2016
"164",17011,0,0,28224
"165",17012,35,400,30240
"166",18011,0,0,36288
