"","Lowincome_total.CLSC_code","Lowincome_total.Nom","Lowincome_total.Den","Lowincome_total.Year"
"1",1111,710,20285.7142857143,2016
"2",1121,1285,32948.7179487179,2016
"3",1131,875,19021.7391304348,2016
"4",1141,375,8333.33333333333,2016
"5",1151,3295,54916.6666666667,2016
"6",1161,905,17403.8461538462,2016
"7",1171,1165,20438.5964912281,2016
"8",1181,835,17395.8333333333,2016
"9",2111,1280,28444.4444444444,2016
"10",2121,1045,24605.6622851365,4032
"11",2131,2215,50410.8453841287,34272
"12",2141,4150,64844.3214868328,40320
"13",2151,4585,76515.0633426485,46368
"14",2161,940,21886.5250778967,20160
"15",3111,1695,51363.6363636364,2016
"16",3121,1955,60431.174200118,32256
"17",3122,3200,48999.5397174347,64512
"18",3123,9615,74444.8253128117,42336
"19",3124,5590,34394.3526201542,22176
"20",3125,6205,24770.2188244057,34272
"21",3126,12645,56279.2579802836,40320
"22",3131,4300,103606.695946202,50400
"23",3132,6310,105628.660680379,60480
"24",3133,5600,85324.0825075892,36288
"25",3134,850,33986.9281045752,4032
"26",3141,350,12500,2016
"27",3142,505,15303.0303030303,2016
"28",4111,735,11484.375,2016
"29",4121,575,11979.1666666667,2016
"30",4122,515,12606.735353716,18144
"31",4131,1395,22152.4068399562,24192
"32",4141,5190,62060.241294751,12096
"33",4151,8730,87390.418866019,46368
"34",4152,3535,46170.1151130902,20160
"35",4161,1025,21808.5106382979,2016
"36",4162,815,19404.7619047619,2016
"37",4171,7110,100140.845070423,2016
"38",4181,4095,69406.7796610169,2016
"39",4182,850,22972.972972973,2016
"40",5111,2710,51678.9529059029,44352
"41",5121,5745,98164.1366223909,6048
"42",5131,2395,48877.5510204082,2016
"43",5141,610,17941.1764705882,2016
"44",5151,15905,155931.37254902,2016
"45",5161,1145,30131.5789473684,2016
"46",5171,880,13750,2016
"47",5181,1025,21808.5106382979,2016
"48",5191,885,21071.4285714286,2016
"49",6111,4640,77747.2154869847,12096
"50",6112,7925,86680.9665511443,36288
"51",6113,3520,48219.1780821918,2016
"52",6121,8860,61032.2425680062,26208
"53",6122,11530,75159.3909777411,38304
"54",6211,6915,48698.5024855434,8064
"55",6212,13885,71290.9243323729,38304
"56",6221,8450,28106.7659609509,12096
"57",6222,4515,44916.2699768464,20160
"58",6223,7745,34200.6416915776,42336
"59",6224,15265,50092.485970993,60480
"60",6225,20495,59098.5674956993,26208
"61",6311,8935,38105.4219892809,34272
"62",6312,6190,30169.6605368284,18144
"63",6313,11765,67312.5580911696,40320
"64",6314,3700,14634.6772425638,12096
"65",6321,9580,39055.0866462736,36288
"66",6322,11255,52622.580269671,56448
"67",6323,11180,36814.204268849,44352
"68",6324,3900,14109.6452777996,16128
"69",6411,10020,54453.5905735641,40320
"70",6412,15760,93426.205038824,36288
"71",6421,12540,78275.7226144741,42336
"72",6422,17610,81601.5059139345,36288
"73",6431,12095,60438.1279732775,54432
"74",6432,9490,47313.4573822686,52416
"75",6511,13090,55913.2456451704,28224
"76",6512,12030,76968.1449917975,40320
"77",6521,4655,56428.5104271423,24192
"78",6522,5430,41694.8389215635,18144
"79",6523,5925,51028.8479572512,24192
"80",6524,6520,43602.3592270325,22176
"81",6531,14915,84380.4249393312,48384
"82",6532,6325,41648.6104708853,20160
"83",6533,12955,48633.9987142603,42336
"84",7111,1100,19826.6129032258,4032
"85",7121,1430,18571.4285714286,2016
"86",7131,940,36098.5902346981,22176
"87",7141,4375,64093.6709171905,22176
"88",7142,11400,66874.3278360586,34272
"89",7143,10565,115783.952564344,50400
"90",7151,1865,38292.1461320437,28224
"91",7152,965,15796.3539803545,34272
"92",8111,925,20108.6956521739,2016
"93",8121,935,23375,2016
"94",8131,2065,41300,2016
