"","clsc.age.pry.CLSC_code","clsc.age.pry.Age","clsc.age.pry.Count","clsc.age.pry.Sex","clsc.age.pry.Year"
"1","1111","Total","10535","Male",2016
"2","1121","Total","16665","Male",2016
"3","1131","Total","9845","Male",2016
"4","1141","Total","4310","Male",2016
"5","1151","Total","27445","Male",2016
"6","1161","Total","9120","Male",2016
"7","1171","Total","10630","Male",2016
"8","1181","Total","8960","Male",2016
"9","2111","Total","15595","Male",2016
"10","2121","Total","12880","Male",2016
"11","2131","Total","26105","Male",2016
"12","2141","Total","33250","Male",2016
"13","2151","Total","38800","Male",2016
"14","2161","Total","11340","Male",2016
"15","3111","Total","26720","Male",2016
"16","3121","Total","30415","Male",2016
"17","3122","Total","24310","Male",2016
"18","3123","Total","36715","Male",2016
"19","3124","Total","16940","Male",2016
"20","3125","Total","13360","Male",2016
"21","3126","Total","28430","Male",2016
"22","3131","Total","53520","Male",2016
"23","3132","Total","52360","Male",2016
"24","3133","Total","42510","Male",2016
"25","3134","Total","17815","Male",2016
"26","3141","Total","6445","Male",2016
"27","3142","Total","7650","Male",2016
"28","4111","Total","7755","Male",2016
"29","4121","Total","6180","Male",2016
"30","4122","Total","6565","Male",2016
"31","4131","Total","11470","Male",2016
"32","4141","Total","31460","Male",2016
"33","4151","Total","43895","Male",2016
"34","4152","Total","23225","Male",2016
"35","4161","Total","11530","Male",2016
"36","4162","Total","10355","Male",2016
"37","4171","Total","51560","Male",2016
"38","4181","Total","35680","Male",2016
"39","4182","Total","11845","Male",2016
"40","5111","Total","26845","Male",2016
"41","5121","Total","49590","Male",2016
"42","5131","Total","24875","Male",2016
"43","5141","Total","9380","Male",2016
"44","5151","Total","78565","Male",2016
"45","5161","Total","15640","Male",2016
"46","5171","Total","7155","Male",2016
"47","5181","Total","11485","Male",2016
"48","5191","Total","10950","Male",2016
"49","6111","Total","38705","Male",2016
"50","6112","Total","42595","Male",2016
"51","6113","Total","23780","Male",2016
"52","6121","Total","30635","Male",2016
"53","6122","Total","36450","Male",2016
"54","6211","Total","23175","Male",2016
"55","6212","Total","34355","Male",2016
"56","6221","Total","14690","Male",2016
"57","6222","Total","21835","Male",2016
"58","6223","Total","16655","Male",2016
"59","6224","Total","25340","Male",2016
"60","6225","Total","30265","Male",2016
"61","6311","Total","20115","Male",2016
"62","6312","Total","14900","Male",2016
"63","6313","Total","33140","Male",2016
"64","6314","Total","7335","Male",2016
"65","6321","Total","19970","Male",2016
"66","6322","Total","27380","Male",2016
"67","6323","Total","22025","Male",2016
"68","6324","Total","7995","Male",2016
"69","6411","Total","27260","Male",2016
"70","6412","Total","45830","Male",2016
"71","6421","Total","39120","Male",2016
"72","6422","Total","39895","Male",2016
"73","6431","Total","30010","Male",2016
"74","6432","Total","23705","Male",2016
"75","6511","Total","27600","Male",2016
"76","6512","Total","37025","Male",2016
"77","6521","Total","27625","Male",2016
"78","6522","Total","19855","Male",2016
"79","6523","Total","25425","Male",2016
"80","6524","Total","21680","Male",2016
"81","6531","Total","40990","Male",2016
"82","6532","Total","20795","Male",2016
"83","6533","Total","26185","Male",2016
"84","7111","Total","10120","Male",2016
"85","7121","Total","10220","Male",2016
"86","7131","Total","18680","Male",2016
"87","7141","Total","31400","Male",2016
"88","7142","Total","33320","Male",2016
"89","7143","Total","57105","Male",2016
"90","7151","Total","19120","Male",2016
"91","7152","Total","8220","Male",2016
"92","8111","Total","10460","Male",2016
"93","8121","Total","12380","Male",2016
"94","8131","Total","21165","Male",2016
"95","8141","Total","21860","Male",2016
"96","8151","Total","6365","Male",2016
"97","8152","Total","1650","Male",2016
"98","9111","Total","1735","Male",2016
"99","9121","Total","2715","Male",2016
"100","9122","Total","2670","Male",2016
"101","9123","Total","15480","Male",2016
"102","9131","Total","4025","Male",2016
"103","9141","Total","13995","Male",2016
"104","9151","Total","3300","Male",2016
"105","9161","Total","2395","Male",2016
"106","9171","Total","305","Male",2016
"107","10011","Total","935","Male",2016
"108","10012","Total","760","Male",2016
"109","10013","Total","1140","Male",2016
"110","10014","Total","4645","Male",2016
"111","11111","Total","7005","Male",2016
"112","11112","Total","8650","Male",2016
"113","11121","Total","5380","Male",2016
"114","11131","Total","1100","Male",2016
"115","11132","Total","7540","Male",2016
"116","11133","Total","335","Male",2016
"117","11141","Total","8105","Male",2016
"118","11211","Total","6060","Male",2016
"119","12111","Total","16300","Male",2016
"120","12112","Total","46890","Male",2016
"121","12113","Total","26620","Male",2016
"122","12114","Total","18930","Male",2016
"123","12115","Total","15210","Male",2016
"124","12121","Total","21055","Male",2016
"125","12131","Total","9770","Male",2016
"126","12132","Total","26380","Male",2016
"127","12141","Total","8470","Male",2016
"128","12151","Total","11375","Male",2016
"129","12152","Total","8940","Male",2016
"130","13111","Total","68555","Male",2016
"131","13112","Total","30360","Male",2016
"132","13113","Total","43920","Male",2016
"133","13114","Total","62655","Male",2016
"134","14111","Total","25750","Male",2016
"135","14112","Total","27145","Male",2016
"136","14113","Total","31980","Male",2016
"137","14114","Total","21125","Male",2016
"138","14121","Total","78390","Male",2016
"139","14122","Total","60920","Male",2016
"140","15111","Total","17885","Male",2016
"141","15121","Total","22635","Male",2016
"142","15131","Total","20645","Male",2016
"143","15141","Total","16160","Male",2016
"144","15151","Total","57750","Male",2016
"145","15161","Total","79400","Male",2016
"146","15171","Total","77595","Male",2016
"147","16111","Total","61760","Male",2016
"148","16112","Total","41015","Male",2016
"149","16121","Total","34485","Male",2016
"150","16122","Total","57455","Male",2016
"151","16211","Total","30970","Male",2016
"152","16212","Total","34005","Male",2016
"153","16213","Total","58610","Male",2016
"154","16221","Total","54980","Male",2016
"155","16222","Total","42645","Male",2016
"156","16223","Total","7985","Male",2016
"157","16231","Total","25230","Male",2016
"158","16311","Total","74100","Male",2016
"159","16321","Total","28150","Male",2016
"160","16331","Total","11350","Male",2016
"161","16341","Total","35670","Male",2016
"162","16342","Total","52310","Male",2016
"163","16343","Total","14265","Male",2016
"164","17011","Total","3655","Male",2016
"165","17012","Total","3025","Male",2016
"166","18011","Total","8595","Male",2016
"167","1111","0-4","505","Male",2016
"168","1121","0-4","870","Male",2016
"169","1131","0-4","400","Male",2016
"170","1141","0-4","175","Male",2016
"171","1151","0-4","1400","Male",2016
"172","1161","0-4","490","Male",2016
"173","1171","0-4","465","Male",2016
"174","1181","0-4","420","Male",2016
"175","2111","0-4","845","Male",2016
"176","2121","0-4","670","Male",2016
"177","2131","0-4","1420","Male",2016
"178","2141","0-4","1700","Male",2016
"179","2151","0-4","1955","Male",2016
"180","2161","0-4","610","Male",2016
"181","3111","0-4","1560","Male",2016
"182","3121","0-4","1415","Male",2016
"183","3122","0-4","1315","Male",2016
"184","3123","0-4","1570","Male",2016
"185","3124","0-4","515","Male",2016
"186","3125","0-4","475","Male",2016
"187","3126","0-4","1445","Male",2016
"188","3131","0-4","4040","Male",2016
"189","3132","0-4","3160","Male",2016
"190","3133","0-4","2420","Male",2016
"191","3134","0-4","1025","Male",2016
"192","3141","0-4","265","Male",2016
"193","3142","0-4","370","Male",2016
"194","4111","0-4","455","Male",2016
"195","4121","0-4","225","Male",2016
"196","4122","0-4","375","Male",2016
"197","4131","0-4","475","Male",2016
"198","4141","0-4","1460","Male",2016
"199","4151","0-4","2210","Male",2016
"200","4152","0-4","1100","Male",2016
"201","4161","0-4","640","Male",2016
"202","4162","0-4","585","Male",2016
"203","4171","0-4","2890","Male",2016
"204","4181","0-4","1930","Male",2016
"205","4182","0-4","695","Male",2016
"206","5111","0-4","1365","Male",2016
"207","5121","0-4","2755","Male",2016
"208","5131","0-4","1125","Male",2016
"209","5141","0-4","525","Male",2016
"210","5151","0-4","4490","Male",2016
"211","5161","0-4","960","Male",2016
"212","5171","0-4","360","Male",2016
"213","5181","0-4","670","Male",2016
"214","5191","0-4","500","Male",2016
"215","6111","0-4","1625","Male",2016
"216","6112","0-4","2330","Male",2016
"217","6113","0-4","1125","Male",2016
"218","6121","0-4","1765","Male",2016
"219","6122","0-4","2260","Male",2016
"220","6211","0-4","1425","Male",2016
"221","6212","0-4","1970","Male",2016
"222","6221","0-4","885","Male",2016
"223","6222","0-4","1545","Male",2016
"224","6223","0-4","1140","Male",2016
"225","6224","0-4","1565","Male",2016
"226","6225","0-4","990","Male",2016
"227","6311","0-4","1045","Male",2016
"228","6312","0-4","900","Male",2016
"229","6313","0-4","1990","Male",2016
"230","6314","0-4","470","Male",2016
"231","6321","0-4","1040","Male",2016
"232","6322","0-4","1380","Male",2016
"233","6323","0-4","685","Male",2016
"234","6324","0-4","230","Male",2016
"235","6411","0-4","2065","Male",2016
"236","6412","0-4","3550","Male",2016
"237","6421","0-4","2450","Male",2016
"238","6422","0-4","2920","Male",2016
"239","6431","0-4","1795","Male",2016
"240","6432","0-4","1340","Male",2016
"241","6511","0-4","2130","Male",2016
"242","6512","0-4","2975","Male",2016
"243","6521","0-4","1485","Male",2016
"244","6522","0-4","1240","Male",2016
"245","6523","0-4","1315","Male",2016
"246","6524","0-4","1390","Male",2016
"247","6531","0-4","2565","Male",2016
"248","6532","0-4","1185","Male",2016
"249","6533","0-4","1285","Male",2016
"250","7111","0-4","510","Male",2016
"251","7121","0-4","475","Male",2016
"252","7131","0-4","1100","Male",2016
"253","7141","0-4","2595","Male",2016
"254","7142","0-4","1890","Male",2016
"255","7143","0-4","3425","Male",2016
"256","7151","0-4","1200","Male",2016
"257","7152","0-4","315","Male",2016
"258","8111","0-4","590","Male",2016
"259","8121","0-4","725","Male",2016
"260","8131","0-4","1245","Male",2016
"261","8141","0-4","1240","Male",2016
"262","8151","0-4","325","Male",2016
"263","8152","0-4","90","Male",2016
"264","9111","0-4","130","Male",2016
"265","9121","0-4","125","Male",2016
"266","9122","0-4","95","Male",2016
"267","9123","0-4","745","Male",2016
"268","9131","0-4","195","Male",2016
"269","9141","0-4","860","Male",2016
"270","9151","0-4","225","Male",2016
"271","9161","0-4","130","Male",2016
"272","9171","0-4","30","Male",2016
"273","10011","0-4","25","Male",2016
"274","10012","0-4","45","Male",2016
"275","10013","0-4","60","Male",2016
"276","10014","0-4","285","Male",2016
"277","11111","0-4","370","Male",2016
"278","11112","0-4","365","Male",2016
"279","11121","0-4","210","Male",2016
"280","11131","0-4","25","Male",2016
"281","11132","0-4","320","Male",2016
"282","11133","0-4","10","Male",2016
"283","11141","0-4","250","Male",2016
"284","11211","0-4","210","Male",2016
"285","12111","0-4","1060","Male",2016
"286","12112","0-4","2925","Male",2016
"287","12113","0-4","1365","Male",2016
"288","12114","0-4","1210","Male",2016
"289","12115","0-4","1005","Male",2016
"290","12121","0-4","975","Male",2016
"291","12131","0-4","550","Male",2016
"292","12132","0-4","1590","Male",2016
"293","12141","0-4","410","Male",2016
"294","12151","0-4","515","Male",2016
"295","12152","0-4","425","Male",2016
"296","13111","0-4","4050","Male",2016
"297","13112","0-4","1550","Male",2016
"298","13113","0-4","2380","Male",2016
"299","13114","0-4","3550","Male",2016
"300","14111","0-4","1035","Male",2016
"301","14112","0-4","1905","Male",2016
"302","14113","0-4","1755","Male",2016
"303","14114","0-4","1095","Male",2016
"304","14121","0-4","5060","Male",2016
"305","14122","0-4","3465","Male",2016
"306","15111","0-4","705","Male",2016
"307","15121","0-4","960","Male",2016
"308","15131","0-4","760","Male",2016
"309","15141","0-4","725","Male",2016
"310","15151","0-4","3670","Male",2016
"311","15161","0-4","5050","Male",2016
"312","15171","0-4","4180","Male",2016
"313","16111","0-4","3415","Male",2016
"314","16112","0-4","2395","Male",2016
"315","16121","0-4","2330","Male",2016
"316","16122","0-4","3265","Male",2016
"317","16211","0-4","1850","Male",2016
"318","16212","0-4","2010","Male",2016
"319","16213","0-4","3215","Male",2016
"320","16221","0-4","3200","Male",2016
"321","16222","0-4","2460","Male",2016
"322","16223","0-4","380","Male",2016
"323","16231","0-4","1165","Male",2016
"324","16311","0-4","4645","Male",2016
"325","16321","0-4","1465","Male",2016
"326","16331","0-4","630","Male",2016
"327","16341","0-4","2215","Male",2016
"328","16342","0-4","3130","Male",2016
"329","16343","0-4","870","Male",2016
"330","17011","0-4","440","Male",2016
"331","17012","0-4","365","Male",2016
"332","18011","0-4","815","Male",2016
"333","1111","5-9","625","Male",2016
"334","1121","5-9","990","Male",2016
"335","1131","5-9","495","Male",2016
"336","1141","5-9","170","Male",2016
"337","1151","5-9","1515","Male",2016
"338","1161","5-9","480","Male",2016
"339","1171","5-9","495","Male",2016
"340","1181","5-9","510","Male",2016
"341","2111","5-9","865","Male",2016
"342","2121","5-9","730","Male",2016
"343","2131","5-9","1545","Male",2016
"344","2141","5-9","1845","Male",2016
"345","2151","5-9","2050","Male",2016
"346","2161","5-9","565","Male",2016
"347","3111","5-9","1565","Male",2016
"348","3121","5-9","1775","Male",2016
"349","3122","5-9","1280","Male",2016
"350","3123","5-9","1545","Male",2016
"351","3124","5-9","490","Male",2016
"352","3125","5-9","350","Male",2016
"353","3126","5-9","1065","Male",2016
"354","3131","5-9","4060","Male",2016
"355","3132","5-9","3340","Male",2016
"356","3133","5-9","2385","Male",2016
"357","3134","5-9","1115","Male",2016
"358","3141","5-9","335","Male",2016
"359","3142","5-9","365","Male",2016
"360","4111","5-9","520","Male",2016
"361","4121","5-9","275","Male",2016
"362","4122","5-9","360","Male",2016
"363","4131","5-9","495","Male",2016
"364","4141","5-9","1520","Male",2016
"365","4151","5-9","2275","Male",2016
"366","4152","5-9","1270","Male",2016
"367","4161","5-9","635","Male",2016
"368","4162","5-9","580","Male",2016
"369","4171","5-9","3240","Male",2016
"370","4181","5-9","2230","Male",2016
"371","4182","5-9","695","Male",2016
"372","5111","5-9","1525","Male",2016
"373","5121","5-9","3085","Male",2016
"374","5131","5-9","1325","Male",2016
"375","5141","5-9","595","Male",2016
"376","5151","5-9","4625","Male",2016
"377","5161","5-9","980","Male",2016
"378","5171","5-9","445","Male",2016
"379","5181","5-9","705","Male",2016
"380","5191","5-9","620","Male",2016
"381","6111","5-9","2215","Male",2016
"382","6112","5-9","2720","Male",2016
"383","6113","5-9","1400","Male",2016
"384","6121","5-9","1690","Male",2016
"385","6122","5-9","2150","Male",2016
"386","6211","5-9","1555","Male",2016
"387","6212","5-9","2170","Male",2016
"388","6221","5-9","845","Male",2016
"389","6222","5-9","1815","Male",2016
"390","6223","5-9","1030","Male",2016
"391","6224","5-9","1370","Male",2016
"392","6225","5-9","915","Male",2016
"393","6311","5-9","710","Male",2016
"394","6312","5-9","835","Male",2016
"395","6313","5-9","1735","Male",2016
"396","6314","5-9","370","Male",2016
"397","6321","5-9","805","Male",2016
"398","6322","5-9","1045","Male",2016
"399","6323","5-9","510","Male",2016
"400","6324","5-9","125","Male",2016
"401","6411","5-9","1945","Male",2016
"402","6412","5-9","3425","Male",2016
"403","6421","5-9","2240","Male",2016
"404","6422","5-9","2750","Male",2016
"405","6431","5-9","1510","Male",2016
"406","6432","5-9","970","Male",2016
"407","6511","5-9","1970","Male",2016
"408","6512","5-9","2740","Male",2016
"409","6521","5-9","1740","Male",2016
"410","6522","5-9","1305","Male",2016
"411","6523","5-9","1360","Male",2016
"412","6524","5-9","1190","Male",2016
"413","6531","5-9","2235","Male",2016
"414","6532","5-9","1055","Male",2016
"415","6533","5-9","880","Male",2016
"416","7111","5-9","525","Male",2016
"417","7121","5-9","435","Male",2016
"418","7131","5-9","1320","Male",2016
"419","7141","5-9","2870","Male",2016
"420","7142","5-9","1725","Male",2016
"421","7143","5-9","3655","Male",2016
"422","7151","5-9","1310","Male",2016
"423","7152","5-9","375","Male",2016
"424","8111","5-9","640","Male",2016
"425","8121","5-9","730","Male",2016
"426","8131","5-9","1255","Male",2016
"427","8141","5-9","1445","Male",2016
"428","8151","5-9","390","Male",2016
"429","8152","5-9","100","Male",2016
"430","9111","5-9","125","Male",2016
"431","9121","5-9","145","Male",2016
"432","9122","5-9","105","Male",2016
