"","clsc.pop.values.CLSC_code","clsc.pop.values.Total_population","clsc.pop.values.0.14","clsc.pop.values.15.64","clsc.pop.values.65.","clsc.pop.values.Year"
"1",1111,21070,3100,12765,5210,2016
"2",1121,33955,5285,21195,7475,2016
"3",1131,19575,2655,11970,4945,2016
"4",1141,8695,1070,4960,2660,2016
"5",1151,56650,8145,36020,12490,2016
"6",1161,18210,2855,11195,4160,2016
"7",1171,21300,2730,12935,5635,2016
"8",1181,17925,2610,11150,4160,2016
"9",2111,31285,4875,19655,6760,2016
"10",2121,25445,3990,15735,5720,4032
"11",2131,52095,8460,32940,10665,34272
"12",2141,66735,10175,43240,13325,40320
"13",2151,78370,11705,50145,16535,46368
"14",2161,22455,3370,14490,4585,20160
"15",3111,53005,8545,33370,11090,2016
"16",3121,61695,9575,40830,11285,32256
"17",3122,50255,7110,33200,9995,64512
"18",3123,77475,9105,48855,19505,42336
"19",3124,36790,2825,23165,10825,22176
"20",3125,25950,2255,18835,4855,34272
"21",3126,58540,6780,39300,12460,40320
"22",3131,106800,21880,71230,13705,50400
"23",3132,107540,18250,68315,20985,60480
"24",3133,88165,13670,57370,17125,36288
"25",3134,35280,5795,22090,7400,4032
"26",3141,12995,1720,7700,3575,2016
"27",3142,15510,2130,9420,3965,2016
"28",4111,15060,2700,9395,2960,2016
"29",4121,12360,1475,7190,3690,2016
"30",4122,12865,1980,8015,2890,18144
"31",4131,22815,2845,14140,5805,24192
"32",4141,64060,8400,39525,16140,12096
"33",4151,91035,12705,57925,20415,46368
"34",4152,47905,6750,30220,10955,20160
"35",4161,23160,3635,14355,5175,2016
"36",4162,20405,3240,12685,4480,2016
"37",4171,103395,17610,66040,19745,2016
"38",4181,72015,11895,44910,15210,2016
"39",4182,23425,3870,14350,5205,2016
"40",5111,53385,8325,32940,12125,44352
"41",5121,100235,16805,63685,19750,6048
"42",5131,50415,7015,30390,13010,2016
"43",5141,18495,3315,11390,3795,2016
"44",5151,161325,25950,105220,30155,2016
"45",5161,30690,5375,19400,5915,2016
"46",5171,14285,2265,8240,3780,2016
"47",5181,22335,3830,13970,4535,2016
"48",5191,21465,3390,13155,4920,2016
"49",6111,80560,12580,51590,16390,12096
"50",6112,87705,15435,59015,13235,36288
"51",6113,48900,7985,31615,9300,2016
"52",6121,63490,9755,42275,11445,26208
"53",6122,76855,12500,49380,14990,38304
"54",6211,49800,8590,29020,12185,8064
"55",6212,72505,11875,49115,11550,38304
"56",6221,28275,4850,18985,4435,12096
"57",6222,46010,9845,27725,8430,20160
"58",6223,34910,6065,24510,4335,42336
"59",6224,51980,7905,36815,7300,60480
"60",6225,60595,5315,43960,11315,26208
"61",6311,39485,4640,30730,4110,34272
"62",6312,30610,4445,21320,4860,18144
"63",6313,68985,9730,47925,11340,40320
"64",6314,14835,2150,11060,1620,12096
"65",6321,39775,4960,30645,4180,36288
"66",6322,53735,6240,42225,5290,56448
"67",6323,38170,3120,30465,4585,44352
"68",6324,14875,915,11255,2705,16128
"69",6411,56675,10615,34645,11390,40320
"70",6412,94785,19130,60820,14825,36288
"71",6421,81620,12750,53885,14995,42336
"72",6422,84250,15630,52285,16315,36288
"73",6431,60955,8420,45295,7185,54432
"74",6432,48510,5860,37405,5255,52416
"75",6511,56440,11300,37305,7825,28224
"76",6512,78310,15435,47190,15715,40320
"77",6521,57555,9705,37920,9915,24192
"78",6522,42805,7265,25575,9970,18144
"79",6523,53045,7715,35650,9690,24192
"80",6524,44780,7075,30200,7510,22176
"81",6531,86445,12990,58835,14600,48384
"82",6532,43410,5985,28100,9315,20160
"83",6533,50190,5710,39010,5460,42336
"84",7111,20100,3185,12705,4205,4032
"85",7121,20185,2655,12800,4725,2016
"86",7131,36510,7270,24980,4265,22176
"87",7141,64635,15080,42835,6730,22176
"88",7142,68455,10250,47790,10405,34272
"89",7143,117960,20285,79580,18100,50400
"90",7151,38485,7170,25705,5605,28224
"91",7152,16270,1990,9980,4280,34272
"92",8111,20540,3490,12895,4155,2016
"93",8121,24640,4285,16070,4285,2016
"94",8131,42335,7045,28045,7245,2016
"95",8141,43225,7575,28585,7065,2016
"96",8151,12735,2175,7955,2620,46368
"97",8152,3225,540,2125,555,6048
"98",9111,3235,715,2410,115,16128
"99",9121,5450,815,3425,1210,10080
"100",9122,5385,590,3425,1365,10080
"101",9123,31025,4725,20480,5820,2016
"102",9131,7580,1215,5100,1265,10080
"103",9141,27850,5190,18225,4445,88704
"104",9151,6590,1175,4305,1085,24192
"105",9161,4735,825,3040,880,14112
"106",9171,600,165,395,35,4032
"107",10011,1585,195,1170,220,2016
"108",10012,1450,285,985,180,2016
"109",10013,2190,375,1455,350,4032
"110",10014,9000,1615,6120,1270,4032
"111",11111,14460,2185,8920,3360,2016
"112",11112,17660,2215,10765,4680,2016
"113",11121,11035,1320,6795,2920,18144
"114",11131,2190,190,1315,675,8064
"115",11132,15435,2065,9980,3400,10080
"116",11133,655,85,400,170,2016
"117",11141,16415,1780,10170,4460,20160
"118",11211,12475,1405,8060,3010,2016
"119",12111,31740,5675,20305,5755,2016
"120",12112,94755,18220,62515,14020,44352
"121",12113,55275,8005,35360,11945,28224
"122",12114,37230,6390,23040,7800,2016
"123",12115,30145,5630,19315,5185,20160
"124",12121,42350,5865,25020,11465,2016
"125",12131,19125,3475,11625,4020,2016
"126",12132,52410,9060,33475,9870,2016
"127",12141,16535,2390,10115,4030,2016
"128",12151,22700,3055,13765,5880,2016
"129",12152,17795,2485,10815,4500,2016
"130",13111,140265,26800,95040,18430,68544
"131",13112,61660,10795,40685,10160,36288
"132",13113,91365,13485,59445,18455,36288
"133",13114,129700,22390,81750,25505,90720
"134",14111,50435,6445,31640,12350,2016
"135",14112,52595,9810,35155,7630,2016
"136",14113,66550,10115,41295,15145,2016
