"","housing_type.CLSC_code","housing_type.Nom","housing_type.Den","housing_type.Year"
"1",1111,6990,9150,2016
"2",1121,10105,15155,2016
"3",1131,6670,8825,2016
"4",1141,3115,4065,2016
"5",1151,17095,26115,2016
"6",1161,6060,8205,2016
"7",1171,7205,10180,2016
"8",1181,6080,8140,2016
"9",2111,9910,13730,2016
"10",2121,8195,11090,4032
"11",2131,16360,22620,34272
"12",2141,20090,29885,40320
"13",2151,22205,35415,46368
"14",2161,6685,10035,20160
"15",3111,18175,23135,2016
"16",3121,21020,25335,32256
"17",3122,13285,23655,64512
"18",3123,18445,37330,42336
"19",3124,7190,21320,22176
"20",3125,3780,15420,34272
"21",3126,7345,31960,40320
"22",3131,31855,42760,50400
"23",3132,32605,47195,60480
"24",3133,25265,38480,36288
"25",3134,12300,14895,4032
"26",3141,4285,5780,2016
"27",3142,5235,6980,2016
"28",4111,3925,6375,2016
"29",4121,4825,6015,2016
"30",4122,4680,5825,18144
"31",4131,7615,10695,24192
"32",4141,19275,30680,12096
"33",4151,23530,42985,46368
"34",4152,13355,22020,20160
"35",4161,7525,10085,2016
"36",4162,6955,9040,2016
"37",4171,27755,45330,2016
"38",4181,21685,31450,2016
"39",4182,7565,10270,2016
"40",5111,16175,23465,44352
"41",5121,27555,43925,6048
"42",5131,16675,22920,2016
"43",5141,5600,7815,2016
"44",5151,37920,73505,2016
"45",5161,9600,13015,2016
"46",5171,4495,6480,2016
"47",5181,7485,9585,2016
"48",5191,7480,9560,2016
"49",6111,23610,29365,12096
"50",6112,22850,32300,36288
"51",6113,13170,17210,2016
"52",6121,13530,28320,26208
"53",6122,13290,33260,38304
"54",6211,9515,20725,8064
"55",6212,12350,32850,38304
"56",6221,2525,12025,12096
"57",6222,10295,17255,20160
"58",6223,3795,14430,42336
"59",6224,3625,24100,60480
"60",6225,8450,33165,26208
"61",6311,8245,20810,34272
"62",6312,5100,14745,18144
"63",6313,12630,33985,40320
"64",6314,2425,7600,12096
"65",6321,6220,20090,36288
"66",6322,8960,29720,56448
"67",6323,5275,21875,44352
"68",6324,3290,8570,16128
"69",6411,10115,22385,40320
"70",6412,17085,35945,36288
"71",6421,14205,38025,42336
"72",6422,9940,35045,36288
"73",6431,8725,30940,54432
"74",6432,7475,26225,52416
"75",6511,6975,22830,28224
"76",6512,10845,30940,40320
"77",6521,14650,21185,24192
"78",6522,8330,18800,18144
"79",6523,13135,22990,24192
"80",6524,9215,20640,22176
"81",6531,14115,44365,48384
"82",6532,7155,20515,20160
"83",6533,7050,27080,42336
"84",7111,6850,8450,4032
"85",7121,7080,9395,2016
"86",7131,12395,13940,22176
"87",7141,18865,25045,22176
"88",7142,14600,33430,34272
"89",7143,33450,49465,50400
"90",7151,11740,15905,28224
"91",7152,5965,7490,34272
"92",8111,6865,9030,2016
"93",8121,7510,10530,2016
"94",8131,11970,18850,2016
"95",8141,12235,19040,2016
"96",8151,4295,5660,46368
"97",8152,1095,1465,6048
"98",9111,685,1340,16128
"99",9121,1875,2435,10080
"100",9122,1940,2555,10080
"101",9123,9970,13735,2016
"102",9131,2470,3280,10080
"103",9141,7810,11965,88704
"104",9151,1920,2705,24192
"105",9161,1270,1760,14112
"106",9171,0,165,4032
"107",10011,435,555,2016
"108",10012,480,620,2016
"109",10013,785,940,4032
"110",10014,2800,3920,4032
"111",11111,4935,6570,2016
"112",11112,5865,7895,2016
"113",11121,3775,5110,18144
"114",11131,905,1075,8064
"115",11132,5050,6860,10080
"116",11133,260,315,2016
"117",11141,5465,7580,20160
"118",11211,4220,5535,2016
"119",12111,10595,13350,2016
"120",12112,29095,38255,44352
"121",12113,15305,25060,28224
"122",12114,12305,15625,2016
"123",12115,9385,12240,20160
"124",12121,14510,19670,2016
"125",12131,6040,8000,2016
"126",12132,15955,22860,2016
"127",12141,5900,7320,2016
"128",12151,7445,10425,2016
"129",12152,6345,8020,2016
"130",13111,42380,50020,68544
"131",13112,17940,22690,36288
"132",13113,19720,38055,36288
"133",13114,31285,49580,90720
"134",14111,18265,23135,2016
"135",14112,16670,21610,2016
"136",14113,17660,29700,2016
"137",14114,13560,18225,2016
"138",14121,47370,59700,2016
"139",14122,37705,49770,2016
"140",15111,11980,16475,2016
"141",15121,15895,21975,2016
"142",15131,15725,20695,2016
"143",15141,10145,14790,2016
"144",15151,35610,47005,12096
"145",15161,44990,67380,12096
"146",15171,44245,60760,2016
"147",16111,36305,52855,14112
"148",16112,24560,33945,34272
"149",16121,20725,27415,16128
"150",16122,32485,49525,26208
"151",16211,10815,30945,34272
"152",16212,16730,30835,28224
"153",16213,38565,46830,4032
"154",16221,36730,44335,24192
"155",16222,23020,38020,2016
"156",16223,4810,6635,2016
"157",16231,15870,23795,2016
"158",16311,47370,57515,2016
"159",16321,15820,26065,10080
"160",16331,7555,9665,2016
"161",16341,21895,28435,14112
"162",16342,32335,40625,14112
"163",16343,8365,11205,2016
"164",17011,20,1795,28224
"165",17012,70,1830,30240
"166",18011,500,4010,36288
