"","lowincome_0_17.CLSC_code","lowincome_0_17.Nom","lowincome_0_17.Den","lowincome_0_17.Year"
"1",1111,65,3611.11111111111,2016
"2",1121,145,6304.34782608696,2016
"3",1131,100,3225.8064516129,2016
"4",1141,50,1282.05128205128,2016
"5",1151,335,9571.42857142857,2016
"6",1161,125,3378.37837837838,2016
"7",1171,135,3292.68292682927,2016
"8",1181,110,3142.85714285714,2016
"9",2111,160,5333.33333333333,2016
"10",2121,175,4683.88030888031,4032
"11",2131,330,9550.15945460426,34272
"12",2141,595,10435.7302014799,40320
"13",2151,515,13571.8256870932,46368
"14",2161,145,3680.83285823941,20160
"15",3111,225,9782.60869565217,2016
"16",3121,315,11485.9518564264,32256
"17",3122,510,7554.03360919076,64512
"18",3123,895,10716.4893617244,42336
"19",3124,345,3300.46706311497,22176
"20",3125,550,2604.83804924394,34272
"21",3126,1705,7807.62823488689,40320
"22",3131,880,24688.6678631165,50400
"23",3132,955,21202.8742300985,60480
"24",3133,870,16156.3934332824,36288
"25",3134,115,6764.70588235294,4032
"26",3141,25,2083.33333333333,2016
"27",3142,50,2500,2016
"28",4111,115,1885.24590163934,2016
"29",4121,85,1734.69387755102,2016
"30",4122,70,2255.37438557634,18144
"31",4131,170,2875.29349703891,24192
"32",4141,720,10027.4398803811,12096
"33",4151,1385,15124.4212460831,46368
"34",4152,610,8085.93825314545,20160
"35",4161,140,4242.42424242424,2016
"36",4162,105,3750,2016
"37",4171,1245,21101.6949152542,2016
"38",4181,710,14200,2016
"39",4182,105,4565.21739130435,2016
"40",5111,530,9330.06951160699,44352
"41",5121,1100,20017.825311943,6048
"42",5131,360,8571.42857142857,2016
"43",5141,100,4000,2016
"44",5151,2540,30975.6097560976,2016
"45",5161,175,6250,2016
"46",5171,140,2692.30769230769,2016
"47",5181,175,4487.17948717949,2016
"48",5191,120,4000,2016
"49",6111,985,15974.857539848,12096
"50",6112,1975,18957.1070598628,36288
"51",6113,870,10000,2016
"52",6121,1840,11605.9712811396,26208
"53",6122,2630,14706.0866490412,38304
"54",6211,1400,10229.3686159666,8064
"55",6212,2400,14051.1538830876,38304
"56",6221,1700,5679.98358004478,12096
"57",6222,1085,11720.6607858096,20160
"58",6223,1420,7207.24045796166,42336
"59",6224,2255,9073.08604904284,60480
"60",6225,1520,6457.55353974048,26208
"61",6311,1730,5334.74229338484,34272
"62",6312,1105,5199.5820405884,18144
"63",6313,2010,11033.084115347,40320
"64",6314,695,2499.23251445247,12096
"65",6321,635,5700.08789148665,36288
"66",6322,650,6925.15733974718,56448
"67",6323,1050,3519.55559832253,44352
"68",6324,295,1084.3161117644,16128
"69",6411,2445,12261.722457339,40320
"70",6412,4425,22366.7585967661,36288
"71",6421,2255,14744.7004701282,42336
"72",6422,4560,18338.5507175153,36288
"73",6431,1470,9531.53133669142,54432
"74",6432,695,6396.924859984,52416
"75",6511,3510,13196.1181406371,28224
"76",6512,3605,17786.4952326649,40320
"77",6521,1185,11827.726559085,24192
"78",6522,1355,8525.67786453277,18144
"79",6523,1315,9221.75451660471,24192
"80",6524,1395,8237.77873906982,22176
"81",6531,2055,14785.7208114201,48384
"82",6532,1120,6940.67218155479,20160
"83",6533,1545,6522.70418095872,42336
"84",7111,165,3846.15384615385,4032
"85",7121,235,2865.85365853659,2016
"86",7131,160,8183.601224646,22176
"87",7141,1245,17284.8213047309,22176
"88",7142,2155,12229.353904052,34272
"89",7143,2415,24343.1564800844,50400
"90",7151,370,7968.87731190483,28224
"91",7152,130,1896.00401602082,34272
"92",8111,145,4142.85714285714,2016
"93",8121,155,4843.75,2016
"94",8131,280,8484.84848484848,2016
"95",8141,340,8292.68292682927,2016
"96",8151,75,1244.40376383321,46368
"97",8152,20,615.079365079365,6048
"98",9111,5,625,16128
"99",9121,15,657.327586206897,10080
"100",9122,55,643.75,10080
"101",9123,155,5000,2016
"102",9131,45,1403.7558685446,10080
