"","Edu_lowerthanhigh.HR_code","Edu_lowerthanhigh.Nom","Edu_lowerthanhigh.Den","Edu_lowerthanhigh.Year"
"1",1011,70000,244935,2006
"2",1012,33940,79560,2006
"3",1013,25360,66300,2006
"4",1014,11370,30005,2006
"5",1100,29115,110080,2006
"6",1211,16735,49475,2006
"7",1212,20380,50365,2006
"8",1223,19480,66805,2006
"9",1234,17755,59135,2006
"10",1235,8445,26290,2006
"11",1246,10910,38420,2006
"12",1247,11425,37200,2006
"13",1258,32420,104140,2006
"14",1269,64750,323990,2006
"15",1301,44260,158490,2006
"16",1302,34820,138030,2006
"17",1303,33285,135015,2006
"18",1304,14695,41695,2006
"19",1305,8725,23190,2006
"20",1306,27015,66610,2006
"21",1307,13345,37785,2006
"22",2401,50615,166225,2006
"23",2402,58155,226135,2006
"24",2403,105650,552190,2006
"25",2404,114445,397390,2006
"26",2405,66170,243390,2006
"27",2406,330135,1538310,2006
"28",2407,73570,276250,2006
"29",2408,40850,115635,2006
"30",2409,26175,77195,2006
"31",2410,3790,11990,2006
"32",2411,30865,79810,2006
"33",2412,89255,321185,2006
"34",2413,66000,299155,2006
"35",2414,99305,347390,2006
"36",2415,109410,411905,2006
"37",2416,271805,1098735,2006
"38",2417,4050,6695,2006
"39",2418,5205,9290,2006
"40",3526,26670,97295,2006
"41",3527,28355,99525,2006
"42",3530,93475,442275,2006
"43",3531,20050,67300,2006
"44",3533,36355,129720,2006
"45",3534,25940,87250,2006
"46",3535,37600,141540,2006
"47",3536,54405,347500,2006
"48",3537,102180,407585,2006
"49",3538,34335,127865,2006
"50",3539,14950,47550,2006
"51",3540,26805,87325,2006
"52",3541,30450,150070,2006
"53",3542,23570,104260,2006
"54",3543,30815,132605,2006
"55",3544,72930,342840,2006
"56",3546,83670,349785,2006
"57",3547,27765,101755,2006
"58",3549,19700,60295,2006
"59",3551,101330,658500,2006
"60",3552,23945,81630,2006
"61",3553,180870,909140,2006
"62",3554,17915,58955,2006
"63",3555,26520,110615,2006
"64",3556,21755,65190,2006
"65",3557,21010,80530,2006
"66",3558,42730,153110,2006
"67",3560,94060,384185,2006
"68",3561,42860,157575,2006
"69",3562,36505,130885,2006
"70",3563,9640,27955,2006
"71",3565,92565,380990,2006
"72",3566,47495,202260,2006
"73",3568,76105,314630,2006
"74",3570,134440,709290,2006
"75",3595,420920,2067440,2006
"76",4601,119370,523525,2006
"77",4602,43845,124525,2006
"78",4603,32370,93445,2006
"79",4604,23235,46725,2006
"80",4605,46795,118610,2006
"81",4701,13955,40720,2006
"82",4702,12895,42780,2006
"83",4703,11680,33305,2006
"84",4704,46330,191690,2006
"85",4705,16645,44390,2006
"86",4706,56000,227940,2006
"87",4707,11435,33015,2006
"88",4708,13270,33355,2006
"89",4709,20000,56860,2006
"90",4710,18860,50130,2006
"91",4711,6460,12190,2006
"92",4712,4655,7520,2006
"93",4713,1620,2385,2006
"94",4831,59595,203900,2006
"95",4832,179175,967465,2006
"96",4833,95320,319045,2006
"97",4834,183530,841770,2006
"98",4835,90545,285000,2006
"99",5911,14665,62070,2006
"100",5912,13775,62820,2006
"101",5913,57315,260860,2006
"102",5914,40900,162795,2006
"103",5921,50740,201080,2006
"104",5922,74745,446095,2006
"105",5923,102285,500345,2006
"106",5931,23575,146520,2006
"107",5932,84055,508010,2006
"108",5933,28640,211400,2006
"109",5941,43705,289465,2006
"110",5942,45155,205195,2006
"111",5943,20080,89575,2006
"112",5951,17010,56290,2006
"113",5952,30075,110155,2006
"114",5953,13705,47390,2006
"115",6001,5510,24355,2006
"116",6101,10280,31135,2006
"117",6201,11010,19315,2006
