"","Lowincome_0_6.HR_code","Lowincome_0_6.Nom","Lowincome_0_6.Den","Lowincome_0_6.Year"
"1",1011,69740.07,16530,2006
"2",1012,14426.37,4490,2006
"3",1013,11088.24,3760,2006
"4",1014,1574.4,2050,2006
"5",1100,7823.945,7895,2006
"6",1211,943.41,2665,2006
"7",1212,4016,3200,2006
"8",1223,4911.94,4565,2006
"9",1234,1531.71,4185,2006
"10",1235,1214.64,1680,2006
"11",1246,3042,2535,2006
"12",1247,1784.85,2445,2006
"13",1258,2258.145,5805,2006
"14",1269,660025.2,22700,2006
"15",1301,28123.605,10665,2006
"16",1302,29250.725,10325,2006
"17",1303,29728.62,10195,2006
"18",1304,1131.435,2465,2006
"19",1305,1536.945,1185,2006
"20",1306,6873.64,3595,2006
"21",1307,731.155,2095,2006
"22",2401,8361.98,10505,2006
"23",2402,10878.12,14760,2006
"24",2403,14715.975,33675,2006
"25",2404,42746,25520,2006
"26",2405,29889.14,17770,2006
"27",2406,202104,112280,2006
"28",2407,32523.05,21610,2006
"29",2408,8233.1,8350,2006
"30",2409,3333.95,5090,2006
"31",2410,492.75,1095,2006
"32",2411,4794,3995,2006
"33",2412,25746.71,24130,2006
"34",2413,2943.36,22995,2006
"35",2414,70332.39,25065,2006
"36",2415,74838.34,31765,2006
"37",2416,395170.02,84420,2006
"38",2417,0,0,2006
"39",2418,0,0,2006
"40",3526,3603.06,5410,2006
"41",3527,2126.25,8505,2006
"42",3530,24480.785,39295,2006
"43",3531,3073.95,6210,2006
"44",3533,9726.08,8320,2006
"45",3534,1029.6,6435,2006
"46",3535,6210.27,8415,2006
"47",3536,7413.69,33395,2006
"48",3537,6969.98,32570,2006
"49",3538,19852.47,9115,2006
"50",3539,2520.76,3740,2006
"51",3540,986.3,7045,2006
"52",3541,6524.92,10390,2006
"53",3542,4973.76,7065,2006
"54",3543,10383.04,9140,2006
"55",3544,7592.4,26640,2006
"56",3546,23245.25,25130,2006
"57",3547,11949.685,6505,2006
"58",3549,2340.52,3640,2006
"59",3551,8853.6,52700,2006
"60",3552,2965.365,7215,2006
"61",3553,29784.04,90805,2006
"62",3554,1163.12,5360,2006
"63",3555,3372.5,6745,2006
"64",3556,5043.255,4515,2006
"65",3557,4296.24,6120,2006
"66",3558,11950.11,11295,2006
"67",3560,50811.175,30155,2006
"68",3561,4352.15,10615,2006
"69",3562,5358.015,8385,2006
"70",3563,445.195,1655,2006
"71",3565,12593.485,34885,2006
"72",3566,9770.18,18365,2006
"73",3568,17313.5,27925,2006
"74",3570,46139,63640,2006
"75",3595,41141.845,160085,2006
"76",4601,4770800.8,40930,2006
"77",4602,114451.69,8990,2006
"78",4603,17817.8,5785,2006
"79",4604,4565.35,3485,2006
"80",4605,63213.81,12265,2006
"81",4701,0,2955,2006
"82",4702,8725.625,2875,2006
"83",4703,652.365,1995,2006
"84",4704,335471.2,14510,2006
"85",4705,2732.4,2700,2006
"86",4706,530778.88,18560,2006
"87",4707,0,2060,2006
"88",4708,3825.92,2135,2006
"89",4709,71796.185,4505,2006
"90",4710,30510.2,4340,2006
"91",4711,4454.415,1185,2006
"92",4712,877.45,805,2006
"93",4713,43.8,150,2006
"94",4831,46631.7,18180,2006
"95",4832,6891184.74,85910,2006
"96",4833,244507.9,27700,2006
"97",4834,76275.48,71020,2006
"98",4835,219515.67,28755,2006
"99",5911,6921.75,4195,2006
"100",5912,12003.04,3920,2006
"101",5913,169654.32,15345,2006
"102",5914,85682.32,10490,2006
"103",5921,274159.04,17980,2006
"104",5922,1210008.14,32780,2006
"105",5923,1987913.29,43255,2006
"106",5931,2212.54,9790,2006
"107",5932,16568.57,30070,2006
"108",5933,72473.325,13165,2006
"109",5941,21260.48,16820,2006
"110",5942,20769.21,11655,2006
"111",5943,35652.17,5890,2006
"112",5951,27187.25,4250,2006
"113",5952,91426.72,9020,2006
"114",5953,4109.245,5195,2006
"115",6001,0,0,2006
"116",6101,0,0,2006
"117",6201,0,0,2006
