"","Lowincome_total.HR_code","Lowincome_total.Nom","Lowincome_total.Den","Lowincome_total.Year"
"1",1011,2255629.555,284335,2006
"2",1012,542981.14,87620,2006
"3",1013,315451.325,75775,2006
"4",1014,45549,33740,2006
"5",1100,473672.815,130885,2006
"6",1211,30347.8,57260,2006
"7",1212,55696.68,59505,2006
"8",1223,106313.58,79815,2006
"9",1234,28092.055,70055,2006
"10",1235,23733.115,31105,2006
"11",1246,31253.55,45295,2006
"12",1247,41157.42,43415,2006
"13",1258,36672.12,118680,2006
"14",1269,24317291.5,384950,2006
"15",1301,565833.42,185580,2006
"16",1302,586225.125,166305,2006
"17",1303,781332.755,160405,2006
"18",1304,100280.565,48235,2006
"19",1305,32083.85,26450,2006
"20",1306,207146.26,77380,2006
"21",1307,49401.255,42995,2006
"22",2401,1452074.16,192685,2006
"23",2402,701004.35,265030,2006
"24",2403,1683268.125,641245,2006
"25",2404,3626053.86,465595,2006
"26",2405,1428696.36,290740,2006
"27",2406,3029618.87,1815230,2006
"28",2407,1724966.88,334815,2006
"29",2408,479555.52,136160,2006
"30",2409,124954.1,85585,2006
"31",2410,4951.55,14825,2006
"32",2411,193983.71,89270,2006
"33",2412,2834303.64,383740,2006
"34",2413,40371.81,363710,2006
"35",2414,1893394.395,421035,2006
"36",2415,2652960.31,502645,2006
"37",2416,14724276.375,1334325,2006
"38",2417,0,0,2006
"39",2418,0,0,2006
"40",3526,128907.25,110650,2006
"41",3527,17515.355,122485,2006
"42",3530,264596.5,555875,2006
"43",3531,33669.51,83755,2006
"44",3533,151242.945,153235,2006
"45",3534,12072.6,105900,2006
"46",3535,124618.275,166825,2006
"47",3536,95776.98,433380,2006
"48",3537,69363,495450,2006
"49",3538,212600.44,152840,2006
"50",3539,24873.35,57845,2006
"51",3540,8369.655,105945,2006
"52",3541,112258.14,178755,2006
"53",3542,60985.08,122460,2006
"54",3543,200871.15,159675,2006
"55",3544,166872.21,415105,2006
"56",3546,325796.1,419300,2006
"57",3547,242626.8,117780,2006
"58",3549,336414.375,61875,2006
"59",3551,98083.89,797430,2006
"60",3552,33533.66,101005,2006
"61",3553,298224.255,1151445,2006
"62",3554,19415.34,72990,2006
"63",3555,72721.15,128710,2006
"64",3556,64953.02,77695,2006
"65",3557,98831.66,95860,2006
"66",3558,163270.625,186595,2006
"67",3560,656852,469180,2006
"68",3561,179655.645,183885,2006
"69",3562,110575.795,150035,2006
"70",3563,38393.74,32620,2006
"71",3565,175104.12,470710,2006
"72",3566,176199.855,251355,2006
"73",3568,177580.215,386885,2006
"74",3570,590848.61,885830,2006
"75",3595,478307,2465500,2006
"76",4601,105438142.8,632920,2006
"77",4602,3767843.94,143745,2006
"78",4603,982061.71,101990,2006
"79",4604,49869.6,37780,2006
"80",4605,2471013.955,145465,2006
"81",4701,250155.27,43910,2006
"82",4702,438000.84,46755,2006
"83",4703,97436.25,33750,2006
"84",4704,9371467.855,223295,2006
"85",4705,404812.04,48985,2006
"86",4706,15149418.75,271875,2006
"87",4707,158686.32,33720,2006
"88",4708,213455.58,36790,2006
"89",4709,966532.77,62365,2006
"90",4710,500850,54000,2006
"91",4711,25613.44,9920,2006
"92",4712,9381.375,6975,2006
"93",4713,359.16,1460,2006
"94",4831,627655.945,241685,2006
"95",4832,209654713.73,1175735,2006
"96",4833,15231915.275,381475,2006
"97",4834,1116136.64,1023040,2006
"98",4835,10851675.57,342735,2006
"99",5911,110186.72,73360,2006
"100",5912,1051246.68,73865,2006
"101",5913,12927133.835,293645,2006
"102",5914,5577340.75,187625,2006
"103",5921,9457179.56,244460,2006
"104",5922,67699770.58,534365,2006
"105",5923,64902271.5,619740,2006
"106",5931,36216.565,173285,2006
"107",5932,323920.935,579465,2006
"108",5933,11608664.655,244635,2006
"109",5941,398354.82,331410,2006
"110",5942,704579.715,235095,2006
"111",5943,2095789.11,104690,2006
"112",5951,717857.595,61815,2006
"113",5952,2971808,132670,2006
"114",5953,336241.3,59575,2006
"115",6001,0,0,2006
"116",6101,0,0,2006
"117",6201,0,0,2006
