"","Housing_type.HR_code","Housing_type.Nom","Housing_type.Den","Housing_type.Year"
"1",1011,27065,103485,2011
"2",1012,5875,30650,2011
"3",1013,6885,29590,2011
"4",1014,1930,10940,2011
"5",1100,13340,45300,2011
"6",1211,4560,25585,2011
"7",1212,4690,22960,2011
"8",1223,8520,34070,2011
"9",1234,6815,29045,2011
"10",1235,1845,6620,2011
"11",1246,4110,17990,2011
"12",1247,3160,16255,2011
"13",1258,12290,49945,2011
"14",1269,63015,172960,2011
"15",1301,21465,81035,2011
"16",1302,18100,65860,2011
"17",1303,15900,63130,2011
"18",1304,3855,14450,2011
"19",1305,2450,11010,2011
"20",1306,5865,27275,2011
"21",1307,2875,15960,2011
"22",2401,24930,82245,2011
"23",2402,38310,117800,2011
"24",2403,129725,318960,2011
"25",2404,77050,216430,2011
"26",2405,51930,134695,2011
"27",2406,515765,849435,2011
"28",2407,45975,145780,2011
"29",2408,18220,56135,2011
"30",2409,9485,34325,2011
"31",2410,1470,5330,2011
"32",2411,9045,37830,2011
"33",2412,43995,171530,2011
"34",2413,47390,154455,2011
"35",2414,44560,184735,2011
"36",2415,62170,222545,2011
"37",2416,173855,583075,2011
"38",2417,3055,3140,2011
"39",2418,695,3780,2011
"40",3526,13525,45270,2011
"41",3527,13130,50655,2011
"42",3530,37055,213745,2011
"43",3531,7465,33490,2011
"44",3533,12560,65440,2011
"45",3534,7545,41865,2011
"46",3535,11590,66980,2011
"47",3536,30335,179010,2011
"48",3537,64465,203810,2011
"49",3538,16245,62570,2011
"50",3539,4910,23635,2011
"51",3540,11560,42985,2011
"52",3541,23460,75155,2011
"53",3542,12715,52480,2011
"54",3543,12380,57735,2011
"55",3544,60925,179825,2011
"56",3546,42765,174695,2011
"57",3547,13505,45650,2011
"58",3549,5530,29105,2011
"59",3551,115640,353240,2011
"60",3552,10120,41550,2011
"61",3553,87695,402945,2011
"62",3554,7130,29400,2011
"63",3555,12835,47320,2011
"64",3556,9805,34685,2011
"65",3557,8595,34915,2011
"66",3558,20030,79150,2011
"67",3560,35045,184060,2011
"68",3561,23095,77150,2011
"69",3562,15785,62155,2011
"70",3563,2540,10040,2011
"71",3565,55315,191595,2011
"72",3566,22050,96910,2011
"73",3568,39195,152290,2011
"74",3570,37230,323535,2011
"75",3595,476085,1047875,2011
"76",4601,91560,273855,2011
"77",4602,13970,65935,2011
"78",4603,4015,36620,2011
"79",4604,5105,20445,2011
"80",4605,8720,59955,2011
"81",4701,3770,22765,2011
"82",4702,5565,23640,2011
"83",4703,2445,11900,2011
"84",4704,25240,104250,2011
"85",4705,3885,23995,2011
"86",4706,33410,126085,2011
"87",4707,2465,17015,2011
"88",4708,2765,17215,2011
"89",4709,5920,28455,2011
"90",4710,5205,26120,2011
"91",4711,1080,5905,2011
"92",4712,1150,3295,2011
"93",4713,100,475,2011
"94",4831,22410,103835,2011
"95",4832,124435,517945,2011
"96",4833,32800,167985,2011
"97",4834,127615,451125,2011
"98",4835,32120,152150,2011
"99",5911,5245,24665,2011
"100",5912,6170,35375,2011
"101",5913,32360,144935,2011
"102",5914,18200,90630,2011
"103",5921,23075,101675,2011
"104",5922,69785,232270,2011
"105",5923,58150,246660,2011
"106",5931,15555,67980,2011
"107",5932,138765,270170,2011
"108",5933,28190,111100,2011
"109",5941,54470,160515,2011
"110",5942,22880,111455,2011
"111",5943,11435,49535,2011
"112",5951,6650,26060,2011
"113",5952,13160,57030,2011
"114",5953,6705,25385,2011
"115",6001,3650,11730,2011
"116",6101,6940,14675,2011
"117",6201,6015,7655,2011
