"","Journey_towork.HR_code","Journey_towork.Nom","Journey_towork.Den","Journey_towork.Year"
"1",1011,6420,117295,2011
"2",1012,1570,26335,2011
"3",1013,1685,23910,2011
"4",1014,1030,12930,2011
"5",1100,3045,50885,2011
"6",1211,1080,23520,2011
"7",1212,995,21170,2011
"8",1223,2035,31790,2011
"9",1234,1435,31310,2011
"10",1235,420,6275,2011
"11",1246,740,17815,2011
"12",1247,1105,16525,2011
"13",1258,2555,44360,2011
"14",1269,19295,203765,2011
"15",1301,6075,92770,2011
"16",1302,3815,71910,2011
"17",1303,4540,71965,2011
"18",1304,695,13925,2011
"19",1305,500,8680,2011
"20",1306,995,25450,2011
"21",1307,645,14605,2011
"22",2401,6530,77320,2011
"23",2402,6930,119820,2011
"24",2403,27480,344400,2011
"25",2404,14980,207225,2011
"26",2405,9990,133430,2011
"27",2406,90550,829745,2011
"28",2407,10125,173220,2011
"29",2408,5960,59955,2011
"30",2409,3585,36890,2011
"31",2410,950,5960,2011
"32",2411,1460,32175,2011
"33",2412,11120,194045,2011
"34",2413,5435,189585,2011
"35",2414,9500,218550,2011
"36",2415,11570,252540,2011
"37",2416,34420,681120,2011
"38",2417,2390,4595,2011
"39",2418,1925,5680,2011
"40",3526,3335,41490,2011
"41",3527,2935,60225,2011
"42",3530,9940,289115,2011
"43",3531,1940,36935,2011
"44",3533,5610,66980,2011
"45",3534,2660,47170,2011
"46",3535,3500,66820,2011
"47",3536,9235,242140,2011
"48",3537,13040,228195,2011
"49",3538,4435,63850,2011
"50",3539,2095,25465,2011
"51",3540,2465,41980,2011
"52",3541,8140,82640,2011
"53",3542,2765,50680,2011
"54",3543,4625,62710,2011
"55",3544,13955,199495,2011
"56",3546,10970,188550,2011
"57",3547,4085,45060,2011
"58",3549,3360,31650,2011
"59",3551,42145,431975,2011
"60",3552,2770,47985,2011
"61",3553,14510,612580,2011
"62",3554,3955,35530,2011
"63",3555,4390,49105,2011
"64",3556,2870,36525,2011
"65",3557,2690,38375,2011
"66",3558,4830,88840,2011
"67",3560,11400,217205,2011
"68",3561,5505,83215,2011
"69",3562,4575,65430,2011
"70",3563,1155,9340,2011
"71",3565,13605,246885,2011
"72",3566,7915,123885,2011
"73",3568,7430,154560,2011
"74",3570,11680,485385,2011
"75",3595,110825,1174610,2011
"76",4601,25450,339510,2011
"77",4602,5985,67625,2011
"78",4603,2635,42555,2011
"79",4604,3605,23130,2011
"80",4605,4400,73560,2011
"81",4701,1315,25120,2011
"82",4702,1445,23180,2011
"83",4703,705,12375,2011
"84",4704,4475,130070,2011
"85",4705,1470,23355,2011
"86",4706,7180,156810,2011
"87",4707,1445,15655,2011
"88",4708,1060,15195,2011
"89",4709,955,29915,2011
"90",4710,1330,29720,2011
"91",4711,1220,5990,2011
"92",4712,295,2380,2011
"93",4713,180,525,2011
"94",4831,3375,124100,2011
"95",4832,31500,704690,2011
"96",4833,7385,200860,2011
"97",4834,18490,609525,2011
"98",4835,9225,202990,2011
"99",5911,2845,25725,2011
"100",5912,2700,31345,2011
"101",5913,7195,143560,2011
"102",5914,4220,89975,2011
"103",5921,2040,119290,2011
"104",5922,7530,290075,2011
"105",5923,5600,328525,2011
"106",5931,3985,83890,2011
"107",5932,51425,299440,2011
"108",5933,7305,119870,2011
"109",5941,26485,169030,2011
"110",5942,5150,103215,2011
"111",5943,4715,48195,2011
"112",5951,2930,28500,2011
"113",5952,2240,63285,2011
"114",5953,1930,32525,2011
"115",6001,2010,15710,2011
"116",6101,5975,20455,2011
"117",6201,4470,9685,2011
