"","Language_FrEn.HR_code","Language_FrEn.Nom","Language_FrEn.Den","Language_FrEn.Year"
"1",1011,303410,303760,2011
"2",1012,92680,92725,2011
"3",1013,76680,76730,2011
"4",1014,36350,36545,2011
"5",1100,137710,138400,2011
"6",1211,57515,57545,2011
"7",1212,56890,56930,2011
"8",1223,80080,80175,2011
"9",1234,73495,73605,2011
"10",1235,30435,30455,2011
"11",1246,44905,44960,2011
"12",1247,43225,43290,2011
"13",1258,118150,118220,2011
"14",1269,403975,405160,2011
"15",1301,199900,200130,2011
"16",1302,172730,173050,2011
"17",1303,171870,172185,2011
"18",1304,47810,47820,2011
"19",1305,26140,26160,2011
"20",1306,76525,76560,2011
"21",1307,43800,43855,2011
"22",2401,196680,196705,2011
"23",2402,272215,272265,2011
"24",2403,690035,691600,2011
"25",2404,489545,490645,2011
"26",2405,306010,306870,2011
"27",2406,1813635,1862190,2011
"28",2407,363425,365060,2011
"29",2408,143735,143810,2011
"30",2409,92610,93275,2011
"31",2410,14070,14085,2011
"32",2411,90690,90665,2011
"33",2412,405110,405200,2011
"34",2413,390185,397570,2011
"35",2414,467345,468305,2011
"36",2415,553015,554830,2011
"37",2416,1422185,1429730,2011
"38",2417,9905,12060,2011
"39",2418,13950,15585,2011
"40",3526,112905,113300,2011
"41",3527,127095,127700,2011
"42",3530,600640,604125,2011
"43",3531,85485,86235,2011
"44",3533,154905,155555,2011
"45",3534,105905,106720,2011
"46",3535,169215,169420,2011
"47",3536,493195,498105,2011
"48",3537,504205,513170,2011
"49",3538,155315,155635,2011
"50",3539,57975,58385,2011
"51",3540,102150,102765,2011
"52",3541,186265,186885,2011
"53",3542,124605,124875,2011
"54",3543,162665,162840,2011
"55",3544,427730,432670,2011
"56",3546,422710,425490,2011
"57",3547,123020,123120,2011
"58",3549,71200,71465,2011
"59",3551,860585,872450,2011
"60",3552,104390,104755,2011
"61",3553,1241515,1291375,2011
"62",3554,73780,74220,2011
"63",3555,133235,133500,2011
"64",3556,84035,84175,2011
"65",3557,101010,101100,2011
"66",3558,193525,193770,2011
"67",3560,494465,496220,2011
"68",3561,192155,192505,2011
"69",3562,151970,152675,2011
"70",3563,32885,32925,2011
"71",3565,493875,501805,2011
"72",3566,261145,263180,2011
"73",3568,377965,384935,2011
"74",3570,978145,1026630,2011
"75",3595,2453050,2589090,2011
"76",4601,661670,670190,2011
"77",4602,154355,156110,2011
"78",4603,122565,122965,2011
"79",4604,66645,66980,2011
"80",4605,168610,171715,2011
"81",4701,54640,54825,2011
"82",4702,52790,52965,2011
"83",4703,41000,41250,2011
"84",4704,247945,249380,2011
"85",4705,53785,53855,2011
"86",4706,307900,310255,2011
"87",4707,41465,41620,2011
"88",4708,41080,41170,2011
"89",4709,72245,72400,2011
"90",4710,66265,66405,2011
"91",4711,18380,18470,2011
"92",4712,9640,9995,2011
"93",4713,3805,3820,2011
"94",4831,268245,271265,2011
"95",4832,1322690,1349340,2011
"96",4833,427760,429275,2011
"97",4834,1127875,1144440,2011
"98",4835,411310,413255,2011
"99",5911,75700,75775,2011
"100",5912,78885,78970,2011
"101",5913,336485,338145,2011
"102",5914,212710,213290,2011
"103",5921,264645,273285,2011
"104",5922,572375,596660,2011
"105",5923,676830,711165,2011
"106",5931,169995,189740,2011
"107",5932,563200,610105,2011
"108",5933,264725,268050,2011
"109",5941,352350,355000,2011
"110",5942,255240,255835,2011
"111",5943,117185,117410,2011
"112",5951,72885,73175,2011
"113",5952,139135,139520,2011
"114",5953,64760,65155,2011
"115",6001,33045,33150,2011
"116",6101,40595,40815,2011
"117",6201,28475,31335,2011
