"","Lowincome_LIM_0_17.HR_code","Lowincome_LIM_0_17.Nom","Lowincome_LIM_0_17.Den","Lowincome_LIM_0_17.Year"
"1",1011,9695,47870,2011
"2",1012,2705,12310,2011
"3",1013,3385,12155,2011
"4",1014,800,5415,2011
"5",1100,3905,22205,2011
"6",1211,2360,9460,2011
"7",1212,2710,9640,2011
"8",1223,3915,15270,2011
"9",1234,2455,14055,2011
"10",1235,570,2665,2011
"11",1246,1465,7860,2011
"12",1247,1305,6955,2011
"13",1258,5430,20040,2011
"14",1269,13780,76945,2011
"15",1301,5890,34780,2011
"16",1302,7480,32740,2011
"17",1303,5825,30550,2011
"18",1304,1230,5190,2011
"19",1305,1325,3840,2011
"20",1306,2640,10285,2011
"21",1307,1120,5990,2011
"22",2401,3540,31315,2011
"23",2402,6025,49420,2011
"24",2403,12815,120000,2011
"25",2404,15280,86510,2011
"26",2405,10055,59200,2011
"27",2406,95350,346920,2011
"28",2407,9130,73175,2011
"29",2408,3000,25515,2011
"30",2409,1440,13955,2011
"31",2410,280,2515,2011
"32",2411,2065,13470,2011
"33",2412,7995,80530,2011
"34",2413,11745,85515,2011
"35",2414,12250,97330,2011
"36",2415,15695,114665,2011
"37",2416,35580,293915,2011
"38",2417,800,4830,2011
"39",2418,0,0,2011
"40",3526,3675,17680,2011
"41",3527,4890,28500,2011
"42",3530,17445,140845,2011
"43",3531,4115,20490,2011
"44",3533,4590,29455,2011
"45",3534,3125,22265,2011
"46",3535,5245,28935,2011
"47",3536,11060,119960,2011
"48",3537,22155,106080,2011
"49",3538,5645,27835,2011
"50",3539,1770,12530,2011
"51",3540,5045,21550,2011
"52",3541,4975,34520,2011
"53",3542,4480,23730,2011
"54",3543,4280,27060,2011
"55",3544,17335,89040,2011
"56",3546,14120,83295,2011
"57",3547,3390,19275,2011
"58",3549,1460,12315,2011
"59",3551,26210,181790,2011
"60",3552,3350,23825,2011
"61",3553,51205,313870,2011
"62",3554,2190,16965,2011
"63",3555,3865,20715,2011
"64",3556,1755,16605,2011
"65",3557,2315,16805,2011
"66",3558,6570,40395,2011
"67",3560,14355,100840,2011
"68",3561,5405,34455,2011
"69",3562,5085,26390,2011
"70",3563,860,4245,2011
"71",3565,16995,113435,2011
"72",3566,7285,58800,2011
"73",3568,19490,84960,2011
"74",3570,29630,238135,2011
"75",3595,122135,487320,2011
"76",4601,31650,141280,2011
"77",4602,5595,32095,2011
"78",4603,2785,17905,2011
"79",4604,1900,9310,2011
"80",4605,9505,46535,2011
"81",4701,700,11625,2011
"82",4702,1245,9845,2011
"83",4703,890,5185,2011
"84",4704,6600,52405,2011
"85",4705,1470,10030,2011
"86",4706,8915,66170,2011
"87",4707,1035,7970,2011
"88",4708,1480,8525,2011
"89",4709,3030,15360,2011
"90",4710,1765,15100,2011
"91",4711,1010,2710,2011
"92",4712,1065,2510,2011
"93",4713,0,0,2011
"94",4831,7230,60580,2011
"95",4832,30570,295925,2011
"96",4833,10030,95950,2011
"97",4834,28230,245290,2011
"98",4835,9795,98685,2011
"99",5911,2090,11315,2011
"100",5912,2465,14535,2011
"101",5913,8960,57970,2011
"102",5914,5175,37920,2011
"103",5921,9120,61895,2011
"104",5922,18980,116050,2011
"105",5923,25050,161590,2011
"106",5931,8820,34790,2011
"107",5932,20985,91160,2011
"108",5933,5865,49400,2011
"109",5941,8705,57175,2011
"110",5942,7535,42510,2011
"111",5943,4655,20800,2011
"112",5951,3035,14210,2011
"113",5952,4885,30335,2011
"114",5953,1325,15730,2011
"115",6001,0,0,2011
"116",6101,0,0,2011
"117",6201,0,0,2011
