"","hr.age.pry.HR_code","hr.age.pry.Age","hr.age.pry.Count","hr.age.pry.Sex","hr.age.pry.Year"
"1","1011","Total","148675","Male",2011
"2","1012","Total","45810","Male",2011
"3","1013","Total","37515","Male",2011
"4","1014","Total","18480","Male",2011
"5","1100","Total","67590","Male",2011
"6","1211","Total","28430","Male",2011
"7","1212","Total","27870","Male",2011
"8","1223","Total","39355","Male",2011
"9","1234","Total","36130","Male",2011
"10","1235","Total","15265","Male",2011
"11","1246","Total","22000","Male",2011
"12","1247","Total","21330","Male",2011
"13","1258","Total","57130","Male",2011
"14","1269","Total","197945","Male",2011
"15","1301","Total","99440","Male",2011
"16","1302","Total","84540","Male",2011
"17","1303","Total","85260","Male",2011
"18","1304","Total","23980","Male",2011
"19","1305","Total","13000","Male",2011
"20","1306","Total","38220","Male",2011
"21","1307","Total","21965","Male",2011
"22","2401","Total","98360","Male",2011
"23","2402","Total","136370","Male",2011
"24","2403","Total","340890","Male",2011
"25","2404","Total","245300","Male",2011
"26","2405","Total","153275","Male",2011
"27","2406","Total","913155","Male",2011
"28","2407","Total","180480","Male",2011
"29","2408","Total","73120","Male",2011
"30","2409","Total","47545","Male",2011
"31","2410","Total","7360","Male",2011
"32","2411","Total","44675","Male",2011
"33","2412","Total","204345","Male",2011
"34","2413","Total","194885","Male",2011
"35","2414","Total","234010","Male",2011
"36","2415","Total","277165","Male",2011
"37","2416","Total","708155","Male",2011
"38","2417","Total","6120","Male",2011
"39","2418","Total","7860","Male",2011
"40","3526","Total","55865","Male",2011
"41","3527","Total","62870","Male",2011
"42","3530","Total","296305","Male",2011
"43","3531","Total","43010","Male",2011
"44","3533","Total","77855","Male",2011
"45","3534","Total","53765","Male",2011
"46","3535","Total","84800","Male",2011
"47","3536","Total","243730","Male",2011
"48","3537","Total","253775","Male",2011
"49","3538","Total","76935","Male",2011
"50","3539","Total","29135","Male",2011
"51","3540","Total","50615","Male",2011
"52","3541","Total","94040","Male",2011
"53","3542","Total","61465","Male",2011
"54","3543","Total","80450","Male",2011
"55","3544","Total","212195","Male",2011
"56","3546","Total","208735","Male",2011
"57","3547","Total","61275","Male",2011
"58","3549","Total","35950","Male",2011
"59","3551","Total","428455","Male",2011
"60","3552","Total","52070","Male",2011
"61","3553","Total","637175","Male",2011
"62","3554","Total","36805","Male",2011
"63","3555","Total","64985","Male",2011
"64","3556","Total","42340","Male",2011
"65","3557","Total","51225","Male",2011
"66","3558","Total","96645","Male",2011
"67","3560","Total","247115","Male",2011
"68","3561","Total","95430","Male",2011
"69","3562","Total","76160","Male",2011
"70","3563","Total","16555","Male",2011
"71","3565","Total","249820","Male",2011
"72","3566","Total","130235","Male",2011
"73","3568","Total","191225","Male",2011
"74","3570","Total","504705","Male",2011
"75","3595","Total","1255585","Male",2011
"76","4601","Total","329565","Male",2011
"77","4602","Total","77995","Male",2011
"78","4603","Total","63075","Male",2011
"79","4604","Total","34005","Male",2011
"80","4605","Total","86855","Male",2011
"81","4701","Total","28210","Male",2011
"82","4702","Total","26645","Male",2011
"83","4703","Total","20785","Male",2011
"84","4704","Total","123645","Male",2011
"85","4705","Total","27060","Male",2011
"86","4706","Total","155410","Male",2011
"87","4707","Total","21215","Male",2011
"88","4708","Total","20660","Male",2011
"89","4709","Total","36185","Male",2011
"90","4710","Total","33500","Male",2011
"91","4711","Total","9350","Male",2011
"92","4712","Total","4930","Male",2011
"93","4713","Total","1955","Male",2011
"94","4831","Total","135680","Male",2011
"95","4832","Total","678415","Male",2011
"96","4833","Total","218255","Male",2011
"97","4834","Total","575845","Male",2011
"98","4835","Total","214905","Male",2011
"99","5911","Total","38140","Male",2011
"100","5912","Total","39525","Male",2011
"101","5913","Total","165240","Male",2011
"102","5914","Total","107230","Male",2011
"103","5921","Total","137470","Male",2011
"104","5922","Total","295205","Male",2011
"105","5923","Total","352210","Male",2011
"106","5931","Total","91240","Male",2011
"107","5932","Total","302120","Male",2011
"108","5933","Total","131255","Male",2011
"109","5941","Total","172900","Male",2011
"110","5942","Total","126040","Male",2011
"111","5943","Total","58175","Male",2011
"112","5951","Total","37325","Male",2011
"113","5952","Total","71060","Male",2011
"114","5953","Total","33665","Male",2011
"115","6001","Total","16780","Male",2011
"116","6101","Total","20970","Male",2011
"117","6201","Total","16205","Male",2011
"118","1011","/0-4years;Males","7695","Male",2011
"119","1012","/0-4years;Males","2015","Male",2011
"120","1013","/0-4years;Males","1660","Male",2011
"121","1014","/0-4years;Males","1175","Male",2011
"122","1100","/0-4years;Males","3695","Male",2011
