"","Household_type.HR_code","Household_type.Nom","Household_type.Den","Household_type.Year"
"1",1011,92545,131015,2016
"2",1012,30035,39785,2016
"3",1013,23950,33895,2016
"4",1014,10895,13875,2016
"5",1100,40970,59460,2016
"6",1211,17965,26170,2016
"7",1212,16915,25220,2016
"8",1223,24235,35335,2016
"9",1234,21890,31655,2016
"10",1235,8965,13610,2016
"11",1246,12845,19315,2016
"12",1247,12380,18375,2016
"13",1258,33350,50815,2016
"14",1269,116985,181460,2016
"15",1301,60720,89465,2016
"16",1302,49380,71965,2016
"17",1303,50770,73215,2016
"18",1304,14275,21070,2016
"19",1305,7530,11520,2016
"20",1306,22890,33845,2016
"21",1307,17115,24575,2016
"22",2401,55970,89790,2016
"23",2402,80185,122785,2016
"24",2403,200225,334300,2016
"25",2404,141510,230765,2016
"26",2405,88235,142865,2016
"27",2406,477135,870365,2016
"28",2407,106925,163155,2016
"29",2408,41465,64580,2016
"30",2409,26610,39940,2016
"31",2410,4165,6040,2016
"32",2411,26595,40935,2016
"33",2412,120505,180815,2016
"34",2413,114265,160325,2016
"35",2414,141950,202130,2016
"36",2415,168570,249485,2016
"37",2416,426585,626100,2016
"38",2417,2720,3630,2016
"39",2418,3390,4010,2016
"40",3526,33085,50660,2016
"41",3527,37605,52580,2016
"42",3530,177455,227915,2016
"43",3531,25295,34995,2016
"44",3533,47885,68660,2016
"45",3534,32010,43510,2016
"46",3535,54105,75260,2016
"47",3536,151360,192905,2016
"48",3537,144380,211595,2016
"49",3538,47130,67745,2016
"50",3539,16870,24195,2016
"51",3540,29330,43175,2016
"52",3541,54310,81360,2016
"53",3542,36875,54475,2016
"54",3543,50780,71325,2016
"55",3544,123160,189985,2016
"56",3546,126370,183830,2016
"57",3547,36385,53705,2016
"58",3549,21040,30285,2016
"59",3551,248825,373760,2016
"60",3552,31865,44265,2016
"61",3553,366775,451260,2016
"62",3554,21420,30715,2016
"63",3555,61960,88850,2016
"64",3556,24465,35730,2016
"65",3557,29860,43355,2016
"66",3558,59485,83225,2016
"67",3560,154820,210080,2016
"68",3561,56580,84315,2016
"69",3562,44140,66995,2016
"70",3563,9650,14825,2016
"71",3565,145240,203825,2016
"72",3566,82105,112265,2016
"73",3568,108620,159050,2016
"74",3570,297725,357085,2016
"75",3595,684955,1112930,2016
"76",4601,187450,286490,2016
"77",4602,44795,67210,2016
"78",4603,36705,49595,2016
"79",4604,15945,20935,2016
"80",4605,50350,66195,2016
"81",4701,15895,23230,2016
"82",4702,15285,23385,2016
"83",4703,11535,17255,2016
"84",4704,76120,113455,2016
"85",4705,15755,23980,2016
"86",4706,92745,137090,2016
"87",4707,11530,17070,2016
"88",4708,11790,17380,2016
"89",4709,20655,29085,2016
"90",4710,19730,27695,2016
"91",4711,4990,6150,2016
"92",4712,2430,3135,2016
"93",4713,1055,1280,2016
"94",4831,76755,109710,2016
"95",4832,410635,577530,2016
"96",4833,126650,179190,2016
"97",4834,348295,502090,2016
"98",4835,115840,161545,2016
"99",5911,23915,34995,2016
"100",5912,23515,36630,2016
"101",5913,104100,155160,2016
"102",5914,63670,93815,2016
"103",5921,77570,108250,2016
"104",5922,172130,250005,2016
"105",5923,202150,270260,2016
"106",5931,54110,73460,2016
"107",5932,157280,290605,2016
"108",5933,79010,116400,2016
"109",5941,103685,170165,2016
"110",5942,79015,118000,2016
"111",5943,35785,53995,2016
"112",5951,20410,29610,2016
"113",5952,39780,58180,2016
"114",5953,18325,26335,2016
"115",6001,9560,15140,2016
"116",6101,10520,14960,2016
"117",6201,7495,9820,2016
