"","Immigrant_type.HR_code","Immigrant_type.Nom","Immigrant_type.Den","Immigrant_type.Year"
"1",1011,9255,308955,2016
"2",1012,850,90205,2016
"3",1013,1040,75930,2016
"4",1014,975,34040,2016
"5",1100,8995,139120,2016
"6",1211,2930,56335,2016
"7",1212,1920,54415,2016
"8",1223,3965,79330,2016
"9",1234,2885,71335,2016
"10",1235,835,29220,2016
"11",1246,1260,42410,2016
"12",1247,1550,40730,2016
"13",1258,2440,108660,2016
"14",1269,37735,416125,2016
"15",1301,10180,202315,2016
"16",1302,8895,167195,2016
"17",1303,10910,168045,2016
"18",1304,1540,45985,2016
"19",1305,380,24005,2016
"20",1306,1065,74230,2016
"21",1307,865,54400,2016
"22",2401,2440,189805,2016
"23",2402,2945,266915,2016
"24",2403,41840,707220,2016
"25",2404,11955,487520,2016
"26",2405,17585,310005,2016
"27",2406,644685,1894975,2016
"28",2407,37030,375710,2016
"29",2408,2150,140065,2016
"30",2409,1055,81160,2016
"31",2410,255,13665,2016
"32",2411,895,86230,2016
"33",2412,7315,408605,2016
"34",2413,116935,410845,2016
"35",2414,25935,484225,2016
"36",2415,30715,578550,2016
"37",2416,147115,1473330,2016
"38",2417,165,13110,2016
"39",2418,0,0,2016
"40",3526,8870,107865,2016
"41",3527,16465,131640,2016
"42",3530,150870,639355,2016
"43",3531,10460,87600,2016
"44",3533,12455,157320,2016
"45",3534,10545,107455,2016
"46",3535,16240,174005,2016
"47",3536,160095,540970,2016
"48",3537,130365,527935,2016
"49",3538,11915,155300,2016
"50",3539,4190,57830,2016
"51",3540,8620,99385,2016
"52",3541,20250,187920,2016
"53",3542,12295,121380,2016
"54",3543,11265,165990,2016
"55",3544,90860,448385,2016
"56",3546,72865,438165,2016
"57",3547,6455,118375,2016
"58",3549,3505,59860,2016
"59",3551,216505,916855,2016
"60",3552,10795,109155,2016
"61",3553,716585,1432835,2016
"62",3554,6670,75175,2016
"63",3555,17160,207025,2016
"64",3556,2265,77685,2016
"65",3557,5535,100015,2016
"66",3558,11185,196650,2016
"67",3560,66405,530030,2016
"68",3561,10540,187705,2016
"69",3562,12050,145525,2016
"70",3563,1145,32380,2016
"71",3565,119340,527350,2016
"72",3566,47020,292500,2016
"73",3568,85815,391000,2016
"74",3570,515220,1100695,2016
"75",3595,1266000,2691665,2016
"76",4601,178080,704520,2016
"77",4602,14070,148625,2016
"78",4603,7085,108255,2016
"79",4604,625,15135,2016
"80",4605,25670,178675,2016
"81",4701,4100,54435,2016
"82",4702,3525,53405,2016
"83",4703,2690,38660,2016
"84",4704,38410,270070,2016
"85",4705,3270,52660,2016
"86",4706,47725,338415,2016
"87",4707,1980,39640,2016
"88",4708,1825,36840,2016
"89",4709,3785,64960,2016
"90",4710,5200,62330,2016
"91",4711,0,0,2016
"92",4712,0,0,2016
"93",4713,0,0,2016
"94",4831,35160,272100,2016
"95",4832,421885,1520310,2016
"96",4833,38945,438390,2016
"97",4834,308850,1293520,2016
"98",4835,40150,404820,2016
"99",5911,7835,78220,2016
"100",5912,8750,78980,2016
"101",5913,46700,348905,2016
"102",5914,20555,206905,2016
"103",5921,58155,281000,2016
"104",5922,250190,632955,2016
"105",5923,283330,773620,2016
"106",5931,118300,196665,2016
"107",5932,269660,632495,2016
"108",5933,82880,270855,2016
"109",5941,68750,369505,2016
"110",5942,36865,257295,2016
"111",5943,13775,116765,2016
"112",5951,7325,62905,2016
"113",5952,13165,136090,2016
"114",5953,5495,64755,2016
"115",6001,4385,34965,2016
"116",6101,3695,40775,2016
"117",6201,900,35575,2016
