"","Lowincome_LICO_0_17.HR_code","Lowincome_LICO_0_17.Nom","Lowincome_LICO_0_17.Den","Lowincome_LICO_0_17.Year"
"1",1011,4040,54835,2016
"2",1012,835,14010,2016
"3",1013,915,12105,2016
"4",1014,215,6600,2016
"5",1100,2015,27075,2016
"6",1211,690,8630,2016
"7",1212,725,8910,2016
"8",1223,1175,14410,2016
"9",1234,990,13860,2016
"10",1235,550,4960,2016
"11",1246,630,7700,2016
"12",1247,415,7025,2016
"13",1258,2030,17855,2016
"14",1269,8090,76465,2016
"15",1301,3375,36865,2016
"16",1302,3455,32835,2016
"17",1303,2775,33020,2016
"18",1304,435,7825,2016
"19",1305,325,3465,2016
"20",1306,745,10760,2016
"21",1307,600,8945,2016
"22",2401,1035,33515,2016
"23",2402,1925,49780,2016
"24",2403,7380,127985,2016
"25",2404,5460,90325,2016
"26",2405,3605,60845,2016
"27",2406,61205,358105,2016
"28",2407,6880,79885,2016
"29",2408,1005,28250,2016
"30",2409,470,15105,2016
"31",2410,75,2930,2016
"32",2411,370,12885,2016
"33",2412,2225,82780,2016
"34",2413,7560,88160,2016
"35",2414,5375,101875,2016
"36",2415,6355,118195,2016
"37",2416,18040,306775,2016
"38",2417,170,5125,2016
"39",2418,0,0,2016
"40",3526,1600,18195,2016
"41",3527,2055,28485,2016
"42",3530,10665,141345,2016
"43",3531,1325,20115,2016
"44",3533,1605,29235,2016
"45",3534,850,21275,2016
"46",3535,1360,28195,2016
"47",3536,9230,128850,2016
"48",3537,16525,105455,2016
"49",3538,2125,28395,2016
"50",3539,630,12070,2016
"51",3540,1490,20250,2016
"52",3541,2370,34460,2016
"53",3542,1650,22880,2016
"54",3543,1395,30055,2016
"55",3544,10395,89925,2016
"56",3546,6800,81625,2016
"57",3547,1480,20730,2016
"58",3549,660,11740,2016
"59",3551,22685,187700,2016
"60",3552,1130,23785,2016
"61",3553,42135,323935,2016
"62",3554,805,16705,2016
"63",3555,2525,35755,2016
"64",3556,1025,15480,2016
"65",3557,905,19625,2016
"66",3558,2385,39120,2016
"67",3560,6220,105065,2016
"68",3561,2640,34940,2016
"69",3562,2470,26255,2016
"70",3563,435,5940,2016
"71",3565,8960,114555,2016
"72",3566,3435,63540,2016
"73",3568,8970,81590,2016
"74",3570,25500,240140,2016
"75",3595,98910,478355,2016
"76",4601,25990,146725,2016
"77",4602,2680,33145,2016
"78",4603,1400,22405,2016
"79",4604,885,9520,2016
"80",4605,2390,49725,2016
"81",4701,550,11650,2016
"82",4702,765,10325,2016
"83",4703,270,6980,2016
"84",4704,4765,58715,2016
"85",4705,675,10365,2016
"86",4706,6030,75510,2016
"87",4707,330,7505,2016
"88",4708,455,7585,2016
"89",4709,1825,15165,2016
"90",4710,1280,15485,2016
"91",4711,405,2830,2016
"92",4712,150,1965,2016
"93",4713,5,225,2016
"94",4831,4545,64465,2016
"95",4832,31550,338540,2016
"96",4833,6205,99935,2016
"97",4834,29030,284440,2016
"98",4835,5475,101015,2016
"99",5911,905,14650,2016
"100",5912,1015,13680,2016
"101",5913,5030,58055,2016
"102",5914,2780,36615,2016
"103",5921,5460,62310,2016
"104",5922,17805,117150,2016
"105",5923,22360,165780,2016
"106",5931,7100,33845,2016
"107",5932,14965,88930,2016
"108",5933,5720,50180,2016
"109",5941,5355,59415,2016
"110",5942,4370,42855,2016
"111",5943,2175,20700,2016
"112",5951,935,13620,2016
"113",5952,2435,28785,2016
"114",5953,970,16160,2016
"115",6001,0,0,2016
"116",6101,0,0,2016
"117",6201,0,0,2016
