"","Lowincome_LIM_total.HR_code","Lowincome_LIM_total.Nom","Lowincome_LIM_total.Den","Lowincome_LIM_total.Year"
"1",1011,41560,302795,2016
"2",1012,16155,84520,2016
"3",1013,14510,74135,2016
"4",1014,3120,31650,2016
"5",1100,23105,136915,2016
"6",1211,11150,56325,2016
"7",1212,11145,54405,2016
"8",1223,16075,79330,2016
"9",1234,12130,71330,2016
"10",1235,6670,29220,2016
"11",1246,7985,42400,2016
"12",1247,6905,40735,2016
"13",1258,20625,108655,2016
"14",1269,62285,415925,2016
"15",1301,31180,202130,2016
"16",1302,29130,166445,2016
"17",1303,28015,167750,2016
"18",1304,8385,45700,2016
"19",1305,5120,23755,2016
"20",1306,14305,73435,2016
"21",1307,9870,54270,2016
"22",2401,29135,187155,2016
"23",2402,36095,266465,2016
"24",2403,79030,706785,2016
"25",2404,82680,487130,2016
"26",2405,50485,309190,2016
"27",2406,403895,1894990,2016
"28",2407,50355,374995,2016
"29",2408,18210,138065,2016
"30",2409,8275,80045,2016
"31",2410,1240,13660,2016
"32",2411,13920,84860,2016
"33",2412,43470,407815,2016
"34",2413,46470,410845,2016
"35",2414,56705,483900,2016
"36",2415,71865,576835,2016
"37",2416,164315,1473025,2016
"38",2417,1700,12890,2016
"39",2418,0,0,2016
"40",3526,17515,107700,2016
"41",3527,17510,131640,2016
"42",3530,62030,639380,2016
"43",3531,12525,87600,2016
"44",3533,22940,157340,2016
"45",3534,12625,107450,2016
"46",3535,22245,174050,2016
"47",3536,44340,538650,2016
"48",3537,80915,527930,2016
"49",3538,24630,155285,2016
"50",3539,7910,57820,2016
"51",3540,16910,99380,2016
"52",3541,25665,187920,2016
"53",3542,15820,121370,2016
"54",3543,21460,165990,2016
"55",3544,77045,448375,2016
"56",3546,63405,438155,2016
"57",3547,19480,118025,2016
"58",3549,6995,59225,2016
"59",3551,115175,916855,2016
"60",3552,11845,109160,2016
"61",3553,179125,1432845,2016
"62",3554,8330,75170,2016
"63",3555,29895,207030,2016
"64",3556,10705,76820,2016
"65",3557,13020,99695,2016
"66",3558,28695,196655,2016
"67",3560,61465,530020,2016
"68",3561,24440,187515,2016
"69",3562,19840,145530,2016
"70",3563,5515,31580,2016
"71",3565,64025,527340,2016
"72",3566,29465,292490,2016
"73",3568,64635,390810,2016
"74",3570,132455,1100695,2016
"75",3595,543390,2691665,2016
"76",4601,110250,705410,2016
"77",4602,24990,149325,2016
"78",4603,14170,110765,2016
"79",4604,5625,34005,2016
"80",4605,26900,177975,2016
"81",4701,4750,49015,2016
"82",4702,6090,47450,2016
"83",4703,3730,33090,2016
"84",4704,30415,263625,2016
"85",4705,7745,49605,2016
"86",4706,39620,332050,2016
"87",4707,3355,33595,2016
"88",4708,5900,36185,2016
"89",4709,10540,63315,2016
"90",4710,8520,60520,2016
"91",4711,2120,9000,2016
"92",4712,1880,5745,2016
"93",4713,195,1295,2016
"94",4831,30615,267465,2016
"95",4832,132880,1509130,2016
"96",4833,42560,431205,2016
"97",4834,119510,1287315,2016
"98",4835,35310,402300,2016
"99",5911,10380,78210,2016
"100",5912,14520,78635,2016
"101",5913,47015,335795,2016
"102",5914,30170,203715,2016
"103",5921,39020,279605,2016
"104",5922,103780,630850,2016
"105",5923,103840,771525,2016
"106",5931,44000,196660,2016
"107",5932,121695,632475,2016
"108",5933,37290,266935,2016
"109",5941,48955,367485,2016
"110",5942,41820,256695,2016
"111",5943,18450,116180,2016
"112",5951,8625,62705,2016
"113",5952,18455,134855,2016
"114",5953,6575,64390,2016
"115",6001,0,0,2016
"116",6101,0,0,2016
"117",6201,0,0,2016
