"","hr.pop.values.HR_code","hr.pop.values.Total_population","hr.pop.values.Year"
"1",1011,313195,2016
"2",1012,92650,2016
"3",1013,77210,2016
"4",1014,36460,2016
"5",1100,142905,2016
"6",1211,57400,2016
"7",1212,55700,2016
"8",1223,81175,2016
"9",1234,74125,2016
"10",1235,30010,2016
"11",1246,43745,2016
"12",1247,42300,2016
"13",1258,116640,2016
"14",1269,422350,2016
"15",1301,209220,2016
"16",1302,170515,2016
"17",1303,174360,2016
"18",1304,47785,2016
"19",1305,25260,2016
"20",1306,76385,2016
"21",1307,57600,2016
"22",2401,197305,2016
"23",2402,276235,2016
"24",2403,729880,2016
"25",2404,508500,2016
"26",2405,318985,2016
"27",2406,1942050,2016
"28",2407,382600,2016
"29",2408,146700,2016
"30",2409,92455,2016
"31",2410,14225,2016
"32",2411,90300,2016
"33",2412,420100,2016
"34",2413,422990,2016
"35",2414,494765,2016
"36",2415,590005,2016
"37",2416,1507120,2016
"38",2417,13190,2016
"39",2418,17135,2016
"40",3526,113120,2016
"41",3527,134340,2016
"42",3530,645870,2016
"43",3531,88975,2016
"44",3533,162435,2016
"45",3534,109645,2016
"46",3535,178420,2016
"47",3536,548475,2016
"48",3537,536915,2016
"49",3538,161190,2016
"50",3539,59290,2016
"51",3540,102045,2016
"52",3541,193360,2016
"53",3542,126640,2016
"54",3543,169235,2016
"55",3544,455375,2016
"56",3546,447895,2016
"57",3547,123830,2016
"58",3549,76570,2016
"59",3551,934245,2016
"60",3552,110865,2016
"61",3553,1442895,2016
"62",3554,76795,2016
"63",3555,213650,2016
"64",3556,85265,2016
"65",3557,103585,2016
"66",3558,202755,2016
"67",3560,542600,2016
"68",3561,196415,2016
"69",3562,157970,2016
"70",3563,33215,2016
"71",3565,535160,2016
"72",3566,296980,2016
"73",3568,398945,2016
"74",3570,1109910,2016
"75",3595,2731570,2016
"76",4601,720875,2016
"77",4602,166075,2016
"78",4603,129595,2016
"79",4604,72530,2016
"80",4605,192700,2016
"81",4701,56725,2016
"82",4702,55140,2016
"83",4703,43000,2016
"84",4704,282050,2016
"85",4705,55500,2016
"86",4706,349430,2016
"87",4707,42470,2016
"88",4708,41910,2016
"89",4709,77355,2016
"90",4710,75445,2016
"91",4711,22690,2016
"92",4712,10395,2016
"93",4713,5040,2016
"94",4831,291555,2016
"95",4832,1550075,2016
"96",4833,463060,2016
"97",4834,1319340,2016
"98",4835,442600,2016
"99",5911,80830,2016
"100",5912,80555,2016
"101",5913,362640,2016
"102",5914,220540,2016
"103",5921,295565,2016
"104",5922,640700,2016
"105",5923,784925,2016
"106",5931,198310,2016
"107",5932,649265,2016
"108",5933,283755,2016
"109",5941,383360,2016
"110",5942,270380,2016
"111",5943,122125,2016
"112",5951,73610,2016
"113",5952,142225,2016
"114",5953,67940,2016
"115",6001,35730,2016
"116",6101,41735,2016
"117",6201,35950,2016
