"","clsc.age.pry.CLSC_code","clsc.age.pry.Age","clsc.age.pry.Count","clsc.age.pry.Sex"
"1","1111","Total","10535","Male"
"2","1121","Total","16665","Male"
"3","1131","Total","9845","Male"
"4","1141","Total","4310","Male"
"5","1151","Total","27445","Male"
"6","1161","Total","9120","Male"
"7","1171","Total","10630","Male"
"8","1181","Total","8960","Male"
"9","2111","Total","15595","Male"
"10","2121","Total","12880","Male"
"11","2131","Total","26105","Male"
"12","2141","Total","33250","Male"
"13","2151","Total","38800","Male"
"14","2161","Total","11340","Male"
"15","3111","Total","26720","Male"
"16","3121","Total","30415","Male"
"17","3122","Total","24310","Male"
"18","3123","Total","36715","Male"
"19","3124","Total","16940","Male"
"20","3125","Total","13360","Male"
"21","3126","Total","28430","Male"
"22","3131","Total","53520","Male"
"23","3132","Total","52360","Male"
"24","3133","Total","42510","Male"
"25","3134","Total","17815","Male"
"26","3141","Total","6445","Male"
"27","3142","Total","7650","Male"
"28","4111","Total","7755","Male"
"29","4121","Total","6180","Male"
"30","4122","Total","6565","Male"
"31","4131","Total","11470","Male"
"32","4141","Total","31460","Male"
"33","4151","Total","43895","Male"
"34","4152","Total","23225","Male"
"35","4161","Total","11530","Male"
"36","4162","Total","10355","Male"
"37","4171","Total","51560","Male"
"38","4181","Total","35680","Male"
"39","4182","Total","11845","Male"
"40","5111","Total","26845","Male"
"41","5121","Total","49590","Male"
"42","5131","Total","24875","Male"
"43","5141","Total","9380","Male"
"44","5151","Total","78565","Male"
"45","5161","Total","15640","Male"
"46","5171","Total","7155","Male"
"47","5181","Total","11485","Male"
"48","5191","Total","10950","Male"
"49","6111","Total","38705","Male"
"50","6112","Total","42595","Male"
"51","6113","Total","23780","Male"
"52","6121","Total","30635","Male"
"53","6122","Total","36450","Male"
"54","6211","Total","23175","Male"
"55","6212","Total","34355","Male"
"56","6221","Total","14690","Male"
"57","6222","Total","21835","Male"
"58","6223","Total","16655","Male"
"59","6224","Total","25340","Male"
"60","6225","Total","30265","Male"
"61","6311","Total","20115","Male"
"62","6312","Total","14900","Male"
"63","6313","Total","33140","Male"
"64","6314","Total","7335","Male"
"65","6321","Total","19970","Male"
"66","6322","Total","27380","Male"
"67","6323","Total","22025","Male"
"68","6324","Total","7995","Male"
"69","6411","Total","27260","Male"
"70","6412","Total","45830","Male"
"71","6421","Total","39120","Male"
"72","6422","Total","39895","Male"
"73","6431","Total","30010","Male"
"74","6432","Total","23705","Male"
"75","6511","Total","27600","Male"
"76","6512","Total","37025","Male"
"77","6521","Total","27625","Male"
"78","6522","Total","19855","Male"
"79","6523","Total","25425","Male"
"80","6524","Total","21680","Male"
"81","6531","Total","40990","Male"
"82","6532","Total","20795","Male"
"83","6533","Total","26185","Male"
"84","7111","Total","10120","Male"
"85","7121","Total","10220","Male"
"86","7131","Total","18680","Male"
"87","7141","Total","31400","Male"
"88","7142","Total","33320","Male"
"89","7143","Total","57105","Male"
"90","7151","Total","19120","Male"
"91","7152","Total","8220","Male"
"92","8111","Total","10460","Male"
"93","8121","Total","12380","Male"
"94","8131","Total","21165","Male"
"95","8141","Total","21860","Male"
"96","8151","Total","6365","Male"
"97","8152","Total","1650","Male"
"98","9111","Total","1735","Male"
"99","9121","Total","2715","Male"
"100","9122","Total","2670","Male"
"101","9123","Total","15480","Male"
"102","9131","Total","4025","Male"
"103","9141","Total","13995","Male"
"104","9151","Total","3300","Male"
"105","9161","Total","2395","Male"
"106","9171","Total","305","Male"
"107","10011","Total","935","Male"
"108","10012","Total","760","Male"
"109","10013","Total","1140","Male"
"110","10014","Total","4645","Male"
"111","11111","Total","7005","Male"
"112","11112","Total","8650","Male"
"113","11121","Total","5380","Male"
"114","11131","Total","1100","Male"
"115","11132","Total","7540","Male"
"116","11133","Total","335","Male"
"117","11141","Total","8105","Male"
"118","11211","Total","6060","Male"
"119","12111","Total","16300","Male"
"120","12112","Total","46890","Male"
"121","12113","Total","26620","Male"
"122","12114","Total","18930","Male"
"123","12115","Total","15210","Male"
"124","12121","Total","21055","Male"
"125","12131","Total","9770","Male"
"126","12132","Total","26380","Male"
"127","12141","Total","8470","Male"
"128","12151","Total","11375","Male"
"129","12152","Total","8940","Male"
"130","13111","Total","68555","Male"
