"","immigrant_type.CLSC_code","immigrant_type.Nom","immigrant_type.Den","immigrant_type.Year"
"1",1111,20070,20110,2016
"2",1121,32530,32600,2016
"3",1131,18840,18850,2016
"4",1141,8270,8270,2016
"5",1151,54355,54645,2016
"6",1161,17500,17530,2016
"7",1171,20505,20590,2016
"8",1181,17355,17390,2016
"9",2111,30210,30245,2016
"10",2121,24370,24390,4032
"11",2131,50490,50555,34272
"12",2141,64965,65115,40320
"13",2151,76030,76500,46368
"14",2161,22025,22055,20160
"15",3111,51275,51365,2016
"16",3121,60585,60695,32256
"17",3122,48625,49005,64512
"18",3123,72590,74430,42336
"19",3124,33355,34445,22176
"20",3125,24350,24740,34272
"21",3126,55480,56230,40320
"22",3131,103185,103275,50400
"23",3132,105490,105690,60480
"24",3133,85070,85220,36288
"25",3134,34325,34370,4032
"26",3141,12515,12535,2016
"27",3142,15165,15180,2016
"28",4111,14600,14615,2016
"29",4121,12030,12065,2016
"30",4122,12635,12650,18144
"31",4131,22165,22180,24192
"32",4141,61725,61845,12096
"33",4151,86585,87205,46368
"34",4152,46200,46285,20160
"35",4161,22255,22305,2016
"36",4162,19840,19840,2016
"37",4171,99965,100090,2016
"38",4181,69330,69525,2016
"39",4182,22715,22740,2016
"40",5111,51545,51630,44352
"41",5121,97435,97675,6048
"42",5131,48900,49030,2016
"43",5141,18040,18090,2016
"44",5151,154270,156260,2016
"45",5161,29950,29955,2016
"46",5171,13755,13770,2016
"47",5181,21860,21895,2016
"48",5191,20995,21015,2016
"49",6111,77075,78120,12096
"50",6112,85930,86620,36288
"51",6113,47910,48275,2016
"52",6121,60510,61070,26208
"53",6122,73820,75160,38304
"54",6211,47305,48790,8064
"55",6212,68475,71230,38304
"56",6221,26390,27975,12096
"57",6222,43340,44890,20160
"58",6223,32345,34565,42336
"59",6224,45205,50145,60480
"60",6225,48035,59130,26208
"61",6311,36590,38200,34272
"62",6312,29340,30095,18144
"63",6313,65455,67325,40320
"64",6314,14195,14545,12096
"65",6321,35185,38880,36288
"66",6322,48190,52790,56448
"67",6323,33955,36890,44352
"68",6324,12815,14125,16128
"69",6411,53265,54375,40320
"70",6412,91140,93405,36288
"71",6421,77140,78300,42336
"72",6422,80535,81620,36288
"73",6431,58530,60435,54432
"74",6432,45470,47555,52416
"75",6511,54785,55995,28224
"76",6512,76035,76995,40320
"77",6521,56215,56460,24192
"78",6522,41355,41715,18144
"79",6523,50925,51055,24192
"80",6524,43310,43585,22176
"81",6531,82745,84325,48384
"82",6532,41205,41790,20160
"83",6533,47170,48530,42336
"84",7111,19830,19845,4032
"85",7121,19765,19795,2016
"86",7131,36280,36310,22176
"87",7141,63810,64215,22176
"88",7142,65575,66800,34272
"89",7143,115505,115875,50400
"90",7151,38225,38220,28224
"91",7152,15825,15850,34272
"92",8111,20025,20030,2016
"93",8121,23995,24000,2016
"94",8131,41005,41170,2016
"95",8141,42225,42290,2016
"96",8151,11825,11830,46368
"97",8152,2935,2925,6048
"98",9111,2650,2650,16128
"99",9121,5080,5090,10080
"100",9122,5275,5275,10080
"101",9123,30295,30325,2016
"102",9131,7330,7320,10080
"103",9141,24225,24255,88704
"104",9151,5090,5100,24192
"105",9161,3415,3430,14112
"106",9171,0,0,4032
"107",10011,1190,1185,2016
"108",10012,1450,1450,2016
"109",10013,2160,2165,4032
"110",10014,8860,8865,4032
"111",11111,14020,14040,2016
"112",11112,17190,17195,2016
"113",11121,10655,10660,18144
"114",11131,2155,2150,8064
"115",11132,15090,15140,10080
"116",11133,660,660,2016
"117",11141,16085,16085,20160
"118",11211,12190,12190,2016
"119",12111,30985,31025,2016
"120",12112,93430,93595,44352
"121",12113,53060,53255,28224
"122",12114,35940,36045,2016
"123",12115,29185,29260,20160
"124",12121,40655,40760,2016
"125",12131,18460,18525,2016
"126",12132,50740,50895,2016
"127",12141,15910,15990,2016
"128",12151,21985,22040,2016
"129",12152,17230,17240,2016
"130",13111,137210,137595,68544
"131",13112,59960,60145,36288
"132",13113,86445,87055,36288
"133",13114,124940,126050,90720
"134",14111,49195,49260,2016
"135",14112,52010,52035,2016
"136",14113,63790,63930,2016
"137",14114,41355,41420,2016
"138",14121,156460,156690,2016
"139",14122,122730,122955,2016
"140",15111,33875,33930,2016
"141",15121,44680,44795,2016
"142",15131,41090,41210,2016
"143",15141,31665,31725,2016
"144",15151,115690,115940,12096
"145",15161,156095,156310,12096
"146",15171,153640,153955,2016
"147",16111,124685,125945,14112
"148",16112,82630,82980,34272
"149",16121,67955,68070,16128
"150",16122,113095,113335,26208
"151",16211,61680,62565,34272
"152",16212,67830,68190,28224
"153",16213,116800,116915,4032
"154",16221,109925,110155,24192
"155",16222,83575,83820,2016
"156",16223,15200,15200,2016
"157",16231,49425,49485,2016
"158",16311,146970,147355,2016
"159",16321,55410,55515,10080
"160",16331,21985,22040,2016
"161",16341,71645,71895,14112
"162",16342,104290,104555,14112
"163",16343,27100,27220,2016
"164",17011,7155,7155,28224
"165",17012,5975,5955,30240
"166",18011,0,0,36288
